№	№	Name\n(Birth–Death)\n(Title)	Portrait	Term start	Term end	Political Party	Head of State
(7)	25	Samdech Penn Nouth\n(1906–1985)\nPrime Minister\n(7th term)		31 January 1968	14 August 1969	Sangkum\n(Popular Socialist\nCommunity)	Prince Norodom Sihanouk
(22)	26	General Lon Nol\n(1913–1985)\nPrime Minister\n(2nd term)		14 August 1969	9 October 1970	Sangkum\n(Popular Socialist\nCommunity) / Military	Prince Norodom Sihanouk
(22)	26	General Lon Nol\n(1913–1985)\nPrime Minister\n(2nd term)		14 August 1969	9 October 1970	Sangkum\n(Popular Socialist\nCommunity) / Military	Cheng Heng
(22)	1	General Lon Nol\n(1913–1985)\nPrime Minister\n(3rd term)		9 October 1970	11 March 1971	Military	Cheng Heng
24	2	Prince Sisowath Sirik Matak\n(1914–1975)\nPrime Minister		11 March 1971	18 March 1972	Non-party	Cheng Heng
(2)	3	Son Ngoc Thanh\n(1908–1977)\nPrime Minister\n(2nd term)		18 March 1972	15 October 1972	Khmer Serei	General Lon Nol
25	4	Hang Thun Hak\n(1924–1975)\nPrime Minister		15 October 1972	6 May 1973	Social Republican Party	General Lon Nol
26	5	In Tam\n(1916–2006)\nPrime Minister	(right)	6 May 1973	9 December 1973	Social Republican Party	General Lon Nol
27	6	Long Boret\n(1933–1975)\nPrime Minister		26 December 1973	17 April 1975	Social Republican Party	General Lon Nol\nGeneral Saukam Khoy\nGeneral Sak Sutsakhan
(7)	1	Samdech Penn Nouth\n(1906–1985)\nPrime Minister\n(8th term)		17 April 1975	4 April 1976	National United Front of Kampuchea	Prince Norodom Sihanouk
28	2	Khieu Samphan\n(1931– )\nActing Prime Minister		4 April 1976	14 April 1976	Communist Party of Kampuchea	Khieu Samphan
29	3	Pol Pot\n(1925–1998)\nPrime Minister		14 April 1976	27 September 1976	Communist Party of Kampuchea	Khieu Samphan
30	4	Nuon Chea\n(1926– )\nPrime Minister		27 September 1976	25 October 1976	Communist Party of Kampuchea	Khieu Samphan
(29)	5	Pol Pot\n(1925–1998)\nPrime Minister\n(2nd term)		25 October 1976	7 January 1979	Communist Party of Kampuchea	Khieu Samphan
—	—	Samdach Heng Samrin\n(1934)\nChairman of the People's Revolutionary Council\n(de facto Prime Minister)		7 January 1979	27 June 1981	Kampuchean People's Revolutionary Party	Samdach Heng Samrin
31	1	Pen Sovan\n(1939– )\nChairman of the Council of Ministers		27 June 1981	5 December 1981	Kampuchean People's Revolutionary Party	Samdach Heng Samrin
32	2	Chan Sy\n(1932–1984)\nChairman of the Council of Ministers		5 December 1981	26 December 1984	Kampuchean People's Revolutionary Party	Samdach Heng Samrin
33	3	Samdach Hun Sen\n(1951– )\nChairman of the Council of Ministers		14 January 1985	1 May 1989	Kampuchean People's Revolutionary Party	Samdach Heng Samrin
(33)	1	Samdach Hun Sen\n(1951– )\nChairman of the Council of Ministers\n(2nd term)		1 May 1989	2 July 1993	Kampuchean People's Revolutionary Party\n↓\nCambodian People's Party	Samdach Heng Samrin\nSamdach Chea Sim\nPrince Norodom Sihanouk
(33)	2	Samdach Hun Sen\n(1951– )\nCoequal Prime Minister\n(3rd term)		2 July 1993	21 September 1993	Cambodian People's Party	Prince Norodom Sihanouk
34	2	Prince Norodom Ranariddh\n(1944– )\nCoequal Prime Minister		2 July 1993	21 September 1993	Funcinpec Party	Prince Norodom Sihanouk
34	3	Prince Norodom Ranariddh\n(1944– )\nFirst Prime Minister\n(2nd term)		21 September 1993	24 September 1993	Funcinpec Party	Prince Norodom Sihanouk
(33)	3	Samdach Hun Sen\n(1951– )\nSecond Prime Minister\n(4th term)		21 September 1993	24 September 1993	Cambodian People's Party	Prince Norodom Sihanouk
(34)	27	Prince Norodom Ranariddh\n(1944– )\nFirst Prime Minister\n(3rd term)		24 September 1993	6 July 1997	Funcinpec Party	King Norodom Sihanouk\n(Reign: 1993-2004)
(33)	27	Samdach Hun Sen\n(1951– )\nSecond Prime Minister\n(5th term)		24 September 1993	6 July 1997	Cambodian People's Party	King Norodom Sihanouk\n(Reign: 1993-2004)
35	28	Ung Huot\n(1947– )\nFirst Prime Minister		16 July 1997	30 November 1998	Funcinpec Party	King Norodom Sihanouk\n(Reign: 1993-2004)
(33)	28	Samdach Hun Sen\n(1951– )\nSecond Prime Minister\n(6th term)		6 July 1997	30 November 1998	Cambodian People's Party	King Norodom Sihanouk\n(Reign: 1993-2004)
(33)	29	Samdach Hun Sen\n(1951– )\nPrime Minister\n(7th term)		30 November 1998	Incumbent	Cambodian People's Party	King Norodom Sihanouk\n(Reign: 1993-2004)
(33)	29	Samdach Hun Sen\n(1951– )\nPrime Minister\n(7th term)		30 November 1998	Incumbent	Cambodian People's Party	King Norodom Sihamoni\n(Reign: 2004-present)
