Team	Car(s)	#	Driver(s)	Primary Sponsor(s)	Listed Owner(s)	Crew Chief
Parker Racing	Chevrolet Monte Carlo	72	Hermie Sadler	MGM Brakes	Ron Parker	Cal Northrup
PE2 Motorsports	Chevrolet Monte Carlo	45	Adam Petty (R)	Spree	Kyle Petty	Lance Deiters
PRW Racing	Ford Taurus	77	Ed Berrier	Lear Corporation	Tony Hall	Jimmy Means
Phil Parsons Racing	Chevrolet Monte Carlo	10	Phil Parsons	Alltel	Marcia Parsons	Doug Taylor
Phoenix Racing	Chevrolet Monte Carlo	1	Randy LaJoie	Bob Evans Restaurants	James Finch	Marc Reno
Progressive Motorsports	Chevrolet Monte Carlo	32	Jeff Green	Kleenex	Greg Pollex	Harold Holly
Progressive Motorsports	Chevrolet Monte Carlo	57	Jason Keller	Fleming Team/IGA	Steve DeSouza	Steve Addington
Reiser Enterprises	Chevrolet Monte Carlo	17	Matt Kenseth	DeWalt Tools	Robbie Reiser	Robbie Reiser
Roush Racing	Ford Taurus	9	Jeff Burton	Track Gear	Jack Roush	Tommy Morgan
Roush Racing	Ford Taurus	60	Mark Martin	Winn-Dixie	Jack Roush	Tony Lambert
Sadler Brothers Racing	Chevrolet Monte Carlo	95	Bobby Hamilton, Jr. (R)	Shoney's Inn	Earl Sadler	Chick Sadler
Specialty Racing	Chevrolet Monte Carlo	40	Kerry Earnhardt (R)	Channellock	Doug Taylor	Richard Lasater
Spencer Motor Ventures	Chevrolet Monte Carlo	5	Dick Trickle	Schneider National	Jimmy Spencer	Bryan Schaffer
ST Motorsports	Chevrolet Monte Carlo	59	Mike Dillon	Kingsford	Tad Geschickter	Steve Plattenberger
Team Amick	Chevrolet Monte Carlo	35	Lyndon Amick	SCANA/Powertel	Bill Amick	Buddy Barnes
Team Rensi Motorsports	Chevrolet Monte Carlo	25	Jeff Finley	Dura Lube	Ed Rensi	David Ifft
Team Yellow Racing	Chevrolet Monte Carlo	19	Mike Skinner	Yellow Freight	David Ridling	C. R. Miller
Washington-Erving Motorsports	Chevrolet Monte Carlo	50	Mark Green	Dr Pepper	Joe Washington	Darrell Bryant
Xpress Motorsports	Pontiac Grand Prix	61	Derrike Cope	IWX Motor Freight	Steve Coulter	Dave Fuge
