|      | Average population (x 1000) | Live births | Deaths  | Natural change | Crude birth rate (per 1000) | Crude death rate (per 1000) | Natural change (per 1000) | Fertility rates |
| 1942 | 26 244                      | 530 845     | 387 844 | 143 001        | 20.2                        | 14.8                        | 5.4                       | 2,53            |
| 1943 | 26 491                      | 606 971     | 352 587 | 254 384        | 22.9                        | 13.3                        | 9.6                       | 2,88            |
| 1944 | 26 620                      | 602 091     | 349 114 | 253 796        | 22.6                        | 13.1                        | 9.5                       | 2,84            |
| 1945 | 26 770                      | 621 558     | 330 581 | 290 977        | 23.2                        | 12.3                        | 10.9                      | 2,91            |
| 1946 | 27 030                      | 585 381     | 353 371 | 232 010        | 21.7                        | 13.1                        | 8.6                       | 2,70            |
| 1947 | 27 150                      | 588 732     | 330 341 | 258 391        | 21.7                        | 12.2                        | 9.5                       | 2,67            |
| 1948 | 27 593                      | 642 041     | 305 310 | 336 731        | 23.3                        | 11.1                        | 12.2                      | 2,88            |
| 1949 | 27 811                      | 601 759     | 321 541 | 280 218        | 21.6                        | 11.6                        | 10.1                      | 2,68            |
| 1950 | 28 009                      | 565 378     | 305 934 | 259 444        | 20.2                        | 10.9                        | 9.3                       | 2,48            |
| 1951 | 28 236                      | 567 474     | 327 236 | 240 238        | 20.1                        | 11.6                        | 8.5                       | 2,47            |
| 1952 | 28 474                      | 593 019     | 276 735 | 316 284        | 20.8                        | 9.7                         | 11.1                      | 2,56            |
| 1953 | 28 713                      | 589 188     | 278 522 | 310 666        | 20.5                        | 9.7                         | 10.8                      | 2,55            |
| 1954 | 28 955                      | 577 886     | 264 668 | 313 218        | 20.0                        | 9.1                         | 10.8                      | 2,50            |
| 1955 | 29 199                      | 598 970     | 274 188 | 324 782        | 20.5                        | 9.4                         | 11.1                      | 2,58            |
| 1956 | 29 445                      | 608 121     | 290 410 | 317 711        | 20.7                        | 9.9                         | 10.8                      | 2,61            |
| 1957 | 29 693                      | 646 784     | 293 502 | 353 282        | 21.8                        | 9.9                         | 11.9                      | 2,77            |
| 1958 | 29 943                      | 653 216     | 260 683 | 392 533        | 21.8                        | 8.7                         | 13.1                      | 2,80            |
| 1959 | 30 195                      | 654 474     | 269 591 | 384 883        | 21.7                        | 8.9                         | 12.7                      | 2,79            |
| 1960 | 30 455                      | 663 375     | 268 941 | 394 434        | 21.8                        | 8.8                         | 13.0                      | 2,77            |
| 1961 | 30 744                      | 654 616     | 263 441 | 391 175        | 21.3                        | 8.6                         | 12.7                      | 2,75            |
| 1962 | 31 067                      | 658 816     | 278 575 | 380 241        | 21.2                        | 9.0                         | 12.2                      | 2,79            |
| 1963 | 31 393                      | 671 520     | 282 460 | 389 060        | 21.4                        | 9.0                         | 12.4                      | 2,87            |
| 1964 | 31 723                      | 697 697     | 273 955 | 423 742        | 22.0                        | 8.6                         | 13.4                      | 3,01            |
| 1965 | 32 056                      | 676 361     | 274 271 | 402 090        | 21.1                        | 8.6                         | 12.5                      | 2,94            |
| 1966 | 32 394                      | 669 919     | 276 173 | 393 746        | 20.7                        | 8.5                         | 12.2                      | 2,93            |
| 1967 | 32 734                      | 680 125     | 280 494 | 399 631        | 20.8                        | 8.6                         | 12.2                      | 2,98            |
| 1968 | 33 079                      | 667 311     | 282 628 | 384 683        | 20.2                        | 8.5                         | 11.6                      | 2,92            |
| 1969 | 33 427                      | 666 568     | 303 402 | 363 166        | 19.9                        | 9.1                         | 10.9                      | 2,91            |
| 1970 | 33 779                      | 663 667     | 286 067 | 377 600        | 19.6                        | 8.5                         | 11.2                      | 2,88            |
| 1971 | 34 216                      | 672 092     | 308 516 | 363 576        | 19.7                        | 9.0                         | 10.6                      | 2,88            |
| 1972 | 34 572                      | 672 405     | 285 508 | 386 897        | 19.5                        | 8.3                         | 11.2                      | 2,86            |
| 1973 | 34 921                      | 672 963     | 301 803 | 371 160        | 19.3                        | 8.7                         | 10.7                      | 2,84            |
| 1974 | 35 288                      | 688 711     | 300 403 | 388 308        | 19.6                        | 8.5                         | 11.0                      | 2,89            |
| 1975 | 35 688                      | 669 378     | 298 192 | 371 186        | 18.8                        | 8.4                         | 10.5                      | 2,80            |
| 1976 | 36 118                      | 677 456     | 299 007 | 378 449        | 18.9                        | 8.3                         | 10.5                      | 2,79            |
| 1977 | 36 564                      | 656 357     | 294 324 | 362 033        | 18.1                        | 8.1                         | 10.0                      | 2,65            |
| 1978 | 36 741                      | 636 892     | 296 781 | 340 111        | 17.3                        | 8.1                         | 9.2                       | 2,53            |
| 1979 | 37 289                      | 601 992     | 291 213 | 310 779        | 16.2                        | 7.8                         | 8.4                       | 2,35            |
| 1980 | 37 527                      | 571 018     | 289 344 | 281 674        | 15.2                        | 7.7                         | 7.5                       | 2,19            |
| 1981 | 37 741                      | 533 008     | 293 386 | 239 622        | 14.1                        | 7.8                         | 6.3                       | 2,04            |
| 1982 | 37 942                      | 515 706     | 286 655 | 229 051        | 13.6                        | 7.6                         | 6.0                       | 1,94            |
| 1983 | 38 122                      | 485 352     | 302 569 | 182 783        | 12.7                        | 7.9                         | 4.8                       | 1,80            |
| 1984 | 38 279                      | 473 281     | 299 409 | 173 872        | 12.4                        | 7.8                         | 4.5                       | 1,73            |
| 1985 | 38 419                      | 456 298     | 312 532 | 143 766        | 11.9                        | 8.1                         | 3.7                       | 1,64            |
| 1986 | 38 536                      | 438 750     | 310 413 | 128 337        | 11.4                        | 8.1                         | 3.3                       | 1,56            |
| 1987 | 38 631                      | 426 782     | 310 073 | 116 709        | 11.0                        | 8.0                         | 3.0                       | 1,50            |
| 1988 | 38 716                      | 418 919     | 319 437 | 99 482         | 10.8                        | 8.3                         | 2.6                       | 1,45            |
| 1989 | 38 792                      | 408 434     | 324 796 | 83 638         | 10.5                        | 8.4                         | 2.2                       | 1,40            |
| 1990 | 38 851                      | 401 425     | 333 142 | 68 283         | 10.3                        | 8.6                         | 1.8                       | 1,36            |
| 1991 | 38 940                      | 395 989     | 337 691 | 58 298         | 10.2                        | 8.7                         | 1.5                       | 1,33            |
| 1992 | 39 068                      | 396 747     | 331 515 | 65 232         | 10.2                        | 8.5                         | 1.7                       | 1,32            |
| 1993 | 39 190                      | 385 786     | 339 661 | 46 125         | 9.8                         | 8.7                         | 1.2                       | 1,26            |
| 1994 | 39 295                      | 370 148     | 338 242 | 31 906         | 9.4                         | 8.6                         | 0.8                       | 1,21            |
| 1995 | 39 387                      | 363 469     | 346 227 | 17 242         | 9.2                         | 8.8                         | 0.4                       | 1,18            |
| 1996 | 39 478                      | 362 626     | 351 449 | 11 177         | 9.2                         | 8.9                         | 0.3                       | 1,17            |
| 1997 | 39 582                      | 369 035     | 349 521 | 19 514         | 9.3                         | 8.8                         | 0.5                       | 1,19            |
| 1998 | 39 721                      | 365 193     | 360 511 | 4 682          | 9.2                         | 9.1                         | 0.1                       | 1,15            |
| 1999 | 39 927                      | 380 130     | 371 102 | 9 028          | 9.5                         | 9.3                         | 0.2                       | 1,20            |
| 2000 | 40 264                      | 397 632     | 360 391 | 37 241         | 9.9                         | 9.0                         | 0.9                       | 1,23            |
| 2001 | 40 476                      | 406 380     | 360 131 | 46 249         | 10.0                        | 8.8                         | 1.1                       | 1,24            |
| 2002 | 41 035                      | 418 846     | 368 618 | 50 228         | 10.1                        | 8.9                         | 1.2                       | 1,26            |
| 2003 | 41 827                      | 441 881     | 384 828 | 57 053         | 10.5                        | 9.2                         | 1.4                       | 1,31            |
| 2004 | 42 547                      | 454 591     | 371 934 | 82 657         | 10.6                        | 8.7                         | 1.9                       | 1,33            |
| 2005 | 43 296                      | 466 371     | 387 355 | 79 016         | 10.7                        | 8.9                         | 1.8                       | 1,35            |
| 2006 | 44 009                      | 482 957     | 371 478 | 111 479        | 10.9                        | 8.4                         | 2.5                       | 1,36            |
| 2007 | 44 784                      | 492 527     | 385 361 | 107 166        | 10.9                        | 8.5                         | 2.4                       | 1,40            |
| 2008 | 45 668                      | 518 503     | 384 198 | 134 305        | 11.4                        | 8.4                         | 3.0                       | 1,46            |
| 2009 | 46 239                      | 493 717     | 383 209 | 110 508        | 10.7                        | 8.2                         | 2.5                       | 1,39            |
| 2010 | 46 486                      | 485 252     | 380 234 | 105 218        | 10.5                        | 8.2                         | 2.3                       | 1.38            |
| 2011 | 46 667                      | 470 553     | 386 017 | 84 536         | 10.2                        | 8.4                         | 1.8                       | 1.34            |
| 2012 | 46 818                      | 454 648     | 402 950 | 51 698         | 9.7                         | 8.6                         | 1.1                       | 1.32            |
| 2013 |                             |             |         |                |                             |                             |                           | 1.29            |
