"Station","Distance from Wellington","Height above sea level (m)","Opened","Closed","Notes"
"Matapuna","394.8 km","180m","1908","closed",""
"Taumarunui","397.75 km","171m","1903","2012",""
"Taringamotu","402 km","172.5m","1903","1971",""
"Okahukura","408.54","178.3m","1903","closed","Okahukura Junction in working timetables 1933-2010."
"Te Koura","412.75 km","182m","1909","1975",""
"Ongarue","420.68 km","192.6m","1903","1986",""
"Waione Siding","426.86 km","208m","1921","1950",""
"Waimiha","434.39 km","232m","1903","1983",""
"Poro-O-Tarao","444.05 km","339.2m","1901","1979",""
"Mangapehi","449.47 km","285.3m","1901","1984","Known as \"Mangapeehi\" station 1901-1920."
"Kopaki","454.35 km","265m","1901","closed","Paratikana until 1920."
"Puketutu","461.83 km","206m","1889","closed","Mokau\" until 1912."
"Waiteti","470.07 km","135m","1889","closed",""
"Te Kuiti","475.66 km","54m","1887","2012",""
"Te Kumi","478.56 km","49.6m","1887","closed",""
"Hangatiki","485.2 km","39.9m","1887","closed",""
"Otorohonga","494.41 km","37m","1887","2012","Reopened summer 2012"
"Kiokio","498.45 km","35.4m","1887","1973",""
"Te Kawa","506.88 km","47.8m","1887","1982",""
"Te Mawhai","513 km","35.6m","1887","1958","Te Puhi until 1900"
"Te Awamutu","517.02 km","50m","1880","2005","New Zealand Dairy Board (now Fonterra) rebuilt its freight connection about 2000."
"Ngaroto","519.92 km","56m","1880","1954",""
"Lake Road","522.26 km","54m","1880","closed",""
"Ohaupo","527.16 km","52m","1880","1982",""
"Rukuhia","533.59 km","55m","1880","1970",""
"Hamilton","542.52 km","37.5m","1877","Open","Previously Hamilton Junction and Frankton Junction."
"Te Rapa Racecourse","547.50 km","33.2m","1920","1980",""
"Te Rapa","549.25 km","33m","1877","1970","Not to be confused with Te Rapa Marshalling Yards (547 km from Wellington)."
"Horotiu","553.65 km","23.7m","1877","c1968","Pukete until 1920"
"Ngaruawahia","559.16 km","20.7m","1877","c1968","Newcastle until 1895."
"Taupiri","566.56 km","13.7m","1877","c1968",""
"Huntly","573.87 km","14m","1877","1998",""
"Kimihia","578.45 km","14m","1877","1948",""
"Ohinewai","582.04 km","10m","1877","c1968",""
"Rangiriri","588.11","9m","1877","1957",""
"Te Kauwhata","591.62 km","12.2m","1877","1984",""
"Whangamarino","598.34 km","6.7m","1877","1978",""
"Amokura","604.53 km","7m","1877","1980",""
"Mercer","609.16 km","6.4m","1877","1986",""
"Pokeno","613.96 km","24m","1877","c1968",""
"Whangarata","617.90 km","59.7m","1877","c1968",""
"Tuakau","621.41 km","37m","1875","1986",""
"Buckland","625.6 km","58m","1875","closed",""
"Pukekohe","628.86 km","60.65m","1875","open",""
"Paerata","633.29 km","45.1m","1875","1980","Paerata Junction from 1917."
"Runciman","638.37 km","8m","1875","1939",""
"Drury","640 km","9m","1875","1980",""
"Opaheke","642.9 km","14.5m","1875","1955","Hunua 1877-1939."
"Papakura","647.02 km","19.2m","1875","Open",""
"Tironui","648.95 km","15.5m","1904","1980",""
"Takanini","650.64 km","15.2m","1875","Open",""
"Te Mahia","652.24 km","14.9m","1904","Open",""
"Manurewa","653.1 km","17m","1875","Open",""
"Homai","655.7 km","30.78m","1904","Open",""
"Wiri","657.6 km","22.25m","1913","2005",""
"Puhinui","658.92 km","19.8m","1904","Open",""
"Papatoitoi","659.63 km","18.9m","1875","1904",""
"Papatoetoe","660.42 km","18m","1904","Open",""
"Middlemore","662.28 km","8.8m","1904","Open",""
"Mangere","663.02 km","10.66m","1904","2011",""
"Otahuhu","664.15 km","9.44m","1875","Open",""
"Westfield","665.5 km","7.6m","1904","Open",""
"Sylvia Park","667.09 km","7.6m","1931","Open","Relocated 1 km further north, 2007."
"Panmure","669.93 km","17.7m","1931","Open","Relocated 200m north, 2007."
"Tamaki","671.28 km","23.5m","1930","1980",""
"Glen Innes","672.64 km","22m","1930","Open",""
"Purewa","675.4 km","18m","1930","1955",""
"Meadowbank","676.26 km","12m","1954","Open",""
"Orakei","677.44 km","4.5m","1930","Open",""
"The Strand","680.76 km","2.7m","1930","Open","Was platform 7 (later platform 4) of 1930-2003 Auckland station. Used for steam services."
"Britomart Transport Centre","682 km","4m below sea level","2003","Open",""
