"Z","Element","Observed or predicted","Isolated (widely known)","Observer","First isolator","Notes"
"66","Dysprosium","1886","","P.E.L. de Boisbaudran","","De Boisbaudran found a new earth in erbia."
"32","Germanium","1886","","A. Winkler","","In February 1886 Winkler found in argyrodite the eka-silicon that Mendeleev had predicted in 1871."
"18","Argon","1894","1894","Lord Rayleigh and W. Ramsay","Lord Rayleigh and W. Ramsay","They discovered the gas by comparing the molecular weights of nitrogen prepared by liquefaction from air and nitrogen prepared by chemical means. It is the first noble gas to be isolated."
"36","Krypton","1898","1898","W. Ramsay and W. Travers","W. Ramsay and W. Travers","On May 30, 1898, Ramsay separated a third noble gas from liquid argon by difference in boiling point."
"10","Neon","1898","1898","W. Ramsay and W. Travers","W. Ramsay and W. Travers","In June 1898 Ramsay separated a new noble gas from liquid argon by difference in boiling point."
"54","Xenon","1898","1898","W. Ramsay and W. Travers","W. Ramsay and W. Travers","On July 12, 1898 Ramsay separated a third noble gas within three weeks, from liquid argon by difference in boiling point."
"84","Polonium","1898","1902","P. and M. Curie","W. Marckwald","In an experiment done on July 13, 1898, the Curies noted an increased radioactivity in the uranium obtained from pitchblende, which they ascribed to an unknown element."
"88","Radium","1898","1902","P. and M. Curie","M. Curie","The Curies reported on December 26, 1898, a new element different from polonium, which Marie later isolated from uraninite."
"86","Radon","1898","1910","E. Dorn","W. Ramsay and R. Whytlaw-Gray","Dorn discovered a radioactive gas resulting from the radioactive decay of radium, isolated later by Ramsay and Gray."
"89","Actinium","1899","1899","A.-L. Debierne","A.-L. Debierne","Debierne obtained from pitchblende a substance that had properties similar to those of thorium."
"63","Europium","1896","1901","E.-A. Demarçay","E.-A. Demarçay","Demarçay found spectral lines of a new element in Lecoq's samarium, and separated this element several years later."
"71","Lutetium","1906","1906","G. Urbain and C.A. von Welsbach","G. Urbain and C.A. von Welsbach","Urbain and von Welsbach proved independently that the old ytterbium also contained a new element."
"75","Rhenium","1908[contradiction]","1908","M. Ogawa","M. Ogawa","Ogawa found it in thorianite but assigned it as element 43 instead of 75 and named it nipponium. In 1922 Walter Noddack, Ida Eva Tacke and Otto Berg announced its separation from gadolinite and gave it the present name."
"72","Hafnium","1911","1922","G. Urbain and V. Vernadsky","D. Coster and G. von Hevesy","Urbain claimed to have found the element in rare-earth residues, while Vernadsky independently found it in orthite. Neither claim was confirmed due to World War I. After the war, Coster and Hevesy found it by X-ray spectroscopic analysis in Norwegian zircon. Hafnium was the next to last element with stable isotopes to be discovered."
"91","Protactinium","1913","","O.H.Göhring and K. Fajans","","The two obtained the first isotope of this element that had been predicted by Mendeleev in 1871 as a member of the natural decay of 238U. Originally isolated in 1900 by William Crookes."
"43","Technetium","1937","1937","C. Perrier and E. Segrè","C. Perrier & E.Segrè","The two discovered a new element in a molybdenum sample that was used in a cyclotron, the first synthetic element to be discovered. It had been predicted by Mendeleev in 1871 as eka-manganese."
"87","Francium","1939","","M. Perey","","Perey discovered it as a decay product of 227Ac. Francium is the last element to be discovered in nature, rather than synthesized in the lab, although some of the \"synthetic\" elements that were discovered later (plutonium, neptunium, astatine) were eventually found in trace amounts in nature as well."
"85","Astatine","1940","","R. Corson, R. Mackenzie and E. Segrè","","Obtained by bombarding bismuth with alpha particles. Later determined to occur naturally in minuscule quantities (<25 grams in earth's crust)."
"93","Neptunium","1940","","E.M. McMillan and H. Abelson","","Obtained by irradiating uranium with neutrons, it is the first transuranium element discovered."
"94","Plutonium","1940–1941","","Glenn T. Seaborg, Arthur C. Wahl, W. Kennedy and E.M. McMillan","","Prepared by bombardment of uranium with deuterons."
"95","Americium","1944","","G. T. Seaborg, A. James, O. Morgan and A. Ghiorso","","Prepared by irradiating plutonium with neutrons during the Manhattan Project."
"96","Curium","1944","","G. T. Seaborg, R. A. James and A. Ghiorso","","Prepared by bombarding plutonium with alpha particles during the Manhattan Project"
"61","Promethium","1942","1945","S. Wu, E.G. Segrè and A. Bethe","Charles D. Coryell, Jacob A. Marinsky, Lawrence E. Glendenin, and Harold G. Richter","It was probably first prepared in 1942 by bombarding neodymium and praseodymium with neutrons, but separation of the element could not be carried out. Isolation was performed under the Manhattan Project in 1945."
"97","Berkelium","1949","","G. Thompson, A. Ghiorso and G. T. Seaborg (University of California, Berkeley)","","Created by bombardment of americium with alpha particles."
"98","Californium","1950","","S. G. Thompson, K. Street,Jr., A. Ghiorso and G. T. Seaborg (University of California, Berkeley)","","Bombardment of curium with alpha particles."
"99","Einsteinium","1952","1952","A. Ghiorso et al. (Argonne Laboratory, Los Alamos Laboratory and University of California, Berkeley)","","Formed in the first thermonuclear explosion in November 1952, by irradiation of uranium with neutrons; kept secret for several years."
"100","Fermium","1952","","A. Ghiorso et al. (Argonne Laboratory, Los Alamos Laboratory and University of California, Berkeley)","","Formed in the first thermonuclear explosion in November 1952, by irradiation of uranium with neutrons; kept secret for several years."
"101","Mendelevium","1955","","A. Ghiorso, G. Harvey, R. Choppin, S. G. Thompson and G. T. Seaborg","","Prepared by bombardment of einsteinium with helium."
"102","Nobelium","1958","","A. Ghiorso, T. Sikkeland, R. Walton and G. T. Seaborg","","First prepared by bombardment of curium with carbon atoms."
"103","Lawrencium","1961","","A. Ghiorso, T. Sikkeland, E. Larsh and M. Latimer","","First prepared by bombardment of californium with boron atoms."
"104","Rutherfordium","1968","","A. Ghiorso, M. Nurmia, J. Harris, K. Eskola and P. Eskola","","Prepared by bombardment of californium with carbon atoms."
"105","Dubnium","1970","","A. Ghiorso, M. Nurmia, K. Eskola, J. Harris and P. Eskola","","Prepared by bombardment of californium with nitrogen atoms."
"106","Seaborgium","1974","","A. Ghiorso, J. Nitschke, J. Alonso, C. Alonso, M. Nurmia, G. T. Seaborg, K. Hulet and W. Lougheed","","Prepared by collisions of californium-249 with oxygen atoms."
"107","Bohrium","1981","","G.Münzenberg et al. (GSI in Darmstadt)","","Obtained by bombarding bismuth with chromium."
"109","Meitnerium","1982","","G. Münzenberg, P. Armbruster et al. (GSI in Darmstadt)","","Prepared by bombardment of bismuth with iron atoms."
"108","Hassium","1984","","G. Münzenberg, P. Armbruster et al. (GSI in Darmstadt)","","Prepared by bombardment of lead with iron atoms"
"110","Darmstadtium","1994","","S. Hofmann et al. (GSI in Darmstadt)","","Prepared by bombardment of lead with nickel."
"111","Roentgenium","1994","","S. Hofmann et al. (GSI in Darmstadt)","","Prepared by bombardment of bismuth with nickel."
"112","Copernicium","1996","","S. Hofmann et al. (GSI in Darmstadt)","","Prepared by bombardment of lead with zinc."
"114","Flerovium","1999","","Y. Oganessian et al. (JINR in Dubna)","","Prepared by bombardment of plutonium with calcium"
"116","Livermorium","2000","","Y.Oganessian et al. (JINR in Dubna)","","Prepared by bombardment of curium with calcium"
