Name	County	Population\n(2012 est.)	Population\n(2010)	Land area
Fife	Pierce	9,333	9,173	5.68 sq mi (14.7 km2)
Fircrest	Pierce	6,579	6,497	1.58 sq mi (4.1 km2)
Forks	Clallam	3,552	3,532	3.65 sq mi (9.5 km2)
George	Grant	514	501	1.33 sq mi (3.4 km2)
Gig Harbor	Pierce	7,549	7,126	5.95 sq mi (15.4 km2)
Gold Bar	Snohomish	2,101	2,075	1.03 sq mi (2.7 km2)
Goldendale	Klickitat	3,471	3,407	2.52 sq mi (6.5 km2)
Grand Coulee	Grant	1,044	988	1.19 sq mi (3.1 km2)
Grandview	Yakima	11,012	10,862	6.23 sq mi (16.1 km2)
Granger	Yakima	3,298	3,246	1.79 sq mi (4.6 km2)
Granite Falls	Snohomish	3,416	3,364	2.18 sq mi (5.6 km2)
Harrington	Lincoln	420	424	0.38 sq mi (0.98 km2)
Hoquiam	Grays Harbor	8,535	8,726	9.02 sq mi (23.4 km2)
Ilwaco	Pacific	936	936	2.10 sq mi (5.4 km2)
Issaquah	King	32,633	30,434	11.38 sq mi (29.5 km2)
Kahlotus	Franklin	204	193	0.47 sq mi (1.2 km2)
Kalama	Cowlitz	2,346	2,344	2.77 sq mi (7.2 km2)
Kelso	Cowlitz	11,832	11,925	8.14 sq mi (21.1 km2)
Kenmore	King	21,280	20,460	6.15 sq mi (15.9 km2)
Kennewick	Benton	75,971	73,917	26.93 sq mi (69.7 km2)
Kent	King	122,999	92,411	28.63 sq mi (74.2 km2)
Kettle Falls	Stevens	1,593	1,595	1.07 sq mi (2.8 km2)
Kirkland	King	50,697	48,787	10.79 sq mi (27.9 km2)
Kittitas	Kittitas	1,405	1,381	0.76 sq mi (2.0 km2)
La Center	Clark	2,852	2,800	1.27 sq mi (3.3 km2)
Lacey	Thurston	43,860	42,393	16.06 sq mi (41.6 km2)
Lake Forest Park	King	12,972	12,598	3.53 sq mi (9.1 km2)
Lake Stevens	Snohomish	29,104	28,069	8.88 sq mi (23.0 km2)
Lakewood	Pierce	58,852	58,163	17.17 sq mi (44.5 km2)
Langley	Island	1,041	1,035	1.08 sq mi (2.8 km2)
Leavenworth	Chelan	1,993	1,965	1.23 sq mi (3.2 km2)
Liberty Lake	Spokane	7,889	7,591	6.14 sq mi (15.9 km2)
Long Beach	Pacific	1,393	1,392	1.35 sq mi (3.5 km2)
Longview	Cowlitz	36,458	36,648	14.48 sq mi (37.5 km2)
Lynden	Whatcom	12,605	11,951	5.17 sq mi (13.4 km2)
Lynnwood	Snohomish	36,275	35,836	7.84 sq mi (20.3 km2)
Mabton	Yakima	2,324	2,286	0.80 sq mi (2.1 km2)
Maple Valley	King	24,171	22,684	5.72 sq mi (14.8 km2)
Marysville	Snohomish	62,402	60,020	20.68 sq mi (53.6 km2)
Mattawa	Grant	4,543	4,437	0.74 sq mi (1.9 km2)
McCleary	Grays Harbor	1,647	1,653	2.05 sq mi (5.3 km2)
Medical Lake	Spokane	4,940	5,060	3.40 sq mi (8.8 km2)
Medina	King	3,029	2,969	1.44 sq mi (3.7 km2)
Mercer Island	King	23,661	22,699	6.32 sq mi (16.4 km2)
Mesa	Franklin	518	489	1.64 sq mi (4.2 km2)
Mill Creek	Snohomish	18,671	18,244	4.67 sq mi (12.1 km2)
Millwood	Spokane	1,797	1,786	0.70 sq mi (1.8 km2)
Milton	Pierce\nKing	7,048	6,968	2.51 sq mi (6.5 km2)
Monroe	Snohomish	17,503	17,304	6.05 sq mi (15.7 km2)
Montesano	Grays Harbor	3,962	3,976	10.41 sq mi (27.0 km2)
Morton	Lewis	1,132	1,126	0.82 sq mi (2.1 km2)
Moses Lake	Grant	21,182	20,366	15.75 sq mi (40.8 km2)
Mossyrock	Lewis	764	759	0.68 sq mi (1.8 km2)
Mount Vernon	Skagit	32,287	31,743	12.30 sq mi (31.9 km2)
Mountlake Terrace	Snohomish	20,198	19,909	4.06 sq mi (10.5 km2)
Moxee	Yakima	3,361	3,308	1.69 sq mi (4.4 km2)
Mukilteo	Snohomish	20,605	20,254	6.40 sq mi (16.6 km2)
Napavine	Lewis	1,778	1,766	2.38 sq mi (6.2 km2)
Newcastle	King	10,792	10,380	4.45 sq mi (11.5 km2)
Newport	Pend Oreille	2,116	2,126	1.07 sq mi (2.8 km2)
Nooksack	Whatcom	1,355	1,338	0.70 sq mi (1.8 km2)
Normandy Park	King	6,504	6,335	2.52 sq mi (6.5 km2)
North Bend	King	6,030	5,731	4.27 sq mi (11.1 km2)
North Bonneville	Skamania	963	956	2.41 sq mi (6.2 km2)
Oak Harbor	Island	22,260	22,075	9.42 sq mi (24.4 km2)
Oakville	Grays Harbor	682	684	0.50 sq mi (1.3 km2)
Ocean Shores	Grays Harbor	5,622	5,569	8.51 sq mi (22.0 km2)
Okanogan	Okanogan	2,568	2,552	1.95 sq mi (5.1 km2)
Olympia	Thurston	47,698	46,478	17.82 sq mi (46.2 km2)
Omak	Okanogan	4,881	4,845	3.50 sq mi (9.1 km2)
Oroville	Okanogan	1,698	1,686	1.64 sq mi (4.2 km2)
Orting	Pierce	6,872	6,746	2.73 sq mi (7.1 km2)
Othello	Adams	7,532	7,364	3.81 sq mi (9.9 km2)
Pacific	King\nPierce	6,838	6,606	2.42 sq mi (6.3 km2)
Palouse	Whitman	1,011	998	1.08 sq mi (2.8 km2)
Pasco	Franklin	65,398	59,781	30.50 sq mi (79.0 km2)
Pateros	Okanogan	673	667	0.49 sq mi (1.3 km2)
Pomeroy	Garfield	1,422	1,425	1.78 sq mi (4.6 km2)
Port Angeles	Clallam	19,056	19,038	10.70 sq mi (27.7 km2)
Port Orchard	Kitsap	11,680	11,144	7.24 sq mi (18.8 km2)
Port Townsend	Jefferson	9,117	9,113	6.98 sq mi (18.1 km2)
Poulsbo	Kitsap	9,393	9,200	4.67 sq mi (12.1 km2)
Prescott	Walla Walla	323	318	0.40 sq mi (1.0 km2)
Prosser	Benton	5,799	5,714	4.49 sq mi (11.6 km2)
Pullman	Whitman	31,359	29,799	9.88 sq mi (25.6 km2)
Puyallup	Pierce	38,147	37,022	13.93 sq mi (36.1 km2)
Quincy	Grant	7,013	6,750	4.96 sq mi (12.8 km2)
Rainier	Thurston	1,826	1,794	1.73 sq mi (4.5 km2)
Raymond	Pacific	2,883	2,882	4.06 sq mi (10.5 km2)
Redmond	King	56,561	54,144	16.28 sq mi (42.2 km2)
Renton	King	95,448	90,927	23.12 sq mi (59.9 km2)
Republic	Ferry	1,093	1,073	1.59 sq mi (4.1 km2)
Richland	Benton	51,440	48,058	35.72 sq mi (92.5 km2)
Ridgefield	Clark	5,260	4,763	7.08 sq mi (18.3 km2)
Ritzville	Adams	1,699	1,673	1.70 sq mi (4.4 km2)
Rock Island	Douglas	799	788	0.61 sq mi (1.6 km2)
Roslyn	Kittitas	910	893	4.37 sq mi (11.3 km2)
Roy	Pierce	803	793	0.49 sq mi (1.3 km2)
Royal City	Grant	2,193	2,140	1.35 sq mi (3.5 km2)
Ruston	Pierce	759	749	0.26 sq mi (0.67 km2)
Sammamish	King	49,069	45,780	18.22 sq mi (47.2 km2)
SeaTac	King	27,667	26,909	10.03 sq mi (26.0 km2)
Seattle	King	634,535	608,660	83.94 sq mi (217.4 km2)
Sedro-Woolley	Skagit	10,636	10,540	3.81 sq mi (9.9 km2)
Selah	Yakima	7,333	7,147	4.44 sq mi (11.5 km2)
Sequim	Clallam	6,624	6,606	6.31 sq mi (16.3 km2)
Shelton	Mason	9,800	9,834	5.76 sq mi (14.9 km2)
Shoreline	King	54,352	53,007	11.67 sq mi (30.2 km2)
Snohomish	Snohomish	9,275	9,098	3.44 sq mi (8.9 km2)
Snoqualmie	King	11,594	10,670	6.40 sq mi (16.6 km2)
Soap Lake	Grant	1,550	1,514	1.25 sq mi (3.2 km2)
South Bend	Pacific	1,631	1,637	1.62 sq mi (4.2 km2)
Spangle	Spokane	280	278	0.36 sq mi (0.93 km2)
Spokane	Spokane	209,525	208,916	59.25 sq mi (153.5 km2)
Spokane Valley	Spokane	90,641	89,755	37.77 sq mi (97.8 km2)
Sprague	Lincoln	441	446	0.63 sq mi (1.6 km2)
Stanwood	Snohomish	6,422	6,231	2.82 sq mi (7.3 km2)
Stevenson	Skamania	1,473	1,465	1.64 sq mi (4.2 km2)
Sultan	Snohomish	4,710	4,651	3.15 sq mi (8.2 km2)
Sumas	Whatcom	1,325	1,307	1.48 sq mi (3.8 km2)
Sumner	Pierce	9,541	9,451	7.51 sq mi (19.5 km2)
Sunnyside	Yakima	16,054	15,858	6.63 sq mi (17.2 km2)
Tacoma	Pierce	202,010	198,397	49.72 sq mi (128.8 km2)
Tekoa	Whitman	787	778	1.14 sq mi (3.0 km2)
Tenino	Thurston	1,724	1,695	1.44 sq mi (3.7 km2)
Tieton	Yakima	1,211	1,191	0.82 sq mi (2.1 km2)
Toledo	Lewis	729	725	0.40 sq mi (1.0 km2)
Tonasket	Okanogan	1,038	1,032	0.80 sq mi (2.1 km2)
Toppenish	Yakima	9,017	8,949	2.09 sq mi (5.4 km2)
Tukwila	King	19,611	19,107	9.17 sq mi (23.8 km2)
Tumwater	Thurston	18,102	17,371	14.32 sq mi (37.1 km2)
Union Gap	Yakima	6,060	6,047	5.05 sq mi (13.1 km2)
University Place	Pierce	31,562	31,144	8.42 sq mi (21.8 km2)
Vader	Lewis	626	621	0.93 sq mi (2.4 km2)
Vancouver	Clark	165,489	161,791	46.46 sq mi (120.3 km2)
Waitsburg	Walla Walla	1,235	1,217	1.11 sq mi (2.9 km2)
Walla Walla	Walla Walla	31,864	31,731	12.80 sq mi (33.2 km2)
Wapato	Yakima	5,065	4,997	1.17 sq mi (3.0 km2)
Warden	Grant	2,758	2,692	2.58 sq mi (6.7 km2)
Washougal	Clark	14,584	14,095	5.42 sq mi (14.0 km2)
Wenatchee	Chelan	32,562	31,925	7.77 sq mi (20.1 km2)
West Richland	Benton	12,663	11,811	21.92 sq mi (56.8 km2)
Westport	Grays Harbor	2,092	2,099	3.70 sq mi (9.6 km2)
White Salmon	Klickitat	2,266	2,224	1.22 sq mi (3.2 km2)
Winlock	Lewis	1,346	1,339	1.29 sq mi (3.3 km2)
Woodinville	King	11,234	10,938	5.60 sq mi (14.5 km2)
Woodland	Cowlitz\nClark	5,540	5,509	3.37 sq mi (8.7 km2)
Woodway	Snohomish	1,324	1,307	1.11 sq mi (2.9 km2)
Yakima	Yakima	93,101	91,067	27.18 sq mi (70.4 km2)
Yelm	Thurston	7,121	6,848	5.68 sq mi (14.7 km2)
Zillah	Yakima	3,011	2,964	1.78 sq mi (4.6 km2)
