Year	Local Radio Station	Local Radio Announcers	Foreign Language Radio Station	Foreign Language Radio Announcers	Local Television Station	Local Television Announcers	Cable Television Station	Cable Television Announcers
1999	KXTA	Vin Scully\nRoss Porter\nRick Monday	KWKW\nKYPA	Jaime Jarrín\nPepe Yñiguez\nRichard Choi	KTLA	Vin Scully\nRoss Porter\nRick Monday	FS Net West 2	Vin Scully\nRoss Porter\nRick Monday
2000	KXTA	Vin Scully\nRoss Porter\nRick Monday	KWKW	Jaime Jarrín\nPepe Yñiguez	KTLA	Vin Scully\nRoss Porter\nRick Monday	FSN West 2	Vin Scully\nRoss Porter\nRick Monday
2001	KXTA	Vin Scully\nRoss Porter\nRick Monday	KWKW	Jaime Jarrín\nPepe Yñiguez	KTLA	Vin Scully\nRoss Porter\nRick Monday	FSN West 2	Vin Scully\nRoss Porter\nRick Monday
2002	KXTA	Vin Scully\nRoss Porter\nRick Monday	KWKW	Jaime Jarrín\nPepe Yñiguez	KCOP	Vin Scully\nRoss Porter\nRick Monday	FSN West 2	Vin Scully\nRoss Porter\nRick Monday
2003	KFWB	Vin Scully\nRoss Porter\nRick Monday	KWKW	Jaime Jarrín\nPepe Yñiguez	KCOP	Vin Scully\nRoss Porter\nRick Monday	FSN West 2	Vin Scully\nRoss Porter\nRick Monday
2004	KFWB	Vin Scully\nRoss Porter\nRick Monday	KWKW	Jaime Jarrín\nPepe Yñiguez\nFernando Valenzuela	KCOP	Vin Scully\nRoss Porter\nRick Monday	FSN West 2	Vin Scully\nRoss Porter\nRick Monday
2005	KFWB	Vin Scully\nRick Monday\nCharley Steiner\nAl Downing	KWKW	Jaime Jarrín\nPepe Yñiguez\nFernando Valenzuela	KCOP\nKCAL	Vin Scully\nRick Monday\nCharley Steiner\nSteve Lyons	FSN West 2	Vin Scully\nRick Monday\nCharley Steiner\nSteve Lyons
2006	KFWB	Vin Scully\nRick Monday\nCharley Steiner\nJerry Reuss	KWKW	Jaime Jarrín\nPepe Yñiguez\nFernando Valenzuela	KCAL	Vin Scully\nCharley Steiner\nSteve Lyons	FSN West 2	Vin Scully\nCharley Steiner\nSteve Lyons
2007	KFWB	Vin Scully\nRick Monday\nCharley Steiner	KWKW	Jaime Jarrín\nPepe Yñiguez\nFernando Valenzuela	KCAL	Vin Scully\nCharley Steiner\nSteve Lyons	FSN PrimeTicket	Vin Scully\nCharley Steiner\nSteve Lyons
2008	KABC	Vin Scully\nRick Monday\nCharley Steiner	KHJ	Jaime Jarrín\nPepe Yñiguez\nFernando Valenzuela	KCAL	Vin Scully\nCharley Steiner\nSteve Lyons	FSN PrimeTicket	Vin Scully\nCharley Steiner\nSteve Lyons
2009	KABC	Vin Scully\nRick Monday\nCharley Steiner	KHJ	Jaime Jarrín\nPepe Yñiguez\nFernando Valenzuela	KCAL	Vin Scully\nSteve Lyons\nEric Collins	FSN PrimeTicket	Vin Scully\nSteve Lyons\nEric Collins
2010	KABC	Vin Scully\nRick Monday\nCharley Steiner	KHJ	Jaime Jarrín\nPepe Yñiguez\nFernando Valenzuela	KCAL	Vin Scully\nSteve Lyons\nEric Collins	FSN PrimeTicket	Vin Scully\nSteve Lyons\nEric Collins\nSpanish Broadcasts:\nManny Mota
2011	KABC	Vin Scully\nRick Monday\nCharley Steiner	KTNQ	Jaime Jarrín\nPepe Yñiguez\nFernando Valenzuela	KCAL	Vin Scully\nSteve Lyons\nEric Collins	FSN PrimeTicket	Vin Scully\nSteve Lyons\nEric Collins\nSpanish Broadcasts:\nManny Mota
2012	KLAC	Vin Scully\nRick Monday\nCharley Steiner	KTNQ	Jaime Jarrín\nPepe Yñiguez\nFernando Valenzuela	KCAL	Vin Scully\nSteve Lyons\nEric Collins	FSN PrimeTicket	Vin Scully\nSteve Lyons\nEric Collins\nSpanish Broadcasts:\nManny Mota\nJorge Jarrin
2013	KLAC	Vin Scully\nRick Monday\nCharley Steiner	KTNQ	Jaime Jarrín\nPepe Yñiguez\nFernando Valenzuela	KCAL	Vin Scully\nSteve Lyons\nEric Collins	FSN PrimeTicket	Vin Scully\nSteve Lyons\nEric Collins\nSpanish Broadcasts:\nManny Mota\nJorge Jarrin
2014	KLAC	Vin Scully\nCharley Steiner\nRick Monday\nNomar Garciaparra	KTNQ	Jaime Jarrín\nPepe Yñiguez\nFernando Valenzuela	None	None	SportsNet LA	Vin Scully\nCharley Steiner\nOrel Hershiser\nSpanish Broadcasts:\nManny Mota\nJorge Jarrin
