url1,q1,a1,url2,q2,a2,url3,q3,a3,url4,q4,a4,url5,q5,a5
https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-276.html,what is the name of her last album produced with rock records?,Silk Road of Love,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-276.html,what is the number of songs on rock records?,7,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-276.html,what songs were on b'in music or universal music?,Kissing The Future of Love|j'Adore|Fall in Love & Songs|What Love Songs Didn't Tell You|Love in Heart,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-276.html,which songs were released after 2000 but before 2006,Shining Star|Sunrise|Beautiful|Wings of Love|Silk Road of Love,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-276.html,how many albums were released in september?,3
https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-276.html,with which record label did she produce the most albums with?,Rock Records,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-524.html,what the tier before 2006/7?,5,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-524.html,what is the total amount of 5 tier season after 2005/06?,6,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-524.html,the only two teir 4 years were 2008/09 and what other year?,2006/07,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-524.html,"in the 2005/2006 and 2010/2011 season, this team was a part of which tier?",1ª Aut. Pref.
https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-524.html,what was the top place the team achieved?,2nd,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-524.html,what is the lowest tier season to season?,4,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-524.html,what is the only season they were in 19th place?,2006/07,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-524.html,which division were they in the most?,1ª Aut. Pref.,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-524.html,"what is the better season, 2005/06 or 2006/07?",2006/07
https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-524.html,is 3rd place listed above 18th place?,no,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-524.html,when was the only 8th place?,2011/12,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-524.html,what was the last year that this team placed 5th or better?,2009/10,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-524.html,how many years has this team been a part of the 1s aut. pref. division?,7,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-524.html,they did not place in 2013/14. what was the previous year they didn't place?,2005/06
https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-626.html,which mountain peak has the most elevation in feet?,Volcán Tajumulco PB,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-626.html,what are the total number of mountain peaks listed on this chart that are located in honduras?,5,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-626.html,what is the elevation of the rank 1 mountain?,"4220 m|13,845 ft",https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-626.html,which mountain in located in guatemala and has an isolation of 78 miles?,Volcán Acatenango PB,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-626.html,what is the elevation difference in meters between cerro las minas and volcan irazu?,553
https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-626.html,how many top 15 mountain in guatemala?,6,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-626.html,how many of these peaks are in guatemala?,6,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-626.html,which mountain has the least elevation in feet?,Volcán San Cristóbal PB,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-626.html,how many mountains on this chart are located in guatemala?,6,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-626.html,"what are the number of mountain peaks that have an elevation higher than 3,000m?",8
https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-877.html,what player has one fa cup and one fl trophy?,Liam Dickinson,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-877.html,"who scored more, grant or benyon?",Benyon,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-877.html,how many players play either mf or df?,12,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-877.html,who was the top scorer from ireland?,Kane Ferdinand,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-877.html,how many times did eastwood score?,2
https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-877.html,what player is listed above freddy eastwood?,Elliot Benyon,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-877.html,who is the only player to have 3 fl trophies?,Ryan Hall,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-877.html,how many players that are represented in the top scorers chart are from england?,10,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-877.html,how many players have values from the fa cup?,2,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-877.html,what is the average number of points a given player scored in league two?,4.6
https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-877.html,what number of players scored in the league cup?,1,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-877.html,where are kane ferdinand and michael timlin from?,Ireland,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-877.html,how many players scored below 4 goals?,10,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/202-276.html,which year is the most episodes he played in shows?,1979,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/202-276.html,which role did victor buono play in surfside 6?,Mr. Beamish
https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/202-276.html,what year was he most featured in shows?,1979,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-932.html,"how many tracks do not include the word ""jesus""?",12,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-932.html,what track from whatcha lookin' 4 lasts for only 1:38?,When I Think About Jesus,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-932.html,"which song is the only one that is shorter than ""where the spirit is?""",When I Think About Jesus,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-932.html,how many tracks last more than 5:00?,8
https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-932.html,"what is the track before ""melodies from heaven""?",Whatcha Lookin' 4,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-932.html,how many tracks were over five minutes?,8,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-932.html,how many different people are a part of the lead vocals on this album?,16,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-932.html,"how long is the song ""i love you jesus?""",7:25,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-932.html,what were the number of tracks that contained no lead vocals?,1
https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-932.html,"which song has the same people doing drum and synth programming as the skate remix to ""melodies from heaven?""",Whatcha Lookin' 4 (remix),https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-932.html,how many tracks does the album have?,15,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-932.html,"what is the track below ""jesus paid it all""?",I Love You Jesus,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-932.html,the lead vocals are listed for every song but...,When I Think About Jesus,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-898.html,which team finished last in this conference this season?,DePaul
https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-898.html,how many more schools received a single-bye than schools that received a double-bye?,2,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-898.html,which school had the most wins overall?,Louisville,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-898.html,how many seeds above villanova is marquette?,4,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-898.html,syracuse and notre dame had the same final conference record of what during this season?,11-7,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-898.html,what is the number of games that depaul won during this season?,11
https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-898.html,which school had the least wins in the conference?,DePaul,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-898.html,what school had the most wins overall?,Louisville,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-898.html,"which school, that had tiebreakers, ranked last?",South Florida,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-333.html,what is the total kilometers that separates the mahanayim junction and the shipon junction?,23,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-333.html,"which junction on highway 91 is closer to ein zivan, gadot junction or shipon junction?",Gadot Junction
https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-333.html,what is the last junction on highway 91?,Zivan Junction,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-333.html,what junction is the furthest from mahanayim junction?,Zivan Junction,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-333.html,is nashot junction closer to shipon junction or avital junction?,Shipon Junction,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-333.html,what is the number of routes that intersect highway 91?,9,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-333.html,what is the only intersecting route that's number starts with an 8?,Route 888
https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-763.html,what is the higher number of meters listed in the notes section of the table?,80.84 m,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-763.html,what was the lowest position ramon gonzalez came in?,16th,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-763.html,how long did gonzelz throw for in 1983?,78.34 m,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-763.html,in which competition did he throw the most?,1990 Goodwill Games,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-763.html,what is the difference in the meters for the 1985 competition and the 1987 competition?,1.3
https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-763.html,in what years did ramon gonzalez come in first place?,1986|1990|1991,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-763.html,how many of the competitions that took place were based in a venue in the united states?,2,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-763.html,"before 1990, how many second places were obtained?",3,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-763.html,which competition appears the most on the table?,Pan American Games,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-763.html,name the competitions in which ramon gonzales came in 1st position.,Central American and Caribbean Games|Pan American Games
https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-763.html,what is the total number of games listed?,8,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-763.html,how many times did ramon gonzalez come in second place?,4,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-299.html,how many 4x 100m relays were run?,3,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-299.html,list the other competitions besides european u23 championship that came in 1st position?,European Championships|Commonwealth Games|Commonwealth Games,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-299.html,how many times was golding in 2nd position?,0
https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-299.html,how many total years did golding compete?,3,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-299.html,"list the competitions that have the same relay as world championships from athens, greece.",European Championships|Commonwealth Games,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-299.html,"in what year between 1997 and 2000 did julian golding, the sprinter representing the united kingdom and england finish first in both the 4 x 100 m relay and the 200 metres race?",1998,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-299.html,how long was the sprint from the european indoor championships competition in 2000?,200 metres,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-299.html,in what year did england get the top achievment in the 200 meter?,1997
https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-299.html,what was the only event won in belgium?,European Indoor Championships,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-299.html,how many events were won in malaysia?,2,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-299.html,"how many competitions were in budapest, hungary and came in 1st position?",1,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-461.html,when was the first win by decision?,"August 15, 2009",https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-461.html,"besides the loss to cody goodale, what other losses occurred?",Guto Inocente|Lavar Johnson
https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-461.html,how many loses did virgil zwicker have?,3,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-461.html,what was the total number of rounds in the fight against ovince st. preux?,2,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-461.html,"are there more wins by submission, or tko?",TKO,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-461.html,how did the match between zwick and william richley last?,5:00,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-461.html,"zwicker faced tom hubert on october 15th, 2005, who did he face before him?",Denis Hall
https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-461.html,what is total amount of submission victories?,2,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-461.html,what is his total number of fights between april of 2003 and december of 2013?,15,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-461.html,how many rounds did he fight cody goodale before finally losing by unanimous decision?,3,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-461.html,how many consecutive wins did he have before his first loss?,8,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-461.html,zwicker faced mike hayes and nick moghadden in what year?,2013
https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-59.html,"according to usgs estimates of mine production, what was the total estimated mine production of niobium minerals from the nation of brazil in 2006?","40,000",https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-59.html,what is the total amount of niobium produced in rwanda in 2000?,28,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-59.html,"which countries did not produce more than 1,000 in the year 2006?",Australia|Mozambique|Nigeria|Rwanda,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-59.html,after brazil which country produced the most niobium?,Canada,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-59.html,which country produced 50 in 2002 but only 13 in 2003?,Congo D.R.
https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-59.html,what country was the top producer of niobium in the year 2003?,Brazil,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-59.html,"according to usgs estimates of mine production, which nation in 2005 produced a larger quantity of niobium mineral production, nigeria or rwanda?",Rwanda,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-59.html,a total of how many (t) of niobium was produced in the world in the year 2000?,"32,600",https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-59.html,besides australia which other countries produced more than 100 in the year 2000?,Brazil|Canada,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-59.html,"in 2000, did world mine production according to usgs estimates produce more tons or less tons of output of niobium minerals than in 2002, when a total of 29,900 tons was estimated to have been mined?",more
https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-59.html,"according to usgs estimates of production in tons, what nation produced 200 tons of mine production on three consecutive years, between 2004 and 2006 of niobium minerals?",Australia,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-59.html,which country produces the most mine every year?,Brazil,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-59.html,in what year did australia produce the most mine?,2002,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-108.html,"after you complete deganya road, what portion comes next?",Beit Yitzhak,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-108.html,how many sections intersect highway 2?,1
https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-108.html,which location comes after kfar yona?,Haniel,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-108.html,how many portions are lo?cated in netanya,5,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-108.html,which portion has the same intersecting route as rabin boulevard?,Begin Boulevard,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-108.html,which section is longest??,IDF checkpoint,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-108.html,how many locations in netanya are there?,5
https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-108.html,total sections in netanya.,5,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-108.html,list each section of road in kfar yona,Rabin Boulevard|Begin Boulevard,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-108.html,how long is the distance between pinkas street and begin boulevard?,5.85,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-558.html,what is the total number of popular votes cast in 2003?,"459,640",https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-558.html,which election was the first to reach over 40% of the popular vote?,2003
