url1,q1,a1,url2,q2,a2,url3,q3,a3,url4,q4,a4,url5,q5,a5
https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-460.html,which player has his high checkout as 116?,Colin Osborne,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-460.html,what is the name of the next player after mark walsh?,Wes Newton,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-460.html,what is the total amount of players who played more than 3 games?,4,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-460.html,was andy smith or kevin painter's 3-dart average 96.71?,Kevin Painter,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-460.html,who won the highest number of legs in the 2009 world matchplay?,Phil Taylor
https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-460.html,list each of the players with a high checkout of 131.,Terry Jenkins|Vincent van der Voort,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-460.html,how many players in the 2009 world matchplay won at least 30 legs?,6,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-460.html,gary anderson and which other players in the 2009 world matchplay are from scotland?,Peter Wright|Robert Thornton,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-460.html,how many combined games did phil taylor and denis ovens play?,7,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-762.html,did the hydro power increase or decrease from 2010 to 2012?,increase
https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-762.html,what kind of power has the least amount of capacity in 2007?,Other renewables,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-762.html,what year had the least thermal grid capacity?,2000,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-762.html,tell me a year that total availability was not over 1900.,2000,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-762.html,"tell me the number of years that hydro power had an annual generation over 4,000.",4,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-762.html,how many years did the total available grid capacity fall below 2500?,8
https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-762.html,what's the thermal power amount in the year 2011?,"6,785",https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-762.html,what is the difference of megawatts between the total in 2000 and 2001?,161,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-762.html,what was the total available grid capacity in megawatts in the year 2003?,"2,483",https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-762.html,what was the hydro power availability in 2011?,"1,401",https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-762.html,does the megawatts table or the gigawatt table have the larger sums?,gigawatt
https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-77.html,how many different types of diesel locomotives are dated after 1980?,2,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-77.html,how many total trains were build in 1949?,3,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-77.html,how long was the locomotive type ds4-4-750 in service with the railroad?,21 years,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-77.html,who is at the top of the list?,Baldwin Locomotive Works,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-77.html,how many different types of diesel locomotives came from baldwin locomotive works?,7
https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-77.html,how many consecutive numbers did baldwin build?,7,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-77.html,how many work orders were there in the 50's?,6,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-77.html,what builder comes before ss&iw?,Edwards Rail Car Company,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-77.html,name a train that was built after ss&iw 's.,M-300,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-77.html,what is the number of the only diesel locomotive from edwards rail car company?,M-100
https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-77.html,how many companies are there?,7,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-918.html,which game had the largest difference in score?,"December 19, 2005",https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-918.html,did they have a better score against the tennessee titans or the green bay packers?,Green Bay Packers,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-918.html,what was the first time in the season the ravens were held to under ten points?,"September 11, 2005",https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-918.html,what is the total number of points scored?,564
https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-918.html,what is the difference in attendance between the first game in september and the last game in january?,630,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-918.html,which teams were played before the bye week?,Indianapolis Colts|Tennessee Titans,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-918.html,what is the least amount of points that the ravens scored but still won by in 2005?,13,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-918.html,did they only play the denver broncos once?,Yes,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-918.html,was their total record positive or negative?,negative
https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-918.html,how many points did the ravens win by in week 13?,1,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-918.html,which was the only game that went into overtime?,"November 20, 2005",https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-918.html,"were there at least 60,000 people at all of the games from september 11, 2005 until january 1, 2006?",Yes,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-918.html,what game had the most attendees?,"December 11, 2005",https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-749.html,what is the first listed news talk information station?,KEYZ
https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-749.html,how many radio stations are under the licensee simmons broadcasting?,4,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-749.html,what call sign is listed directly before kbmk?,KBFR,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-749.html,which frequency is listed first?,KABU,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-749.html,what station is on top of the list?,KABU,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-749.html,kbmk and kbyz call signs both have a city of license listed as what city?,Bismarck
https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-749.html,name a call sign in bismarck other than kbfr?,KBMK,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-749.html,how many radio stations have an educational format?,1,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-319.html,what is the only hospital to have 6 hospital beds?,Vidant Bertie Hospital,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-319.html,what is the total number of hospital beds at chatham hospital?,25,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-319.html,which hospital has more beds: duke or wake forest?,Duke
https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-319.html,what is the only hospital in burlington?,Alamance Regional Medical Center,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-319.html,what are the total number of hospital beds in alexander hospital?,25,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-319.html,which city has the most hospitals?,Charlotte,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-319.html,what is the last novant affiliated hospital on the table?,Thomasville Medical Center,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-319.html,how many hospitals have at least 10 operating rooms?,45
https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-319.html,which hospital has the largest amount of hospital beds?,Duke University Hospital,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-319.html,how many rooms total are at cone health?,969,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-319.html,how many hospital have no operating rooms?,10,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/200-34.html,how many series' was william armstrong's character in?,3,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/200-34.html,who replaced tom adams and joined the force along side tony speed?,Rachel Selway
https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/200-34.html,who returned home to ireland after a family member was implicated in a murder?,Sam,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/200-34.html,who is an investigator with the cambridgeshire police force?,Tom Adams,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/200-34.html,who played ricky ryan?,Matthew Steer,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-98.html,what is the first year?,1998,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-98.html,how many many competitions were held in 2006?,2
https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-98.html,how many years after the turin marathon did the berlin marathon occur?,6,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-98.html,which other year than 1998 was 3rd position?,2004,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-98.html,what was luis jesus' quickest finish time?,2:08:55,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-98.html,what is the last competition?,World Championships,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-98.html,"how long did luis jesus take to finish in turin,italy in 1998?",2:12:59
https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-98.html,how many times did luis jesus finish before 3rd place?,2,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-98.html,what competition comes after the turin marathon?,Lisbon Marathon,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-73.html,how many losses between 2007 and 2009?,3,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-73.html,how many grand slam appearances has he made?,29,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-73.html,which year was the last year to not have any wins before 2013?,2011
https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-73.html,what is the result of the first tournament?,1R,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-73.html,how many losses were there in total?,19,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-73.html,what is the total number of wins between 2012 and 2014?,5,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-73.html,which was the only year to only compete in one type of tournament?,2014,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-73.html,in which year did he have his most wins in grand slam matches?,2012
https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-821.html,which country held the most accolades?,United States,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-821.html,how many accolades were obtained by the united kingdom?,8,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-821.html,"what publication came after ""the times""?",Time Out,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-821.html,which publication was the only one to rank the album within the top 5 of their list?,Time Out,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-821.html,who had more publications... the united kingdom or the united states?,United States
https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-821.html,how many accolades ranked the album below 100th place?,4,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-821.html,what is the highest ranking the album received in any list before the year 2000?,3,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/202-122.html,how many films star eddie murphy?,2,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/202-122.html,"which top-grossing film from 1987 starred tom selleck, ted danson, and steve guttenberg?",Three Men and a Baby,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/202-122.html,which film made the most money for orion?,Throw Momma from the Train
https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/202-122.html,how many of the top 10 highest-grossing films of 1987 were released by paramount?,3,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/202-122.html,list paramount's highest-grossing films in the u.s.,Fatal Attraction,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/202-122.html,what was the highest-grossing movie in the us in 1987?,Three Men and a Baby,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-670.html,"what is the number of fans who attended the december 7, 1969 game against the broncos?","24,972",https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-670.html,what is the difference in attendance for week 5 and 9,"22,408"
https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-670.html,were there more games played at home or away during the 1969 season?,same,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-670.html,what was the date of the last tie?,"October 4, 1969",https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-670.html,which is the previous attendance for week 10,"10,665",https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-670.html,"which game had a bigger crowd, week 4 or week 9?",week 4,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-670.html,what was the score of the game before the game against the jets on november 2?,W 24-6
https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-670.html,what is the top attendance on the chart,"60,793",https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-670.html,how many games were played during the month of october in 1969?,4,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-670.html,which team did the dolphins face last in this season?,New York Jets,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-122.html,list the number of times the rating was above a 4.0.,3,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-122.html,which year had the most viewers?,2008
https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-122.html,what was the only year that allen bestwick a pit reporter?,2007,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-122.html,how many consecutive years was vince welch a pit reporter?,5,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-122.html,how many viewers were there from 2009 to 2013,29.133 million,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-122.html,which years had at least a 4.1 rating?,2007|2008|2009,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-122.html,how many pit reporters were there in all?,7
https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-122.html,what year had the least amount of viewers?,2012,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-122.html,how many years had dave burns been a pit reporter for?,7,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-122.html,no year had a higher amount of viewers than when?,2008,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/203-122.html,which race had the largest amount of viewers?,2008,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-220.html,"this song released by celine dion spent 17 weeks on the uk singles chart in 1994, which one was it?",Think Twice
https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-220.html,which single was the last one to be on the charts in 1993?,Come Baby Come,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-220.html,which artist came on the list after oasis?,Tinman,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-220.html,which artist only has its single entered on 2 january 1994?,D:Ream,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-220.html,what is the first entered date?,3 October 1993,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-220.html,"what was the total days ""breathe again"" was on the chart?",56
https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-220.html,what is the first song listed that had 4 weeks at peak?,I'd Do Anything for Love (#1),https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-735.html,how many consecutive rankings are listed?,17,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-735.html,how long did it take italy to finish in cycling at the 1996 summer olympics men's team pursuit?,4:09.695,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-735.html,how many teams have at least a time of 4:00?,17,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-735.html,how many states have no qualification?,9
https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-735.html,which team ranked below chile's?,Colombia,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-735.html,which is the only team that chile was faster than in cycling at the 1996 summer olympics men's team pursuit?,Colombia,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-735.html,which country's team ranked first?,France,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-735.html,what is the total amount of time it took the first three teams to complete the qualifying round?,12:29.015,https://raw.githubusercontent.com/wenhuchen/Interface/master/WikiTableQuestions/csv/all-csv/204-735.html,which team finished after germany in cycling at the 1996 summer olympics men's team pursuit?,Great Britain
