"Year","Title","Genre","Publisher","Notes"
"1930","The Shepherd of Guadaloupe","Western","Harper & Brothers",""
"1931","Sunset Pass","Western","Harper & Brothers",""
"1931","Tales of Tahitian Waters","Fishing","Harper & Brothers",""
"1931","Book of Camps and Trails","Adventure","Harper & Brothers","Partial re-print of Tales of Lonely Trails"
"1932","Arizona Ames","Western","Harper & Brothers",""
"1932","Robbers' Roost","Western","Harper & Brothers",""
"1933","The Drift Fence","Western","Harper & Brothers",""
"1933","The Hash Knife Outfit","Western","Harper & Brothers","Sequel to The Drift Fence"
"1934","The Code of the West","Western","Harper & Brothers",""
"1935","Thunder Mountain","Western","Harper & Brothers",""
"1935","The Trail Driver","Western","Whitman Publishing",""
"1936","The Lost Wagon Train","Western","Harper & Brothers",""
"1937","West of the Pecos","Western","Whitman Publishing",""
"1937","An American Angler in Australia","Fishing","Whitman Publishing",""
"1938","Raiders of Spanish Peaks","Western","Whitman Publishing",""
"1939","Western Union","Western","Harper & Brothers",""
"1939","Knights of the Range","Western","Harper & Brothers",""
"1940","Thirty thousand on the Hoof","Western","Harper & Brothers",""
"1940","Twin Sombreros","Western","Harper & Brothers","Sequel to Knights of the Range"
"1942","Majesty’s Rancho","Western","Harper & Brothers","Sequel to Light of Western Stars"
"1943","Omnibus","Western","Harper & Brothers",""
"1943","Stairs of Sand","Western","Harper & Brothers","Sequel to Wanderer of the Wasteland"
"1944","The Wilderness Trek","Western","Harper & Brothers",""
"1946","Shadow on the Trail","Western","Harper & Brothers",""
"1947","Valley of Wild Horses","Western","Harper & Brothers",""
"1948","Rogue River Feud","Western","Harper & Brothers",""
"1949","The Deer Stalker","Western","Harper & Brothers",""
"1950","The Maverick Queen","Western","Harper & Brothers",""
"1951","The Dude Ranger","Western","Harper & Brothers",""
"1952","Captives of the Desert","Western","Harper & Brothers",""
"1952","Adventures in Fishing","Fishing","Harper & Brothers",""
"1953","Wyoming","Western","Harper & Brothers",""
"1954","Lost Pueblo","Western","Harper & Brothers",""
"1955","Black Mesa","Western","Harper & Brothers",""
"1956","Stranger from the Tonto","Western","Harper & Brothers",""
"1957","The Fugitive Trail","Western","Harper & Brothers",""
"1958","Arizona Clan","Western","Harper & Brothers",""
"1959","Horse Heaven Hill","Western","Harper & Brothers",""
"1960","The Ranger and other Stories","Western","Harper & Row",""
"1961","Blue Feather and other Stories","Western","Harper & Row",""
"1963","Boulder Dam","Historical","HarperCollins",""
"1974","The Adventures of Finspot","Fishing","D-J Books",""
"1975","Zane Grey's Greatest Indian Stories","Western","Dorchester Publishing","Includes original ending to The Vanishing American (1925)"
"1977","The Reef Girl","Fishing","Harper & Row",""
"1978","Tales from a Fisherman’s Log","Fishing","Hodder & Stoughton",""
"1979","The Camp Robber and other Stories","Western","Walter J. Black",""
"1981","The Lord of Lackawaxen Creek","Adventure","Lime Rock Press",""
"1982","Angler's Eldorado: Zane Grey in New Zealand","Fishing","Walter J. Black","Partial reprint of 1926 edition (first 10 chapters, plus additional content)"
"1994","George Washington, Frontiersman","Historical","Forge Books",""
"1996","Last of the Duanes","Western","Gunsmoke Westerns","Unabridged version of The Lone Star Ranger (1915)"
"2003","The Desert Crucible","Western","Leisure Books","Unabridged version of The Rainbow Trail (1915)"
"2004","Tonto Basin","Western","Leisure Books","Unabridged version of To the Last Man (1921)"
"2007","Shower of Gold","Western","Leisure Books","Unabridged version of Desert Gold (1915)"
"2008","The Great Trek","Western","Five Star","Unabridged version of The Wilderness Trek (1944)"
"2009","Tales of the Gladiator","Fishing","ZG Collections",""
