"AIRLINE","AIRLINE (in Russian)","LICENCE #","ICAO","IATA","DOMESTIC CODE","CALLSIGN","PHOTO"
"Turuhan","ООО «Авиакомпания «Турухан»","90","","","УТ","",""
"Tuva Airlines","Республиканское казенное предприятие «Авиакомпания «Тувинские авиационные линии»","547","","","КФ","AIR TYVA",""
"Uktus","ЗАО «Авиакомпания «Уктус»","540","UKT","","УБ","UKTUS",""
"Ulyanovsk Higher Civil Aviation School","ФГБОУ ВПО «Ульяновское высшее авиационное училище гражданской авиации (институт)»","","UHS","","ЖК","PILOT AIR",""
"Ural Airlines","ОАО «Авиакомпания «Уральские авиалинии»","18","SVR","U6","У6","SVERDLOVSK AIR",""
"UTair Aviation","ОАО «Авиакомпания «ЮТэйр»","6","UTA","UT","ЮТ","UTAIR",""
"UTair Cargo","ЗАО «ЮТэйр-Карго»","53","TUM","","ПП","TUMTEL",""
"UTair Express","ООО «ЮТэйр-Экспресс»","504","UTX","UR","ЮР","KOMINTER",""
"UTair — Veriljetnyje uslugi","ОАО «ЮТэйр — Вертолётные услуги»","34","NFT","","НФ","NEFTEAVIA",""
"Vertical-T","ООО «Авиакомпания Вертикаль-Т»","79","VLT","","ИТ","VERTICAL",""
"Vertical-Team","ООО «Авиакомпания Вертикаль-Тим»","","VCL","","ФШ","",""
"VIM Airlines","ООО «Авиакомпания «ВИМ-АВИА»","451","MOV","NN","НН","MOV AIR",""
"Vityaz-aero","ООО «Авиационная компания «Витязь-Аэро»","536","","","ЯФ","",""
"Vladivostok air","ОАО «ВЛАДИВОСТОК АВИА»","190","VLK","XF","ДД","VLADIVOSTOK AIR",""
"Volga-Dnepr","ООО «Авиакомпания Волга-Днепр»","21","VDA","VI","ВД","VOLGA-DNEPR",""
"Vologda Aviation Enterprise","ОАО «Вологодское авиационное предприятие»","195","VGV","","ВГ","VOLOGDA AIR",""
"Voronezh Aircraft Production Association","Авиация общего назначения «Воронежское акционерное самолетостроительное общество»","","VSO","","ВШ","VASO",""
"Vostok Airlines","ОАО «Авиационная компания «Восток»","266","VTK","","ДХ","VOSTOK",""
"Vzlet","ЗАО «НПО «Взлет»","537","VZL","","НБ","VZLYET",""
"Yakutia Airlines","ОАО «Авиакомпания «Якутия»","464","SYL","R3","ЯК","AIR YAKUTIA",""
"Yamal Airlines","ОАО «Авиационная транспортная компания «Ямал»","142","LLM","YC","ЛА","YAMAL",""
"Yamal air company","ООО «Авиационная компания «Ямал»","526","","","ЯЛ","",""
"Zonalnoye Air Enterprise","ОАО «Авиапредприятие «Зональное»","","","DF","ДФ","",""
