| Region    | Seed | Team                     | Coach               | Finished            | Final opponent          | Score    |
| Southeast | 1    | Kentucky                 | Eddie Sutton        | Regional Runner-up  | 11 LSU                  | L 59-57  |
| Southeast | 2    | Georgia Tech             | Bobby Cremins       | Sweet Sixteen       | 11 LSU                  | L 70-64  |
| Southeast | 3    | Memphis State (Vacated)  | Dana Kirk           | Round of 32         | 11 LSU                  | L 83-81  |
| Southeast | 4    | Illinois                 | Lou Henson          | Round of 32         | 5 Alabama               | L 58-56  |
| Southeast | 5    | Alabama                  | Wimp Sanderson      | Sweet Sixteen       | 1 Kentucky              | L 68-63  |
| Southeast | 6    | Purdue                   | Gene Keady          | Round of 64         | 11 LSU                  | L 94-87  |
| Southeast | 7    | Virginia Tech            | Charles Moir        | Round of 64         | 10 Villanova            | L 71-62  |
| Southeast | 8    | Western Kentucky         | Clem Haskins        | Round of 32         | 1 Kentucky              | L 71-64  |
| Southeast | 9    | Nebraska                 | Moe Iba             | Round of 64         | 8 Western Kentucky      | L 67-59  |
| Southeast | 10   | Villanova                | Rollie Massimino    | Round of 32         | 2 Georgia Tech          | L 66-61  |
| Southeast | 11   | LSU                      | Dale Brown          | National Semifinals | 2 Louisville            | L 88-77  |
| Southeast | 12   | Xavier                   | Pete Gillen         | Round of 64         | 5 Alabama               | L 97-80  |
| Southeast | 13   | Fairfield                | Mitch Buonaguro     | Round of 64         | 4 Illinois              | L 75-51  |
| Southeast | 14   | Ball State               | Al Brown            | Round of 64         | 3 Memphis               | L 95-63  |
| Southeast | 15   | Marist                   | Matt Furjanic       | Round of 64         | 2 Georgia Tech          | L 68-53  |
| Southeast | 16   | Davidson                 | Bobby Hussey        | Round of 64         | 1 Kentucky              | L 75-55  |
| East      |      |                          |                     |                     |                         |          |
| East      | 1    | Duke                     | Mike Krzyzewski     | Runner Up           | 2 Louisville            | L 72-69  |
| East      | 2    | Syracuse                 | Jim Boeheim         | Round of 32         | 7 Navy                  | L 97-85  |
| East      | 3    | Indiana                  | Bob Knight          | Round of 64         | 14 Cleveland State      | L 83-79  |
| East      | 4    | Oklahoma                 | Billy Tubbs         | Round of 32         | 12 DePaul               | L 74-69  |
| East      | 5    | Virginia                 | Terry Holland       | Round of 64         | 12 DePaul               | L 72-68  |
| East      | 6    | Saint Joseph's           | Jim Boyle           | Round of 32         | 14 Cleveland State      | L 75-69  |
| East      | 7    | Navy                     | Paul Evans          | Regional Runner-up  | 1 Duke                  | L 71-50  |
| East      | 8    | Old Dominion             | Tom Young           | Round of 32         | 1 Duke                  | L 89-61  |
| East      | 9    | West Virginia            | Gale Catlett        | Round of 64         | 8 Old Dominion          | L 72-64  |
| East      | 10   | Tulsa                    | J. D. Barnett       | Round of 64         | 7 Navy                  | L 87-68  |
| East      | 11   | Richmond                 | Dick Tarrant        | Round of 64         | 6 Saint Joseph's        | L 60-59  |
| East      | 12   | DePaul                   | Joey Meyer          | Sweet Sixteen       | 1 Duke                  | L 74-67  |
| East      | 13   | Northeastern             | Jim Calhoun         | Round of 64         | 4 Oklahoma              | L 80-74  |
| East      | 14   | Cleveland State          | Kevin Mackey        | Sweet Sixteen       | 7 Navy                  | L 71-70  |
| East      | 15   | Brown                    | Mike Cingiser       | Round of 64         | 2 Syracuse              | L 101-52 |
| East      | 16   | Mississippi Valley State | Lafayette Stribling | Round of 64         | 1 Duke                  | L 85-78  |
