"Name","Service","Rank","Role and unit","Date of award","Notes","Image"
"Wirich von Gartzen","Kriegsmarine","Korvettenkapitän","Chief of the 10. Torpedobootflottille","24 June 1944","—","—"
"Walter Garz","Heer","Feldwebel","Platoon leader in the 3./Panzergrenadier-Regiment 74","16 December 1942","—","—"
"Peter Gaßmann","Luftwaffe","Hauptmann","Gruppenkommandeur of the III./Sturzkampfgeschwader 1","25 May 1942","—","—"
"Robert Gast","Luftwaffe","Leutnant","Leader of the 9./Fallschirmjäger-Regiment 7","6 October 1944","—","—"
"Wolfgang Gast","Waffen-SS","SS-Obersturmführer","Leader of the I./SS-Panzer-Artillerie-Regiment 2 \"Das Reich\"","4 June 1944","—","—"
"Heinrich Gath","Heer","Stabsfeldwebel","Platoon leader in the 2./Panzer-Aufklärungs-Abteilung 2","11 October 1943","—","—"
"[Dr.] Wilhelm Gathmann","Heer","Major","Commander of the II./Artillerie-Regiment 14","28 March 1945","—","—"
"Helmut Gattermann","Heer","Hauptmann of the Reserves","Chief of the 1./Sturmgeschütz-Brigade 209","12 August 1944","—","—"
"Gerlach von Gaudecker-Zuch","Heer","Oberstleutnant","Commander of Panzergrenadier-Regiment 33","8 August 1944","—","—"
"Josef Gauglitz","Heer","Oberleutnant","Leader of the III./Panzer-Regiment 33","16 November 1944","—","—"
"Albert Gaum","Heer","Hauptmann","Chief of the 11./Gebirgsjäger-Regiment 100","13 June 1941","—","—"
"Georg Reichsfreiherr von Gaupp-Berghausen","Heer","Hauptmann","Commander of the II./Panzergrenadier-Regiment 12","30 September 1944","—","—"
"Alfred Gause","Heer","Generalmajor","Chief of the Generalstab of the Panzer Gruppe \"Afrika\"","13 December 1941","—","—"
"Jürgen Gauß","Heer","Hauptmann","Leader of a Kampfgruppe in the 12. Panzer-Division","28 March 1945","—","—"
"Waldemar von Gazen+ also known as von Gaza","Heer","Oberleutnant","Chief of the 2./Panzergrenadier-Regiment 66","18 September 1942","Awarded 182nd Oak Leaves 18 January 1943
38th Swords 3 October 1943","—"
"Fritz Gebauer","Heer","Oberfeldwebel","Shock troops leader in the 3./Grenz-Pionier-Bataillon 74","13 July 1940","—","—"
"Georg Gebhard","Heer","Major","Commander of the III./Grenadier-Brigade 503","23 October 1944","—","—"
"Gebhard?","Waffen-SS","SS-Oberscharführer","Platoon leader in the 2./SS-Panzer-Pionier-Bataillon 2 \"Das Reich\"","6 May 1945","—","—"
"Georg Gebhardt+","Heer","Hauptmann of the Reserves","Commander of III./Jäger-Regiment 204","15 May 1943","Awarded 743rd Oak Leaves 19 February 1945","—"
"Rolf Gebhardt","Heer","Fahnenjunker-Feldwebel","Platoon leader in the 2./schwere Panzer-Abteilung 507","30 September 1944","—","—"
"Ernst-Wilhelm Freiherr Gedult von Jungenfeld","Heer","Oberst of the Reserves","Leader of a Kampfgruppe","11 January 1945","—","—"
"Arno Geelhaar","Heer","Leutnant of the Reserves","Leader of the 7./Grenadier-Regiment 151","16 April 1944","—","—"
"Paul Gehl?","Heer","Oberleutnant of the Reserves","Leader of the I./Grenadier-Regiment 453","9 May 1945","—","—"
"Kurt Gehrke","Heer","Oberstleutnant","Commander of the I./Grenadier-Regiment \"Großdeutschland\"","8 February 1943","—","—"
"Gerhard Gehrmann","Heer","Oberleutnant of the Reserves","Chief of the 3./Grenadier-Regiment 422","15 April 1944","—","—"
"Johannes Gehrmann","Luftwaffe","Hauptmann of the Reserves","Staffelkapitän of the 6./Schlachtgeschwader 1","31 December 1943","—","—"
"August Geiger+","Luftwaffe","Oberleutnant","Staffelkapitän of the 7./Nachtjagdgeschwader 1","22 May 1943","Awarded 416th Oak Leaves 2 March 1944","—"
"Georg Geiger","Heer","Obergefreiter","Group leader in the 10./Grenadier-Regiment 19 \"List\"","20 October 1944","—","—"
"Herbert Geiger","Heer","Oberfeldwebel","Company troop leader in the 1./Grenadier-Regiment 380","8 August 1944","—","—"
"Wilhelm Geisberg","Heer","Oberleutnant","Chief of the 3./Führer-Panzer-Regiment 1 (Führer-Begleit-Division)","14 April 1945","—","—"
"Hans Geisler","Luftwaffe","Generalleutnant","Commanding general of X. Fliegerkorps","4 May 1940","—",""
"Herbert Geisler","Luftwaffe","Oberfeldwebel","Pilot in the Stabsstaffel/Kampfgeschwader 4 \"General Wever\"","24 October 1944","—","—"
"Kurt Geisler","Luftwaffe","Hauptmann","Commander of Lufttransportgruppe Don","24 January 1943","—","—"
"Rudolf Geisler+","Heer","Major","Commander of Pionier-Bataillon 662","7 December 1943","Awarded 455th Oak Leaves 13 April 1944","—"
"Siegfried Geisler","Luftwaffe","Hauptmann","Gruppenkommandeur of the II./Kampfgeschwader 76","20 July 1944","—","—"
"Johannes Geismann","Luftwaffe","Leutnant","Pilot in the 1./Kampfgeschwader 77","21 December 1942","—","—"
"Friedrich Geißhardt+","Luftwaffe","Leutnant","Pilot in the I./Jagdgeschwader 77","30 August 1941","Awarded 101st Oak Leaves 23 June 1942","—"
"Erich Geißler","Heer","Oberst","Commander of Infanterie-Regiment 200 (motorized) in DAK","29 July 1942","—","—"
"Gottfried Geißler","Heer","Oberleutnant","Chief of the 3./Sturmgeschütz-Abteilung 185","21 August 1941","—","—"
"Helmut Geißler","Heer","Oberst","Commander of Grenadier-Regiment 187","7 January 1944*","Killed in action 15 December 1943","—"
"Karl Geißler","Heer","Oberleutnant of the Reserves","Chief of the 5./Grenadier-Regiment 46","1 February 1945","—","—"
"Willy Geißler","Heer","Unteroffizier","Group leader in the 5./Panzer-Aufklärungs-Abteilung 7","14 May 1944","—","—"
"Rudi Gelbhaar","Kriegsmarine","Oberleutnant (M.A.) of the Reserves","Chief of Marine-Batterie \"Hamburg\" in the Marine-Artillerie-Abteilung 604","26 June 1944","—","—"
"Harald Gelhaus","Kriegsmarine","Kapitänleutnant","Commander of U-107","26 March 1943","—","—"
"Hans Gelhausen","Heer","Hauptmann","Leader of the I./Grenadier-Regiment 457","28 March 1945","—","—"
"Christian Gellert","Luftwaffe","Oberleutnant","Battery leader in the I./Flak-Regiment 43 (motorized)","11 June 1944","—","—"
"Roland Gellhorn","Heer","Major","Adjutant of the 75. Infanterie-Division","14 February 1945","—","—"
"Dionys Geltinger","Heer","Major","Commander of the III./Artillerie-Regiment 251","2 September 1944","—","—"
"Alfred Gemsjäger","Luftwaffe","Leutnant","Oberserver in the 6.(F)/Aufklärungs-Gruppe 122","16 December 1944*","Killed in action 2 September 1944","—"
"Otto Gemünden","Luftwaffe","Wachtmeister","Gun leader in the I./Flak-Regiment 49 in Flak-Regiment 37","12 October 1942","—","—"
"Oskar Genrich","Luftwaffe","Oberleutnant","Pilot in the 2.(F)/Aufklärungs-Gruppe 11","3 November 1942","—","—"
"Ludwig Gensberger","Heer","Oberleutnant","Chief of the 13.(IG)/Grenadier-Regiment 544","5 April 1945*","Killed in action 23 February 1945","—"
"Alfred Genz","Luftwaffe","Oberleutnant","Chief of the 1./Fallschirmjäger-Sturm-Regiment","14 June 1941","—","—"
"Karl-Heinz Genzel","Heer","Hauptmann","Leader of the I./Grenadier-Regiment 32","26 November 1944","—","—"
"Joachim Genzow","Luftwaffe","Oberleutnant","Staffelkapitän of the 4./Kampfgeschwader 2","23 March 1941","—","—"
"Erich Geppert","Heer","Oberleutnant","Leader of the 3./Sturmgeschütz-Abteilung 209","14 April 1943","—","—"
"Arthur Gerber","Heer","Feldwebel","Platoon leader in the Stabskompanie/Grenadier-Regiment 401","18 February 1945","—","—"
"Hinrich Gerdes","Heer","Oberfeldwebel","Platoon leader in the 3./Panzer-Regiment 36","21 January 1945","—","—"
"Hans Gerdts","Heer","Obergefreiter","Wireless radio operator in the 3./Artillerie-Regiment 196","9 December 1944","—","—"
"Rudolf Gerhardt","Heer","Major","Commander of the II./Panzer-Regiment 7","22 September 1941","—","—"
"Walther Gerhold","Kriegsmarine","Marine-Schreiber-Obergefreiter","Einmanntorpedofahrer in the Kleinkampfflottille 361","6 July 1944","—","—"
"Walter Gericke+","Luftwaffe","Hauptmann","Commander of the IV./Fallschirmjäger-Sturm-Regiment","14 June 1941","Awarded 585th Oak Leaves 17 September 1944",""
"Siegfried Gerke","Heer","Leutnant of the Reserves","Platoon leader in the 3./Panzer-Pionier-Bataillon 16","2 December 1942","—","—"
"Franz Gerl","Heer","Oberfeldwebel","Platoon leader in the 13.(IG)/Grenadier-Regiment 110","8 May 1943","—","—"
"Heinrich Gerlach","Luftwaffe","Hauptmann","Pilot with the commanding general of the XI. Fliegerkorps in conjunction with the Mussolini rescue","19 September 1943","—","—"
"Dr. Julius Gerlach","Heer","Hauptmann of the Reserves","Commander of the III./Infanterie-Regiment 507","10 February 1942","—","—"
"Karl Gerlach?","Heer","Oberleutnant","Chief of the 4./Panzergrenadier-Regiment 35","3 May 1945","—","—"
"Ludwig Gerlach","Heer","Hauptmann","Commander of the I./Grenadier-Regiment 409","23 March 1945","—","—"
"Waldemar Gerlach","Heer","Oberleutnant","Chief of the 2./MG-Bataillon 13","9 May 1940","—","—"
"Bruno Gerloch","Heer","Oberstleutnant","Commander of Artillerie-Regiment 90","4 September 1940","—","—"
"Alfred Germer","Heer","Oberleutnant","Chief of the 1./Pionier-Bataillon 171","26 May 1940","—","—"
"Ernst Germer","Luftwaffe","Fahnenjunker-Feldwebel","Leader of the bicycle platoon in the Stabskompanie/Fallschirmjäger-Regiment 1","29 October 1944","—",""
"Rudolf Christoph Freiherr von Gersdorff","Heer","Oberst im Generalstab (in the General Staff)","Chief of the Generalstab of the 7. Armee","26 August 1944","—",""
"Wilhelm Gerstenberg","Heer","Feldwebel","Platoon leader in the 4./Grenadier-Regiment 287","4 May 1944*","Killed in action 26 April 1944","—"
"Günter Gersteuer?","Luftwaffe","Major","Commander of Fallschirm-Sturmgeschütz-Brigade 12","28 April 1945","—","—"
"Siegfried Gerstner","Luftwaffe","Major","Commander of the II./Fallschirmjäger-Regiment 7","13 September 1944","—",""
"Walter Gerth","Waffen-SS","SS-Obersturmführer of the Reserves","Chief of the 7./SS-Panzer-Artillerie-Regiment 3 \"Totenkopf\"","31 March 1943","—",""
"Werner Gerth","Luftwaffe","Oberleutnant","Staffelkapitän of the Sturmstaffel in the IV./Jagdgeschwader 3 \"Udet\"","29 October 1944","—","—"
"Gerhard Gertler","Heer","Oberfeldwebel","Company troop leader in the 7./Jäger-Regiment 83","18 September 1943","—","—"
"Heinz Geschwill","Luftwaffe","Leutnant","Pilot in the 9./Kampfgeschwader 3 \"Lützow\"","23 March 1941","—","—"
"Karl Gesele","Waffen-SS","SS-Obersturmbannführer","Commander of SS-Sturmbrigde \"Reichsführer SS\" (sp. 16. SS-Panzergrenadier-Division)","4 July 1944","—","—"
"Franz Geskens","Heer","Feldwebel","Platoon leader in the 3./Panzer-Jäger-Abteilung 187","9 December 1944*","Killed in action 3 November 1944","—"
"Harald Geßner","Heer","Leutnant","Leader of the 10./Grenadier-Regiment 61","13 September 1943","—","—"
"Hans Gewehr","Heer","Hauptmann of the Reserves","Regiment adjutant in the Grenadier-Regiment 698","4 June 1944","—","—"
"Joachim Gey","Luftwaffe","Oberleutnant","Staffelkapitän in the II./Kampfgeschwader 3 \"Lützow\"","21 June 1943","—","—"
"Heinrich Geyer","Heer","Feldwebel","Platoon leader in the 2./Panzergrenadier-Regiment 6","22 October 1944","—","—"
"Hermann Geyer","Heer","General der Infanterie zur Verwendung (for disposition)","Commanding general IX. Armeekorps","25 June 1940","—","—"
"Leo Reichsfreiherr Geyr von Schweppenburg","Heer","General der Panzertruppe","Commanding general of the XXIV. Armeekorps (motorized)","9 July 1941","—","—"
"Dr.-phil. Hans Gidion","Heer","Hauptmann of the Reserves","Leader of the II./Infanterie-Regiment 154","7 August 1942","—","—"
"Walter Giehrl","Heer","Oberleutnant","Leader of the 7./Gebirgsjäger-Regiment 138","31 July 1942","—","—"
"Albert Gielnik","Heer","Leutnant","Company leader in the Grenadier-Ersatz and Ausbildungs-Bataillon 318","24 February 1945*","Died of wounds 23 February 1943","—"
"Kurt Gierga","Heer","Hauptmann","Chief of the 5./Panzer-Regiment 5","30 June 1941","—","—"
"Franz Gierster","Heer","Hauptmann","Leader of the Infanterie-Bataillon z.b.V. 540","15 May 1944*","Killed in action 22 January 1944","—"
"Alfred Gies","Luftwaffe","Oberfeldwebel","Pilot in the 1./Schlachtgeschwader 2 \"Immelmann\"","16 December 1944","—","—"
"Horst Giese","Heer","Leutnant","Leader of the 2./Panzer-Abteilung 5","17 April 1945","—","—"
"Otto Gieseke","Waffen-SS","SS-Standartenführer and Oberst of the Schupo","Commander of SS-Polizei-Schützen-Regiment 1","30 September 1942","—","—"
"Karl-Heinz Gieseler!","Waffen-SS","SS-Untersturmführer","Stoßtruppführer (shock troops leader) in Berlin (in the 11. SS-Panzergrenadier-Division \"Nordland\")","29 April 1945","—","—"
"Gerhard Giesen","Heer","Oberst","Commander of Grenadier-Regiment 123","11 March 1945*","Killed in action 5 February 1945","—"
"Karl-Heinz Giffhorn","Heer","Leutnant of the Reserves","Vorgeschobener Beobachter (forward observer) in the 6./Artillerie-Regiment 190 (motorized)","18 November 1944","—","—"
"Erich Gilbert","Heer","Hauptmann","Commander of the II./Grenadier-Regiment 116","30 April 1945*","Killed in action 16 February 1945","—"
"Paul Gildner+","Luftwaffe","Oberfeldwebel","Pilot in the 3./Nachtjagdgeschwader 1","9 July 1941","Awarded 196th Oak Leaves 26 February 1943","—"
"Herbert Otto Gille+","Waffen-SS","SS-Oberführer","Commander of SS-Artillerie-Regiment 5 \"Wiking\"","8 October 1942","Awarded 315th Oak Leaves 1 November 1943
47th Swords 20 February 1944
12th Diamonds 19 April 1944",""
"Léon Gillis","Waffen-SS","SS-Untersturmführer","Platoon leader in the 5. SS-Freiwilligen-Sturmbrigade \"Wallonie\"","30 September 1944","—","—"
"Peter Gilow","Heer","Oberleutnant","Leader of the 2./Panzer-Regiment 1","14 September 1942","—","—"
"Werner-Albrecht Freiherr von und zu Gilsa+","Heer","Oberst","Commander of Infanterie-Regiment 9","5 June 1940","Awarded 68th Oak Leaves 24 January 1942","—"
"Walter Girg+","Waffen-SS","SS-Untersturmführer","Platoon leader in the 1./SS-Jäger-Bataillon 502","4 October 1944","Awarded 814th Oak Leaves 1 April 1945","—"
"Herbert Gladewitz","Heer","Leutnant of the Reserves","Leader of the 7./Ski-Jäger-Regiment 1","20 October 1944","—","—"
"Dieter Gläsche","Heer","Oberleutnant","Company leader in the Panzergrenadier-Regiment 11","17 April 1945","—","—"
"Wolfgang Glaesemer","Heer","Oberst","Commander of Panzergrenadier-Regiment 6","12 February 1943","—","—"
"Alexander Gläser+","Luftwaffe","Oberleutnant","Staffelkapitän of the 4./Sturzkampfgeschwader 77","19 February 1943","Awarded 811th Oak Leaves 28 March 1945","—"
"Erich Glaeser","Heer","Major","Commander of the II./Infanterie-Regiment 484","20 August 1942","—","—"
"Karl Glätzer","Heer","Hauptmann","Leader of the I./Grenadier-Regiment 426","9 April 1944","—","—"
"Erwin Glander","Heer","Leutnant of the Reserves","Leader of the 2./Sturmgeschütz-Brigade 210","21 September 1944*","Killed in action 2 August 1944","—"
"Friedrich Glaser","Heer","Obergefreiter","Richtschütze (gunner) in the 14.(Panzerjäger)/Grenadier-Regiment 253","2 November 1943","—","—"
"Wilhelm Glaser","Heer","Oberleutnant of the Reserves","Platoon leader in the III./Grenadier-Regiment 35 (motorized)","17 August 1943","—","—"
"Anton Glasl","Heer","Oberst","Commander of Gebirgsjäger-Regiment 100","11 October 1943","—","—"
"Günter Glasner","Luftwaffe","Oberfeldwebel","Air gunner in the Stab/Kampfgeschwader 6","31 December 1943","—","—"
"Josef Glatz","Heer","Leutnant","Leader of the 1./Panzer-Jäger-Abteilung 46","12 January 1945","—","—"
"Walter Glembotzki","Luftwaffe","Leutnant of the Reserves","Leader of the 3./gemischte Flak-Abteilung 442 (verlegefähig—deployable)","11 February 1945","—","—"
"Ludger Glettenberg","Heer","Major of the Reserves","Commander of the I./Infanterie-Regiment 549","24 September 1942*","Killed in action 11 August 1942","—"
"Paul Gliemann","Heer","Oberstleutnant","Commander of Grenadier-Regiment 481","24 December 1944","—","—"
"Dr. med.dent. Paul Gloger","Heer","Major","Commander of Sturmgeschütz-Abteilung 244","25 January 1943","—","—"
"Adolf Glunz+","Luftwaffe","Oberfeldwebel","Pilot in the 4./Jagdgeschwader 26 \"Schlageter\"","29 August 1943","Awarded 508th Oak Leaves 24 June 1944","—"
"Franz Gnaden","Heer","Major","Commander of the I./Gebirgsjäger-Regiment 85","8 August 1941","—","—"
"Fritz Gneikow","Heer","Unteroffizier","Group leader in the 3./Grenadier-Regiment 12","26 November 1944","—","—"
"Ernst-Ascan Gobert","Luftwaffe","Hauptmann","Staffelkapitän of the 2./Kampfgeschwader 53 \"Legion Condor\"","3 April 1944","—","—"
"Johannes Godde","Heer","Major","Commander of the III./Artillerie-Regiment 18 (L)","24 January 1945","—","—"
"Emil Goden","Heer","Oberfeldwebel","Platoon leader in the 3./Grenadier-Regiment 407","26 August 1943","—","—"
"Arthur Godenau","Kriegsmarine","Stabsobersteuermann","Commander of Räumboot R-51 in the 1. Räumbootflottille","31 May 1940","—",""
"Günter Goebel+","Heer","Oberleutnant","Regiments adjutant of Infanterie-Regiment 208","18 October 1941","Awarded 180th Oak Leaves 18 January 1943",""
"Günther Goebel","Heer","Hauptmann","Chief of the 1./Artillerie-Pak-Abteilung 1064 (motorized)","3 November 1944","—","—"
"Hans Göbel","Heer","Hauptmann","Commander of the II./Grenadier-Regiment 1226","29 April 1945","—","—"
"Herbert Göbel","Heer","Oberleutnant","Chief of the 11./Infanterie-Regiment 461","19 March 1941","—","—"
"Karl Göbel+","Heer","Major","Commander of the III./Infanterie-Regiment 420","10 September 1942","Awarded 252nd Oak Leaves 8 June 1943","—"
"Kilian Göbel","Heer","Oberfeldwebel","Platoon leader in the 1./Panzer-Jäger-Abteilung 49","26 November 1944*","Died of wounds 29 October 1944","—"
"Siegfried Göbel","Luftwaffe","Oberleutnant","Staffelkapitän in the III./Sturzkampfgeschwader 3","3 February 1943","—","—"
"Werner Göbel","Heer","Gefreiter","In the 7./Grenadier-Regiment 670","30 September 1944","—","—"
"Johannes Göhler","Waffen-SS","SS-Obersturmführer","Chief of the 4./SS-Reiter-Regiment 1","17 September 1943","—","—"
"Siegwart Göller?","Heer","Hauptmann of the Reserves","Commander of the II./Gebirgsjäger-Regiment 98","9 May 1945","—","—"
"Dr.Dr. Wilhelm Göller","Heer","Oberst","Commander of fortress Pionier-Stab 30","27 December 1942","—","—"
"Ludwig Gölz","Heer","Hauptmann","Commander of Feldersatz-Bataillon 208","5 April 1945","—","—"
"Hermann Göring","Luftwaffe","Generalfeldmarschall","Reichsminister of aviation and commander-in-chief of the Luftwaffe","30 September 1939","Awarded 1st Grand Cross of the Iron Cross 19 July 1940",""
"Werner Goeritz","Heer","Generalleutnant","Commander of the 291. Infanterie-Division","6 November 1943","—","—"
"Rudolf Goerke","Heer","Leutnant of the Reserves","Leader of the 11./Grenadier-Regiment 410","9 June 1944","—","—"
"Richard Görlich","Heer","Unteroffizier","Group leader of the 1./Panzergrenadier-Regiment 394","4 July 1944","—","—"
"Jürgen von Goerne-Plaue","Heer","Hauptmann","Commander of Aufklärungs-Abteilung 29 (motorized)","20 October 1941","—","—"
"Ewald Görsch","Heer","Oberfeldwebel","Platoon leader in the 8./Panzergrenadier-Regiment 13","15 March 1943","—","—"
"Horst Görtler","Luftwaffe","Feldwebel","Pilot in the Stab/Schlachtgeschwader 77","28 March 1945","—","—"
"Helmut Görtz","Luftwaffe","Feldwebel","Platoon leader in the 3./Fallschirmjäger-Regiment 1","24 May 1940","—","—"
"Franz Gößmann","Heer","Oberfeldwebel","Platoon leader in the 2./Grenadier-Regiment 199 \"List\"","14 May 1944","—","—"
"[Dr.] Erich Göstl","Waffen-SS","SS-Panzergrenadier","Machine gunner 1 in 6./SS-Panzergrenadier-Regiment 1 \"Leibstandarte SS Adolf Hitler\"","31 October 1944","—","—"
"Oswin Göttert","Heer","Obergefreiter","Group leader in the 11./Grenadier-Regiment 445","7 September 1943","—","—"
"Rudolf Göttinger","Heer","Oberleutnant","Chief of the 13.(IG)/Gebirgsjäger-Regiment 91","14 December 1943","—","—"
"Johann Göttler","Heer","Oberfeldwebel","Platoon leader in the 6./Panzergrenadier-Regiment 63","1 September 1943","—","—"
"Waldemar Goettler","Heer","Feldwebel","Platoon leader in Abwehrkommando 201 (Inf.)","2 August 1943","—","—"
"Franz Götz","Luftwaffe","Oberleutnant","Staffelkapitän of the 9./Jagdgeschwader 53","4 September 1942","—","—"
"Hans Götz","Luftwaffe","Oberleutnant","Pilot in the 2./Jagdgeschwader 54","23 December 1942","—","—"
"Heinrich Götz+","Heer","Oberstleutnant","Commander of Infanterie-Regiment 466","3 May 1942","Awarded 765th Oak Leaves 5 March 1945","—"
"Karl Götze","Luftwaffe","Oberleutnant","Chief of the 1./Flak-Regiment 37 (motorized)","21 July 1940","—","—"
"Manfred Goetze","Luftwaffe","Oberleutnant","Staffelführer of the 8./Schlachtgeschwader 10","19 August 1944","—","—"
"Axel Goetzke","Kriegsmarine","Leutnant zur See of the Reserves","Commander of Räumboot R-16 in the 5. Räumbootflottille","27 December 1941*","Killed in action (sabotage) 14 September 1941","—"
"Otto Gohde","Heer","Oberfeldwebel","Deputy leader of the 3./Grenadier-Regiment 368","6 February 1944","—","—"
"Paul Golbach","Heer","Oberwachtmeister","Platoon leader in the 5./Artillerie-Regiment 263","13 October 1941","—","—"
"Friedrich Goldammer","Heer","Hauptmann","Commander of Schnelle Abteilung 306","22 August 1943","—","—"
"Heinz Goldberg","Heer","Gefreiter","Richkanonier (gunner) in the 6./Artillerie-Regiment 333","27 September 1943","—","—"
"Kurt Goldbruch","Luftwaffe","Oberleutnant","Staffelkapitän of the 8./Schlachtgeschwader 1","28 January 1945","—","—"
"Jakob Goldbrunner","Heer","Feldwebel","Platoon leader in the 5./Infanterie-Regiment 19","17 September 1941","—","—"
"Heinz Golinski","Luftwaffe","Unteroffizier","Pilot in the 3./Jagdgeschwader 53","30 October 1942*","Killed in action 16 October 1942","—"
"Eitel Goll","Heer","Rittmeister","Commander of Radfahr-Abteilung 117","13 September 1942","—","—"
"Josef Gollas","Heer","Feldwebel","Platoon leader of the 6./Infanterie-Regiment 106","18 November 1941","—","—"
"Josef Gollé","Heer","Major","Commander of the I./Infanterie-Regiment 339","19 July 1940","—","—"
"Hans-Detlef Gollert-Hansen+","Heer","Oberleutnant of the Reserves","Chief of the Radfahr-Aufklärungs-Schwadron 173","31 July 1943","Awarded 699th Oak Leaves 14 January 1945","—"
"Karl Golles","Luftwaffe","Oberfeldwebel","Pilot in the 9./Schlachtgeschwader 4","9 June 1944","—","—"
"Hans Gollnick+","Heer","Generalmajor","Commander of the 36. Infanterie-Division (motorized)","21 November 1942","Awarded 282nd Oak Leaves 24 August 1943","—"
"Klaus Gollnick","Heer","Hauptmann","Leader of Divisions-Füsilier-Bataillon 371","7 October 1944","—","—"
