| Common name                                    | Binomial nomenclature                  | Colour                    | Density ¹                   | Location                                                                                                      | Characteristics, Usage and Status                                                                                                                                                                                                                                                                                                                                                 |
| Hopea                                          | Hopea parviflora                       | Light to deep brown       | 1010 kg/m³                  | Madras, Kerala                                                                                                | Hopea is extremely strong and tough. It is difficult to work. However, it can be seasoned easily and it is durable and not likely to be damaged by white ants. It has been variously used for ordinary house construction, railway sleepers, piles, and boat building. Endangered                                                                                                 |
| Himalayan Elm, Indian Elm                      | Ulmus wallichiana                      | Red                       | 960 kg/m³                   | Throughout India                                                                                              | It is moderately hard and strong. It is used for door and window frames, carts, and so forth.                                                                                                                                                                                                                                                                                     |
| Ironwood, Penaga Lilin, Bosneak, Gangaw, Mesua | Mesua ferrea                           | Reddish brown             | 960–1060 kg/m³              |                                                                                                               | Ironwood is durable though it is very hard and is not easily worked. It even resists penetration of nails. It is used for ordinary house construction, bridges, piles, agricultural instruments, railway wagons, and railway sleepers.                                                                                                                                            |
| Irul, Pyinkado                                 | Xylia xylocarpa                        |                           | 830–1060 kg/m³              | Karnataka, Kerala, Andhra Pradesh, Maharashtra, Orissa, Tamil Nadu                                            | It is very hard, heavy and durable. Difficult to work, it also requires slow and careful seasoning. It is used for railway sleepers, agricultural instruments, paving blocks, and heavy construction. Least concern                                                                                                                                                               |
| Jack                                           | Mangifera caesia.                      | Yellow, darkens with age  | 595 kg/m³                   | Karnataka, Maharashtra, Tamil Nadu, Kerala                                                                    | It is compact and even grained. It is moderately strong and easy to work. It takes a good finish and maintains its shape well. It has many uses including plain furniture, boat construction, well curbs, door panels, cabinet making and musical instruments.                                                                                                                    |
| Jarul                                          | Lagerstroemia flos-reginae             | Light reddish gray        | 640 kg/m³                   | Assam, Bengal, Maharashtra                                                                                    | Hard and durable, it can be easily worked. It takes a good finish and is used for house construction, boat building, railway carriages, cart making and scaffolding.                                                                                                                                                                                                              |
| Kathal, Keledang, Jackfruit                    | Artocarpus heterophyllus               | Yellow to deep brown      | 800 kg/m³                   | Karnataka, Andhra Pradesh, Kerala, Maharashtra, Tamil Nadu                                                    | It is heavy and hard. It is durable under water and in damp conditions, however, it cracks if exposed to direct sun. White ants do not attack it. It is used for piles, platforms of wooden bridges, door and window panels.                                                                                                                                                      |
| Lauraceae, Saj                                 | Lauraceae                              | Dark brown                | 880 kg/m³                   | Karnataka, Andhra Pradesh, Bihar, Orissa, Madhya Pradesh, Kerala, Tamil Nadu                                  | It is strong, hard and tough. It is subject to cracking and attack by dry rot. White ants do not attack it. It takes a smooth finish. It is used for such purposes as house construction, boat construction, railway sleepers and structural work.                                                                                                                                |
| Mahogany                                       | Swietenia spp.                         | Reddish brown             | 720 kg/m³                   |                                                                                                               | It takes a good polish and is easily worked. It is durable under water. It is most commonly used for furniture, pattern making and cabinet work.                                                                                                                                                                                                                                  |
| Mango                                          | Mangifera spp                          | Deep gray                 | 560–720 kg/m³               | Throughout India                                                                                              | The mango tree is well known for its fruits. It is easy to work and it maintains its shape well. It is moderately strong. It is most often used for cheap furniture, toys, packing boxes, cabinet work, panels for doors and for windows.                                                                                                                                         |
| Mulberry                                       | Morus spp.                             | Brown                     | 650 kg/m³                   | Punjab                                                                                                        | It is strong, tough and elastic. It takes up a clean finish. It can be well seasoned. It is turned and carved easily. Mulberry is typically used for baskets and sports goods like hockey sticks, tennis rackets and cricket bats.                                                                                                                                                |
| Oak                                            | Quercus spp.                           | Yellowish brown           | 865 kg/m³                   |                                                                                                               | Oak is strong and durable, with straight silvery grain. It is used for preparing sporting goods.                                                                                                                                                                                                                                                                                  |
| Palm                                           | Arecaceae                              | Dark brown                | 1040 kg/m³                  | Throughout India                                                                                              | It contains ripe wood in the outer crust. The colour of this ripened wood is dark brown. It is strong, durable and fibrous. Palm is used for furniture, roof covering, rafters and joists.                                                                                                                                                                                        |
| Pine                                           | Pinus spp.                             |                           |                             |                                                                                                               | Pine wood is hard and tough except white pine which is soft. It decays easily if it comes into contact with soil. It is heavy and coarse grained. It is used for pattern making, frames for doors and windows, and for paving material. White pine is light and straight grained and is used in the manufacture of matches.                                                       |
| Red cedar                                      |                                        | Red                       | 480 kg/m³                   | Assam, Nagpur                                                                                                 | It is soft and even grained. It is used for furniture, door panels and well curbs.                                                                                                                                                                                                                                                                                                |
| Rosewood                                       | Dalbergia latifolia                    | Dark                      | 850 kg/m³                   | Kerala, Karnataka, Maharashtra, Madhya Pradesh, Tamil Nadu, Orrissa                                           | It is strong, tough and close-grained. It is a handsome wood that takes up a high polish. It maintains its shape well and is available in large sizes. It is used for furniture of superior quality, cabinet work, ornamental carvings and so forth. Vulnerable                                                                                                                   |
| Sal                                            | Shorea robusta                         | Brown                     | 880–1050 kg/m³              | Karnataka, Andhra Pradesh, Maharashtra, Uttar Pradesh, Bihar, Madhya Pradesh, Orissa                          | It is hard, fibrous and close-grained. It does not take up a good polish. It requires slow and careful seasoning. It is durable under ground and water. It is used for railway sleepers, shipbuilding, and bridges.                                                                                                                                                               |
| Sandalwood                                     | Santalum spp.                          | White or Red              | 930 kg/m³                   | Karnataka, Tamil Nadu, Kerala, Assam, Nagpur, Bengal                                                          | It has a pleasant smell. It is commonly used for agricultural instruments, well curbs, wheels, and mallets. Vulnerable                                                                                                                                                                                                                                                            |
| Satinwood                                      | Chloroxylon swietenia                  | Yellow                    | 960 kg/m³                   | Central and Southern India                                                                                    | It is very hard and durable. It is close grained. It is used for furniture and other ornamental works. Vulnerable                                                                                                                                                                                                                                                                 |
| Simul                                          | Bombax spp.                            | White                     | 450 kg/m³                   | All over India                                                                                                | It is a loose grained, inferior quality wood. Light in weight, it is used for packing cases, the match industry, well curbs, and for cheap furniture.                                                                                                                                                                                                                             |
| Siris                                          | Albizia spp.                           | Dark brown                |                             | North India                                                                                                   | Hard and durable, Siris wood is difficult to work. It is used for well curbs in salty water, beams, posts, and furniture.                                                                                                                                                                                                                                                         |
| Sissoo                                         | Dalbergia sissoo                       | Dark brown                | 770 kg/m³                   | Mysore, Maharashtra, Assam, Bengal, Uttar Pradesh, Orissa                                                     | Also known as shisham or tali, this wood is strong and tough. It is durable and handsome and it maintains its shape well. It can be easily seasoned. It is difficult to work but it takes a fine polish. It is used for high quality furniture, plywoods, bridge piles, sport goods, railway sleepers and so forth. It is a very good material for decorative works and carvings. |
| Spruce                                         | Picea spp.                             |                           | 480 kg/m³                   |                                                                                                               | Spruce wood resists decay and is not affected by the attack of marine borers. It is however liable to shrink, twist and warp. It is used for piles under water and (formerly) for aeroplane construction.                                                                                                                                                                         |
| Sundri                                         | Heritiera fomes                        | Dark red                  | 960 kg/m³                   | Bengal                                                                                                        | It is hard and tough. It is difficult to season and work. It is elastic and close grained. It is strong and durable. These qualities make it suited for such uses as boat building, piles, poles, tool handles, and carriage shafts.                                                                                                                                              |
| Tamarind                                       | Tamarindus indica                      | Dark brown                | 1280 kg/m³[citation needed] | All over India                                                                                                | Tamarind is knotty and durable. It is a beautiful tree for avenue and gardens. Its development is very slow but it ultimately forms a massive appearance. Its fruit is also very useful. It is used for agricultural instruments, well curbs, sugar mills, carts and brick burning.                                                                                               |
| Teak                                           | Tectona grandis                        | Deep yellow to dark brown | 639 kg/m³                   | Central India and Southern India                                                                              | Moderately hard, teak is durable and fire-resistant. It can be easily seasoned and worked. It takes up a good polish and is not attacked by white ants and dry rot. It does not corrode iron fastenings and it shrinks little. It is among the most valuable timber trees of the world and its use is limited to superior work only.                                              |
| Toon, Red Cedar                                | Toona ciliata                          | Reddish brown or dull red | 450 kg/m³                   | Assam                                                                                                         | It can be easily worked. It is light in weight. It is used for such products as furniture, packing boxes, cabinet making and door panels.                                                                                                                                                                                                                                         |
