"Name","Type","Builder","Works number","Date","Notes"
"Saturn","0-4-0ST","Andrew Barclay","1371","1914","To Bute Works Supply Co. Ltd., Cardiff, 1920 thence to Elba Tinplate Works, Nr. Swansea 1923; to Velindre Tinplate Works circa 1954 and scrapped circa 1958"
"Undaunted","0-4-0ST","Hawthorn Leslie","3083","1914","To G. Cohen, Sons & Co. Ltd., Canning Town for scrap 10/3/1954"
"Liberty","0-4-0ST","Hawthorn Leslie","3089","1914","Scrapped on site by W. Arnott Young & Co. Ltd. 8/1963"
"Arethusa","0-4-0ST","Hawthorn Leslie","3090","1914","To T. Hall & Co. (Llanshamlet), dealer, 1949, thence to Stella South Power Station, Blaydon-on-Tyne 12/1952. To Blaydon Generating Station 11/1955; scrapped 1965"
"Laurel","0-4-0ST","Hawthorn Leslie","3091","1914","Disposal as Hawthorn Leslie 3083 but on 16/12/1957"
"Fearless","0-4-0ST","Hawthorn Leslie","3134","1915","To Holland, Hannen & Cubitts Ltd. (Contractors), Kent, 1927 sold or scrapped after 1930"
"Invincible","0-4-0ST","Hawthorn Leslie","3135","1915","Withdrawn 1956, to RAE Farnborough 1959, now at Isle of Wight Steam Railway, Havenstreet, I.o.W."
"Lennox","0-4-0ST","Hawthorn Leslie","3142","1915","To stationary boiler use by 1959, sold to J. Hardwick, Sons & Co. Ltd., West Ewell, for scrap 10/1959"
"Lark","0-4-0ST","Hawthorn Leslie","3143","1915","As Hawthorn Leslie 3090 in 1949, thence to Steel Company Of Wales Ltd., Port Talbot, scrapped 1954"
"Lance","0-4-0ST","Hawthorn Leslie","3155","1915","To South Staffs Mond Gas Company, Dudley Port, Staffs. circa 1920. To J. Cashmore for scrap 1952"
"Lynx","0-4-0ST","Hawthorn Leslie","3156","1915","To Whitwood Chemical Co. Ltd., West Yorks. circa 1920"
"Legion","0-4-0ST","Hawthorn Leslie","3158","1916","Disposal as Hawthorn Leslie 3089"
"Leonidas","0-4-0ST","Hawthorn Leslie","3159","1916","To G. Simm (Machinery) Ltd. 11/4/1949 thence to T.Hall & Co.(Llansamlet) Ltd, dealer, 1949. To Norton Hill Colliery, Somerset 1951, scrapped circa 1955"
"Loyal","0-4-0ST","Hawthorn Leslie","3160","1916","To J. Hardwick, Sons & Co. Ltd., West Ewell for scrap 5/1964"
"Lucifer","0-4-0ST","Hawthorn Leslie","3168","1916","To T. Hall & Co. (Llansamlet) Ltd. 1949 thence to NCB Graigola Fuel Works, Swansea, 1950. To Caerphilly Tar Distillation Plant 3/1959, thence to J. Pesci & Sons Ltd. for scrap circa 1961; scrapped circa 3/1963"
"Larne","0-4-0ST","Hawthorn Leslie","3186","1916","To J. Cashmore, Great Bridge, Staffs for scrap 7/1959"
"Leviathan","0-4-0ST","Hawthorn Leslie","3187","1916","As Hawthorn Leslie 3186 but sale date 9/1961"
"Linnett","0-4-0ST","Hawthorn Leslie","3196","1916","As Hawthorn Leslie 3160 but sale date 10/1959"
"Lurcher","0-4-0ST","Hawthorn Leslie","3198","1916","To T. Hall & Co. (Llansamlet) Ltd. 1949, thence to Armstrong Whitworth & Co. Ltd., Newcastle 5/1953 and scrapped 1966"
"Cynthia","0-4-0ST","Hawthorn Leslie","3204","1916","To Dowlow Lime & Stone Co. Ltd., Buxton, Derbyshire, 1921"
"Cleopatra","0-4-0ST","Hawthorn Leslie","3205","1916","To J. Lyons & Co. Ltd., Greenford, Middlesex 1921"
"Lion","0-4-0ST","Peckett","1351","1914","To T. Hall & Co. (Llansamlet) Ltd. 1949, thence to Wallend Slipway & Engineering Co. Ltd., Northumberland 3/1950. To Chasewater Railway, Staffs 10/1974, thence to Foxfield Railway 1/1975 and currently at Lincolnshire Wolds Railway"
"Tiger","0-4-0ST","Peckett","1352","1914","To Woodham Bros., Barry Dock, Glamorgan for scrap, 7/1963"
"Africa","0-4-0ST","Peckett","1414","1916","Disposal as Hawthorn Leslie 3186"
"Australia","0-4-0ST","Peckett","1427","1916","Disposal as Peckett 1352"
"Canada","0-4-0ST","Peckett","1441","1916","To H. Bean, Gillingham, Kent for scrap 5/1964, sold on to Lacmonts Ltd., Sheerness and scrapped 6/1964"
"New Zealand","0-4-0ST","Peckett","1464","1917","Sold or scrapped by 1951"
"Valiant","0-4-0ST","Peckett","1490","1917","Disposal as for Andrew Barclay 1188"
"Vanguard","0-4-0ST","Peckett","1491","1917","To Brereton Collieries Ltd., Staffordshire, 1920, thence to Rawnsley Shed 8/1959. To Hamstead Colliey, Staffordshire 1/1961 and scrapped 11/1962"
"Vengeance","0-4-0ST","Peckett","1492","1917","To Salt Union Ltd., Worcestershire, 1923"
"Venerable","0-4-0ST","Peckett","1493","1917","To C.D. Phillips Ltd., dealer, Newport, Monmouthshire, 1923, thence to Trafford Park Estates Ltd., Manchester"
"Haig","0-4-0ST","Bagnall","2606","1939","To Coltness Iron Co. Ltd., Newmains, Lanarks., 10/1957, scrapped circa 9/1963"
"Beatty","0-4-0ST","Hudswell Clarke","1696","1939","Withdrawn by 1956, to E.L. Pitt Ltd., Brackley, Northants., dealer, to Oxfordshire Ironstone Co. Ltd., Banbury, Oxfordshire, 1/1958 to G. Cohen & Co. Ltd. for scrap 6/1965"
"French","0-4-0ST","Robert Stephenson & Hawthorn","6976","1939","Disposal as Hawthorn Leslie 3186"
"Marlborough","0-4-0ST","Andrew Barclay","2081","1940","To ROF Chorley, Lancashire, 6/1941"
"Wellington","0-4-0ST","Andrew Barclay","2082","1940","Disposal as Andrew Barclay 2081"
"Roberts","0-4-0ST","Andrew Barclay","2083","1940","Disposal as Andrew Barclay 2081 but date unknown"
"Fisher","0-4-0ST","Andrew Barclay","2085","1940","Disposal as Andrew Barclay 2081 but date of transfer 18/12/1940"
"Kitchener","0-4-0ST","Peckett","1872","1940","Disposal as Hawthorn Leslie 3186 but sale date 8/1959"
"Allenby","0-4-0ST","Peckett","1978","1940","To E.L. Pitt & Co., Brackley, Northants., dealers, 8/1959 scrapped shortly afterwards"
"Jellicoe","0-4-0ST","Peckett","1979","1940","Disposal as Peckett 1872"
"Byng","0-4-0ST","Peckett","1983","1940","Disposal as Peckett 1872 but sale date 9/1961"
"Horne","0-4-0ST","Peckett","1984","1940","Loaned to RAE Farnborough 3/1957-10/7/1959; final disposal as Peckett 1983"
"Alexander","0-4-0ST","Peckett","1985","1940","To APCM, Kent Works, Stone, Kent circa 1949, sold for scrap 1967"
"Sturdee","0-4-0ST","Peckett","1986","1940","Disposal as Peckett 1983"
"","0-4-0 Diesel Mechanical","Hunslet","1847","1936","To ROF Wilford, Notts. Sold to Birds Commercial Motors Ltd., Long Marston, Warwicks. by 1969"
"George","0-4-0 Diesel Mechanical","Andrew Barclay","324","1937","To ROF, Crossgates, Leeds, 12/1966"
"Elizabeth","0-4-0 Diesel Mechanical","Andrew Barclay","325","1937","To WD Bicester, Oxfordshire, 6/1967"
"Kent","0-4-0 Diesel Mechanical","Andrew Barclay","331","1938","To ROF Dunham Hill, Cheshire, 2/1953"
"Essex","0-4-0 Diesel Mechanical","Andrew Barclay","332","1938","Disposal as 325"
