Name	Route number(s)	Length (mi)	Location	Notes
Mid-Cape Highway		36.6	Bourne to Orleans	The Mid-Cape Highway is the main highway on Cape Cod, a 36-mile (58 km) long freeway running from Route 3 and the Sagamore Bridge east to the Orleans Rotary.
Mohawk Trail		65	Williamstown\nto Orange	The 65-mile (105 km) Mohawk Trail comprises the western section of Route 2, from the New York border east to Orange, and is regarded as one of the most scenic drives in the area.
Mystic Valley Parkway			Arlington,\nMedford,\nWinchester	Runs from the Alewife Brook Parkway to the Revere Beach Parkway.
Northeast Expressway	*	4.1	Boston,\nChelsea,\nRevere	This section of U.S. Route 1 runs from I-93 Exit 27 (Tobin Bridge) to an interchange with Route 60 in Revere. This was originally supposed to be part of I-95, but I-95 was cancelled in Boston, with I-93 and US-1 taking its place.
Northwest Expressway		21.1	Burlington to Tyngsborough	The Northwest Expressway serves as a freeway connection between I-95/Route 128 (Exit 32A) in Burlington and the F.E. Everett Turnpike in Nashua, NH.
Pilgrims Highway		42.5	Bourne to Braintree	The Pilgrims Highway is the southern portion of Route 3, a 42-mile (68 km) long freeway which serves as a connector between Cape Cod (via U.S. Route 6) and the Boston metropolitan area (via I-93 and I-95).\n- U.S. Route 44 runs along the highway between Exits 6 and 7.
Southeast Expressway			Braintree to Boston	The Southeast Expressway is the section of I-93 between the Route 3 split (Exit 7) and the Mass Ave. interchange (Exit 18), where it continues into Boston as the Central Artery.
Southern Artery		2.13	Quincy	The Southern Artery is a major arterial in the city of Quincy, running from Quincy Ave to the Furnace Brook Parkway.
Taunton-New Bedford Expressway\n(Alfred M. Bessette Memorial Highway)		19.3	New Bedford to Taunton	The New Bedford Expressway comprises the southern 19 miles (31 km) of Route 140, and serves as a freeway connection between U.S. Route 6 in New Bedford and Route 24 (Exit 12) in Taunton, near I-495.
Ted Williams Highway			Framingham	Route 9 in Framingham is named the Ted Williams Highway, in commemoration of late Boston Red Sox Hall-of-Famer Ted Williams who wore the number 9 on his jersey.
Wilbur Cross Highway	*	8.0	Sturbridge	I-84 in Massachusetts is designated the Wilbur Cross Highway. It runs 8 miles (13 km) from the Connecticut state border to the Mass Pike at Exit 9.
Worcester-Providence Turnpike	*	20.99	Millville to Worcester	Route 146 is a freeway that, along with Rhode Island's Route 146, serves to connect the metropolitan areas of Providence and Worcester. The entire route starts from I-95 in Providence, with the Massachusetts section picking up at the state line in Millville. The highway runs 21 miles (34 km) northward, intersecting the Mass Pike (I-90) in Worcester, and terminating at I-290 shortly thereafter.\n- Route 122A runs along the highway between Exits 9 and 12, concurrently with Route 146.
Yankee Division Highway\n(Circumferential Highway)	*	64.74	Braintree to Gloucester	The Yankee Division Highway consists of the Route 128 beltway before it was truncated to its southern terminus in Canton, and continues to span its entire length. It stretches from I-93's Exit 7 in Braintree to Route 128's northern terminus at Route 127A in Gloucester.\n- I-95 runs along the highway between Exits 12 and 45 (concurrent with 128).\n- I-93 runs along the highway between Exits 1 and 7.\n- U.S. Route 1 runs along the highway between I-95 Exit 15B and I-93 Exit 7.
