"Designation","Classification","Constellation","Apparent Magnitude"
"NGC 4027","SB(s)dm","Corvus","11.7"
"NGC 4088","SAB(rs)bc","Ursa Major","11.2"
"NGC 4216","SAB(s)b","Virgo","11.0"
"NGC 4314","SBa","Coma Berenices",""
"NGC 4395","SA(s)m","Canes Venatici","10.6"
"NGC 4414","SA(rs)c","Coma Berenices","11.0"
"NGC 4565","SA(s)b","Coma Berenices","10.42"
"NGC 4618","SB(rs)m","Canes Venatici","11.2"
"NGC 4625","SAB(rs)m pec","Canes Venatici","13.2"
"NGC 4631","SB(s)d","Canes Venatici","9.8"
"NGC 4725","SAB(r)ab pec","Coma Berenices","10.1"
"NGC 4911","Sb","Coma Berenices","Unknown"
"NGC 4945","SB(s)cd","Centaurus","9.3"
"NGC 5005","SAB(rs)bc","Canes Venatici","10.6"
"NGC 5033","SA(s)c","Canes Venatici","10.8"
"NGC 5068","SB(s)d","Virgo","10.5"
"NGC 5078","SA(s)a","Hydra","11.8"
"NGC 5091","Sb pec sp","Centaurus","13.9"
"NGC 5164","SBb","Ursa Major","14.1"
"NGC 5257","SAB(s)b pec","Virgo","12.9"
"NGC 5258","SA(s)b pec","Virgo","12.9"
"NGC 5474","SA(s)cd pec","Ursa Major","11.3"
"NGC 5624","S","Virgo","14.6"
"NGC 5713","SAB(rs)bc pec","Virgo","12.1"
"NGC 5921","SB(r)bc","Serpens Caput","11.5"
"NGC 6744","SAB(r)bc","Pavo","9.14"
"NGC 6745","S","Lyra","13.3"
"NGC 6872","SAB(rs)c","Pavo","12.7"
"NGC 6946","SAB(rs)cd","Cepheus","9.6"
"NGC 7217","(R)SA(r)ab","Pegasus","11.0"
"NGC 7318","SB(s)bc pec","Pegasus","14.4 / 13.9"
"NGC 7331","SA(s)b","Pegasus","10.4"
"NGC 7479","SB(s)c","Pegasus","11.6"
"NGC 7742","SA(r)b","Pegasus","12.4"
"NGC 7752","SAB(rs)bc","Pegasus","12.8"
"NGC 7793","SA(s)d","Sculptor","10.0"
"NGC 7814","SA(S)ab","Pegasus","11.6"
"UGC 10214, Tadpole Galaxy","SB(s)c pec","Draco","14.4"
