"Year","Australian Open","French Open","Wimbledon","US Open"
"1922","Esna Boyd Robertson (1/5)
 Marjorie Mountain","tournament not created","Suzanne Lenglen (4/8)
 Elizabeth Ryan (5/17)","Marion Zinderstein Jessup (4/4)
 Helen Wills Moody (1/9)"
"1923","Esna Boyd Robertson (2/5)
 Sylvia Lance Harper (1/3)","tournament not created","Suzanne Lenglen (5/8)
 Elizabeth Ryan (6/17)","Kathleen McKane Godfree (1/2)
 Phyllis Covell"
"1924","Daphne Akhurst Cozens (1/5)
 Sylvia Lance Harper (2/3)","tournament not created","Hazel Hotchkiss Wightman (5/7)
 Helen Wills Moody (2/9)","Hazel Hotchkiss Wightman (6/7)
 Helen Wills Moody (3/9)"
"1925","Sylvia Lance Harper (3/3)
 Daphne Akhurst Cozens (2/5)","Suzanne Lenglen (6/8)
 Julie Vlasto Serpieri (1/2) †","Suzanne Lenglen (7/8)
 Elizabeth Ryan (7/17)","Mary Browne (5/6)
 Helen Wills Moody (4/9)"
"1926","Meryl O'Hara Wood (1/2)
 Esna Boyd Robertson (3/5)","Suzanne Lenglen (8/8)
 Julie Vlasto Serpieri (2/2)","Mary Browne (6/6)
 Elizabeth Ryan (8/17)","Elizabeth Ryan (9/17)
 Eleanor Goss (4/4)"
"1927","Meryl O'Hara Wood (2/2)
 Louise Bickerton (1/2)","Irene Bowder Peacock
 Bobbie Heine","Helen Wills Moody (5/9)
 Elizabeth Ryan (10/17)","Kathleen McKane Godfree (2/2)
 Ermyntrude Harvey"
"1928","Daphne Akhurst Cozens (3/5)
 Esna Boyd Robertson (4/5)","Phoebe Holcroft Watson (1/4)
 Eileen Bennett Whittingstall (1/3)","Peggy Saunders (1/2)
 Phoebe Holcroft Watson (2/4)","Hazel Hotchkiss Wightman (7/7)
 Helen Wills Moody (6/9)"
"1929","Daphne Akhurst Cozens (4/5)
 Esna Boyd Robertson (5/5)","Lili de Alvarez
 Kornelia Bouman","Peggy Saunders (2/2)
 Phoebe Holcroft Watson (3/4)","Phoebe Holcroft Watson (4/4)
 Peggy Mitchell"
"1930","Margaret Molesworth (1/3)
 Emily Hood Westacott (1/3)","Helen Wills Moody (7/9)
 Elizabeth Ryan (11/17)","Helen Wills Moody (8/9)
 Elizabeth Ryan (12/17)","Betty Nuthall Shoemaker (1/4)
 Sarah Palfrey Cooke (1/11)"
"1931","Daphne Akhurst Cozens (5/5)
 Louise Bickerton (2/2)","Eileen Bennett Whittingstall (2/3)
 Betty Nuthall Shoemaker (2/4)","Phyllis Mudford
 Dorothy S. Barron","Betty Nuthall Shoemaker (3/4)
 Eileen Bennett Whittingstall (3/3)"
"1932","Coral Buttsworth
 Marjorie Cox Crawford","Helen Wills Moody (9/9)
 Elizabeth Ryan (13/17)","Doris Metaxa
 Josane Sigart","Helen Jacobs (1/3)
 Sarah Palfrey Cooke (2/11)"
"1933","Margaret Molesworth (2/3)
 Emily Hood Westacott (2/3)","Simone Mathieu (1/9)
 Elizabeth Ryan (14/17)","Simone Mathieu (2/9)
 Elizabeth Ryan (15/17)","Betty Nuthall Shoemaker (4/4)
 Freda James (1/3)"
"1934","Margaret Molesworth (3/3)
 Emily Hood Westacott (3/3)","Simone Mathieu (3/9)
 Elizabeth Ryan (16/17)","Simone Mathieu (4/9)
 Elizabeth Ryan (17/17)","Helen Jacobs (2/3)
 Sarah Palfrey Cooke (3/11)"
"1935","Evelyn Dearman
 Nancye W. Lyle","Margaret Scriven Vivian
 Kay Stammers Bullitt (1/3)","Freda James (2/3)
 Kay Stammers Bullitt (2/3)","Helen Jacobs (3/3)
 Sarah Palfrey Cooke (4/11)"
"1936","Thelma Coyne Long (1/12)
 Nancye Wynne Bolton (1/10)","Simone Mathieu (5/9)
 Billie Yorke (1/4)","Freda James (3/3)
 Kay Stammers Bullitt (3/3)","Marjorie Gladman Van Ryn
 Carolin Babcock"
"1937","Thelma Coyne Long (2/12)
 Nancye Wynne Bolton (2/10)","Simone Mathieu (6/9)
 Billy Yorke (2/4)","Simone Mathieu (7/9)
 Billy Yorke (3/4)","Sarah Palfrey Cooke (5/11)
 Alice Marble (1/6)"
"1938","Thelma Coyne Long (3/12)
 Nancye Wynne Bolton (3/10)","Simone Mathieu (8/9)
 Billy Yorke (4/4)","Sarah Palfrey Cooke (6/11)
 Alice Marble (2/6)","Sarah Palfrey Cooke (7/11)
 Alice Marble (3/6)"
"1939","Thelma Coyne Long (4/12)
 Nancye Wynne Bolton (4/10)","Simone Mathieu (9/9)
 Jadwiga Jędrzejowska","Sarah Palfrey Cooke (8/11)
 Alice Marble (4/6)","Sarah Palfrey Cooke (9/11)
 Alice Marble (5/6)"
"1940","Thelma Coyne Long (5/12)
 Nancye Wynne Bolton (5/10)","no competition","no competition","Sarah Palfrey Cooke (10/11)
 Alice Marble (6/6)"
"1941","no competition","no competition","no competition","Sarah Palfrey Cooke (11/11)
 Margaret Osborne duPont (1/21)"
"1942","no competition","no competition","no competition","Louise Brough Clapp (1/21)
 Margaret Osborne duPont (2/21)"
"1943","no competition","no competition","no competition","Louise Brough Clapp (2/21)
 Margaret Osborne duPont (3/21)"
"1944","no competition","no competition","no competition","Louise Brough Clapp (3/21)
 Margaret Osborne duPont (4/21)"
"1945","no competition","no competition","no competition","Louise Brough Clapp (4/21)
 Margaret Osborne duPont (5/21)"
"1946","Joyce Fitch
 Mary Bevis Hawton","Louise Brough Clapp (5/21)
 Margaret Osborne duPont (6/21)","Louise Brough Clapp (6/21)
 Margaret Osborne duPont (7/21)","Louise Brough Clapp (7/21)
 Margaret Osborne duPont (8/21)"
"1947","Thelma Coyne Long (6/12)
 Nancye Wynne Bolton (6/10)","Louise Brough Clapp (8/21)
 Margaret Osborne duPont (9/21)","Patricia Canning Todd (1/2)
 Doris Hart (1/14)","Louise Brough Clapp (9/21)
 Margaret Osborne duPont (10/21)"
"1948","Thelma Coyne Long (7/12)
 Nancye Wynne Bolton (7/10)","Doris Hart (2/14)
 Patricia Canning Todd (2/2)","Louise Brough Clapp (10/21)
 Margaret Osborne duPont (11/21)","Louise Brough Clapp (11/21)
 Margaret Osborne duPont (12/21)"
"1949","Thelma Coyne Long (8/12)
 Nancye Wynne Bolton (8/10)","Louise Brough Clapp (12/21)
 Margaret Osborne duPont (13/21)","Louise Brough Clapp (13/21)
 Margaret Osborne duPont (14/21)","Louise Brough Clapp (14/21)
 Margaret Osborne duPont (15/21)"
"1950","Louise Brough Clapp (15/21)
 Doris Hart (3/14)","Doris Hart (4/14)
 Shirley Fry Irvin (1/12)","Louise Brough Clapp (16/21)
 Margaret Osborne duPont (16/21)","Louise Brough Clapp (17/21)
 Margaret Osborne duPont (17/21)"
"1951","Thelma Coyne Long (9/12)
 Nancye Wynne Bolton (9/10)","Doris Hart (5/14)
 Shirley Fry Irvin (2/12)","Doris Hart (6/14)
 Shirley Fry Irvin (3/12)","Shirley Fry Irvin (4/12)
 Doris Hart (7/14)"
"1952","Thelma Coyne Long (10/12)
 Nancye Wynne Bolton (10/10)","Doris Hart (8/14)
 Shirley Fry Irvin (5/12)","Doris Hart (9/14)
 Shirley Fry Irvin (6/12)","Shirley Fry Irvin (7/12)
 Doris Hart (10/14)"
"1953","Maureen Connolly Brinker (1/2)
 Julie Sampson Haywood","Doris Hart (11/14)
 Shirley Fry Irvin (8/12)","Doris Hart (12/14)
 Shirley Fry Irvin (9/12)","Shirley Fry Irvin (10/12)
 Doris Hart (13/14)"
"1954","Mary Bevis Hawton (1/4)
 Beryl Penrose (1/2)","Maureen Connolly Brinker (2/2)
 Nell Hall Hopman","Louise Brough Clapp (18/21)
 Margaret Osborne duPont (18/21)","Shirley Fry Irvin (11/12)
 Doris Hart (14/14)"
"1955","Mary Bevis Hawton (2/4)
 Beryl Penrose (2/2)","Beverly Baker Fleitz
 Darlene Hard (1/13)","Angela Mortimer Barrett
 Anne Shilcock","Louise Brough Clapp (19/21)
 Margaret Osborne duPont (19/21)"
"1956","Mary Bevis Hawton (3/4)
 Thelma Coyne Long (11/12)","Angela Buxton (1/2)
 Althea Gibson (1/5)","Angela Buxton (2/2)
 Althea Gibson (2/5)","Louise Brough Clapp (20/21)
 Margaret Osborne duPont (20/21)"
"1957","Althea Gibson (3/5)
 Shirley Fry (12/12)","Shirley Bloomer Brasher
 Darlene Hard (2/13)","Althea Gibson (4/5)
 Darlene Hard (3/13)","Louise Brough Clapp (21/21)
 Margaret Osborne duPont (21/21)"
"1958","Mary Bevis Hawton (4/4)
 Thelma Coyne Long (12/12)","Rosie Reyes Darmon
 Yola Ramírez Ochoa","Maria Bueno (1/11)
 Althea Gibson (5/5)","Darlene Hard (4/13)
 Jeanne Arth (1/3)"
"1959","Renee Schuurman Haygarth (1/5)
 Sandra Reynolds Price (1/4)","Renee Schuurman Haygarth (2/5)
 Sandra Reynolds Price (2/4)","Jeanne Arth (2/3)
 Darlene Hard (5/13)","Darlene Hard (6/13)
 Jeanne Arth (3/3)"
"1960","Maria Bueno (2/11)
 Christine Truman Janes","Maria Bueno (3/11)
 Darlene Hard (7/13)","Maria Bueno (4/11)
 Darlene Hard (8/13)","Maria Bueno (5/11)
 Darlene Hard (9/13)"
"1961","Mary Carter Reitano
 Margaret Court (1/19)","Sandra Reynolds Price (3/4)
 Renee Schuurman Haygarth (3/5)","Karen Hantze Susman (1/3)
 Billie Jean King (1/16)","Darlene Hard (10/13)
 Lesley Turner Bowrey (1/7)"
"1962","Margaret Court (2/19)
 Robyn Ebbern (1/3)","Sandra Reynolds Price (24/4)
 Renee Schuurman Haygarth (4/5)","Karen Hantze Susman (2/3)
 Billie Jean King (2/16)","Darlene Hard (11/13)
 Maria Bueno (6/11)"
"1963","Margaret Court (3/19)
 Robyn Ebbern (2/3)","Ann Haydon-Jones (1/3)
 Renee Schuurman Haygarth (5/5)","Maria Bueno (7/11)
 Darlene Hard (12/13)","Robyn Ebbern (3/3)
 Margaret Court (4/19)"
"1964","Judy Tegart Dalton (1/8)
 Lesley Turner Bowrey (2/7)","Margaret Court (5/19)
 Lesley Turner Bowrey (3/7)","Margaret Court (6/19)
 Lesley Turner Bowrey (4/7)","Billie Jean King (3/16)
 Karen Hantze Susman (3/3)"
"1965","Margaret Court (7/19)
 Lesley Turner Bowrey (5/7)","Margaret Court (8/19)
 Lesley Turner Bowrey (6/7)","Maria Bueno (8/11)
 Nancy Richey Gunter (1/4)","Carole Caldwell Graebner (1/2)
 Nancy Richey Gunter (2/4)"
"1966","Carole Caldwell Graebner (2/2)
 Nancy Richey Gunter (3/4)","Margaret Court (9/19)
 Judy Tegart Dalton (2/8)","Maria Bueno (9/11)
 Billie Jean King (4/16)","Maria Bueno (10/11)
 Nancy Richey Gunter (4/4)"
"1967","Lesley Turner Bowrey (7/7)
 Judy Tegart Dalton (3/8)","Françoise Dürr (1/7)
 Gail Sheriff Chanfreau Lovera (1/4)","Rosemary Casals (1/9)
 Billie Jean King (5/16)","Rosemary Casals (2/9)
 Billie Jean King (6/16)"
"1968","Karen Krantzcke
 Kerry Melville Reid (1/3)","open tennis begins
 Françoise Dürr (2/7)
 Ann Haydon-Jones (2/3)","Rosemary Casals (3/9)
 Billie Jean King (7/16)","Maria Bueno (11/11)
 Margaret Court (10/19)"
"1969","Margaret Court (11/19)
 Judy Tegart Dalton (4/8)","Françoise Dürr (3/7)
 Ann Haydon-Jones (3/3)","Margaret Court (12/19)
 Judy Tegart Dalton (5/8)","Françoise Dürr (4/7)
 Darlene Hard (13/13)"
"1970","Margaret Court (13/19)
 Judy Tegart Dalton (6/8)","Gail Sheriff Chanfreau Lovera (2/4)
 Françoise Dürr (5/7)","Rosemary Casals (4/9)
 Billie Jean King (8/16)","Margaret Court (14/19)
 Judy Tegart Dalton (7/8)"
"1971","Margaret Court (15/19)
 Evonne Goolagong Cawley (1/6)","Gail Sheriff Chanfreau Lovera (3/4)
 Françoise Dürr (6/7)","Rosemary Casals (5/9)
 Billie Jean King (9/16)","Rosemary Casals (6/9)
 Judy Tegart Dalton (8/8)"
"1972","Kerry Harris
 Helen Gourlay Cawley (1/5)","Billie Jean King (10/16)
 Betty Stöve (1/6)","Billie Jean King (11/16)
 Betty Stöve (2/6)","Françoise Dürr (7/7)
 Betty Stöve (3/6)"
"1973","Margaret Court (16/19)
 Virginia Wade (1/4)","Margaret Court (17/19)
 Virginia Wade (2/4)","Rosemary Casals (7/9)
 Billie Jean King (12/16)","Margaret Court (18/19)
 Virginia Wade (3/4)"
"1974","Evonne Goolagong Cawley (2/6)
 Peggy Michel (1/3)","Chris Evert (1/3)
 Olga Morozova","Evonne Goolagong Cawley (3/6)
 Peggy Michel (2/3)","Rosemary Casals (8/9)
 Billie Jean King (13/16)"
"1975","Evonne Goolagong Cawley (4/6)
 Peggy Michel (3/3)","Chris Evert (2/3)
 Martina Navratilova (1/31)","Ann Kiyomura
 Kazuko Sawamatsu","Margaret Court (19/19)
 Virginia Wade (4/4)"
"1976","Evonne Goolagong Cawley (5/6)
 Helen Gourlay Cawley (2/5)","Fiorella Bonicelli
 Gail Sheriff Chanfreau Lovera (4/4)","Chris Evert (3/3)
 Martina Navratilova (2/31)","Delina Boshoff
 Ilana Kloss"
"1977","Dianne Fromholtz Balestrat
 Helen Gourlay Cawley (3/5) (Jan)

 Evonne Goolagong Cawley (6/6) (Dec)
 Helen Gourlay Cawley (5/5)
 Mona Gourlay Cawley
 Kerry Melville Reid (2/3)","Regina Maršíková
 Pam Teeguarden","Helen Gourlay Cawley (4/5)
 JoAnne Russell","Martina Navratilova (3/31)
 Betty Stöve (4/6)"
"1978","Betsy Nagelsen (1/2)
 Renáta Tomanová ††","Mima Jaušovec
 Virginia Ruzici","Kerry Melville Reid (3/3)
 Wendy Turnbull (1/4)","Billie Jean King (14/16)
 Martina Navratilova (4/31)"
"1979","Judy Chaloner
 Dianne Evers ††","Betty Stöve (5/6)
 Wendy Turnbull (2/4)","Billie Jean King (15/16)
 Martina Navratilova (5/31)","Betty Stöve (6/6)
 Wendy Turnbull (3/4)"
"1980","Martina Navratilova (7/31)
 Betsy Nagelsen (2/2) ††","Kathy Jordan (1/5)
 Anne Smith (1/5)","Kathy Jordan (2/5)
 Anne Smith (2/5)","Billie Jean King (16/16)
 Martina Navratilova (6/31)"
"1981","Kathy Jordan (4/5)
 Anne Smith (4/5) ††","Rosalyn Fairbank Nideffer (1/2)
 Tanya Harford","Martina Navratilova (8/31)
 Pam Shriver (1/21)","Kathy Jordan (3/5)
 Anne Smith (3/5)"
"1982","Martina Navratilova (11/31)
 Pam Shriver (3/21) ††","Martina Navratilova (9/31)
 Anne Smith (5/5)","Martina Navratilova (10/31)
 Pam Shriver (2/21)","Rosemary Casals (9/9)
 Wendy Turnbull (4/4)"
"1983","Martina Navratilova (14/31)
 Pam Shriver (6/21) ††","Rosalyn Fairbank Nideffer (2/2)
 Candy Reynolds","Martina Navratilova (12/31)
 Pam Shriver (4/21)","Martina Navratilova (13/31)
 Pam Shriver (5/21)"
"1984","Martina Navratilova (18/31)
 Pam Shriver (10/21) ††","Martina Navratilova (15/31)
 Pam Shriver (7/21)","Martina Navratilova (16/31)
 Pam Shriver (8/21)","Martina Navratilova (17/31)
 Pam Shriver (9/21)"
"1985","Martina Navratilova (20/31)
 Pam Shriver (12/21) ††","Martina Navratilova (19/31)
 Pam Shriver (11/21)","Kathy Jordan (5/5)
 Elizabeth Sayers Smylie","Claudia Kohde-Kilsch (1/2)
 Helena Suková (1/9)"
"1986","no competition","Martina Navratilova (21/31)
 Andrea Temesvári","Martina Navratilova (22/31)
 Pam Shriver (13/21)","Martina Navratilova (23/31)
 Pam Shriver (14/21)"
"1987","Martina Navratilova (24/31)
 Pam Shriver (15/21)","Martina Navratilova (25/31)
 Pam Shriver (16/21)","Claudia Kohde-Kilsch (2/2)
 Helena Suková (2/9)","Martina Navratilova (26/31)
 Pam Shriver (17/21)"
"1988","Martina Navratilova (27/31)
 Pam Shriver (18/21)","Martina Navratilova (28/31)
 Pam Shriver (19/21)","Steffi Graf
 Gabriela Sabatini","Gigi Fernández (1/17)
 Robin White"
"1989","Martina Navratilova (29/31)
 Pam Shriver (20/21)","Larisa Savchenko Neiland (1/2)
 Natasha Zvereva (1/18)","Jana Novotná (1/12)
 Helena Suková (3/9)","Hana Mandlíková
 Martina Navratilova (30/31)"
"1990","Jana Novotná (2/12)
 Helena Suková (4/9)","Jana Novotná (3/12)
 Helena Suková (5/9)","Jana Novotná (4/12)
 Helena Suková (6/9)","Gigi Fernández (2/17)
 Martina Navratilova (31/31)"
"1991","Patty Fendick
 Mary Joe Fernandez (1/2)","Gigi Fernández (3/17)
 Jana Novotná (5/12)","Larisa Savchenko Neiland (2/2)
 Natasha Zvereva (2/18)","Pam Shriver (21/21)
 Natasha Zvereva (3/18)"
"1992","Arantxa Sánchez Vicario (1/6)
 Helena Suková (7/9)","Gigi Fernández (4/17)
 Natasha Zvereva (4/18)","Gigi Fernández (5/17)
 Natasha Zvereva (5/18)","Gigi Fernández (6/17)
 Natasha Zvereva (6/18)"
"1993","Gigi Fernández (7/17)
 Natasha Zvereva (7/18)","Gigi Fernández (17/8)
 Natasha Zvereva (8/18)","Gigi Fernández (17/9)
 Natasha Zvereva (9/18)","Arantxa Sánchez Vicario (2/6)
 Helena Suková (8/9)"
"1994","Gigi Fernández (10/17)
 Natasha Zvereva (10/18)","Gigi Fernández (11/17)
 Natasha Zvereva (11/18)","Gigi Fernández (12/17)
 Natasha Zvereva (12/18)","Jana Novotná (6/12)
 Arantxa Sánchez Vicario (3/6)"
"1995","Jana Novotná (7/12)
 Arantxa Sánchez Vicario (4/6)","Gigi Fernández (13/17)
 Natasha Zvereva (13/18)","Jana Novotná (8/12)
 Arantxa Sánchez Vicario (5/6)","Gigi Fernández (14/17)
 Natasha Zvereva (14/18)"
"1996","Chanda Rubin
 Arantxa Sánchez Vicario (6/6)","Lindsay Davenport (1/3)
 Mary Joe Fernandez (2/2)","Martina Hingis (1/9)
 Helena Suková (9/9)","Gigi Fernández (15/17)
 Natasha Zvereva (15/18)"
"1997","Martina Hingis (2/9)
 Natasha Zvereva (16/18)","Gigi Fernández (16/17)
 Natasha Zvereva (17/18)","Gigi Fernández (17/17)
 Natasha Zvereva (18/18)","Lindsay Davenport (2/3)
 Jana Novotná (9/12)"
"1998","Martina Hingis (3/9)
 Mirjana Lučić","Martina Hingis (4/9)
 Jana Novotná (10/12)","Martina Hingis (5/9)
 Jana Novotná (11/12)","Martina Hingis (6/9)
 Jana Novotná (12/12)"
"1999","Martina Hingis (7/9)
 Anna Kournikova (1/2)","Serena Williams (1/13)
 Venus Williams (1/13)","Lindsay Davenport (3/3)
 Corina Morariu","Serena Williams (2/13)
 Venus Williams (2/13)"
"2000","Lisa Raymond (1/6)
 Rennae Stubbs (1/4)","Martina Hingis (8/9)
 Mary Pierce","Serena Williams (3/13)
 Venus Williams (3/13)","Julie Halard-Decugis
 Ai Sugiyama (1/3)"
"2001","Serena Williams (4/13)
 Venus Williams (4/13)","Virginia Ruano Pascual (1/10)
 Paola Suárez (1/8)","Lisa Raymond (2/6)
 Rennae Stubbs (2/4)","Lisa Raymond (3/6)
 Rennae Stubbs (3/4)"
"2002","Martina Hingis (9/9)
 Anna Kournikova (2/2)","Virginia Ruano Pascual (2/10)
 Paola Suárez (2/8)","Serena Williams (5/13)
 Venus Williams (5/13)","Virginia Ruano Pascual (3/10)
 Paola Suárez (3/8)"
"2003","Serena Williams (6/13)
 Venus Williams (6/13)","Kim Clijsters (1/2)
 Ai Sugiyama (2/3)","Kim Clijsters (2/2)
 Ai Sugiyama (3/3)","Virginia Ruano Pascual (4/10)
 Paola Suárez (4/8)"
"2004","Virginia Ruano Pascual (5/10)
 Paola Suárez (5/8)","Virginia Ruano Pascual (6/10)
 Paola Suárez (6/8)","Cara Black (1/5)
 Rennae Stubbs (4/4)","Virginia Ruano Pascual (7/10)
 Paola Suárez (7/8)"
"2005","Svetlana Kuznetsova (1/2)
 Alicia Molik (1/2)","Virginia Ruano Pascual (8/10)
 Paola Suárez (8/8)","Cara Black (2/5)
 Liezel Huber (1/5)","Lisa Raymond (4/6)
 Samantha Stosur (1/2)"
"2006","Yan Zi (1/2)
 Zheng Jie (1/2)","Lisa Raymond (5/6)
 Samantha Stosur (2/2)","Yan Zi (2/2)
 Zheng Jie (2/2)","Nathalie Dechy(1/2)
 Vera Zvonareva (1/2)"
"2007","Cara Black (3/5)
 Liezel Huber (2/5)","Alicia Molik (2/2)
 Mara Santangelo","Cara Black (4/5)
 Liezel Huber (3/5)","Nathalie Dechy (2/2)
 Dinara Safina"
"2008","Alona Bondarenko
 Kateryna Bondarenko","Anabel Medina Garrigues (1/2)
 Virginia Ruano Pascual (9/10)","Serena Williams (7/13)
 Venus Williams (7/13)","Cara Black (5/5)
 Liezel Huber (4/5)"
"2009","Serena Williams (8/13)
 Venus Williams (8/13)","Anabel Medina Garrigues (2/2)
 Virginia Ruano Pascual (10/10)","Serena Williams (9/13)
 Venus Williams (9/13)","Serena Williams (10/13)
 Venus Williams (10/13)"
"2010","Serena Williams (11/13)
 Venus Williams (11/13)","Serena Williams (12/13)
 Venus Williams (12/13)","Vania King (1/2)
 Yaroslava Shvedova (1/2)","Vania King (2/2)
 Yaroslava Shvedova (2/2)"
"2011","Gisela Dulko
 Flavia Pennetta","Andrea Hlaváčková (1/2)
 Lucie Hradecká (1/2)","Květa Peschke
 Katarina Srebotnik","Liezel Huber (5/5)
 Lisa Raymond (6/6)"
"2012","Svetlana Kuznetsova (2/2)
 Vera Zvonareva (2/2)","Sara Errani (1/4)
 Roberta Vinci (1/4)","Serena Williams (13/13)
 Venus Williams (13/13)","Sara Errani (2/4)
 Roberta Vinci (2/4)"
"2013","Sara Errani (3/4)
 Roberta Vinci (3/4)","Ekaterina Makarova
 Elena Vesnina","Hsieh Su-wei
 Peng Shuai","Andrea Hlaváčková (2/2)
 Lucie Hradecká (2/2)"
"2014","Sara Errani (4/4)
 Roberta Vinci (4/4)","","",""
