| Name                       |   | Local names                         | Sort         | Canton(s), neighboring countries          | Area in km² | Elevation m | max. depth in meter |
| Lake Wohlen                | ↑ | Wohlensee                           | Wohlen       | Berne                                     | 3.65        | 480         | 20                  |
| Pfäffikersee               |   | Pfäffikersee                        | Pfäffikersee | Zurich                                    | 3.3         | 536         | 35                  |
| Klöntalersee               | * | Klöntalersee                        | Klöntalersee | Glarus                                    | 3.29        | 847         | 47                  |
| Lac d'Emosson              | ↑ | Lac d'Emosson                       | Emosson      | Valais                                    | 3.27        | 1930        | 161                 |
| Lake Silvaplana            |   | Silvaplanersee, Lej da Silvaplauna  | Silvaplana   | Grisons                                   | 3.1         | 1790        | 77                  |
| Lake Lauerz                |   | Lauerzersee                         | Lauerz       | Schwyz                                    | 3.1         | 447         | 14                  |
| Grimselsee                 | ↑ | Grimselsee                          | Grimsel      | Berne                                     | 2.63        | 1908        | 100                 |
| Lake Lungern               | * | Lungerersee, Lungernsee             | Lungern      | Obwalden                                  | 2.01        | 688         | 68                  |
| Lac de Mauvoisin           | ↑ | Lac de Mauvoisin                    | Mauvoisin    | Valais                                    | 2.08        | 1961        | 180                 |
| Lago di Poschiavo          | * | Lago di Poschiavo                   | Poschiavo    | Grisons                                   | 1.98        | 962         | 85                  |
| Lai da Sontga Maria        | ↑ | Lai da Sontga Maria                 | St. Maria    | Grisons, Ticino                           | 1.77        | 1908        | 86                  |
| Mattmarksee                | ↑ | Mattmarksee                         | Mattmark     | Valais                                    | 1.76        | 2197        | 93                  |
| Lago di Vogorno            | ↑ | Lago di Vogorno                     | Vogorno      | Ticino                                    | 1.68        | 470         | 204                 |
| Lac de Salanfe             | ↑ | Lac de Salanfe                      | Salanfe      | Valais                                    | 1.62        | 1925        | 48                  |
| Zervreilasee               | ↑ | Zervreilasee                        | Zervreila    | Grisons                                   | 1.61        | 1862        | 140                 |
| Lac de l'Hongrin           | ↑ | Lac de l'Hongrin                    | Hongrin      | Vaud                                      | 1.60        | 1255        | 105                 |
| Lago Bianco                | * | Lago Bianco                         | Bianco       | Grisons                                   | 1.50        | 2234        | 53                  |
| Lago Ritom                 | * | Lago Ritom                          | Ritom        | Ticino                                    | 1.49        | 1850        | 69                  |
| Oberaarsee                 | ↑ | Oberaarsee                          | Oberaar      | Berne                                     | 1.47        | 2303        | 90                  |
| Lai da Marmorera           | ↑ | Lai da Marmorera                    | Marmorera    | Grisons                                   | 1.41        | 1680        | 65                  |
| Lac de Moiry               | ↑ | Lac de Moiry                        | Moiry        | Valais                                    | 1.40        | 2249        | 120                 |
| Limmernsee                 | ↑ | Limmernsee                          | Limmern      | Glarus                                    | 1.36        | 1857        | 122                 |
| Göscheneralpsee            | ↑ | Göscheneralpsee                     | Göscheneralp | Uri                                       | 1.32        | 1792        | 106                 |
| Lago di Luzzone            | ↑ | Lago di Luzzone                     | Luzzone      | Ticino                                    | 1.27        | 1606        | 181                 |
| Klingnauer Stausee         | ↑ | Klingnauer Stausee                  | Klingnau     | Aargau                                    | 1.16        | 318         | 8.5                 |
| Albigna lake               | ↑ | Lago da l'Albigna Lägh da l'Albigna | Albigna      | Grisons                                   | 1.13        | 2163        | 108                 |
| Oeschinen Lake             | ↑ | Oeschinensee                        | Oeschinen    | Berne                                     | 1.11        | 1578        | 56                  |
| Lago del Sambuco           | ↑ | Lago del Sambuco                    | Sambuco      | Ticino                                    | 1.11        | 1461        | 124                 |
