Name	Full name	Caps	Goals	First cap	Opponent	Club
Dudu Cearense	Alexandro Silva de Sousa	11	0	8 July 2004	Chile	Vitoria
Gustavo Nery	Gustavo Nery de Sá da Silva	10	0	8 July 2004	Chile	São Paulo
Vagner Love	Vágner Silva de Souza	22	4	11 July 2004	Costa Rica	Palmeiras
Elano	Elano Ralph Blumer	50	9	13 October 2004	Colombia	Santos
Fred	Frederico Chaves Guedes	30	16	27 April 2005	Guatemala	Cruzeiro
Cicinho	Cícero João de Cézare	15	1	27 April 2005	Guatemala	São Paulo
Grafite	Edinaldo Batista Libânio	4	1	27 April 2005	Guatemala	São Paulo
Daniel Carvalho	Daniel da Silva Carvalho	3	1	16 August 2006	Norway	CSKA Moscow
Rafael Sóbis	Rafael Augusto Sóbis do Nascimento	8	1	3 September 2006	Argentina	Betis Sevilla
Marcelo	Marcelo Vieira da Silva Júnior	25	4	5 September 2006	Wales	Fluminense
Daniel Alves	Daniel Alves da Silva	69	5	10 October 2006	Ecuador	Sevilla FC
Fernando	Fernando Menegazzo	4	0	15 November 2006	Switzerland	Bordeaux
Helton	Helton da Silva Arruda	3	0	15 November 2006	Switzerland	FC Porto
Josué	Josué Anunciado de Oliveira	28	1	27 March 2007	Ghana	São Paulo
Ilsinho	Ilson Pereira Dias Júnior	1	0	27 March 2007	Ghana	São Paulo
Anderson	Anderson Luís de Abreu Oliveira	8	0	27 June 2007	Mexico	FC Porto
Afonso Alves	Afonso Alves Martins Júnior	8	1	1 June 2007	England	sc Heerenveen
Naldo	Ronaldo Aparecido Rodrigues	4	0	1 June 2007	England	Werder Bremen
Doni	Doniéber Alexander Marangon	10	0	5 June 2007	Turkey	AS Roma
Jô	João Alves de Assis Silva	7	2	5 June 2007	Turkey	CSKA Moscow
Alex Silva	Alex Sandro da Silva	2	0	4 July 2007	Ecuador	São Paulo
Lucas Leiva	Lucas Pezzini Leiva	21	0	22 August 2007	Algeria	Grêmio
Richarlyson	Richarlyson Barbosa Felisbino	2	0	6 February 2008	Republic of Ireland	São Paulo
Leonardo Moura	Leonardo da Silva Moura	1	0	6 February 2008	Republic of Ireland	Flamengo
Alexandre Pato	Alexandre Rodrigues da Silva	24	9	26 March 2008	Sweden	AC Milan
Hernanes	Anderson Hernanes de Carvalho Andrade Lima	17	2	26 March 2008	Sweden	São Paulo
Thiago Neves	Thiago Neves Augusto	7	0	26 March 2008	Sweden	Fluminense
Rafinha	Márcio Rafael Ferreira de Souza	1	0	26 March 2008	Sweden	Schalke 04
Henrique	Henrique Adriano Buss	2	0	6 June 2008	Wales	Palmeiras
Thiago Silva	Thiago Emiliano da Silva	40	1	12 October 2008	Venezuela	Fluminense
Alex	Alexandre Raphael Meschini	4	0	12 October 2008	Venezuela	Internacional
Felipe Melo	Felipe Melo de Carvalho	22	2	10 February 2009	Italy	Fiorentina
Joao Miranda	João Miranda de Souza Filho	7	0	1 April 2009	Peru	São Paulo
Ramires	Ramires Santos do Nascimento	34	3	6 June 2009	Uruguay	Cruzeiro
André Santos	André Clarindo dos Santos	24	0	15 June 2009	Egypt	Corinthians
Diego Tardelli	Diego Tardelli Martins	5	0	12 August 2009	Estonia	Atletico Mineiro
Sandro	Sandro Raniere Guimarães Cordeiro	17	1	9 September 2009	Chile	Internacional
Diego Souza	Diego de Souza Andrade	2	0	11 October 2009	Bolivia	Palmeiras
Filipe Luis	Filipe Luís Kasmirski	4	0	14 October 2009	Venezuela	Deportivo de La Coruña
Hulk	Givanildo Vieira de Souza	27	6	14 November 2009	England	FC Porto
Michel Bastos	Michel Fernandes Bastos	10	1	14 November 2009	England	Lyon
Carlos Eduardo	Carlos Eduardo Marques	6	0	14 November 2009	England	Hoffenheim
Fábio Simplício	Fábio Henrique Simplício	1	0	17 November 2009	Oman	Palermo
Neymar	Neymar da Silva Santos Júnior	44	27	10 August 2010	United States	Santos
David Luiz	David Luiz Moreira Marinho	27	0	10 August 2010	United States	Benfica
Ganso	Paulo Henrique Chagas de Lima	8	0	10 August 2010	United States	Santos
Victor	Victor Leandro Bagy	5	0	10 August 2010	United States	Grêmio
André	André Felipe Ribeiro de Souza	4	0	10 August 2010	United States	Dynamo Kyiv
Jucilei	Jucilei da Silva	2	0	10 August 2010	United States	Corinthians
Ederson	Ederson Honorato Campos	1	0	10 August 2010	United States	Lyon
Elías	Elías Mendes Trindade	13	0	3 October 2010	Iran	Corinthians
Réver	Réver Humberto Alves de Araújo	8	1	3 October 2010	Iran	Atlético Mineiro
Giuliano	Giuliano Victor de Paula	8	0	3 October 2010	Iran	Internacional
Wesley	Wesley Lopes Beltrame	2	0	3 October 2010	Iran	Werder Bremen
Coutinho	Philippe Coutinho Correia	1	0	3 October 2010	Iran	Inter Milan
Douglas	Douglas dos Santos	1	0	17 November 2010	Argentina	Grêmio
Jádson	Jádson Rodrigues da Silva	8	1	9 February 2011	France	Shakhtar Donetsk
Renato Augusto	Renato Soares de Oliveira Augusto	3	0	9 February 2011	France	Bayer Leverkusen
Lucas	Lucas Rodrigues Moura da Silva	25	4	27 March 2011	Scotland	São Paulo
Leandro Damião	Leandro Damião da Silva dos Santos	17	3	27 March 2011	Scotland	Internacional
Jonas	Jonas Gonçalves Oliveira	8	2	27 March 2011	Scotland	FC Valencia
Juan Jesus	Juan Guilherme Nunes Jesus	4	0	26 May 2011	Denmark	Inter Milan
Wellington Nem	Wellington Nem	3	0	26 May 2011	Denmark	Fluminense
Bruno Uvini	Bruno Uvini Bortolança	3	0	26 May 2011	Denmark	São Paulo
Rafael	Rafael Pereira Da Silva	2	0	26 May 2011	Denmark	Manchester United
Luiz Gustavo	Luis Gustavo Dias	10	0	10 August 2011	Germany	Bayern Munich
Ralf	Ralf de Souza Teles	8	0	10 August 2011	Germany	Corinthians
Fernandinho	Fernando Luiz Rosa	5	0	10 August 2011	Germany	Shakhtar Donetsk
Arouca	Marcos Arouca da Silva	4	0	7 September 2011	South Africa	Santos
Oscar	Oscar dos Santos Emboaba Júnior	22	6	14 September 2011	Argentina	Internacional
Paulinho	José Paulo Bezerra Maciel Júnior	17	5	14 September 2011	Argentina	Corinthians
Dédé	Anderson Vital da Silva	8	0	14 September 2011	Argentina	Vasco da Gama
Jefferson	Jefferson de Oliveira Galvão	7	0	14 September 2011	Argentina	Botafogo
Danilo	Danilo Luiz da Silva	6	0	14 September 2011	Argentina	Santos
Casemiro	Carlos Henrique Casimiro	5	0	14 September 2011	Argentina	São Paulo
Renato Abreu	Carlos Renato de Abreu	1	0	14 September 2011	Argentina	Flamengo
Rômulo	Rômulo Borges Monteiro	8	0	28 September 2011	Argentina	Vasco da Gama
Bruno Cortês	Bruno Cortês Barbosa	1	0	28 September 2011	Argentina	Botafogo
Borges	Humberlito Borges Teixeira	1	0	28 September 2011	Argentina	Santos
Fabio	Fábio Pereira Da Silva	2	0	7 October 2011	Costa Rica	Manchester United
Diego Alves	Diego Alves Carreira	7	0	10 November 2011	Gabon	FC Valencia
Alex Sandro	Alex Sandro Lobo Silva	6	0	10 November 2011	Gabon	FC Porto
Willian	Willian Borges da Silva	2	0	10 November 2011	Gabon	Shakhtar Donetsk
Bruno César	Bruno César Zanaki	2	0	10 November 2011	Gabon	Benfica
Dudu	Eduardo Pereira Rodrigues	2	0	10 November 2011	Gabon	Dynamo Kyiv
Kléber	Kléber Laude Pinheiro	2	0	10 November 2011	Gabon	FC Porto
Rafael	Rafael Cabral Barbosa	3	0	30 May 2012	United States	Santos
Gabriel	Gabriel Vasconcelos Ferreira	1	0	15 August 2012	Sweden	AC Milan
Lucas	Lucas Rios Marques	2	0	19 September 2012	Argentina	Botafogo
Fernando	Fernando Lucas Martins	7	0	11 October 2012	Iraq	Grêmio
Leandro Castan	Leandro Castán da Silva	2	0	16 October 2012	Japan	AS Roma
Bernard	Bernard Anicio Caldeira Duarte	5	0	21 November 2012	Argentina	Atlético Mineiro
Jean	Jean Raphael Vanderlei Moreira	5	0	21 November 2012	Argentina	Fluminense
Fábio Santos	Fábio Santos Romeu	3	0	21 November 2012	Argentina	Corinthians
Diego Cavalieri	Diego Cavalieri	2	0	21 November 2012	Argentina	Fluminense
Carlinhos	Carlos Andrade Souza	1	0	21 November 2012	Argentina	Fluminense
Durval	Severino dos Ramos Durval da Silva	1	0	21 November 2012	Argentina	Santos
Dante	Dante Bonfim Costa Santos	5	1	6 February 2013	England	Bayern Munich
Diego Costa	Diego Da Silva Costa	2	0	21 March 2013	Italy	Atletico Madrid
Osvaldo	Osvaldo Lourenço Filho	2	0	6 April 2013	Bolivia	São Paulo
Leandro	Weverson Leandro Oliveira Moura	1	1	6 April 2013	Bolivia	Palmeiras
Dória	Matheus Dória Macedo	1	0	6 April 2013	Bolivia	Botafogo
Marcos Rocha	Marcos Luis Rocha Aquino	1	0	24 April 2013	Chile	Atlético Mineiro
