"Entrant","Constructor","Chassis","Engine","Tyre","Driver","Rounds"
"Bowmaker-Yeoman Racing Team","Lola-Climax","Mk 4","Climax FWMV 1.5 V8","D","Roy Salvadori","1–2, 4–9"
"Ecurie Galloise","Cooper-Climax","T53","Climax FPF 1.5 L4","D","Jackie Lewis","1–2, 4–6"
"R.R.C. Walker Racing Team","Lotus-Climax","24","Climax FWMV 1.5 V8","D","Maurice Trintignant","2–4, 6–8"
"Scuderia SSS Republica di Venezia","Lotus-Climax","18/21
24","Climax FPF 1.5 L4","D","Nino Vaccarella","2, 7"
"Scuderia SSS Republica di Venezia","Porsche","718","Porsche 547/3 1.5 F4","D","Nino Vaccarella","6"
"Ecurie Nationale Suisse","Lotus-Climax","21","Climax FPF 1.5 L4","D","Jo Siffert","2"
"Emeryson Cars","Lotus-Climax","18","Climax FPF 1.5 L4","D","John Campbell-Jones","3"
"Emeryson Cars","Emeryson-Climax","61","Climax FPF 1.5 L4","D","Tony Settember","5, 7"
"Equipe Nationale Belge","Lotus-Climax","18/21","Climax FPF 1.5 L4","D","Lucien Bianchi","3, 6"
"Ecurie Filipinetti","Lotus-Climax","21","Climax FPF 1.5 L4","D","Jo Siffert","3, 6"
"Ecurie Filipinetti","Lotus-BRM","24","BRM P56 1.5 V8","D","Jo Siffert","4, 7"
"Ecurie Filipinetti","Lotus-BRM","24","BRM P56 1.5 V8","D","Heinz Schiller","6"
"Ecurie Filipinetti","Porsche","718","Porsche 547/3 1.5 F4","D","Heini Walter","6"
"Autosport Team Wolfgang Seidel","Lotus-BRM","24","BRM P56 1.5 V8","D","Dan Gurney","3"
"Autosport Team Wolfgang Seidel","Lotus-BRM","24","BRM P56 1.5 V8","D","Wolfgang Seidel","5–6"
"Autosport Team Wolfgang Seidel","Lotus-BRM","24","BRM P56 1.5 V8","D","Gunther Seiffert","6"
"Autosport Team Wolfgang Seidel","Lotus-BRM","24","BRM P56 1.5 V8","D","Tony Shelly","7"
"Anglo-American Equipe","Cooper-Climax","T59","Climax FPF 1.5 L4","D","Ian Burgess","5–7"
"Ecurie Excelsior","Lotus-Climax","18","Climax FPF 1.5 L4","D","Jay Chamberlain","5–7"
"John Dalton","Lotus-Climax","18/21","Climax FPF 1.5 L4","D","Tony Shelly","5–6"
"Gilby Engineering","Gilby-BRM","62","BRM P56 1.5 V8","D","Keith Greene","6–7"
"Bernard Collomb","Cooper-Climax","T53","Climax FPF 1.5 L4","D","Bernard Collomb","6"
"Scuderia de Tomaso","De Tomaso","F1","De Tomaso 1.5 F8","D","Nasif Estéfano","7"
"Scuderia Settecolli","De Tomaso-OSCA","F1","OSCA 372 1.5 L4","D","Roberto Lippi","7"
"Gerry Ashmore","Lotus-Climax","18/21","Climax FPF 1.5 L4","D","Gerry Ashmore","7"
"Scuderia Jolly Club","Lotus-Climax","18","Climax FPF 1.5 L4","D","Ernesto Prinoth","7"
"Dupont Team Zerex","Lotus-Climax","24","Climax FWMV 1.5 V8","D","Roger Penske","8"
"Hap Sharp","Cooper-Climax","T53","Climax FPF 1.5 L4","D","Hap Sharp","8"
"Jim Hall","Lotus-Climax","21","Climax FPF 1.5 L4","D","Jim Hall","8"
"John Mecom","Lotus-Climax","24","Climax FPF 1.5 L4","D","Rob Schroeder","8"
"Bruce Johnstone","BRM","P48/57","BRM P56 1.5 V8","D","Bruce Johnstone","9"
"Ernie Pieterse","Lotus-Climax","21","Climax FPF 1.5 L4","D","Ernie Pieterse","9"
"John Love","Cooper-Climax","T55","Climax FPF 1.5 L4","D","John Love","9"
"Neville Lederle","Lotus-Climax","21","Climax FPF 1.5 L4","D","Neville Lederle","9"
"Otello Nucci","LDS-Alfa Romeo","Mk 1","Alfa Romeo Giulietta 1.5 L4","D","Doug Serrurier","9"
"Mike Harris","Cooper-Alfa Romeo","T53","Alfa Romeo Giulietta 1.5 L4","D","Mike Harris","9"
