"Name","Quadrant","Sector","Ward","Type","2012
Population
Rank","Population
(2012)","Population
(2011)","% change","Dwellings
(2012)","Area
(km2)","Population
density"
"Castleridge","NE","Northeast","5","Residential","78","6,096","6,098","0","1,954","1.2","5,080"
"Cedarbrae","SW","South","11","Residential","74","6,237","6,264","−0.4","2,609","2.1","2,970"
"CFB Currie","SW","West","11","Residential","197","172","24","616.7","76","1.1","156.4"
"CFB Lincoln Park PMQ","SW","West","11","Residential","154","1,973","1,984","−0.6","729","0.4","4,932.5"
"Chaparral","SE","South","14","Residential","21","11,552","11,151","3.6","3,759","5.4","2,139.3"
"Charleswood","NW","Northwest","7","Residential","121","3,421","3,357","1.9","1,494","1.8","1,900.6"
"Chinatown","SW/SE","Centre","7","Residential","164","1,577","1,269","24.3","1,381","0.2","7,885"
"Chinook Park","SW","South","11","Residential","160","1,707","1,703","0.2","589","0.6","2,845"
"Christie Park","SW","West","6","Residential","149","2,196","2,180","0.7","728","0.8","2,745"
"Citadel","NW","Northwest","2","Residential","33","10,197","10,171","0.3","3,479","2.7","3,776.7"
"Cityscape","NE","Northeast","3","Residential","","","","","","",""
"Cliff Bungalow","SW","Centre","8","Residential","155","1,936","1,912","1.3","1,377","0.4","4,840"
"Coach Hill","SW","West","6","Residential","126","3,279","3,194","2.7","1,480","1.1","2,980.9"
"Collingwood","NW","Northwest","7","Residential","146","2,222","2,231","−0.4","978","1.6","1,388.8"
"Copperfield","SE","Southeast","12","Residential","54","7,834","7,162","9.4","3,043","4.4","1,780.5"
"Coral Springs","NE","Northeast","5","Residential","84","5,868","5,838","0.5","1,508","1.8","3,260"
"Cougar Ridge","SW","West","6","Residential","83","5,874","5,813","1","1,908","2.2","2,670"
"Country Hills","NW","North","4","Residential","116","3,728","3,720","0.2","1,426","1.9","1,962.1"
"Country Hills Village","NE","North","3","Residential","135","2,615","2,342","11.7","1,467","1","2,615"
"Coventry Hills","NE","North","3","Residential","7","15,969","15,722","1.6","5,322","4.1","3,894.9"
"Cranston","SE","Southeast","12","Residential","16","11,857","10,831","9.5","4,625","8.3","1,428.6"
"Crescent Heights","NE/NW","Centre","7","Residential","72","6,271","5,895","6.4","3,614","1.6","3,919.4"
"Crestmont","SW","West","1","Residential","169","1,454","1,430","1.7","462","0.6","2,423.3"
"Dalhousie","NW","Northwest","7","Residential","40","9,085","8,917","1.9","3,739","3.3","2,753"
"Deer Ridge","SE","South","14","Residential","109","4,084","3,991","2.3","1,501","1.4","2,917.1"
"Deer Run","SE","South","14","Residential","91","5,341","5,390","−0.9","2,113","1.9","2,811.1"
"Deerfoot Business Centre","NE","Northeast","3","Industrial","239","0","0","—","0","2","0"
"Diamond Cove","SE","South","14","Residential","181","699","716","−2.4","271","0.5","1,398"
"Discovery Ridge","SW","West","6","Residential","103","4,350","4,321","0.7","1,649","3.6","1,208.3"
"Douglasdale/Glen","SE","Southeast","12","Residential","15","11,890","11,768","1","4,217","6.4","1,857.8"
"Dover","SE","East","9","Residential","30","10,474","10,302","1.7","4,722","4.2","2,493.8"
"Downtown Commercial Core","SW/SE","Centre","7/8","Residential","52","8,015","8,071","−0.7","5,121","1.3","6,165.4"
"Downtown East Village","SE","Centre","7","Residential","132","2,782","2,747","1.3","1,230","0.5","5,564"
"Downtown West End","SW","Centre","8","Residential","142","2,322","2,483","−6.5","1,628","0.4","5,805"
"Eagle Ridge","SW","South","11","Residential","190","415","443","−6.3","110","0.4","1,037.5"
"East Fairview Industrial","SE","South","9","Industrial","213","0","0","—","1","2.3","0"
"East Shepard Industrial","SE","Southeast","12","Industrial","240","0","0","—","0","17.4","0"
"Eastfield","SE","East","10","Industrial","241","0","0","—","0","1.1","0"
"Eau Claire","SW","Centre","7","Residential","158","1,851","1,711","8.2","1,328","0.5","3,702"
"Edgemont","NW","Northwest","4","Residential","8","15,898","16,082","−1.1","5,421","6.6","2,408.8"
"Elbow Park","SW","Centre","8/11","Residential","122","3,377","3,408","−0.9","1,221","1.8","1,876.1"
"Elboya","SW","Centre","11","Residential","159","1,712","1,747","−2","783","0.7","2,445.7"
"Erin Woods","SE","East","10","Residential","64","6,901","6,794","1.6","2,453","1.6","4,313.1"
"Erlton","SW/SE","Centre","9","Residential","173","1,234","1,231","0.2","742","0.5","2,468"
"Evanston","NW","North","2","Residential","68","6,594","5,889","12","2,576","4.9","1,345.7"
"Evergreen","SW","South","13","Residential","2","20,110","19,487","3.2","6,961","4.6","4,371.7"
"Fairview","SE","South","9","Residential","119","3,623","3,552","2","1,606","1.3","2,786.9"
"Fairview Industrial","SE","South","9","Industrial","214","0","0","—","2","1.3","0"
"Falconridge","NE","Northeast","5","Residential","32","10,381","10,043","3.4","3,478","2.2","4,718.6"
"Fish Creek Park","SE/SW","South","12/13/14","Major Park","242","0","0","—","0","15.6","0"
"Foothills","SE","East","9","Industrial","195","298","326","−8.6","2","7.6","39.2"
"Forest Heights","SE","East","10","Residential","76","6,212","6,185","0.4","2,221","1.5","4,141.3"
"Forest Lawn","SE","East","10","Residential","58","7,487","7,313","2.4","3,352","2.3","3,255.2"
"Forest Lawn Industrial","SE","East","10","Industrial","198","130","120","8.3","63","1.5","86.7"
"Franklin","NE/SE","Northeast","10","Industrial","215","0","0","—","3","1.5","0"
"Glamorgan","SW","West","6","Residential","70","6,376","6,242","2.1","2,988","2","3,188"
"Glenbrook","SW","West","6","Residential","61","7,056","6,893","2.4","3,247","1.9","3,713.7"
"Glendale","SW","West","6","Residential","133","2,749","2,730","0.7","1,111","1.4","1,963.6"
"Glendeer Business Park","SE","South","9","Industrial","243","0","0","—","0","0.3","0"
"Glenmore Park","SW","West","11","Major Park","216","0","0","—","3","10.2","0"
"Golden Triangle","SE","East","9","Industrial","217","0","0","—","1","0.5","0"
"Great Plains","SE","East","9","Industrial","244","0","0","—","0","4.3","0"
"Greenview","NE","North","4","Residential","153","1,975","1,956","1","1,120","0.5","3,950"
"Greenview Industrial Park","NE","North","4/9","Industrial","218","0","0","—","5","2.1","0"
"Greenwood/Greenbriar","NW","Northwest","1","Residential","175","946","932","1.5","501","1.2","788.3"
"Hamptons","NW","Northwest","2","Residential","53","7,905","7,843","0.8","2,471","3.5","2,258.6"
"Harvest Hills","NE","North","3","Residential","59","7,402","7,485","−1.1","2,569","2.2","3,364.5"
"Hawkwood","NW","Northwest","2","Residential","34","9,831","9,898","−0.7","3,331","3.2","3,072.2"
"Haysboro","SW","South","11","Residential","63","6,943","6,724","3.3","3,637","2.7","2,571.5"
"Hidden Valley","NW","North","4","Residential","19","11,799","11,657","1.2","3,867","4.3","2,744"
"Highfield","SE","Centre","9","Industrial","245","0","0","—","0","2.7","0"
"Highland Park","NW/NE","Centre","4","Residential","114","3,792","3,539","7.1","2,123","1.4","2,708.6"
"Highwood","NW","Centre","7","Residential","147","2,214","2,098","5.5","993","0.9","2,460"
"Hillhurst","NW","Centre","7","Residential","71","6,291","5,914","6.4","3,557","2.1","2,995.7"
"Horizon","NE","Northeast","3/5","Industrial","207","31","74","−58.1","4","2.3","13.5"
"Hotchkiss","SE","Northeast","12","Residential","","","","","","",""
"Hounsfield Heights/Briar Hill","NW","Centre","7","Residential","130","2,954","2,927","0.9","1,109","1.2","2,461.7"
"Huntington Hills","NW/NE","North","4","Residential","13","13,213","13,279","−0.5","5,580","4.8","2,752.7"
"Inglewood","SE","Centre","9","Residential","120","3,564","3,473","2.6","2,241","2.5","1,425.6"
"Kelvin Grove","SW","South","11","Residential","141","2,343","2,334","0.4","903","0.8","2,928.8"
"Killarney/Glengarry","SW","Centre","8","Residential","67","6,816","6,543","4.2","3,679","1.8","3,786.7"
"Kincora","NW","North","2","Residential","98","4,876","4,625","5.4","1,548","2.3","2,120"
"Kingsland","SW","South","11","Residential","102","4,513","4,418","2.2","2,383","1.3","3,471.5"
"Lake Bonavista","SE","South","14","Residential","29","10,475","10,610","−1.3","4,106","5.2","2,014.4"
"Lakeview","SW","West","11","Residential","90","5,468","5,501","−0.6","2,338","2.2","2,485.5"
"Legacy","SE","South","14","Residential","219","0","11","−100","0","6.1","0"
"Lincoln Park","SW","West","11","Residential","139","2,505","2,501","0.2","1,413","1.5","1,670"
"Lower Mount Royal","SW","Centre","8","Residential","127","3,180","2,981","6.7","2,266","0.3","10,600"
"MacEwan Glen","NW","North","4","Residential","96","5,100","5,138","−0.7","1,781","1.4","3,642.9"
"Mahogany","SE","Southeast","12","Residential","171","1,266","788","60.7","572","6.4","197.8"
"Manchester","SW","Centre","9","Residential","186","618","669","−7.6","448","0.5","1,236"
"Manchester Industrial","SE/SW","Centre","9","Industrial","220","0","0","—","3","4.6","0"
"Maple Ridge","SE","South","14","Residential","156","1,910","1,978","−3.4","811","2.8","682.1"
"Marlborough","NE","Northeast","10","Residential","48","8,434","8,310","1.5","3,123","2.7","3,123.7"
"Marlborough Park","NE","Northeast","10","Residential","49","8,391","8,278","1.4","3,050","2.5","3,356.4"
"Martindale","NE","Northeast","5","Residential","12","13,674","12,987","5.3","3,912","2.7","5,064.4"
"Mayfair","SW","Centre","11","Residential","187","481","470","2.3","156","0.3","1,603.3"
"Mayland","SE/NE","Northeast","10","Industrial","221","0","0","—","1","1.2","0"
"Mayland Heights","NE","Northeast","10","Residential","86","5,833","5,835","0","2,787","2","2,916.5"
"McCall","NE","Northeast","5","Industrial","246","0","0","—","0","2.4","0"
"McKenzie Lake","SE","Southeast","12","Residential","10","14,050","14,062","−0.1","4,653","5.1","2,754.9"
"McKenzie Towne","SE","Southeast","12","Residential","6","16,102","15,395","4.6","6,783","4.8","3,354.6"
"Meadowlark Park","SW","Centre","11","Residential","184","623","605","3","277","0.6","1,038.3"
"Meridian","NE/SE","Northeast","10","Industrial","247","0","0","—","0","1.4","0"
"Midnapore","SE","South","14","Residential","66","6,861","6,888","−0.4","2,726","2.9","2,365.9"
"Millrise","SW/SE","South","13","Residential","65","6,892","6,717","2.6","2,635","1.8","3,828.9"
"Mission","SW/SE","Centre","8","Residential","104","4,325","4,363","−0.9","3,177","0.5","8,650"
"Monterey Park","NE","Northeast","5","Residential","31","10,470","10,460","0.1","3,164","3.4","3,079.4"
"Montgomery","NW","Northwest","1","Residential","112","3,860","3,686","4.7","1,839","3","1,286.7"
"Mount Pleasant","NW","Centre","7","Residential","99","4,851","4,718","2.8","2,654","1.9","2,553.2"
"New Brighton","SE","Southeast","12","Residential","50","8,303","7,314","13.5","3,247","2.9","2,863.1"
"Nolan Hill","NW","North","2","Residential","222","0","0","—","23","2.1","0"
"North Airways","NE","Northeast","5","Industrial","223","0","20","−100","3","1.2","0"
"North Glenmore Park","SW","West","11","Residential","140","2,386","2,388","−0.1","1,020","1.2","1,988.3"
"North Haven","NW","North","4","Residential","144","2,288","2,282","0.3","988","0.8","2,860"
"North Haven Upper","NW","North","4","Residential","185","622","615","1.1","246","0.3","2,073.3"
"Nose Hill Park","NW","Northwest","4","Major Park","248","0","0","—","0","11.6","0"
"Oakridge","SW","South","11","Residential","88","5,651","5,719","−1.2","2,291","2.4","2,354.6"
"Ogden","SE","Southeast","9","Residential","43","8,702","8,432","3.2","3,879","4.1","2,122.4"
"Ogden Shops","SE","East","9","Industrial","249","0","0","—","0","2.2","0"
"Palliser","SW","South","11","Residential","125","3,293","3,301","−0.2","1,707","1","3,293"
"Panorama Hills","NW","North","3","Residential","1","22,247","19,851","12.1","7,398","6.3","3,531.3"
"Parkdale","NW","Centre","7","Residential","143","2,296","2,317","−0.9","1,020","1.1","2,087.3"
"Parkhill","SW","Centre","9","Residential","162","1,592","1,623","−1.9","849","0.7","2,274.3"
"Parkland","SE","South","14","Residential","115","3,785","3,772","0.3","1,448","1.8","2,102.8"
"Patterson","SW","West","6","Residential","106","4,281","4,162","2.9","2,008","2","2,140.5"
"Pegasus","NE","Northeast","3","Industrial","224","0","0","—","2","0.3","0"
"Penbrooke Meadows","SE","East","10","Residential","46","8,547","8,188","4.4","3,212","2","4,273.5"
"Pineridge","NE","Northeast","5","Residential","36","9,644","9,626","0.2","3,799","2.6","3,709.2"
"Point Mckay","NW","Centre","7","Residential","170","1,318","1,318","0","846","0.4","3,295"
"Pump Hill","SW","South","11","Residential","161","1,614","1,655","−2.5","563","0.9","1,793.3"
"Queens Park Village","NW","Centre","7","Residential","191","415","400","3.8","188","0.6","691.7"
"Queensland","SE","South","14","Residential","100","4,771","4,877","−2.2","1,894","1.6","2,981.9"
"Ramsay","SE","Centre","9","Residential","151","2,110","2,006","5.2","1,132","1","2,110"
"Ranchlands","NW","Northwest","2","Residential","57","7,626","7,529","1.3","3,051","2.3","3,315.7"
"Red Carpet","SE","East","10","Residential","167","1,555","1,630","−4.6","917","0.6","2,591.7"
"Redstone","NE","Northeast","3","Residential","225","0","0","—","0","1.9","0"
"Renfrew","NE","Centre","9","Residential","85","5,846","5,669","3.1","3,231","2.7","2,165.2"
"Residual Ward 1","NW/SW","West/
Northwest","1","Residual Area","194","308","343","−10.2","110","n/a","—"
"Residual Ward 2","NW","North/
Northwest","2","Residual Area","174","1,181","1,140","3.6","25","n/a","—"
"Residual Ward 3","NE/NW","North/
Northeast","3","Residual Area","199","83","109","−23.9","31","n/a","—"
"Residual Ward 4","","","4","Residual Area","210","3","4","−25","0","n/a","—"
"Residual Ward 5","NE","Northeast","5","Residual Area","204","35","28","25","11","n/a","—"
"Residual Ward 6","SW","West","6","Residual Area","203","37","36","2.8","13","n/a","—"
"Residual Ward 7","","","7","Residual Area","226","0","0","—","0","n/a","—"
"Residual Ward 8","","","8","Residual Area","227","0","0","—","0","n/a","—"
"Residual Ward 9","SE","East/
Southeast","9","Residual Area","202","48","40","20","7","n/a","—"
"Residual Ward 10","SE/NE","East","10","Residual Area","179","834","827","0.8","378","n/a","—"
"Residual Ward 11","","","11","Residual Area","209","5","6","−16.7","0","n/a","—"
"Residual Ward 12","SE","Southeast","12","Residual Area","193","329","327","0.6","135","n/a","—"
"Residual Ward 13","SW","South","13","Residual Area","200","82","60","36.7","36","n/a","—"
"Residual Ward 14","SE/SW","South","14","Residual Area","201","60","58","3.4","27","n/a","—"
"Richmond","SW","Centre","8","Residential","107","4,229","4,113","2.8","2,259","1.8","2,349.4"
"Rideau Park","SW","Centre","9","Residential","183","636","627","1.4","342","0.3","2,120"
"Riverbend","SE","Southeast","9","Residential","35","9,684","9,749","−0.7","3,449","4.1","2,362"
"Rocky Ridge","NW","Northwest","1","Residential","56","7,662","7,266","5.5","2,972","2.8","2,736.4"
"Rosedale","NW","Centre","7","Residential","165","1,569","1,592","−1.4","636","0.7","2,241.4"
"Rosemont","NW","Centre","7","Residential","172","1,241","1,208","2.7","563","0.5","2,482"
"Rosscarrock","SW","West","8","Residential","123","3,356","3,175","5.7","1,645","1.1","3,050.9"
"Roxboro","SW","Centre","9","Residential","189","421","441","−4.5","161","0.3","1,403.3"
"Royal Oak","NW","Northwest","2","Residential","23","11,252","10,979","2.5","3,940","3.6","3,125.6"
"Royal Vista","NW","Northwest","2","Industrial","250","0","0","—","0","1.3","0"
"Rundle","NE","Northeast","5","Residential","22","11,258","11,029","2.1","3,836","2.6","4,330"
"Rutland Park","SW","West","11","Residential","145","2,227","2,309","−3.6","972","0.7","3,181.4"
"Saddle Ridge","NE","Northeast","3","Residential","9","14,372","13,388","7.3","3,668","5.5","2,613.1"
"Saddle Ridge Industrial","NE","Northeast","3","Industrial","205","35","60","−41.7","24","2.5","14"
"Sage Hill","NW","North","2","Residential","150","2,189","1,425","53.6","992","3.8","576.1"
"Sandstone Valley","NW","North","4","Residential","73","6,253","6,142","1.8","2,120","1.8","3,473.9"
"Scarboro","SW","Centre","8","Residential","178","880","870","1.1","343","0.5","1,760"
"Scarboro/Sunalta West","SW","Centre","8","Residential","192","410","397","3.3","165","0.4","1,025"
"Scenic Acres","NW","Northwest","1","Residential","45","8,650","8,710","−0.7","2,921","4.3","2,011.6"
"Section 23","SE","Southeast","9","Industrial","228","0","0","—","1","3.1","0"
"Seton","SE","Southeast","12","Residential","229","0","0","—","0","1.7","0"
"Shaganappi","SW","Centre","8","Residential","168","1,553","1,459","6.4","862","1.5","1,035.3"
"Shawnee Slopes","SW","South","13","Residential","166","1,565","1,529","2.4","866","1.2","1,304.2"
"Shawnessy","SW/SE","South","13","Residential","37","9,385","9,315","0.8","3,300","3.7","2,536.5"
"Shepard Industrial","SE","Southeast","9/12","Industrial","196","251","250","0.4","151","4.2","59.8"
"Sherwood","NW","North","2","Residential","138","2,523","2,109","19.6","979","2.4","1,051.3"
"Signal Hill","SW","West","6","Residential","11","13,914","13,795","0.9","5,253","5.6","2,484.6"
"Silver Springs","NW","Northwest","1","Residential","41","8,933","8,910","0.3","3,533","5","1,786.6"
"Silverado","SW/SE","South","14","Residential","95","5,136","4,337","18.4","1,898","5.1","1,007.1"
"Skyline East","NE","Northeast","3","Industrial","251","0","0","—","0","0.6","0"
"Skyline West","NE","North","4","Industrial","252","0","0","—","0","0.8","0"
"Skyview Ranch","NE","Northeast","3","Residential","129","2,990","1,805","65.7","1,306","4.6","650"
"Somerset","SW/SE","South","13","Residential","47","8,540","8,401","1.7","3,136","2.3","3,713"
"South Airways","NE","Northeast","5","Industrial","230","0","0","—","2","1.9","0"
"South Calgary","SW","Centre","8","Residential","118","3,698","3,642","1.5","2,244","0.9","4,108.9"
"South Foothills","SE","Southeast","9","Industrial","231","0","0","—","3","3.6","0"
"Southview","SE","East","10","Residential","157","1,900","2,063","−7.9","936","1.6","1,187.5"
"Southwood","SW","South","11","Residential","79","6,085","5,965","2","2,658","2.7","2,253.7"
"Springbank Hill","SW","West","6","Residential","42","8,783","8,388","4.7","3,166","6.3","1,394.1"
"Spruce Cliff","SW","West","8","Residential","105","4,285","3,992","7.3","2,344","1.1","3,895.5"
"St. Andrews Heights","NW","Centre","7","Residential","163","1,588","1,470","8","645","1.2","1,323.3"
"Starfield","SE","East","9","Industrial","232","0","0","—","2","4.3","0"
"Stonegate Landing","NE","Northeast","3","Industrial","253","0","0","—","0","5.4","0"
"Stoney 1","NE","North","3","Industrial","233","0","0","—","5","6.1","0"
"Stoney 2","NE","Northeast","3","Industrial","234","0","0","—","1","4","0"
"Stoney 3","NE","Northeast","3","Industrial","254","0","0","—","0","1.3","0"
"Stoney 4","NE","Northeast","3","Industrial","235","0","0","—","3","5.6","0"
"Strathcona Park","SW","West","6","Residential","62","7,033","7,039","−0.1","2,436","2.7","2,604.8"
"Sunalta","SW","Centre","8","Residential","124","3,314","3,116","6.4","2,130","0.9","3,682.2"
"Sundance","SE","South","14","Residential","28","10,499","10,623","−1.2","3,406","4","2,624.8"
"Sunnyside","NW","Centre","7","Residential","117","3,704","3,751","−1.3","2,340","1","3,704"
"Sunridge","NE","Northeast","5","Industrial","206","33","40","−17.5","7","2.3","14.3"
"Taradale","NE","Northeast","3","Residential","5","16,841","16,110","4.5","4,559","2.9","5,807.2"
"Temple","NE","Northeast","5","Residential","25","10,894","10,580","3","3,648","2.6","4,190"
"Thorncliffe","NW/NE","North","4","Residential","44","8,693","8,640","0.6","3,858","3.3","2,634.2"
"Tuscany","NW","Northwest","1","Residential","4","19,013","18,838","0.9","6,492","6.9","2,755.5"
"Tuxedo Park","NE/NW","Centre","9","Residential","101","4,571","4,430","3.2","2,686","1.3","3,516.2"
"University Heights","NW","Northwest","1","Residential","131","2,928","2,890","1.3","1,380","0.8","3,660"
"University of Calgary","NW","Northwest","1","Residential","134","2,725","2,355","15.7","927","2.7","1,009.3"
"Upper Mount Royal","SW","Centre","8","Residential","137","2,542","2,536","0.2","1,071","1.3","1,955.4"
"Valley Ridge","NW","West","1","Residential","97","5,013","5,042","−0.6","1,768","3.3","1,519.1"
"Valleyfield","SE","East","9","Industrial","236","0","0","—","6","1.2","0"
"Varsity","NW","Northwest","1","Residential","14","12,200","12,021","1.5","5,547","6.8","1,794.1"
"Vista Heights","NE","Northeast","5","Residential","148","2,204","2,274","−3.1","844","1.1","2,003.6"
"Walden","SE","South","14","Residential","176","935","594","57.4","450","2.4","389.6"
"West Hillhurst","NW","Centre","7","Residential","87","5,802","5,757","0.8","2,947","2.4","2,417.5"
"West Springs","SW","West","6","Residential","51","8,228","7,849","4.8","2,795","4.1","2,006.8"
"Westgate","SW","West","8","Residential","128","3,172","3,101","2.3","1,334","1.2","2,643.3"
"Westwinds","NE","Northeast","5","Industrial","255","0","0","—","0","2","0"
"Whitehorn","NE","Northeast","5","Residential","17","11,852","11,541","2.7","3,869","2.6","4,558.5"
"Wildwood","SW","West","8","Residential","136","2,598","2,582","0.6","1,056","2.6","999.2"
"Willow Park","SE","South","14","Residential","93","5,229","5,308","−1.5","2,282","3.4","1,537.9"
"Windsor Park","SW","Centre","11","Residential","108","4,126","3,858","6.9","2,421","1.3","3,173.8"
"Winston Heights/Mountview","NE","Centre","9","Residential","111","3,891","3,760","3.5","1,883","3","1,297"
"Woodbine","SW","South","13","Residential","38","9,131","9,086","0.5","3,371","3.2","2,853.4"
"Woodlands","SW","South","13","Residential","77","6,201","6,201","0","2,397","2.8","2,214.6"
"Total City of Calgary","Total City of Calgary","Total City of Calgary","Total City of Calgary","Total City of Calgary","Total City of Calgary","1,120,225","1,090,936","2.7","459,339","848.20","1,320.7"
