"Rank","City","Population (2011)","Population (2001)","State/Territory"
"173","Arrah","261,099","203,380","Bihar"
"174","Karimnagar","260,899","205,653","Andhra Pradesh"
"175","Etawah","256,790","210,453","Uttar Pradesh"
"176","Ambernath","254,003","203,795","Maharashtra"
"177","North Dumdum","253,625","220,042","West Bengal"
"178","Bharatpur","252,109","204,587","Rajasthan"
"179","Begusarai","251,136","93,378","Bihar"
"180","New Delhi","249,998","302,147","Delhi"
"181","Gandhidham","248,705","166,388","Gujarat"
"182","Baranagar","248,466","250,768","West Bengal"
"183","Tiruvottiyur","248,059","212,281","Tamil Nadu"
"184","Puducherry","241,773","220,749","Puducherry"
"185","Sikar","237,579","184,904","Rajasthan"
"186","Thoothukudi","237,374","216,058","Tamil Nadu"
"187","Rewa","235,422","183,274","Madhya Pradesh"
"188","Mirzapur","233,691","205,053","Uttar Pradesh"
"189","Raichur","232,456","207,421","Karnataka"
"190","Pali","229,956","187,641","Rajasthan"
"191","Ramagundam","229,632","236,600","Andhra Pradesh"
"192","Vizianagaram","227,533","174,324","Andhra Pradesh"
"193","Katihar","225,982","175,169","Bihar"
"194","Haridwar","225,235","175,010","Uttarakhand"
"195","Sri Ganganagar","224,773","210,713","Rajasthan"
"196","Karawal Nagar","224,666","148,549","Delhi"
"197","Nagercoil","224,329","208,149","Tamil Nadu"
"198","Mango","224,002","166,091","Jharkhand"
"199","Bulandshahr","222,826","176,256","Uttar Pradesh"
"200","Thanjavur","222,619","215,725","Tamil Nadu"
