Rank	Representative	Party	District	Seniority date	Notes
33	Marcy Kaptur	D	OH-09	January 3, 1983	Senior Woman in the US House of Representatives
34	Sander Levin	D	MI-12	January 3, 1983	
35	Alan Mollohan	D	WV-1	January 3, 1983	
36	Solomon Ortiz	D	TX-27	January 3, 1983	Dean of the Congressional Hispanic Caucus
37	John Spratt	D	SC-5	January 3, 1983	Chair of the Budget Committee
38	Ed Towns	D	NY-10	January 3, 1983	Chair of the Oversight and Government Reform Committee
39	Gary Ackerman	D	NY-05	March 1, 1983	
40	Jim Saxton	R	NJ-03	November 6, 1984	Left the House in 2009
41	Joe Barton	R	TX-06	January 3, 1985	Ranking member of the Energy and Commerce Committee
42	Howard Coble	R	NC-06	January 3, 1985	
43	Bart Gordon	D	TN-6	January 3, 1985	Chair of the Science and Technology Committee
44	Paul Kanjorski	D	PA-11	January 3, 1985	
45	Peter Visclosky	D	IN-1	January 3, 1985	
46	Richard Baker	R	LA-6	January 3, 1987	Resigned February 2, 2008
47	Peter DeFazio	D	OR-4	January 3, 1987	
48	Elton Gallegly	R	CA-24	January 3, 1987	
49	Dennis Hastert	R	IL-14	January 3, 1987	Resigned November 26, 2007
50	Wally Herger	R	CA-02	January 3, 1987	
51	John Lewis	D	GA-05	January 3, 1987	
52	Louise Slaughter	D	NY-28	January 3, 1987	Chair of the Rules Committee
53	Lamar Smith	R	TX-21	January 3, 1987	Ranking member of the Judiciary Committee
54	Fred Upton	R	MI-06	January 3, 1987	
55	Nancy Pelosi	D	CA-08	June 2, 1987	Speaker
56	Chris Shays	R	CT-4	August 18, 1987	Left the House in 2009.
57	Jim McCrery	R	LA-4	April 16, 1988	Ranking member of the Ways and Means Committee\nLeft the House in 2009
58	Jerry Costello	D	IL-12	August 9, 1988	
59	John Duncan	R	TN-2	November 8, 1988	
60	Frank Pallone	D	NJ-06	November 8, 1988	
61	Eliot Engel	D	NY-17	January 3, 1989	
62	Paul Gillmor	R	OH-05	January 3, 1989	Died September 7, 2007
63	Nita Lowey	D	NY-18	January 3, 1989	
64	Jim McDermott	D	WA-7	January 3, 1989	
65	Mike McNulty	D	NY-21	January 3, 1989	Left the House in 2009
66	Richard Neal	D	MA-02	January 3, 1989	
67	Donald Payne	D	NJ-10	January 3, 1989	
68	Dana Rohrabacher	R	CA-46	January 3, 1989	
69	Cliff Stearns	R	FL-06	January 3, 1989	
70	John Tanner	D	TN-8	January 3, 1989	
71	James Walsh	R	NY-25	January 3, 1989	Left the House in 2009
72	Ileana Ros-Lehtinen	R	FL-18	August 29, 1989	Ranking member of the Foreign Affairs Committee\nThe most senior Republican woman in the United States House of Representatives
73	Gene Taylor	D	MS-4	October 17, 1989	
74	José Serrano	D	NY-16	March 20, 1990	
75	Rob Andrews	D	NJ-01	November 6, 1990	
76	Neil Abercrombie	D	HI-1	January 3, 1991	Previously served from September 1986 to January 1987
77	John Boehner	R	OH-08	January 3, 1991	Minority Leader
78	Dave Camp	R	MI-04	January 3, 1991	
79	Bud Cramer	D	AL-5 Left the House in 2009	January 3, 1991	
80	Rosa DeLauro	D	CT-3	January 3, 1991	
81	John T. Doolittle	R	CA-04	January 3, 1991	Left the House in 2009
82	Chet Edwards	D	TX-17	January 3, 1991	
83	Wayne Gilchrest	R	MD-1	January 3, 1991	Left the House in 2009
84	David Hobson	R	OH-07	January 3, 1991	Left the House in 2009
85	William Jefferson	D	LA-2	January 3, 1991	Left the House in 2009
86	Jim Moran	D	VA-08	January 3, 1991	
87	Collin Peterson	D	MN-7	January 3, 1991	
88	Jim Ramstad	R	MN-3	January 3, 1991	Left the House in 2009
89	Maxine Waters	D	CA-35	January 3, 1991	
90	Sam Johnson	R	TX-03	January 3, 1991	May 18, 1991
91	John Olver	D	MA-01	June 4, 1991	
92	Ed Pastor	D	AZ-4	September 24, 1991	
93	Jerrold Nadler	D	NY-08	November 3, 1992	
94	Spencer Bachus	R	AL-6	January 3, 1993	Ranking member of the Financial Services Committee
95	Roscoe Bartlett	R	MD-6	January 3, 1993	
96	Xavier Becerra	D	CA-31	January 3, 1993	
97	Sanford Bishop	D	GA-02	January 3, 1993	
98	Corrine Brown	D	FL-03	January 3, 1993	
99	Steve Buyer	R	IN-4	January 3, 1993	Ranking member of the Veterans' Affairs Committee
100	Ken Calvert	R	CA-44	January 3, 1993	
101	Michael N. Castle	R	DE	January 3, 1993	
102	Jim Clyburn	D	SC-6	January 3, 1993	Majority Whip
103	Nathan Deal	R	GA-09	January 3, 1993	
104	Lincoln Diaz-Balart	R	FL-21	January 3, 1993	
105	Anna Eshoo	D	CA-14	January 3, 1993	
106	Terry Everett	R	AL-2	January 3, 1993	Left the House in 2009
107	Bob Filner	D	CA-51	January 3, 1993	Chair of the Veterans' Affairs Committee
108	Bob Goodlatte	R	VA-06	January 3, 1993	Ranking member of the Agriculture Committee
109	Gene Green	D	TX-29	January 3, 1993	
110	Luis Gutiérrez	D	IL-04	January 3, 1993	
111	Alcee Hastings	D	FL-23	January 3, 1993	
112	Maurice Hinchey	D	NY-22	January 3, 1993	
113	Pete Hoekstra	R	MI-02	January 3, 1993	Ranking member of the Intelligence Committee
114	Tim Holden	D	PA-17	January 3, 1993	
115	Eddie Bernice Johnson	D	TX-30	January 3, 1993	
116	Peter King	R	NY-03	January 3, 1993	Ranking member of the Homeland Security Committee
117	Jack Kingston	R	GA-01	January 3, 1993	
118	Joe Knollenberg	R	MI-09	January 3, 1993	Left the House in 2009.
119	John Linder	R	GA-07	January 3, 1993	
120	Carolyn Maloney	D	NY-14	January 3, 1993	
121	Donald Manzullo	R	IL-16	January 3, 1993	
122	John McHugh	R	NY-23	January 3, 1993	
123	Buck McKeon	R	CA-25	January 3, 1993	Ranking member of the Education and Labor Committee
124	Marty Meehan	D	MA-05	January 3, 1993	Resigned July 1, 2007
125	John Mica	R	FL-07	January 3, 1993	Ranking member of the Transportation and Infrastructure Committee
126	Earl Pomeroy	D	ND	January 3, 1993	
127	Deborah Pryce	R	OH-15	January 3, 1993	Left the House in 2009
128	Lucille Roybal-Allard	D	CA-34	January 3, 1993	
129	Ed Royce	R	CA-40	January 3, 1993	
130	Bobby Rush	D	IL-01	January 3, 1993	
131	Bobby Scott	D	VA-03	January 3, 1993	
132	Bart Stupak	D	MI-01	January 3, 1993	
133	Nydia Velázquez	D	NY-12	January 3, 1993	Chair of the Small Business Committee
134	Mel Watt	D	NC-12	January 3, 1993	
135	Lynn Woolsey	D	CA-06	January 3, 1993	
136	Albert Wynn	D	MD-4	January 3, 1993	Resigned May 31, 2008
137	Bennie Thompson	D	MS-2	April 13, 1993	Chair of the Homeland Security Committee
138	Sam Farr	D	CA-17	June 8, 1993	
139	Vern Ehlers	R	MI-03	December 7, 1993	Ranking member of the House Administration Committee
140	Frank Lucas	R	OK-3	May 10, 1994	
141	Ron Lewis	R	KY-2	May 24, 1994	Left the House in 2009
142	Steve Chabot	R	OH-01	January 3, 1995	Ranking member of the Small Business Committee. Left the House in 2009.
143	Barbara Cubin	R	WY	January 3, 1995	Left the House in 2009
144	Thomas Davis	R	VA-11	January 3, 1995	Ranking member of the Oversight and Government Reform Committee\nLeft the House in 2009
145	Lloyd Doggett	D	TX-25	January 3, 1995	
146	Mike Doyle	D	PA-14	January 3, 1995	
147	Phil English	R	PA-03	January 3, 1995	Left the House in 2009.
148	Chaka Fattah	D	PA-02	January 3, 1995	
149	Rodney Frelinghuysen	R	NJ-11	January 3, 1995	
150	Doc Hastings	R	WA-4	January 3, 1995	Ranking member of the Ethics Committee
151	Sheila Jackson-Lee	D	TX-18	January 3, 1995	
152	Walter B. Jones	R	NC-03	January 3, 1995	
153	Patrick Kennedy	D	RI-1	January 3, 1995	
154	Ray LaHood	R	IL-18	January 3, 1995	Left the House in 2009
155	Tom Latham	R	IA-4	January 3, 1995	
156	Steven LaTourette	R	OH-14	January 3, 1995	
157	Frank LoBiondo	R	NJ-02	January 3, 1995	
158	Zoe Lofgren	D	CA-16	January 3, 1995	
159	Sue Myrick	R	NC-09	January 3, 1995	
160	Charlie Norwood	R	GA-09	January 3, 1995	Died 13 February 2007
161	George Radanovich	R	CA-19	January 3, 1995	
162	John Shadegg	R	AZ-3	January 3, 1995	
163	Mark Souder	R	IN-3	January 3, 1995	
164	Mac Thornberry	R	TX-13	January 3, 1995	
165	Todd Tiahrt	R	KS-4	January 3, 1995	
166	Zach Wamp	R	TN-3	January 3, 1995	
167	Dave Weldon	R	FL-15	January 3, 1995	Left the House in 2009
168	Jerry Weller	R	IL-11	January 3, 1995	Left the House in 2009
169	Ed Whitfield	R	KY-1	January 3, 1995	
170	Roger Wicker	R	MS-1	January 3, 1995	Resigned December 31, 2007
171	Jesse Jackson, Jr.	D	IL-02	December 12, 1995	
172	Juanita Millender-McDonald	D	CA-37	March 26, 1996	Died April 22, 2007
173	Elijah Cummings	D	MD-7	April 16, 1996	
174	Earl Blumenauer	D	OR-3	May 21, 1996	
175	Jo Ann Emerson	R	MO-8	November 5, 1996	
176	David Price	D	NC-04	January 3, 1997	Previously served from 1987 to 1995.
177	Ron Paul	R	TX-14	January 3, 1997	Previously served from 1976 to 1977 and from 1979 to 1985.
178	Robert Aderholt	R	AL-4	January 3, 1997	
179	Tom Allen	D	ME-1	January 3, 1997	Left the House in 2009
180	Marion Berry	D	AR-1	January 3, 1997	
181	Roy Blunt	R	MO-7	January 3, 1997	Minority Whip
182	Leonard Boswell	D	IA-3	January 3, 1997	
183	Allen Boyd	D	FL-02	January 3, 1997	
184	Kevin Brady	R	TX-08	January 3, 1997	
185	Chris Cannon	R	UT-3	January 3, 1997	Left the House in 2009
186	Julia Carson	D	IN-7	January 3, 1997	Died December 15, 2007
187	Danny Davis	D	IL-07	January 3, 1997	
188	Diana DeGette	D	CO-1	January 3, 1997	
189	Bill Delahunt	D	MA-10	January 3, 1997	
190	Bob Etheridge	D	NC-02	January 3, 1997	
191	Virgil Goode	R	VA-05	January 3, 1997	Left the House in 2009.
192	Kay Granger	R	TX-12	January 3, 1997	
193	Rubén Hinojosa	D	TX-15	January 3, 1997	
194	Darlene Hooley	D	OR-5	January 3, 1997	Left the House in 2009
195	Kenny Hulshof	R	MO-9	January 3, 1997	Left the House in 2009
196	Carolyn Cheeks Kilpatrick	D	MI-13	January 3, 1997	
197	Ron Kind	D	WI-3	January 3, 1997	
198	Dennis Kucinich	D	OH-10	January 3, 1997	
199	Carolyn McCarthy	D	NY-04	January 3, 1997	
200	Jim McGovern	D	MA-03	January 3, 1997	
201	Mike McIntyre	D	NC-07	January 3, 1997	
202	Jerry Moran	R	KS-1	January 3, 1997	
203	Bill Pascrell	D	NJ-08	January 3, 1997	
204	John Peterson	R	PA-05	January 3, 1997	Left the House in 2009
205	Chip Pickering	R	MS-3	January 3, 1997	Left the House in 2009
206	Joe Pitts	R	PA-16	January 3, 1997	
207	Silvestre Reyes	D	TX-16	January 3, 1997	Chair of the Intelligence Committee
208	Steven Rothman	D	NJ-09	January 3, 1997	
209	Loretta Sanchez	D	CA-47	January 3, 1997	
210	Pete Sessions	R	TX-32	January 3, 1997	
211	Brad Sherman	D	CA-27	January 3, 1997	
212	John Shimkus	R	IL-19	January 3, 1997	
213	Adam Smith	D	WA-9	January 3, 1997	
214	Vic Snyder	D	AR-2	January 3, 1997	
215	Ellen Tauscher	D	CA-10	January 3, 1997	
216	John Tierney	D	MA-06	January 3, 1997	
217	Robert Wexler	D	FL-19	January 3, 1997	
218	Vito Fossella	R	NY-13	November 4, 1997	Left the House in 2009
219	Gregory Meeks	D	NY-06	February 3, 1998	
220	Lois Capps	D	CA-23	March 10, 1998	
221	Mary Bono	R	CA-45	April 7, 1998	
222	Barbara Lee	D	CA-09	April 7, 1998	
223	Robert Brady	D	PA-01	May 19, 1998	Chair of the House Administration Committee
224	Heather Wilson	R	NM-1	June 23, 1998	Left the House in 2009
225	Jay Inslee	D	WA-1	January 3, 1999	Previously served from 1993 to 1995.
226	Brian Baird	D	WA-3	January 3, 1999	
227	Tammy Baldwin	D	WI-2	January 3, 1999	
228	Shelley Berkley	D	NV-1	January 3, 1999	
229	Judy Biggert	R	IL-13	January 3, 1999	
230	Mike Capuano	D	MA-08	January 3, 1999	
231	Joe Crowley	D	NY-07	January 3, 1999	
232	Charlie Gonzalez	D	TX-20	January 3, 1999	
233	Robin Hayes	R	NC-08	January 3, 1999	Left the House in 2009.
234	Rush D. Holt	D	NJ-12	January 3, 1999	
235	Stephanie Tubbs Jones	D	OH-11	January 3, 1999	Died August 20, 2008
236	John Larson	D	CT-1	January 3, 1999	
237	Gary Miller	R	CA-42	January 3, 1999	
238	Dennis Moore	D	KS-3	January 3, 1999	
239	Grace Napolitano	D	CA-38	January 3, 1999	
240	Tom Reynolds	R	NY-26	January 3, 1999	Left the House in 2009
241	Paul Ryan	R	WI-1	January 3, 1999	Ranking member of the Budget Committee
242	Jan Schakowsky	D	IL-09	January 3, 1999	
243	Mike Simpson	R	ID-2	January 3, 1999	
244	Tom Tancredo	R	CO-6	January 3, 1999	Left the House in 2009
245	Lee Terry	R	NE-2	January 3, 1999	
246	Mike Thompson	D	CA-01	January 3, 1999	
247	Mark Udall	D	CO-2	January 3, 1999	Left the House in 2009
248	Tom Udall	D	NM-3	January 3, 1999	Left the House in 2009
249	Greg Walden	R	OR-2	January 3, 1999	
250	Anthony Weiner	D	NY-09	January 3, 1999	
251	David Wu	D	OR-1	January 3, 1999	
252	Joe Baca	D	CA-43	November 16, 1999	
253	Jane Harman	D	CA-36	January 3, 2001	Previously served from 1993 to 1999.
254	Todd Akin	R	MO-2	January 3, 2001	
255	Henry Brown	R	SC-1	January 3, 2001	
256	Eric Cantor	R	VA-07	January 3, 2001	
257	Shelley Moore Capito	R	WV-2	January 3, 2001	
258	William Lacy Clay	D	MO-1	January 3, 2001	
259	Ander Crenshaw	R	FL-04	January 3, 2001	
260	John Culberson	R	TX-07	January 3, 2001	
261	Jo Ann Davis	D	VA-01	January 3, 2001	Died October 6, 2007
262	Susan Davis	D	CA-53	January 3, 2001	
263	Mike Ferguson	R	NJ-07	January 3, 2001	Left the House in 2009
264	Jeff Flake	R	AZ-6	January 3, 2001	
265	Sam Graves	R	MO-6	January 3, 2001	
266	Mike Honda	D	CA-15	January 3, 2001	
267	Steve Israel	D	NY-02	January 3, 2001	
268	Darrell Issa	R	CA-49	January 3, 2001	
269	Timothy Johnson	R	IL-15	January 3, 2001	
270	Ric Keller	R	FL-08	January 3, 2001	Left the House in 2009.
271	Mark Kirk	R	IL-10	January 3, 2001	
272	James Langevin	D	RI-2	January 3, 2001	
273	Rick Larsen	D	WA-2	January 3, 2001	
274	Jim Matheson	D	UT-2	January 3, 2001	
275	Betty McCollum	D	MN-4	January 3, 2001	
276	Mike Pence	R	IN-6	January 3, 2001	
277	Todd Platts	R	PA-19	January 3, 2001	
278	Adam Putnam	R	FL-12	January 3, 2001	
279	Denny Rehberg	R	MT	January 3, 2001	
280	Mike Rogers	R	MI-08	January 3, 2001	
281	Mike Ross	D	AR-4	January 3, 2001	
282	Adam Schiff	D	CA-29	January 3, 2001	
283	Hilda Solis	D	CA-32	January 3, 2001	
284	Patrick Tiberi	R	OH-12	January 3, 2001	
285	Bill Shuster	R	PA-09	May 15, 2001	
286	Diane Watson	D	CA-33	June 5, 2001	
287	Randy Forbes	R	VA-04	June 19, 2001	
288	Stephen Lynch	D	MA-09	October 16, 2001	
289	Jeff Miller	R	FL-01	October 16, 2001	
290	John Boozman	R	AR-3	November 20, 2001	
291	Joe Wilson	R	SC-2	December 18, 2001	
292	John Sullivan	R	OK-1	February 15, 2002	
293	Jim Cooper	D	TN-5	January 3, 2003	Previously served from 1983 to 1995.
294	Rodney Alexander	R	LA-5	January 3, 2003	
295	Gresham Barrett	R	SC-3	January 3, 2003	
296	Rob Bishop	R	UT-1	January 3, 2003	
297	Tim Bishop	D	NY-01	January 3, 2003	
298	Marsha Blackburn	R	TN-7	January 3, 2003	
299	Jo Bonner	R	AL-1	January 3, 2003	
300	Ginny Brown-Waite	R	FL-05	January 3, 2003	
301	Michael Burgess	R	TX-26	January 3, 2003	
302	Dennis Cardoza	D	CA-18	January 3, 2003	
303	John Carter	R	TX-31	January 3, 2003	
304	Tom Cole	R	OK-4	January 3, 2003	
305	Artur Davis	D	AL-7	January 3, 2003	
306	Lincoln Davis	D	TN-4	January 3, 2003	
307	Mario Diaz-Balart	R	FL-25	January 3, 2003	
308	Rahm Emanuel	D	IL-05	January 3, 2003	Democratic Caucus Chairman\nResigned January 2, 2009
309	Tom Feeney	R	FL-24	January 3, 2003	Left the House in 2009.
310	Trent Franks	R	AZ-2	January 3, 2003	
311	Scott Garrett	R	NJ-05	January 3, 2003	
312	Jim Gerlach	R	PA-06	January 3, 2003	
313	Phil Gingrey	R	GA-11	January 3, 2003	
314	Raúl Grijalva	D	AZ-7	January 3, 2003	
315	Jeb Hensarling	R	TX-05	January 3, 2003	
316	Steve King	R	IA-5	January 3, 2003	
317	John Kline	R	MN-2	January 3, 2003	
318	Jim Marshall	D	GA-08	January 3, 2003	
319	Thaddeus McCotter	R	MI-11	January 3, 2003	
320	Kendrick Meek	D	FL-17	January 3, 2003	
321	Mike Michaud	D	ME-2	January 3, 2003	
322	Brad Miller	D	NC-13	January 3, 2003	
323	Candice Miller	R	MI-10	January 3, 2003	
324	Tim Murphy	R	PA-18	January 3, 2003	
325	Marilyn Musgrave	R	CO-4	January 3, 2003	Left the House in 2009.
326	Devin Nunes	R	CA-21	January 3, 2003	
327	Steve Pearce	R	NM-2	January 3, 2003	Left the House in 2009
328	Jon Porter	R	NV-3	January 3, 2003	Left the House in 2009.
329	Rick Renzi	R	AZ-1	January 3, 2003	Left the House in 2009
330	Mike D. Rogers	R	AL-3	January 3, 2003	
331	Dutch Ruppersberger	D	MD-2	January 3, 2003	
332	Tim Ryan	D	OH-17	January 3, 2003	
333	Linda Sánchez	D	CA-39	January 3, 2003	
334	David Scott	D	GA-13	January 3, 2003	
335	Michael Turner	R	OH-03	January 3, 2003	
336	Chris Van Hollen	D	MD-8	January 3, 2003	
337	Randy Neugebauer	R	TX-19	June 3, 2003	
338	Ben Chandler	D	KY-6	February 17, 2004	
339	Stephanie Herseth	D	SD	June 1, 2004	
340	G. K. Butterfield	D	NC-01	July 20, 2004	
341	Dan Lungren	R	CA-03	January 3, 2005	Previously served from 1979 to 1989.
342	Bob Inglis	R	SC-4	January 3, 2005	Previously served from 1993 to 1999.
343	John Barrow	D	GA-12	January 3, 2005	
344	Melissa Bean	D	IL-08	January 3, 2005	
345	Dan Boren	D	OK-2	January 3, 2005	
346	Charles Boustany	R	LA-7	January 3, 2005	
347	Russ Carnahan	D	MO-3	January 3, 2005	
348	Emanuel Cleaver	D	MO-5	January 3, 2005	
349	Mike Conaway	R	TX-11	January 3, 2005	
350	Jim Costa	D	CA-20	January 3, 2005	
351	Henry Cuellar	D	TX-28	January 3, 2005	
352	Geoff Davis	R	KY-4	January 3, 2005	
353	Charlie Dent	R	PA-15	January 3, 2005	
354	Thelma Drake	R	VA-02	January 3, 2005	Left the House in 2009.
355	Jeff Fortenberry	R	NE-1	January 3, 2005	
356	Virginia Foxx	R	NC-05	January 3, 2005	
357	Louis Gohmert	R	TX-01	January 3, 2005	
358	Al Green	D	TX-09	January 3, 2005	
359	Brian Higgins	D	NY-27	January 3, 2005	
360	Bobby Jindal	R	LA-1	January 3, 2005	Resigned on January 14, 2008
361	Randy Kuhl	R	NY-29	January 3, 2005	Left the House in 2009.
362	Dan Lipinski	D	IL-03	January 3, 2005	
363	Connie Mack IV	R	FL-14	January 3, 2005	
364	Kenny Marchant	R	TX-24	January 3, 2005	
365	Mike McCaul	R	TX-10	January 3, 2005	
366	Patrick McHenry	R	NC-10	January 3, 2005	
367	Cathy McMorris	R	WA-5	January 3, 2005	
368	Charlie Melancon	D	LA-3	January 3, 2005	
369	Gwen Moore	D	WI-4	January 3, 2005	
370	Ted Poe	R	TX-02	January 3, 2005	
371	Tom Price	R	GA-06	January 3, 2005	
372	Dave Reichert	R	WA-8	January 3, 2005	
373	John Salazar	D	CO-3	January 3, 2005	
374	Allyson Schwartz	D	PA-13	January 3, 2005	
375	Debbie Wasserman Schultz	D	FL-20	January 3, 2005	
376	Lynn Westmoreland	R	GA-03	January 3, 2005	
377	Doris Matsui	D	CA-05	March 10, 2005	
378	Jean Schmidt	R	OH-02	August 3, 2005	
379	John Campbell	R	CA-48	December 7, 2005	
380	Brian Bilbray	R	CA-50	June 13, 2006	Previously served from 1995 to 2001.
381	Albio Sires	D	NJ-13	November 13, 2006	
382	Nick Lampson	D	TX-22	January 4, 2007	Previously served from 1997 to 2005. Left the House in 2009.
383	Ciro Rodriguez	D	TX-23	January 4, 2007	Previously served from 1997 to 2005.
384	Baron Hill	D	IN-9	January 4, 2007	Previously served from 1999 to 2005.
385	Jason Altmire	D	PA-04	January 4, 2007	
386	Michael Arcuri	D	NY-24	January 4, 2007	
387	Michele Bachmann	R	MN-6	January 4, 2007	
388	Gus Bilirakis	R	FL-09	January 4, 2007	
389	Nancy Boyda	D	KS-2	January 4, 2007	Left the House in 2009.
390	Bruce Braley	D	IA-1	January 4, 2007	
391	Vern Buchanan	R	FL-13	January 4, 2007	
392	Chris Carney	D	PA-10	January 4, 2007	
393	Kathy Castor	D	FL-11	January 4, 2007	
394	Yvette D. Clarke	D	NY-11	January 4, 2007	
395	Steve Cohen	D	TN-9	January 4, 2007	
396	Joe Courtney	D	CT-2	January 4, 2007	
397	David Davis	R	TN-1	January 4, 2007	Left the House in 2009.
398	Joe Donnelly	D	IN-2	January 4, 2007	
399	Keith Ellison	D	MN-5	January 4, 2007	
400	Brad Ellsworth	D	IN-8	January 4, 2007	
401	Mary Fallin	R	OK-5	January 4, 2007	
402	Gabrielle Giffords	D	AZ-8	January 4, 2007	
403	Kirsten Gillibrand	D	NY-20	January 4, 2007	
404	John Hall	D	NY-19	January 4, 2007	
405	Phil Hare	D	IL-17	January 4, 2007	
406	Dean Heller	R	NV-2	January 4, 2007	
407	Mazie Hirono	D	HI-2	January 4, 2007	
408	Paul Hodes	D	NH-2	January 4, 2007	
409	Hank Johnson	D	GA-04	January 4, 2007	
410	Jim Jordan	R	OH-04	January 4, 2007	
411	Steve Kagen	D	WI-8	January 4, 2007	
412	Ron Klein	D	FL-22	January 4, 2007	
413	Doug Lamborn	R	CO-5	January 4, 2007	
414	Dave Loebsack	D	IA-2	January 4, 2007	
415	Tim Mahoney	D	FL-16	January 4, 2007	Left the House in 2009.
416	Kevin McCarthy	R	CA-22	January 4, 2007	
417	Jerry McNerney	D	CA-11	January 4, 2007	
418	Harry Mitchell	D	AZ-5	January 4, 2007	
419	Christopher Murphy	D	CT-5	January 4, 2007	
420	Patrick Murphy	D	PA-08	January 4, 2007	
421	Ed Perlmutter	D	CO-7	January 4, 2007	
422	Peter Roskam	R	IL-06	January 4, 2007	
423	Bill Sali	R	ID-1	January 4, 2007	Left the House in 2009.
424	John Sarbanes	D	MD-3	January 4, 2007	
425	Joe Sestak	D	PA-07	January 4, 2007	
426	Heath Shuler	D	NC-11	January 4, 2007	
427	Carol Shea-Porter	D	NH-1	January 4, 2007	
428	Adrian Smith	R	NE-3	January 4, 2007	
429	Zack Space	D	OH-18	January 4, 2007	
430	Betty Sutton	D	OH-13	January 4, 2007	
431	Tim Walberg	R	MI-07	January 4, 2007	Left the House in 2009.
432	Tim Walz	D	MN-1	January 4, 2007	
433	Peter Welch	D	VT	January 4, 2007	
434	Charlie Wilson	D	OH-06	January 4, 2007	
435	John Yarmuth	D	KY-3	January 4, 2007	
	Paul Broun	R	GA-10	July 25, 2007	
	Laura Richardson	D	CA-37	September 4, 2007	
	Niki Tsongas	D	MA-05	October 18, 2007	
	Bob Latta	R	OH-05	December 13, 2007	
	Rob Wittman	R	VA-01	December 13, 2007	
	Bill Foster	D	IL-14	March 11, 2008	
	André Carson	D	IN-7	March 13, 2008	
	Jackie Speier	D	CA-12	April 10, 2008	
	Don Cazayoux	D	LA-6	May 6, 2008	Left the House in 2009.
	Steve Scalise	R	LA-1	May 7, 2008	
	Travis Childers	D	MS-1	May 20, 2008	
	Donna Edwards	D	MD-4	June 19, 2008	
	Marcia Fudge	D	OH-11	November 19, 2008	
