"Name","Character","Unicode code point (decimal)","Standard","DTD","Old ISO subset","Description"
"tau","τ","U+03C4 (964)","HTML 4.0","HTMLsymbol","ISOgrk3","Greek small letter tau"
"upsilon","υ","U+03C5 (965)","HTML 4.0","HTMLsymbol","ISOgrk3","Greek small letter upsilon"
"phi","φ","U+03C6 (966)","HTML 4.0","HTMLsymbol","ISOgrk3","Greek small letter phi"
"chi","χ","U+03C7 (967)","HTML 4.0","HTMLsymbol","ISOgrk3","Greek small letter chi"
"psi","ψ","U+03C8 (968)","HTML 4.0","HTMLsymbol","ISOgrk3","Greek small letter psi"
"omega","ω","U+03C9 (969)","HTML 4.0","HTMLsymbol","ISOgrk3","Greek small letter omega"
"thetasym","ϑ","U+03D1 (977)","HTML 4.0","HTMLsymbol","NEW","Greek theta symbol"
"upsih","ϒ","U+03D2 (978)","HTML 4.0","HTMLsymbol","NEW","Greek Upsilon with hook symbol"
"piv","ϖ","U+03D6 (982)","HTML 4.0","HTMLsymbol","ISOgrk3","Greek pi symbol"
"ensp","","U+2002 (8194)","HTML 4.0","HTMLspecial","ISOpub","en space"
"emsp","","U+2003 (8195)","HTML 4.0","HTMLspecial","ISOpub","em space"
"thinsp","","U+2009 (8201)","HTML 4.0","HTMLspecial","ISOpub","thin space"
"zwnj","","U+200C (8204)","HTML 4.0","HTMLspecial","NEW RFC 2070","zero-width non-joiner"
"zwj","","U+200D (8205)","HTML 4.0","HTMLspecial","NEW RFC 2070","zero-width joiner"
"lrm","","U+200E (8206)","HTML 4.0","HTMLspecial","NEW RFC 2070","left-to-right mark"
"rlm","","U+200F (8207)","HTML 4.0","HTMLspecial","NEW RFC 2070","right-to-left mark"
"ndash","–","U+2013 (8211)","HTML 4.0","HTMLspecial","ISOpub","en dash"
"mdash","—","U+2014 (8212)","HTML 4.0","HTMLspecial","ISOpub","em dash"
"lsquo","‘","U+2018 (8216)","HTML 4.0","HTMLspecial","ISOnum","left single quotation mark"
"rsquo","’","U+2019 (8217)","HTML 4.0","HTMLspecial","ISOnum","right single quotation mark"
"sbquo","‚","U+201A (8218)","HTML 4.0","HTMLspecial","NEW","single low-9 quotation mark"
"ldquo","“","U+201C (8220)","HTML 4.0","HTMLspecial","ISOnum","left double quotation mark"
"rdquo","”","U+201D (8221)","HTML 4.0","HTMLspecial","ISOnum","right double quotation mark"
"bdquo","„","U+201E (8222)","HTML 4.0","HTMLspecial","NEW","double low-9 quotation mark"
"dagger","†","U+2020 (8224)","HTML 4.0","HTMLspecial","ISOpub","dagger, obelisk"
"Dagger","‡","U+2021 (8225)","HTML 4.0","HTMLspecial","ISOpub","double dagger, double obelisk"
"bull","•","U+2022 (8226)","HTML 4.0","HTMLspecial","ISOpub","bullet (black small circle)"
"hellip","…","U+2026 (8230)","HTML 4.0","HTMLsymbol","ISOpub","horizontal ellipsis (three dot leader)"
"permil","‰","U+2030 (8240)","HTML 4.0","HTMLspecial","ISOtech","per mille sign"
"prime","′","U+2032 (8242)","HTML 4.0","HTMLsymbol","ISOtech","prime (minutes, feet)"
"Prime","″","U+2033 (8243)","HTML 4.0","HTMLsymbol","ISOtech","double prime (seconds, inches)"
"lsaquo","‹","U+2039 (8249)","HTML 4.0","HTMLspecial","ISO proposed","single left-pointing angle quotation mark"
"rsaquo","›","U+203A (8250)","HTML 4.0","HTMLspecial","ISO proposed","single right-pointing angle quotation mark"
"oline","‾","U+203E (8254)","HTML 4.0","HTMLsymbol","NEW","overline (spacing overscore)"
"frasl","⁄","U+2044 (8260)","HTML 4.0","HTMLsymbol","NEW","fraction slash (solidus)"
"euro","€","U+20AC (8364)","HTML 4.0","HTMLspecial","NEW","euro sign"
"image","ℑ","U+2111 (8465)","HTML 4.0","HTMLsymbol","ISOamso","black-letter capital I (imaginary part)"
"weierp","℘","U+2118 (8472)","HTML 4.0","HTMLsymbol","ISOamso","script capital P (power set, Weierstrass p)"
"real","ℜ","U+211C (8476)","HTML 4.0","HTMLsymbol","ISOamso","black-letter capital R (real part symbol)"
"trade","™","U+2122 (8482)","HTML 4.0","HTMLsymbol","ISOnum","trademark symbol"
"alefsym","ℵ","U+2135 (8501)","HTML 4.0","HTMLsymbol","NEW","alef symbol (first transfinite cardinal)"
"larr","←","U+2190 (8592)","HTML 4.0","HTMLsymbol","ISOnum","leftwards arrow"
"uarr","↑","U+2191 (8593)","HTML 4.0","HTMLsymbol","ISOnum","upwards arrow"
"rarr","→","U+2192 (8594)","HTML 4.0","HTMLsymbol","ISOnum","rightwards arrow"
"darr","↓","U+2193 (8595)","HTML 4.0","HTMLsymbol","ISOnum","downwards arrow"
"harr","↔","U+2194 (8596)","HTML 4.0","HTMLsymbol","ISOamsa","left right arrow"
"crarr","↵","U+21B5 (8629)","HTML 4.0","HTMLsymbol","NEW","downwards arrow with corner leftwards (carriage return)"
"lArr","⇐","U+21D0 (8656)","HTML 4.0","HTMLsymbol","ISOtech","leftwards double arrow"
"uArr","⇑","U+21D1 (8657)","HTML 4.0","HTMLsymbol","ISOamsa","upwards double arrow"
"rArr","⇒","U+21D2 (8658)","HTML 4.0","HTMLsymbol","ISOnum","rightwards double arrow"
"dArr","⇓","U+21D3 (8659)","HTML 4.0","HTMLsymbol","ISOamsa","downwards double arrow"
"hArr","⇔","U+21D4 (8660)","HTML 4.0","HTMLsymbol","ISOamsa","left right double arrow"
"forall","∀","U+2200 (8704)","HTML 4.0","HTMLsymbol","ISOtech","for all"
"part","∂","U+2202 (8706)","HTML 4.0","HTMLsymbol","ISOtech","partial differential"
"exist","∃","U+2203 (8707)","HTML 4.0","HTMLsymbol","ISOtech","there exists"
"empty","∅","U+2205 (8709)","HTML 4.0","HTMLsymbol","ISOamso","empty set (null set); see also U+8960, ⌀"
"nabla","∇","U+2207 (8711)","HTML 4.0","HTMLsymbol","ISOtech","del or nabla (vector differential operator)"
"isin","∈","U+2208 (8712)","HTML 4.0","HTMLsymbol","ISOtech","element of"
"notin","∉","U+2209 (8713)","HTML 4.0","HTMLsymbol","ISOtech","not an element of"
"ni","∋","U+220B (8715)","HTML 4.0","HTMLsymbol","ISOtech","contains as member"
"prod","∏","U+220F (8719)","HTML 4.0","HTMLsymbol","ISOamsb","n-ary product (product sign)"
"sum","∑","U+2211 (8721)","HTML 4.0","HTMLsymbol","ISOamsb","n-ary summation"
"minus","−","U+2212 (8722)","HTML 4.0","HTMLsymbol","ISOtech","minus sign"
"lowast","∗","U+2217 (8727)","HTML 4.0","HTMLsymbol","ISOtech","asterisk operator"
"radic","√","U+221A (8730)","HTML 4.0","HTMLsymbol","ISOtech","square root (radical sign)"
"prop","∝","U+221D (8733)","HTML 4.0","HTMLsymbol","ISOtech","proportional to"
"infin","∞","U+221E (8734)","HTML 4.0","HTMLsymbol","ISOtech","infinity"
"ang","∠","U+2220 (8736)","HTML 4.0","HTMLsymbol","ISOamso","angle"
"and","∧","U+2227 (8743)","HTML 4.0","HTMLsymbol","ISOtech","logical and (wedge)"
"or","∨","U+2228 (8744)","HTML 4.0","HTMLsymbol","ISOtech","logical or (vee)"
"cap","∩","U+2229 (8745)","HTML 4.0","HTMLsymbol","ISOtech","intersection (cap)"
"cup","∪","U+222A (8746)","HTML 4.0","HTMLsymbol","ISOtech","union (cup)"
"int","∫","U+222B (8747)","HTML 4.0","HTMLsymbol","ISOtech","integral"
"there4","∴","U+2234 (8756)","HTML 4.0","HTMLsymbol","ISOtech","therefore sign"
"sim","∼","U+223C (8764)","HTML 4.0","HTMLsymbol","ISOtech","tilde operator (varies with, similar to)"
"cong","≅","U+2245 (8773)","HTML 4.0","HTMLsymbol","ISOtech","congruent to"
"asymp","≈","U+2248 (8776)","HTML 4.0","HTMLsymbol","ISOamsr","almost equal to (asymptotic to)"
"ne","≠","U+2260 (8800)","HTML 4.0","HTMLsymbol","ISOtech","not equal to"
"equiv","≡","U+2261 (8801)","HTML 4.0","HTMLsymbol","ISOtech","identical to; sometimes used for 'equivalent to'"
"le","≤","U+2264 (8804)","HTML 4.0","HTMLsymbol","ISOtech","less-than or equal to"
"ge","≥","U+2265 (8805)","HTML 4.0","HTMLsymbol","ISOtech","greater-than or equal to"
"sub","⊂","U+2282 (8834)","HTML 4.0","HTMLsymbol","ISOtech","subset of"
"sup","⊃","U+2283 (8835)","HTML 4.0","HTMLsymbol","ISOtech","superset of"
"nsub","⊄","U+2284 (8836)","HTML 4.0","HTMLsymbol","ISOamsn","not a subset of"
"sube","⊆","U+2286 (8838)","HTML 4.0","HTMLsymbol","ISOtech","subset of or equal to"
"supe","⊇","U+2287 (8839)","HTML 4.0","HTMLsymbol","ISOtech","superset of or equal to"
"oplus","⊕","U+2295 (8853)","HTML 4.0","HTMLsymbol","ISOamsb","circled plus (direct sum)"
"otimes","⊗","U+2297 (8855)","HTML 4.0","HTMLsymbol","ISOamsb","circled times (vector product)"
"perp","⊥","U+22A5 (8869)","HTML 4.0","HTMLsymbol","ISOtech","up tack (orthogonal to, perpendicular)"
"sdot","⋅","U+22C5 (8901)","HTML 4.0","HTMLsymbol","ISOamsb","dot operator"
"vellip","⋮","U+22EE (8942)","HTML 5.0","?","?","vertical ellipsis"
"lceil","⌈","U+2308 (8968)","HTML 4.0","HTMLsymbol","ISOamsc","left ceiling (APL upstile)"
"rceil","⌉","U+2309 (8969)","HTML 4.0","HTMLsymbol","ISOamsc","right ceiling"
"lfloor","⌊","U+230A (8970)","HTML 4.0","HTMLsymbol","ISOamsc","left floor (APL downstile)"
"rfloor","⌋","U+230B (8971)","HTML 4.0","HTMLsymbol","ISOamsc","right floor"
"lang","〈","U+2329 (9001)","HTML 4.0","HTMLsymbol","ISOtech","left-pointing angle bracket (bra)"
"rang","〉","U+232A (9002)","HTML 4.0","HTMLsymbol","ISOtech","right-pointing angle bracket (ket)"
"loz","◊","U+25CA (9674)","HTML 4.0","HTMLsymbol","ISOpub","lozenge"
"spades","♠","U+2660 (9824)","HTML 4.0","HTMLsymbol","ISOpub","black spade suit"
"clubs","♣","U+2663 (9827)","HTML 4.0","HTMLsymbol","ISOpub","black club suit (shamrock)"
"hearts","♥","U+2665 (9829)","HTML 4.0","HTMLsymbol","ISOpub","black heart suit (valentine)"
"diams","♦","U+2666 (9830)","HTML 4.0","HTMLsymbol","ISOpub","black diamond suit"
