"Atomic
no.","Name","Symbol","Group","Period","Block","State at
STP","Occurrence","Description"
"91","Protactinium","Pa","3","7","f","Solid","Transient","Actinide"
"92","Uranium","U","3","7","f","Solid","Primordial","Actinide"
"93","Neptunium","Np","3","7","f","Solid","Transient","Actinide"
"94","Plutonium","Pu","3","7","f","Solid","Primordial","Actinide"
"95","Americium","Am","3","7","f","Solid","Transient","Actinide"
"96","Curium","Cm","3","7","f","Solid","Transient","Actinide"
"97","Berkelium","Bk","3","7","f","Solid","Transient","Actinide"
"98","Californium","Cf","3","7","f","Solid","Transient","Actinide"
"99","Einsteinium","Es","3","7","f","Solid","Synthetic","Actinide"
"100","Fermium","Fm","3","7","f","Solid","Synthetic","Actinide"
"101","Mendelevium","Md","3","7","f","Solid","Synthetic","Actinide"
"102","Nobelium","No","3","7","f","Solid","Synthetic","Actinide"
"103","Lawrencium","Lr","3","7","d","Solid","Synthetic","Actinide"
"104","Rutherfordium","Rf","4","7","d","","Synthetic","Transition metal"
"105","Dubnium","Db","5","7","d","","Synthetic","Transition metal"
"106","Seaborgium","Sg","6","7","d","","Synthetic","Transition metal"
"107","Bohrium","Bh","7","7","d","","Synthetic","Transition metal"
"108","Hassium","Hs","8","7","d","","Synthetic","Transition metal"
"109","Meitnerium","Mt","9","7","d","","Synthetic",""
"110","Darmstadtium","Ds","10","7","d","","Synthetic",""
"111","Roentgenium","Rg","11","7","d","","Synthetic",""
"112","Copernicium","Cn","12","7","d","","Synthetic","Transition metal"
"113","(Ununtrium)","Uut","13","7","p","","Synthetic",""
"114","Flerovium","Fl","14","7","p","","Synthetic",""
"115","(Ununpentium)","Uup","15","7","p","","Synthetic",""
"116","Livermorium","Lv","16","7","p","","Synthetic",""
"117","(Ununseptium)","Uus","17","7","p","","Synthetic",""
"118","(Ununoctium)","Uuo","18","7","p","","Synthetic",""
