"","Name on the Register","Date listed","Location","City or town","Summary"
"14","Lehoullier Building","December 26, 1979
(#79000211)","161-169 Main St.
43°15′31″N 70°51′46″W﻿ / ﻿43.258611°N 70.862778°W","Somersworth",""
"15","Milton Town House","November 26, 1980
(#80000311)","NH 125 and Town House Rd.
43°26′27″N 70°59′05″W﻿ / ﻿43.440833°N 70.984722°W","Milton",""
"16","New Durham Meetinghouse and Pound","December 8, 1980
(#80000312)","Old Bay Rd.
43°25′25″N 71°07′42″W﻿ / ﻿43.423611°N 71.128333°W","New Durham",""
"17","New Durham Town Hall","November 13, 1980
(#80000313)","Main St. and Ridge Rd.
43°26′02″N 71°09′55″W﻿ / ﻿43.433889°N 71.165278°W","New Durham",""
"18","Plumer-Jones Farm","March 23, 1979
(#79000212)","North of Milton on NH 125
43°27′44″N 70°59′37″W﻿ / ﻿43.462222°N 70.993611°W","Milton",""
"19","Plummer Homestead","June 14, 2002
(#02000638)","1273 White Mountain Highway
43°27′35″N 70°59′33″W﻿ / ﻿43.459722°N 70.9925°W","Milton",""
"20","Public Market","March 7, 1985
(#85000541)","93 Washington St.
43°11′43″N 70°52′31″W﻿ / ﻿43.195278°N 70.875278°W","Dover",""
"21","Queensbury Mill","April 10, 1987
(#86003362)","1 Market St.
43°15′54″N 70°51′58″W﻿ / ﻿43.265°N 70.866111°W","Somersworth",""
"22","Michael Reade House","February 12, 1980
(#80000314)","43 Main St.
43°11′50″N 70°52′21″W﻿ / ﻿43.197222°N 70.8725°W","Dover",""
"23","Religious Society of Friends Meetinghouse","February 29, 1980
(#80000421)","141 Central Ave.
43°11′12″N 70°52′25″W﻿ / ﻿43.186667°N 70.873611°W","Dover",""
"24","Rochester Commercial and Industrial District","April 8, 1983
(#83001154)","N. Main, Wakefield, Hanson, and S. Main Sts. and Central Square
43°18′11″N 70°58′34″W﻿ / ﻿43.303056°N 70.976111°W","Rochester",""
"25","Rollinsford Town Hall","March 5, 1999
(#99000268)","667 Main St.
43°14′08″N 70°49′17″W﻿ / ﻿43.235556°N 70.821389°W","Rollinsford",""
"26","St. Thomas Episcopal Church","June 7, 1984
(#84003241)","5 Hale St.
43°11′37″N 70°52′30″W﻿ / ﻿43.193611°N 70.875°W","Dover",""
"27","Salmon Falls Mill Historic District","February 29, 1980
(#80000315)","Front St.
43°14′10″N 70°49′05″W﻿ / ﻿43.236111°N 70.818056°W","Rollinsford",""
"28","Sawyer Building","May 23, 1980
(#80000316)","4-6 Portland St.
43°11′48″N 70°52′21″W﻿ / ﻿43.196667°N 70.8725°W","Dover",""
"29","Sawyer Woolen Mills","September 13, 1989
(#89001208)","1 Mill St.
43°10′44″N 70°52′35″W﻿ / ﻿43.178889°N 70.876389°W","Dover",""
"30","Smith Chapel","February 13, 2013
(#13000009)","45 Mill Pond Rd.
43°07′42″N 70°55′27″W﻿ / ﻿43.128355°N 70.924292°W","Durham",""
"31","Strafford County Farm","February 25, 1981
(#81000100)","County Farm Rd.
43°13′03″N 70°56′31″W﻿ / ﻿43.2175°N 70.941944°W","Dover",""
"32","Strafford Union Academy","September 22, 1983
(#83001155)","NH 126 and NH 202A
43°16′07″N 71°07′23″W﻿ / ﻿43.268611°N 71.123056°W","Strafford",""
"33","Gen. John Sullivan House","November 28, 1972
(#72000089)","23 Newmarket Rd.
43°07′48″N 70°55′05″W﻿ / ﻿43.13°N 70.918056°W","Durham","Home of American Revolutionary War General John Sullivan, elected President of New Hampshire."
"34","Thompson Hall","December 6, 1996
(#96001468)","Off Main St., University of New Hampshire campus
43°08′09″N 70°55′59″W﻿ / ﻿43.135833°N 70.933056°W","Durham",""
"35","US Post Office-Dover Main","July 17, 1986
(#86002273)","133-137 Washington St.
43°11′42″N 70°52′39″W﻿ / ﻿43.195°N 70.8775°W","Dover",""
"36","US Post Office-Somersworth Main","July 17, 1986
(#86002246)","2 Elm St.
43°15′33″N 70°52′18″W﻿ / ﻿43.259167°N 70.871667°W","Somersworth",""
"37","Wiswall Falls Mills Site","March 18, 1988
(#88000184)","John Hatch Park
South of Wiswall Road just east of the Lamprey River
43°06′15″N 70°57′44″W﻿ / ﻿43.1043°N 70.9621°W","Durham",""
"38","Woodbury Mill","March 25, 2013
(#13000156)","1 Dover St.
43°12′07″N 70°52′29″W﻿ / ﻿43.201985°N 70.874587°W","Dover",""
"39","Woodman Institute","July 24, 1980
(#80000317)","182 Central Ave.
43°11′20″N 70°52′28″W﻿ / ﻿43.188889°N 70.874444°W","Dover",""
"40","Samuel Wyatt House","December 2, 1982
(#82000626)","7 Church St.
43°11′30″N 70°52′31″W﻿ / ﻿43.191667°N 70.875278°W","Dover",""
