| Year         | Name                                          | Location                                              | Notes                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
| c. 1893      | Roger Williams Park Carousel                  | Providence, Rhode Island                              | replaced in 1937 with PTC #44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
| 1894         | The Looff Carousel at Slater Park             | Slater Memorial Park, Pawtucket, Rhode Island         | originally located at Roger William's Park, Providence, RI. Moved to present location in 1910. Originally was fastest Looff carousel made-was slowed down recently. Listed on National Register of Historic Places.                                                                                                                                                                                                                                                                                                                                                                                                         |
| 1895         | Fair Park Carousel                            | Dallas, Texas                                         | 1958 to 1967: Pacific Ocean Park, Santa Monica, California; 1967 to 1982: Spanaway, Washington; 1982 to 1992: Willamette Center, Portland, Oregon; 1992 to 1997: AmeriFlora '92, Columbus, Ohio; 1997 to present: Media City Center Mall, Burbank, California, told to move 2004 to Present: Seaport Village, San Diego, California.                                                                                                                                                                                                                                                                                        |
| 1895         | Crescent Park Carousel                        | Crescent Park, East Providence, Rhode Island          | used by Looff as showcase for his work, all animals different; operational brass rings; Ruth & Sons organ; listed on National Register of Historic Places                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| 1898         | Canobie Lake Park Carousel                    | Salem, New Hampshire                                  | moved to present location in 1906                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| 1889 to 1907 | Salisbury Beach Carousel                      | Salisbury, Massachusetts                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| 1898 to 1907 | Rosen Heights Carousel                        | Fort Worth, Texas                                     |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| 1900         | Goddard Park Carousel                         | Goddard Park, Warwick, Rhode Island                   | originally located at Lakeside Park, Syracuse, New York, moved 1908 to Rocky Point Amusement Park, Rhode Island and 1930 to present location                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| 1903         | Lakeside Park Carousel                        | Lakeside Park, Port Dalhousie, Ontario                | moved to present location in 1921                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| 1905         | Island Park Carousel                          | Portsmouth, Rhode Island                              | survived 1938 hurricane                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| 1904         | Zeum Carousel                                 | Yerba Buena Gardens, San Francisco, California        | built in 1904 for San Francisco, sent to instead Seattle's Luna Park due to 1906 earthquake, returned to Playland-At-The-Beach, San Francisco in 1914 until 1972; 1972 to 1984: In storage at Roswell, New Mexico for restoration; 1984 to 1998: Shoreline Village, California; 1998: Yerba Buena Gardens, San Francisco, California                                                                                                                                                                                                                                                                                        |
| 1909         | Lakeside Carousel                             | International Market World, Auburndale, Florida       | originally located in Harvey Lake, Pennsylvania, moved to Florida in 1986 and present location in 1996                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| 1909         | Riverfront Park Carousel                      | Riverfront Park, Spokane, Washington                  | a wedding gift for Looff's daughter Emma Vogel and her husband Louis Vogel, who owned Natatorium Park; moved to present location in 1975; operational brass rings; Ruth & Sons organ; National Historic Landmark                                                                                                                                                                                                                                                                                                                                                                                                            |
| 1909         | Whalom Park Carousel                          | Lunenburg, Massachusetts                              | Moved to Whalom Park in 1912, Featured 2 Looff Sea Dragons, Broken up at auction April 15, 2000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| 1909         | Oklahoma State Fair Carousel                  | Oklahoma City, Oklahoma                               | with a figure 8 coaster                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| 1909         | Sherman's Carousel                            | Caroga Lake, New York                                 | Looff/Murphy carousel platform and mechanism populated with 50 metal animals by (Theel mfg.), in original 12-sided Looff carousel building w/ stained glass windows. Original hand-carved Looff animals were sold in late 1970s to private collectors. Carousel is owned privately and available only for private functions at this time. *Note: This carousel is almost identical to the one operated at Lake Compounce in Connecticut.                                                                                                                                                                                    |
| 1910         | Carousel of Happiness                         | Nederland, Colorado                                   | originally located at Saltair Park, Salt Lake City, Utah, moved to American Fork, Utah in 1959 and sold for parts in 1986; Scott Harrison used the Looff frame and installed new, whimsically-carved figures                                                                                                                                                                                                                                                                                                                                                                                                                |
| 1910         | Dr. Floyd L. Moreland Looff/Dentzel Carousel  | Casino Pier, Seaside Heights, New Jersey              | Relocated from Burlington Island Park, New Jersey in 1932. The chariots and some animals were carved by Dentzel, Morris, Carmel, and Illions. Located in a 10-sided unenclosed building on boardwalk pier; 4 Rows, 35 Jumping Horses, 18 Standing Horses, 5 Menagerie Animals (1 Lion, 1 Tiger, 1 Mule, 2 Camels), 2 Chariots, 2016 Lightbulbs, and 15 original antique paintings from 1910 in center casing. The music is provided by the only continuously operating Wurlitzer 146 Military Band Organ in the state. Dr. Floyd L. Moreland bought and restored it in 1984. The carousel survived Hurricane Sandy in 2012. |
| 1911         | The Pike Carousel                             | Long Beach, California                                | burned down in 1943                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| 1911         | Santa Cruz Beach Boardwalk Carousel           | Santa Cruz, California                                | National Historic Landmark, brass rings, still in use at original location                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| 1911         | Fantasy Fair Carousel                         | Fantasy Fair, Toronto, Ontario                        | moved to present location in 1988; Looff platform, fiberglass animals                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
| c. 1911      | Lighthouse Point Park Carousel                | New Haven, Connecticut                                | original location unknown, moved to present location in 1916                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| 1911         | Fraser's Million Dollar Pier Carousel         | Santa Monica, California                              | Burned down in September 1912                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
| 1911         | Venice Pier Carousel                          | Venice, California                                    |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| 1911         | Heritage Museum Carousel                      | Heritage Museums and Gardens, Sandwich, Massachusetts | original location Crescent Park,Riverside, Rhode Island, moved to Fall River, Massachusetts, then to Provincetown, Massachusetts, then to present location in 1969                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| c. 1912      | Grand Carousel                                | Knoebels, Elysburg, Pennsylvania                      | moved to present location in 1941 from Riverview Park in Rahway, New Jersey; Looff frame, Carmel horses; operational brass rings                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| 1914         | Pan Pacific International Exposition Carousel | San Francisco, California                             |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| 1914         | RAB Amusements Carousel                       | Keansburg, New Jersey                                 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| 1916         | Santa Monica Pier Carousel                    | Santa Monica, California                              | replaced in 1947 with PTC #62; Looff Hippodrome carousel building is a National Historic Landmark                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| 1925         | Redondo Beach Carousel                        | Redondo Beach, California                             |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| 1926         | Griffith Park Merry-Go-Round                  | Griffith Park, Los Angeles, California                | Spillman/Looff mix                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 1928         | Van Andel Museum Carousel                     | Grand Rapids, Michigan                                | original location Lakewood Park, Barnesville, Pennsylvania, moved to present location in 1982                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
