| Pos | Class   | No | Team                                              | Drivers                                  | Chassis                           | Engine                  | Laps |
| 38  | P +5.0  | 4  | Holman & Moody                                    | Denis Hulme Lloyd Ruby                   | Ford GT40 Mk.IV                   | Ford 7.0L V8            | 86   |
| 39  | P 2.0   | 39 | Porsche System Engineering                        | Udo Schütz Joe Buzzetta                  | Porsche 910/6L                    | Porsche 2.0L Flat-6     | 84   |
| 40  | P 1.15  | 58 | Société des Automobiles Alpine                    | Philippe Vidal Leo Cella                 | Alpine A210                       | Renault-Gordini 1.0L I4 | 67   |
| 41  | P +5.0  | 14 | John Wyer Automotive Engineering                  | David Piper Richard Thompson             | Mirage M1 (Ford GT40 Lightweight) | Ford 5.7L V8            | 59   |
| 42  | GT 5.0  | 17 | Claude Dubois                                     | Claude Dubois Chris Tuerlinckx           | Ford-Shelby Mustang GT350         | Ford 4.7L V8            | 58   |
| 43  | P 2.0   | 30 | Equipe Matra Sports                               | Jean-Pierre Jaussaud Henri Pescarolo     | Matra MS630                       | BRM 2.0L V8             | 55   |
| 44  | P 1.6   | 44 | Team Elite                                        | David Preston John Wagstaff              | Lotus Europa Mk.47                | Ford Cosworth 1.6L I4   | 42   |
| 45  | P 1.15  | 53 | S.E.C. Automobiles CD                             | André Guilhaudin Alain Bertaut           | CD SP66C                          | Peugeot 1.1L I4         | 35   |
| 46  | P 5.0   | 26 | North American Racing Team (NART)                 | Ricardo Rodriguez Chuck Parsons          | Ferrari 365 P2                    | Ferrari 4.4L V12        | 30   |
| 47  | P +5.0  | 15 | John Wyer Automotive Engineering                  | Jacky Ickx Brian Muir                    | Mirage M1 (Ford GT40 Lightweight) | Ford 5.7L V8            | 29   |
| 48  | P 1.15  | 52 | S.E.C. Automobiles CD                             | Dennis Dayan Claude Ballot-Léna          | CD SP66C                          | Peugeot 1.1L I4         | 25   |
| 49  | P +5.0  | 12 | Lola Cars Ltd. / Team Surtees                     | Peter de Klerk Chris Irwin               | Lola T70 Mk.III                   | Aston Martin 5.0L V8    | 25   |
| 50  | S 5.0   | 62 | John Wyer Automotive Engineering / Viscount Downe | Mike Salmon Brian Redman                 | Ford GT40 Mk.I                    | Ford 4.7L V8            | 20   |
| 51  | P 1.15  | 54 | Roger Nathan Racing Ltd.                          | Roger Nathan Mike Beckwith               | Costin Nathan                     | Hillman 1.0L I4         | 15   |
| 52  | P 1.3   | 50 | Marcos Racing Ltd.                                | Chris J. Lawrence Jem Marsh              | Marcos Mini Marcos GT             | BMC 1.3L I4             | 13   |
| 53  | P +5.0  | 11 | Lola Cars Ltd. / Team Surtees                     | John Surtees David Hobbs                 | Lola T70 Mk.III                   | Aston Martin 5.0L V8    | 3    |
| 54  | GT 2.0  | 43 | "Franc"                                           | Jacques Dewes Anton Fischhaber           | Porsche 911S                      | Porsche 2.0L Flat-6     | 2    |
