"Year","Goalkeeper","Defenders","Midfielders","Forwards"
"1993","Tim Deck, Wisconsin","Shane Batelle, St. Louis University
Pedro Lopes, Rutgers
Jorge Salcedo, UCLA","Brian Kamler, Creighton
Jason Kreis, Duke
Claudio Reyna, Virginia","Keith DeFini, Creighton
Jimmy Glenn, Clemson
Brian McBride, St. Louis University
Staale Soebye, San Francisco"
"1994","David Kramer, Fresno State","Brandon Pollard, Virginia
Eddie Pope, UNC","Jason Kreis, Duke
Brian Maisonneuve, Indiana
Matt McKeon, St. Louis University
Todd Yeagley, Indiana","Brent Bennett, James Madison
Mac Cozier, Charlotte
Darren Eales, Brown
Staale Soebye, San Francisco"
"1995","Chris Snitko, UCLA","Scott Lamphear, Wisconsin
Ian McIntyre, Hartwick
Brandon Pollard, Virginia","Ben Hickey, St. John's
Jesse Marsch, Princeton
Clint Mathis, South Carolina","Mike Fisher, Virginia
Matt McKeon, St. Louis University
Toni Siikala, Campbell
Andy Williams, Rhode Island"
"1996","Jon Busch, Charlotte","Tahj Jakins, UCLA
Pete Santora, Furman
John Stratton, Air Force","Mike Fisher, Virginia
Steve Klein, Bowling Green
Mike Mekelburg, USF","Tony Kuhn, Vanderbilt
Ignace Moleka, FIU
Johnny Torres, Creighton
Andy Williams, Rhode Island"
"1997","Matt Jordan, Clemson","Leo Cullen, Maryland
Kevin Daly, St. John's
Pete Santora, Furman","Daniel Hernandez, SMU
Alen Kozic, FIU
Ben Olsen, Virginia","Wade Barrett, William & Mary
Sigurdur Eyjolfsson, UNC-Goldsboro
Dema Kovalenko, Indiana
Johnny Torres, Creighton"
"1998","Adin Brown, William & Mary","Matt Chulis, Virginia
Jamie Clark, Stanford
Kevin Kalish, Saint Louis","Lazo Alavanja, Indiana
Jay Heaps, Duke
Wojtek Krakowiak, Clemson
Maurizio Rocha, UConn","Chris Albright, Virginia
Seth George, UCLA
Dema Kovalenko, Indiana
Richard Mulrooney, Creighton"
"1999","Adin Brown, William & Mary","Nick Garcia, Indiana
Eric Denton, Santa Clara
David Wright, Creighton","Carl Bussey, SMU
Daniel Alvarez, Furman
Jeff DiMaria, St. Louis University
Sasha Victorine, UCLA","John Barry Nusum, Furman
Mohammed Fahim, SMU
Ricardo Villar, Penn State
Aleksey Korol, Indiana"
"2000","Chris Hamblin, Boston College","Chris Gbandi, UConn
Cory Gibbs, Brown
Ryan Suarez, San Jose State","Carl Bussey, SMU
Mark Lisi, Clemson
Jorge Martínez, San Jose State
Ryan Nelsen, Stanford","Chris Carrieri, UNC
Ali Curtis, Duke
John Barry Nusum, Furman"
"2001","Byron Foss, SMU","Chris Gbandi, UConn
Danny Jackson, UNC
Lee Morrison, Stanford","Luchi Gonzalez, SMU
Kyle Martino, Virginia
Diego Walsh, SMU","Nicholas McCreath, Rhode Island
Pat Noonan, Indiana
John Barry Nusum, Furman
Dipsy Selolwane, St. Louis University"
"2002","Doug Warren, Clemson","Todd Dunivant, Stanford
John Swann, Indiana
Chris Wingert, St. John's","Ricardo Clark, Furman
Sumed Ibrahim, Maryland
Andres Murriagui, Loyola Marymount
Diego Walsh, SMU","Alecko Eskandarian, Virginia
Pat Noonan, Indiana
Tim Pierce, UCLA
Mike Tranchilla, Creighton"
"2003","Will Hesmer, Wake Forest","Leonard Griffin, UCLA
Trevor McEachron, Old Dominion
Chris Wingert, St. John's","Scott Buete, Maryland
Sumed Ibrahim, Maryland
C.J. Klaas, Washington","Adom Crew, Brown
Ned Grabavoy, Indiana
Vedad Ibišević, St. Louis University
Joseph Ngwenya, Coastal Carolina"
"2004","Christopher Sawyer, Notre Dame","Ugo Ihemelu, SMU
Drew Moor, Indiana
Gonzalo Segares, VCU","Michael Enfield, UCLA
C.J. Klaas, Washington
Sacha Kljestan, Seton Hall
Danny O'Rourke, Indiana","Justin Moose, Wake Forest
Randi Patterson, UNC-G'boro
Ryan Pore, Tulsa
Jeff Rowland, New Mexico"
"2005","Chris Dunsheath, Bradley","Greg Dalby, Notre Dame
Tyson Wahl, California
Marvell Wynne, UCLA","Mehdi Ballouchy, Santa Clara
Scott Jones, UNC-G'boro
Yohann Mauger, Akron
Brian Plotkin, Indiana","Jason Garey, Maryland
Ross McKenzie, Akron
Jeff Rowland, New Mexico
Willie Sims, Cal St-N'ridge"
"2006","Nick Noble, West Virginia","Andrew Boyens, New Mexico
Julius James, UConn
Jay Needham, SMU
John O'Reilly, Lehigh","Greg Dalby, Notre Dame
Maurice Edu, Maryland
Ryan Maduro, Providence","Omar Cummings, Cincinnati
Charlie Davies, Boston College
Edson Elcock, Old Dominion
Joseph Lapira, Notre Dame"
"2007","Stefan Frei, California","Eric Brunner, Ohio State
Julius James, UConn
Pat Phelan, Wake Forest","Reuben Ayarna, Boston College
Alejandro Bedoya, Boston College
Andrew Jacobson, California
Peter Lowry, Santa Clara","Xavier Balc, Ohio State
Joseph Lapira, Notre Dame
Patrick Nyarko, Virginia Tech
O'Brian White, Connecticut"
"2008","Jovan Bubonja, UIC","Calum Angus, St. Louis University
Matt Besler, Notre Dame
Omar Gonzalez, Maryland
Tennant McVea, Loyola Maryland","Corben Bone, Wake Forest
Sam Cronin, Wake Forest
Andrei Gotsmanov, Creighton
Baggio Husidic, UIC","Andre Akpan, Harvard
Mike Grella, Duke
Marcus Tracy, Wake Forest
Steve Zakuani, Akron"
"2009","Jeff Attinella, South Florida","Bobby Warshaw, Stanford
Zach Loyd, North Carolina
Ike Opara, Wake Forest","Kyle Nakazawa, UCLA
Anthony Ampaipitakwong, Akron
Corben Bone, Wake Forest
Tony Tchani, Virginia","Teal Bunbury, Akron
Colin Rolfe, Louisville
Ryan Kinne, Monmouth
Andre Akpan, Harvard"
"2010","Zac MacMath, Maryland","Kofi Sarkodie, Akron
A.J. Soares, California
Andrew Wenger, Duke","Michael Farfan, North Carolina
Matt Kassel, Maryland
Ryan Kinne, Monmouth
Ben Sippola, Butler","Will Bruin, Indiana
Tony Cascio, Connecticut
Darlington Nagbe, Akron
Colin Rolfe, Louisville"
"2011","Brian Holt, Creighton","Chris Estridge, Indiana
Matt Hedges, North Carolina
Charles Rodriguez, UNC Charlotte","Miguel Ibarra, UC Irvine
Enzo Martinez, North Carolina
Luis Silva, UCSB","Ashton Bennett, Coastal Carolina
Ethan Finlay, Creighton
Billy Schuler, North Carolina
Andrew Wenger, Duke"
"2012","Andre Blake, Connecticut","Chad Barson, Akron
Andrew Farrell, Louisville
Andrew Ribeiro, Creighton","Scott Caldwell, Akron
Jose Gomez, Creighton
Dillon Powers, Notre Dame","Ashton Bennett, Coastal Carolina
Ryan Finley, Notre Dame
Daniel Haber, Cornell University
Patrick Mullins, Maryland"
"2013","Andre Blake, Connecticut","Steve Birnbaum, California
AJ Cochran, Wisconsin
Taylor Peay, Washington","Laurie Bell, Milwaukee
Aodhan Quinn, Akron
Leo Stolz, UCLA","Pete Caringi III, UMBC
Sagi Lev-Ari, Cal St-N'ridge
Patrick Mullins, Maryland
Harrison Shipp, Notre Dame"
