"Name","Type","Circle","Bench","Formed","Notes"
"Salm-Dhaun
Salm-Daun
Forest and Rhine Count of Salm in Dhaun","1263: County
Wild- and Rhinegraviate","Upp Rhen","WF","1499","1263: Separated from Upper Salm
1499-1574: Part of Salm
1574: Partitioned into itself, Salm-Grumbach and Salm-Salm
1697: Partitioned into itself and Salm-Puttlingen
1750: Part of Salm-Grumbach
1750: Annexed to Salm-Puttlingen
1815: To Prussia"
"Salm-Grumbach","Wild- and Rhinegraviate","Upp Rhen","WF","1574","Partitioned from Salm-Dhaun
1668: Partitioned into itself and Salm-Rheingrafenstein and Grehweiler
1801: Annexed by France
1803: Renamed Salm-Horstmar with new territories"
"Salm-Hoogstraten","Altgraviate","Upp Rhen","PR","1696","Partitioned from Salm-Neuweiler
1739: Renamed to Salm-Salm"
"Salm-Horstmar
Forest and Rhine Count of Salm in Horstmar","County","Swab","SW","1803: Renamed from Salm-Dhaun","1269: Part of Bishopric of Munster
Acquired County of Horstmar in Prussia and part of the County of Limpurg in Wurttemberg
1803: Renamed from Salm-Dhaun
1806: Annexed to Berg
1810: Annexed by France
1815: To Prussia
1816: Prince of Salm-Horstmar in Prussia"
"Salm-Kyrburg","Wild- and Rhinegraviate","Upp Rhen","WF","1499","Partitioned from Upper Salm
1607: Partitioned into itself, Salm-Mörchingen and Salm-Tronecken
1681: Annexed to Salm-Mörchingen"
"Salm-Kyrburg
Prince of Salm-Kyrburg, Sovereign Prince of Ahaus, Bocholt & Gemen, Forest Count of Dhaun & Kyrburg, Rhine Count of Stein","1086: County
1742: Principality","Upp Rhen","PR","","Acquired Principality of Overijse and Lordships of Leuze Pecq in Belgium
Acquired Lordship of Boxen and Meer-Gestel in the Netherlands
1806: Confederation of the Rhine
1811: To France
1813: Mediatized to Prussia
1905: Line died out; style assumed by Princes of Salm-Salm
1742: Partitioned from Salm-Leuze
1815: To Prussia"
"Salm-Leuze","Wild- and Rhinegraviate, later Principality","","PR","1696","Partitioned from Salm-Neuweiler
1742: Partitioned into itself and Salm-Kyrburg
1779: Annexed to Salm-Kyrburg"
"Salm-Mörchingen","Wild- and Rhinegraviate","Upp Rhen","","1607","Partitioned from Salm-Kyrburg
1688: Annexed to Salm-Neuweiler"
"Salm-Neuburg","Wild- and Rhinegraviate
County Palatine from 1629","Upp Rhen","WF","1520","Partitioned from Salm-Badenweiler
1653: Territories to Sinzendorf
1784: Extinct"
"Salm-Neuweiler","Wild- and Rhinegraviate","Upp Rhen","","1608","Partitioned from Salm-Salm
1696: Partitioned into Salm-Hoogstraten and Salm-Leuze"
"Salm-Puttlingen","Wild- and Rhinegraviate","Upp Rhen","","1697","Partitioned from Salm-Dhaun
1748: Renamed to Salm-Dhaun"
"Salm-Reifferscheid","Altgraviate
1455: County","Upp Rhen","","1416","Created out of union of Lower Salm and Reifferscheid
1639: Separated from Lower Salm
1693: Partitioned into Salm-Reifferscheid-Bedbur and Salm-Reifferscheid-Dyck
1801-1813: Annexed by France
1815: To Prussia"
"Salm-Reifferscheid-Bedbur","County
Principality from 1803","Upp Rhen","WF","1639","Partitioned from Salm-Reifferscheid
1734: Partitioned into itself, Salm-Reifferscheid-Hainsbach and Salm-Reifferscheid-Raitz
1804: Renamed to Salm-Reifferscheid-Krautheim"
"Salm-Reifferscheid-Dyck
HRE Prince of Salm, Duke of Hoogstraeten, Forest Count of Dhaun and Kyrburg, Rhine Count of Stein, Lord of Diemeringen, Anholt","County","Low Rhen","WF","","1806: Confederation of the Rhine
1811: To France
1813: Mediatized to Prussia
1816: Prince of Salm-Reifferscheid-Dyck in Prussia
1888: Line died out; style assumed by Princes of Salm-Reifferscheid-Krautheim"
"Salm-Reifferscheid-Hainsbach","County","","","1734","Partitioned from Salm-Reifferscheid-Bedbur"
"Salm-Reifferscheid-Krautheim","Principality","Swab","SW","1804","Renamed from Salm-Reifferscheid-Bedbur"
"Salm-Reifferscheid-Raitz","County
1790: Principality","n/a","n/a","1734","Partitioned from Salm-Reifferscheid-Bedbur"
"Salm-Rheingrafenstein and Grehweiler","Wild- and Rhinegraviate","Upp Rhen","WF","1688","Partitioned from Salm-Grumbach"
"Salm-Salm","1574: County
Wild- and Rhinegraviate
1623: Principality","Low Rhen, Upp Rhen","WF, PR","1574","Partitioned from Salm-Dhaun
1608: Partitioned into itself and Salm-Neuweiler
1738: Annexed to Salm-Hoogstraten"
"Salm-Salm
HRE Prince of Salm, Duke of Hoogstraeten, Forest Count of Dhaun and Kyrburg, Rhine Count of Stein, Lord of Diemeringen, Anholt","Wild- and Rhinegraviate
1623: Principality","Low Rhen, Upp Rhen","WF, PR","1739","Renamed from Salm-Hoogstraten"
"Salm-Tronecken","Wild- and Rhinegraviate","Upp Rhen","","1607","Partitioned from Salm-Kyrburg
1637: Annexed to Salm-Mörchingen"
"Salmannsweiler","Abbacy","Swab","","","1793: Council of Princes"
"Salzburg","c543: Bishopric
798: Archbishopric
1278: Prince-Archbishopric
1803: Duchy of Salzburg
1803: HRE Elector of Salzburg","Bav","EC","c543","1500: Bavarian Circle
1793: Council of Princes
1803: Secularized as a duchy for the former Grand Duke of Tuscany
1805: To Austria"
"Sargans","HRE County","","","11th century?","1458–1798: Condominium of the Old Swiss Confederacy
1798: Annexed to Helvetic Republic's canton of Linth
1803: Joined canton of St. Gallen"
"Sarrebourg","Imperial City","Upp Rhen","","","1641: Annexed to France"
"Sassenburg","","","","","To Counts of Mark"
"Saussenberg","Landgraviate","","","",""
"Savoy
(County of Savoy,
Duchy of Savoy)","1031/32: County
1313: HRE Prince
1416: Duchy","Upp Rhen","PR","1032","1401: Purchased County of Geneva
1419: Acquired Piedmont
1582: HRE Council of Princes
1792: Annexed to France
1860: Ceded to France"
"Sax","Barony","","","",""
"Duchy of Saxony","850: Margraviate
888: Duchy, and an Electorate
1180: After imperial overthrowing of Henry the Lion territorially severely belittled successor duchy to the Ascanians","n/a","","8th century","c850: Ludolf appointed Margrave of Saxony by Emperor Louis the German
961-1106: To House of Billung
1106: To Henry the Proud
1180: Henry the Lion (House of Welf) deprived of his Duchy of Saxony
1180: Separation of the counties of Blankenburg, Cloppenburg, Hohenstein, Lippe, Oldenburg, Ravensberg, Tecklenburg, Duchy of Westphalia, the prince-bishoprics of Bremen, Halberstadt, Hildesheim, Lübeck, Magdeburg, Minden, Münster, Osnabrück, Paderborn, Ratzeburg, Schwerin, and Verden
1260: Partitioned into Saxe-Lauenburg and Saxe-Wittenberg, both claiming the electoral dignity"
"Electorate of Saxony","1423-1547: Duchy and Electorate
1547-1806: Electorate
1806-1918: Kingdom of Saxony","Upp Sax","EL","1423","Created from merger of Margraviate of Meissen and Saxe-Wittenberg
1485: Partitioned into Ernestine (Electorate, including Thuringia) and Albertine (Duchy of Saxe-Meissen) branches
1547: imperial overthrowing of Ernestine Elector John Frederick I, replacing him by the Albertine Maurice of Saxe-Meissen, thus Albertine Saxe-Meissen merged in Saxony, while the Ernestine line seceded with Thuringia and then partioned into Saxe-Gotha (1553-1572) and Saxe-Weimar in 1553
1582: HRE Council of Princes"
"Saxe-Altenburg","1602-1672: Duchy
1826-1918: Duchy","Upp Sax","PR","1602","Partitioned from Saxe-Weimar
1672-1825: In personal union with Saxe-Gotha"
"Saxe-Coburg
Duke of Saxe-Coburg and Gotha, of Julich, Cleve and Berg, of Engern and Westphalia, Landgrave in Thuringen, Margrave of Meissen, Princely Count of Henneberg, Count of the Mark and Ravensberg, Lord of Ravenstein and Tonna, etc.","1596-1633: Duchy
1681-1699: Duchy","Upp Sax","PR","1572","Partitioned from Saxe-Gotha (1553-1572)
1633: Annexed to Saxe-Eisenach
1680: Partitioned from Saxe-Gotha
1699: United to form Saxe-Coburg-Saalfeld"
"Saxe-Coburg-Saalfeld","Upp Sax","PR","1699","Created from union of Saxe-Coburg and Saxe-Saalfeld",""
"Saxe-Eisenach","1596-1638: Duchy
1640-1644: Duchy
1672-1806: Duchy","Upp Sax","PR","1572","Partitioned from Saxe-Gotha (1553-1572)
1638: Partitioned into Saxe-Weimar and Saxe-Altenburg
1640: Partitioned from Saxe-Weimar
1644: Partitioned into Saxe-Weimar and Saxe-Gotha
1662: Partitioned from Saxe-Weimar
1741: United to form Saxe-Weimar-Eisenach"
"Saxe-Eisenberg","Duchy","Upp Sax","PR","1680","Partitioned from Saxe-Gotha (1640-1680)
1707: Annexed to Saxe-Gotha-Altenburg"
"Saxe-Gotha (1553-1572)","Duchy","Upp Sax","PR","1553","Partitioned from Saxe-Thuringia
1572: Partitioned into Saxe-Coburg and Saxe-Eisenach"
"Saxe-Gotha (1640-1680)","1640-1680: Duchy","Upp Sax","PR","1640","Partitioned from Saxe-Weimar
1680: Partitioned into Saxe-Coburg, Saxe-Eisenburg, Saxe-Gotha-Altenburg, Saxe-Hildburghausen, Saxe-Meiningen, Saxe-Römhild and Saxe-Saalfeld"
"Saxe-Gotha-Altenburg","Duchy","Upp Sax","PR","1680","Partitioned from Saxe-Gotha (1640-1680)"
"Saxe-Hildburghausen","1680: Duchy","Upp Sax","PR","1680","Partitioned from Saxe-Gotha (1640-1680)"
"Saxe-Jena","Duchy","Upp Sax","PR","1662","1600: Division between Saxe-Weimar and Saxe-Eisenach
1662: Partitioned from Saxe-Weimar"
"Saxe-Lauenburg","Duchy, and an Electorate rivalling Saxe-Wittenberg
1356: finally deprived of the electoral dignity","Low Sax","n/a","1260","Partitioned from the Duchy of Saxony
1305-1401: Partitioned into Saxe-Mölln-Bergedorf and Saxe-Ratzeburg
1689: in personal union (p.u.) to Brunswick and Lunenburg-Celle through inheritance
1714: in p.u. to the Electorate of Hanover through inheritance
1803: in p.u. to Brandenburg-Prussia
1815: in p.u. to Duchy of Holstein and King of Denmark
1864: in p.u. to Kingdom of Prussia
1876: incorporated in real union into Prussia"
"Saxe-Meiningen","1681-1918: Duchy","Upp Sax","PR","1680","Partitioned from Saxe-Gotha (1640-1680)"
"Saxe-Meissen","Duchy","Upp Sax","PR","1485","Partitioned from Saxe-Wittenberg
1547: Merged in the Electorate of Saxony"
"Saxe-Merseburg","Duchy","Upp Sax","PR","1656","Partitioned from the Electorate of Saxony
1738: Annexed to Electorate of Saxony"
"Saxe-Saalfeld","Duchy","Upp Sax","PR","1680","Partitioned from Saxe-Gotha (1640-1680)
1699: United to form Saxe-Coburg-Saalfeld"
"Saxe-Weimar
Grand Duke of Saxony-Weimar-Eisenach, Landgrave in Thuringia, Margrave of Misnia (Meissen), Princely Count of Henneberg, Lord of Blankenhayn, Neustadt und Tautenburg","1572-1806
Duchy
1815: Grand Duchy","Upp Sax","PR","1553","Partitioned from Saxe-Thuringia
1582: HRE Council of Princes
1602: Partitioned into itself and Saxe-Altenburg
1640: Partitioned into itself, Saxe-Eisenach and Saxe-Gotha
1672: Division into itself, Saxe-Eisenach, Saxe-Marksuhl, and Saxe-Jena
1741: Personal union of Saxe-Weimar and Saxe-Eisenach
1809: Merger to form Saxe-Weimar-Eisenach"
"Saxe-Weimar-Eisenach
Duke of Saxony, Landgrave in Thuringia, Margrave of Meissen, Princely Count of Henneberg, Lord of Blankenhayn, Neustadt, Tautenburg, etc.","Duchy","Upp Sax","PR","1741","Created from union of Saxe-Eisenach and Saxe-Weimar"
"Saxe-Weissenfels","Duchy","Upp Sax","PR","1656","Partitioned from Electorate of Saxony
1746: Annexed to Electorate of Saxony"
"Saxe-Wittenberg","Duchy, and an Electorate rivalling Saxe-Lauenburg
1356: undisputed HRE Prince-Elector","Upp Sax","EL","1260","Created on partition of the Duchy of Saxony
1423: United with Margraviate of Meissen to form Electorate of Saxony"
"Saxe-Zeitz","Duchy","Upp Sax","","",""
"Saxe-Zeitz-Naumburg","Duchy","Upp Sax","","1657","Created on partition of the Duchy of Saxe-Zeitz"
"Sayn","County","Low Rhen","","","1247: To Counts of Sponheim
1294: Division into Sayn-Sayn and Sayn-Vallendar
1606: Sayn, Hachenburg and Altenkirchen lines died out
1345: Marriage of Salentin of Sayn-Vallendar and Adelhei, heiress of County of Wittgenstein
1605: Division into Sayn-Berlebrug, Sayn-Sayn and Sayn-Wittgenstein."
"Sayn-Altenkirchen","County","","","","To Saxe-Eisenach
To Brandenburg-Ansbach
To Prussia"
"Sayn-Hachenburg","County","","","","To Manderscheid-Blankenheim
To Kirchberg
To Nassau-Weilburg"
"Sayn-Sayn","","","","","1648: Division into Sayn-Hachenburg and Sayn-Altenkirchen"
"Sayn-Wittgenstein-Berleburg
Prince of Sayn-Wittgenstein-Berleburg, Lord of Vallendar and Neumagen","1361: County
1792: Principality","","","","1605: Division into Sayn-Wittgenstein-Berleburg and Sayn-Wittgenstein-Hohenstein
1806: Annexed to Hesse-Darmstadt
1806: Annexed to Prussia"
"Sayn-Wittgenstein-Hachenburg","1648: County","","","","1623: Occupied by Archbishopric of Cologne
1715: To Burgraves of Kirchberg
1799: To Counts of Nassau-Weilburg
1803: To Sayn-Wittenstein-Berleburg
To Grand Duchy of Luxemburg"
"Sayn-Wittgenstein-Hohenstein
Prince of Sayn-Wittgenstein-Hohenstein","1605: County
1801: Principality","","","","1806: Annexed to Hesse-Darmstadt
1816: Annexed to Prussia"
"Sayn-Wittgenstein-Sayn","","","","","1846: Line extinct"
"Schaffhausen","HRE Abbey","","","1080","1049: Consecrated
1080: Gained territory from Lgrv Nellenburg
1122–1389: Gained Hiltensweiler lands
1529: Disestablished in Protestant Reformation"
"Schaffhausen","1190: Imperial Free City","n/a","","1190","1045: 1st mention of Schaffhausen with right to mint
1049: To Abbey of Allerheiligen
1330: Emperor pledges town to Habsburgs
1415: Schaffhausen buys its independence from Habsburg
1454: Alliance with the Swiss Confederacy
1501: Joined the Swiss Confederation
1648: Left the Empire"
"Schaesberg","","","","",""
"Schaumburg
Schauenburg","1110: County
1619: HRE County","Low Rhen","WE","1110","Division into Schaumburg and Schaumburg-Lippe
Partitioned in 1640, with most of its territory being annexed to Hesse-Kassel (or Hesse-Cassel); the remainder continued as Schaumburg-Lippe
1646: Schaumburg divided into--Holstein-Pinneberg was transferred to Holstein-Glückstadt; Lordship of Bergen in Holland was sold; Lordship of Gemen in Westphalia passed to Count of Limburg; and County of Sternberg fell to Lippe."
"Schaumburg-Lippe
Prince of Schaumburg-Lippe, Noble Lord of Lippe, Count of Schwalenberg and Sternberg, etc.","1647: HRE County
1807: Prince of Schaumburg-Lippe
1918: Free State of Schaumburg-Lippe","Low Rhen","WE","1647: Previously part of Schaumburg","Area: 340 km²; Pop. (1800): c20,000
1946: Merged in Lower Saxony"
"Schaumburg and Holstein-Rendsburg","County","","","1290","1474: Merged into Duchy of Holstein"
"Schaunberg","HRE Lordship
HRE County","","","","1559: Line died out"
"Scheer","Lordship
1785: Princely County of Friedberg and Scheer","","","","To Thurn und Taxis"
"Schellenberg","Lordship","","","","1510: Last Baron of Brandis sold Vaduz and Schellenberg to the Counts of Sulz
1699:Sold to Liechtenstein"
"Schiers","High Jurisdiction","","","",""
"Schillingen","Lordship","","","",""
"Schlettstadt
Sélestat","Imperial Free City","Upp Rhen","","","1648: Annexed to France"
"Schliengen","Lordship","","","",""
"Schlitz genannt von Görtz","1116: Lordship
1677: HRE Barony
1726: HRE County","Franc","WT","1804: Seat in the Counts of the Wetterau","1116: To Abbey of Fulda
1408: Renamed to Schlitz genannt von Görtz
1563: Acquired Lordshiop of Pfarrstellen
1656: Gained independence from Fulda
1806: Mediatised to Hesse-Darmstadt"
"Schmalkalden","Lordship","None","","","To Abbey of Fulda
To Bishopric of Wurzburg
To Thuringia
To Counts of Henneberg
To joint rule of Henneberg and Hesse
1583: To Landgrave of Hesse"
"Schönborn (Schonborn)","","","","","Acquired Reichelsberg"
"Schönburg (Schonburg)","1700: HRE County
1790: HRE Principality","Upp Sax","","","1100s; 1st mention of Schonburg
1569: Division into Lower Schonburg and Upper Schonburg
1700: Head od Upper Schonburg became Imperial Count
1740: Under partial overlordship of the Electorate of Saxony<1790: Upper Schonburg divided into Schonburg-Hartenstein and Schonburg-Waldenburg"
"Schönburg-Hartenstein","Principality","Upp Sax","","1800: Partitioned from Upper Schönburg",""
"Schönburg-Hinterglauchau","County","Upp Sax","","Partitioned from Lower Schönburg",""
"Schönburg-Rochsburg","County","Upp Sax","","Partitioned from Lower Schönburg",""
"Schönburg-Waldenburg
Prince, Count and Lord of Schönburg, Count and Lord of Glauchau and Waldenburg, etc.","Principality","Upp Sax","","1800: Partitioned from Upper Schönburg",""
"Schönburg-Wechselburg","County","Upp Sax","","Partitioned from Lower Schönburg",""
"Schönstein (Schonstein)","Lordship","","","",""
"Schöntal (Schonthal)","HRE Abbacy","","","",""
"Schussenried","HRE Abbacy","Swab","","","1793: Council of Princes"
"Schwabegg","HRE Lordship","","","","To Mindelheim"
"Schwäbisch Gmünd","Imperial City","Swab","SW","c1250","1803: Mediatized to Württemberg"
"Schwäbisch Hall","1280: Imperial Free City","Swab","SW","1280","1156: 1st mention of Schwabisch Hall in a treaty
To Counts of Comburg-Rothenburg
c1116: Passed to Hohenstaufen
1204: Schwabisch Hall called a town
1802: Lost its territory and political independence
1803: Mediatized to Württemberg"
"Schwäbisch Wörth","Imperial Free City","","","","1607/08: To Bavaria
1705-1714: Imperial Free City"
"Schwalenberg","County","","","10th century","1137: Partitioned into Pyrmont and Waldeck"
"Schwalenberg-Sternberg","County","","","1613: Partitioned from Lippe-Detmold","1620: Re-annexed to Lippe-Detmold"
"Schwarzburg
HRE Prince of Schwarzburg, Count of Hohenstein, Lord of Arnstadt, Sondershausen, Leutenberg, Lohra & Klettenberg","County<nr>1695: HRE Principality","","","1195: Partitioned from Käfernburg","1160: Division into Schwarzburg and Kafernburg
By 1184: Owned Schwarzburg, Blankenburg and Konigsee
1248: Acquired Sondershausen
1302: Annexed to Schwarzburg-Käfernburg
1306 and 1332: Purchased Lordship of Arnstadt
1340: Acquired Rudolstadt and Frankenhausen
1599: Division into Schwarzburg-Sondershausen and Schwarzburg-Rudolstadt
1754: HRE Council of Princes"
"Schwarzburg-Arenstadt","Principality","","","1721: Partitioned from Schwarzburg-Sondershausen","1651-1669 and 1681-1716: Separate lines of Schwarzburg-Arnstadt existed
1762: Re-annexed to Schwarzburg-Sondershausen"
"Schwarzburg-Arnstadt","County","","","1326: Partitioned from Schwarzburg-Blankenburg
1642: Partitioned from Schwarzburg-Sonderhsausen","Partitioned several times
1583 and 1669: Annexed to Schwarzburg-Sondershausen"
"Schwarzburg-Blankenburg","County","","","1231: Partitioned from Schwarzburg-Rudolstadt","Extinct in 1357"
"Schwarzburg-Ebeleben","County
1681: Principality","","","1642: Partitioned from Schwarzburg-Sondershausen","1681-1721: Re-annexed to Schwarzburg-Sondershausen"
"Schwarzburg-Frankenhausen","County","","","1552: Partitioned from Schwarzburg-Arnstadt","1597: Annexed to Schwarzburg-Rudolstadt"
"Schwarzburg-Käfernburg","County","","","1195: Partitioned from Käfernburg","1385: Extinct"
"Schwarzburg-Keula","Principality","","","1721: Partitioned from Schwarzburg-Sondershausen","1740: Re-annexed to Schwarzburg-Sondershausen"
"Schwarzburg-Leutenberg","County","","","1324: Partitioned from Schwarzburg-Schwarzburg","1564: Annexed to Schwarzburg-Arnstadt"
"Schwarzburg-Neustadt","Principality","","","1721: Partitioned from Schwarzburg-Sondershausen","1749: Re-annexed to Schwarzburg-Sondershausen"
"Schwarzburg-Rabenwald","County","","","1231: Partitioned from Schwarzburg-Rudolstadt","1312: Annexed to Schwarzburg-Käfernburg"
"Schwarzburg-Rudolstadt
Prince of Schwarzburg (-Rudolstadt), Count of Hohenstein, Lord of Arnstadt, Sondershausen, Leutenberg, Blankenburg, etc","County
1697: Principality","Upp Sax","PR","1552: Partitioned from Schwarzburg-Arnstadt",""
"Schwarzburg-Schwarzburg","County","","","1274: Partitioned from Schwarzburg-Blankenburg","1316: Divided into Schwarzburg-Leutenberg and Schwarzburg-Wachsenburg"
"Schwarzburg-Sondershausen
HRE Prince of Schwarzburg-Sonderhausen, Count of Hohenstein, Lord of Arnstadt, Sondershausen, Leutenberg","County
1697: Principality","Upp Sax","PR","1552: Partitioned from Schwarzburg-Arnstadt","Partitioned several times though it continued"
"Schwarzburg-Wachsenburg","County","","","1324: Partitioned from Schwarzburg-Schwarzburg","1368: Annexed to Meissen"
"Schwarzen","Lordship","","","",""
"Schwarzenbach","Lordship","","","",""
"Schwarzenberg
HRE Prince of Schwarzenberg, Princely Landgrave of Klettgau, Count of Sulz, Duke of Krummau, Lord of Gimborn)","Lordship
1429: Barony
1566: County
1599: Imperial County

1670: Imperial Prince
1671: Princely Landgraviate","Franc","","1347","1500: Franconian Circle
1624: Extinct
1674: HRE Council of Princes"
"The Schwarzgraviate","County","","","1333: Partitioned from Hohenzollern","1412: Re-annexed to Hohenzollern"
"Schweidnitz","Principality","","","",""
"Schweinfurt","1254: Free Imperial Town","Franc","SW","1282","791: 1st mention of Schweinfurt
1200s: Obtained status of a town
1386: Joined Swabian League of Cities
1500: Franconian Circle
1803: Mediatized to Bavaria"
"Schweppenhausen","Lordship","","","",""
"Schwerin","Bishopric
1180: HRE Prince-Bishopric","Low Sax","EC","1165: est. as diocese
1180: Partitioned - as estate of Imperial immediacy - from the older Duchy of Saxony","1648: Secularised as a principality to Mecklenburg-Schwerin"
"Schwerin","Principality","Low Sax","","1648: Secularized from Bp. of Schwerin","Held by Mecklenburg-Schwerin"
"Schwerin","1167: County","","","1161","1167: Gunzel of Hagen enfeoffed with Schwerin by Henry the Lion of Saxony
1279: Division into Schwerin-Schwerin and Schwerin-Wittenburg
1323: Schwerin-Boizenburg line
1328: Inherited County of Tecklenburg by female succession
1343: Mecklenburg obtained hereditary rights
1344: Schwerin-Schwerin line died out
1349: Schwerin-Wittenburg-Boizenburg line died out
1358: Line of Counts of Schwerin died out; sold to Mecklenburg"
"Schwyz","Imperial valley","","","1309: Split off from Habsburg","972: \"Community of Free Peasant of Schwyz\"
1173: To Habsburgs
1240: Schwyz declared directly dependent of the Emperor
1315: Original member of the Swiss Confederation
1648: Left Empire as member of Swiss Confederation
1798-1803: To Helvetic Republic"
"Sélestat (Schlettstadt)","","","","",""
"Seckau","1218: Bishopric
1218: HRE Prince-Bishopric","Aust","","1218",""
"Segenberg","Lordship
1628: HRE County","","","","To Waldstein/Wallenstein house"
"Seinsheim","HRE Lordship","Franc","FR","Barony of the House of Schwarzenberg","1803: Gained seat in Bench of Counts of Franconia"
"Selz","Imperial Abbey","—","—","991: Founded;
992: Reichsunmittelbar","1481: Mediatised to the Electorate of the Palatinate;
1803: Secularised"
"Sickingen","County","Swab","","",""
"Siebenbürgen (Transylvania)","Principality","","","",""
"Siegburg","RA","","","",""
"Sigmaringen","","","","1250","900s: Sigmaringen castle built
1077: 1st mention of Sigimaringin
?-1253: To Counts of Peutengau-Hirschberg
1270: To Counts of Montfort
1290: Sold to Austria
1325: To Counts of Wurttemberg
1362: To Counts of Werdenberg
1534: To Counts of Hohenzollern"
"Sinzendorf
HRE Prince of Sinzendorf & Thannhausen, Burgrave of Winterrieden, Baron of Ernstbrunn","1648: HRE Counts
1803: HRE Princes","","","","1610: HRE Baron of Ernstbrunn
1653: immediate Burgraves of Rheineck
1803: immediate Burgraves of Winterrieden"
"Sinzendorf-Ernstbrunn","","","","","Acquired Rheineck"
"Sion (Sitten)","Bishopric","","","c775","999: Bishops were also Counts of Valais
1798: Annexed to Valais then Switzerland"
"Soest","Imperial City","Low Rhen","RH","","1609: Annexed to Cleves"
"Söflingen","HRE Abbacy","Swab","","","1793: Council of Princes"
"Solms
Count of Solms, Lord of Münzenberg, Wildenfels & Sonnenwalde","County","n/a","n/a","1129","1258: Partitioned into Solms-Braunfels and Solms-Burg-Solms"
"Solms-Alt-Puch","County","Upp Rhen","WT","1688","Partitioned from Solms-Sonnenwalde
1711: Partitioned into itself, Solms-Kurzwitz, Solms-Rösa and Solms-Sonnenwalde in 1711
1769: Annexed to Solms-Kurwitz"
"Solms-Assenheim","County","Upp Rhen","WT","1632","Partitioned from Solms-Baruth
1699, 1728: Partitioned from Solms-Rödelheim-Assenheim
1635, 1722, 1778: Annexed Solms-Rödelheim-Assenheim"
"Solms-Baruth","County","Upp Rhen","WT","1600","Partitioned from Solms-Laubach
1622: Partitioned into itself and Solms-Assenheim
1696: Partitioned into itself, Solms-Baruth upon Klitschdorf and Wehrau, Solms-Laubach, Solms-Utphe and Solms-Wildenfels"
"Solms-Baruth upon Klitschdorf and Wehrau","County","n/a","n/a","1696","Partitioned from Solms-Baruth"
"Solms-Braunfels
HRE Prince of Solms, Lord of Braunfels, Grafenstein, Münzenberg, Wildenfels & Sonnenwalde
Prince of Solms-Braunfels, Count of Greifenstein, Lichtenstein and Hungen, Tecklenburg, Crichingen, Lingen, Lord of Münzenberg, Rheda, Wildenfels, Sonnenwalde, Püttlingen, Dortweiler und Beaucourt","County
1742: Principality","Upp Rhen","WT","1258: Partitioned from Solms","1235: Partitioned into itself and Solms-Ottenstein
1409: Partitioned into itself and Solms-Lich
1592: Partitioned into itself, Solms-Greifenstein and Solms-Hungen"
"Solms-Burg-Solms","County","n/a","n/a","1258","Partitioned from Solms
1415: Annexed to Solms-Braunfels"
"Solms-Greifenstein","County","Upp Rhen","","1592","Partitioned from Solms-Braunfels
1693: Annexed to Solms-Braunfels"
"Solms-Hohensolms","County","Upp Rhen","WT","1562","Partitioned from Solms-Lich
1718: Annexed to Solms-Hohensolms-Lich"
"Solms-Hohensolms-Lich","County
1792: Principality","Upp Rhen","WT","1718","Union of Solms-Hohensolms and Solms-Lich"
"Solms-Hungen","County","","","1592","Partitioned from Solms-Braunfels
1678: Annexed to Solms-Greifenstein"
"Solms-Kotiz","County","","","1747","Partitioned from Solms-Kurwitz"
