Site name	Reason for designation\nBiological interest	Reason for designation\nGeological interest	Area\nHectares	Area\nAcres	Coordinates & Grid ref	Year in which notified	Other designations	Map & Citation
Goyt Valley			1,332.6	3,292.9	53°16′05″N 1°57′32″W﻿ / ﻿53.268°N 1.959°W\n    SK028746	1951	SPA, SAC	Map
Green Lane Pits			6.6	16.2	53°09′36″N 1°45′18″W﻿ / ﻿53.16°N 1.755°W\n    SK165626	1986	GCR	Map
Hallam Barn Grasslands			5.1	12.7	53°20′49″N 1°43′08″W﻿ / ﻿53.347°N 1.719°W\n    SK188834	2011		Map
Harewood Grange Stream Section			5.9	14.5	53°12′43″N 1°32′13″W﻿ / ﻿53.212°N 1.537°W\n    SK310684	1963	GCR, NP	Map
Hilton Gravel Pits			31.2	77.0	52°52′44″N 1°37′52″W﻿ / ﻿52.879°N 1.631°W\n    SK249314	1981	GCR, WT	Map
Hipley Hill			22.1	54.6	53°05′24″N 1°40′59″W﻿ / ﻿53.09°N 1.683°W\n    SK213548	1963		Map
Hollinhill and Markland Grips			19.9	49.1	53°16′08″N 1°14′17″W﻿ / ﻿53.269°N 1.238°W\n    SK509749	1963		Map
Hulland Moss			2.8	6.8	53°00′43″N 1°37′44″W﻿ / ﻿53.012°N 1.629°W\n    SK250461	1981		Map
Hurdlow Meadows			11.3	27.9	53°11′46″N 1°48′50″W﻿ / ﻿53.196°N 1.814°W\n    SK125666	2005		Map
Jumble Coppice			0.7	1.8	53°14′42″N 1°36′00″W﻿ / ﻿53.245°N 1.6°W\n    SK268721	1985	GCR	Map
Kedleston Park			93.5	231.1	52°58′01″N 1°32′17″W﻿ / ﻿52.967°N 1.538°W\n    SK311412	1996		Map
Kirkham's Silica Sandpit			30.4	75.0	53°05′02″N 1°40′44″W﻿ / ﻿53.084°N 1.679°W\n    SK216541	1992	GCR	Map
Lathkill Dale			273.7	676.3	53°11′06″N 1°44′28″W﻿ / ﻿53.185°N 1.741°W\n    SK174653	1954	GCR, NNR, NP, NCR, SAC	Map
Lee Farm Meadow, Tideswell			1.5	3.7	53°18′11″N 1°48′29″W﻿ / ﻿53.303°N 1.808°W\n    SK129785	1986	NP	Map
Leek Moors			3,970.8	9,812.2	53°10′52″N 1°59′10″W﻿ / ﻿53.181°N 1.986°W\n    SK010649	1954	SPA, ESA, GCR, NP, SAC	Map
Long Dale & Gratton Dale			80.6	199.2	53°08′17″N 1°41′53″W﻿ / ﻿53.138°N 1.698°W\n    SK203601	1965	NNR, NP, NCR, SAC	Map
Long Dale, Hartington			53.5	132.1	53°09′04″N 1°47′42″W﻿ / ﻿53.151°N 1.795°W\n    SK138616	1997	SAC	Map
Longstone Moor			106.8	264.0	53°15′36″N 1°42′50″W﻿ / ﻿53.26°N 1.714°W\n    SK192737	1990	SM, NP	Map
Lower Hollins			5.4	13.2	53°21′50″N 1°48′07″W﻿ / ﻿53.364°N 1.802°W\n    SK133852	2011		Map
Lower Peaslows Farm Meadow			0.7	1.7	53°19′23″N 1°52′59″W﻿ / ﻿53.323°N 1.883°W\n    SK079807	2005		Map
Ludworth Intake			5.3	13.0	53°24′58″N 2°00′36″W﻿ / ﻿53.416°N 2.01°W\n    SJ994910	1998	GCR	Map
Masson Hill			76.1	188.0	53°07′26″N 1°34′01″W﻿ / ﻿53.124°N 1.567°W\n    SK291586	1989	GCR	Map
Matley Moor Meadows			3.3	8.0	53°24′07″N 1°57′54″W﻿ / ﻿53.402°N 1.965°W\n    SK024895	2011		Map
Matlock Woods			19.0	46.9	53°06′43″N 1°33′40″W﻿ / ﻿53.112°N 1.561°W\n    SK295573	1981	SAC	Map
Mercaston Marsh and Muggington Bottoms			14.3	35.4	52°59′06″N 1°36′04″W﻿ / ﻿52.985°N 1.601°W\n    SK269432	1990		Map
Monk's Dale			105.5	260.8	53°15′43″N 1°47′56″W﻿ / ﻿53.262°N 1.799°W\n    SK135739	1955	NNR, NP, NCR, SAC	Map
Morley Brick Pits			1.8	4.4	52°58′16″N 1°25′26″W﻿ / ﻿52.971°N 1.424°W\n    SK388417	1963		Map
Moss Valley			26.1	64.5	53°18′58″N 1°22′26″W﻿ / ﻿53.316°N 1.374°W\n    SK418801	1951		Map
Moss Valley Meadows			17.9	44.2	53°20′02″N 1°25′23″W﻿ / ﻿53.334°N 1.423°W\n    SK385820	1990		Map
Moss Valley Woods			17.9	44.2	53°19′01″N 1°26′42″W﻿ / ﻿53.317°N 1.445°W\n    SK371801	1993		Map
Mount Pleasant			3.0	7.3	53°01′19″N 1°34′52″W﻿ / ﻿53.022°N 1.581°W\n    SK282473	2011		Map
Ogston Reservoir			95.9	237.0	53°08′10″N 1°26′31″W﻿ / ﻿53.136°N 1.442°W\n    SK374600	1963		Map
Oxlow Rake			6.0	14.9	53°19′08″N 1°48′32″W﻿ / ﻿53.319°N 1.809°W\n    SK128803	1992		Map
Parwich Moor			15.8	38.9	53°07′01″N 1°44′28″W﻿ / ﻿53.117°N 1.741°W\n    SK174578	1965	NP	Map
Pleasley Vale Railway			3.5	8.7	53°10′41″N 1°13′23″W﻿ / ﻿53.178°N 1.223°W\n    SK520648	1981	LNR	Map
Poole's Cavern and Grin Low Wood			41.5	102.6	53°14′49″N 1°55′37″W﻿ / ﻿53.247°N 1.927°W\n    SK050722	1963	GCR	Map
Portway Mine			4.2	10.5	53°19′37″N 1°48′32″W﻿ / ﻿53.327°N 1.809°W\n    SK128811	1990	GCR	Map
River Derwent at Hathersage			7.9	19.4	53°19′48″N 1°40′23″W﻿ / ﻿53.33°N 1.673°W\n    SK219815	1992		Map
River Mease			22.9	56.5	52°42′18″N 1°35′35″W﻿ / ﻿52.705°N 1.593°W\n    SK276120	2000	SAC	Map
Rose End Meadows			48.4	119.7	53°06′25″N 1°35′28″W﻿ / ﻿53.107°N 1.591°W\n    SK275567	1996		Map
Rowlee Bridge			1.0	2.4	53°23′56″N 1°46′55″W﻿ / ﻿53.399°N 1.782°W\n    SK146891	1986	GCR	Map
Shining Cliff Woods			119.3	294.9	53°04′30″N 1°30′14″W﻿ / ﻿53.075°N 1.504°W\n    SK333532	1954		Map
South Lee Meadows			2.2	5.3	53°20′10″N 1°44′46″W﻿ / ﻿53.336°N 1.746°W\n    SK170821	2011		Map
Stoney Middleton Dale			71.3	176.2	53°16′52″N 1°40′59″W﻿ / ﻿53.281°N 1.683°W\n    SK212761	1972	GCR	Map
Teversal To Pleasley Railway			5.0	12.4	53°09′54″N 1°16′19″W﻿ / ﻿53.165°N 1.272°W\n    SK488633	1982	LNR, WT	Map
The Wye Valley			595.0	1,470.3	53°14′17″N 1°43′01″W﻿ / ﻿53.238°N 1.717°W\n    SK190713	1954	GCR, WT, NP, NCR, SAC	Map
Ticknall Quarries			29.5	73.0	52°48′36″N 1°28′08″W﻿ / ﻿52.81°N 1.469°W\n    SK359237	1963	GCR, NT	Map
Tideslow Rake			9.7	24.0	53°17′56″N 1°46′34″W﻿ / ﻿53.299°N 1.776°W\n    SK150780	1990	SM, NP	Map
Toddbrook Reservoir			19.4	48.0	53°19′26″N 1°59′49″W﻿ / ﻿53.324°N 1.997°W\n    SK003808	1963		Map
Topley Pike and Deepdale			65.2	161.0	53°14′28″N 1°51′22″W﻿ / ﻿53.241°N 1.856°W\n    SK097716	1965	NP, NCR, SAC	Map
Upper Lathkill			26.8	66.3	53°12′18″N 1°47′20″W﻿ / ﻿53.205°N 1.789°W\n    SK142676	1989	GCR, NP	Map
Via Gellia Woodlands			219.2	541.6	53°06′29″N 1°35′38″W﻿ / ﻿53.108°N 1.594°W\n    SK273568	1954	GCR, SAC	Map
Wall Lands			8.9	22.1	53°04′26″N 1°39′40″W﻿ / ﻿53.074°N 1.661°W\n    SK228530	2011		Map
Waterswallows Quarry			0.7	1.7	53°16′19″N 1°52′48″W﻿ / ﻿53.272°N 1.88°W\n    SK081750	1993	GCR	Map
Wyns Tor			3.1	7.7	53°08′17″N 1°38′35″W﻿ / ﻿53.138°N 1.643°W\n    SK240602	1972	GCR	Map
Yarncliff Wood, Padley			25.8	63.9	53°18′36″N 1°37′23″W﻿ / ﻿53.31°N 1.623°W\n    SK252793	1972	NT	Map
