| Genre          | Year | Title                                                          | Episode                                                                                                                                                                                                                                                                        | Role                                                   | Notes                                         |
| TV series      | 2008 | Undercover History                                             | "Unabomber: The Secret History" "Undercover Titanic with Bob Ballard"                                                                                                                                                                                                          | Narrator/Himself                                       | voice actor; 6 episodes total                 |
| TV film        | 2009 | Lincoln: American Mastermind                                   |                                                                                                                                                                                                                                                                                | Narrator                                               | voice actor                                   |
| Film           | 2009 | The Taking of Pelham 123                                       |                                                                                                                                                                                                                                                                                | Deputy Mayor LaSalle                                   |                                               |
| TV series      | 2009 | Timewatch                                                      | "The Real Bonnie and Clyde"                                                                                                                                                                                                                                                    | Narrator                                               | voice actor                                   |
| Film           | 2009 | Transformers: Revenge of the Fallen                            |                                                                                                                                                                                                                                                                                | Theodore Galloway                                      |                                               |
| TV series      | 2010 | The Big C                                                      | "Pilot" "Summer Time" "There's No C in Team" "Playing the Cancer Car" "Blue-Eyed Iris" "Taking Lumps" "Two for the Road" "Happy Birthday, Cancer" "The Ecstasy and the Agony" "Divine Intervention" "New Beginnings" "Everything That Rises Must Converge"
"Taking the Plunge" | Sean Tolkey                                            | 36 episodes total                             |
| TV series      | 2010 | Law & Order: LA                                                | "Pasadena"                                                                                                                                                                                                                                                                     | Congressman Thomas Nelson                              |                                               |
| Short film     | 2010 | Civil Unions: A Love Story                                     |                                                                                                                                                                                                                                                                                |                                                        | 4 minutes                                     |
| TV series      | 2011 | The Big C                                                      | "Losing Patients" "Musical Chairs" "Sexual Healing" "Boo!" "Cats and Dogs" "The Little c" "Goldilocks and the Bears" "The Last Thanksgiving" "A Little Death" "How Do You Feel?" "Fight or Flight" "The Darkest Day"
"Crossing the Line"                                       | Sean Tolkey                                            | 36 episodes total                             |
| TV series      | 2011 | A Gifted Man                                                   | "In Case of Exposure"                                                                                                                                                                                                                                                          | Ben Tucker                                             |                                               |
| TV series      | 2011 | The Good Wife                                                  | "Great Firewall"                                                                                                                                                                                                                                                               | Neil Gross                                             | 3 episodes total                              |
| TV series      | 2012 | The Big C                                                      | "Thin Ice" "What's Your Story?" "Bundle of Joy" "Family Matters" "Face Off" "Life Rights" "How Bazaar" "Killjoy" "Vaya Con Dios" "Fly Away"                                                                                                                                    | Sean Tolkey                                            | 36 episodes total                             |
| TV series      | 2012 | The Good Wife                                                  | "Live from Damascus" "Two Girls, One Code"                                                                                                                                                                                                                                     | Neil Gross                                             | 3 episodes total                              |
| TV series      | 2012 | The Mob Doctor                                                 | "Family Secrets"                                                                                                                                                                                                                                                               | Mark Easton                                            |                                               |
| Film           | 2012 | My Eleventh                                                    |                                                                                                                                                                                                                                                                                |                                                        |                                               |
| TV series      | 2012 | The New Normal                                                 | "The God-Parent Trap" "Dog Children" "The Big Day                                                                                                                                                                                                                              | Father Michael                                         | 3 episodes Total                              |
| Film           | 2012 | Pitch Perfect                                                  |                                                                                                                                                                                                                                                                                | Dr. Mitchell                                           |                                               |
| TV series      | 2013 | The Big C                                                      | "Quality of Life" "You Can't Take it with You" "Quality of Death" "The Finale"                                                                                                                                                                                                 | Sean Tolkey                                            | 36 episodes total                             |
| TV series      | 2013 | Hannibal                                                       | "Buffet Froid"                                                                                                                                                                                                                                                                 | Dr. Sutcliffe                                          |                                               |
| TV series      | 2014 | Modern Family                                                  | "Under Pressure"                                                                                                                                                                                                                                                               | Dr. Clark                                              |                                               |
