Numbers\nTOPS	Numbers\nTOPS	Numbers\nPre-TOPS	Name(s)	Dates	Final Livery	Operator	Withdrawn	Status
86217	86504	E3177	Comet\nHalley's Comet\nCity University	1980–1985\n1985–1994\n1994–2004	Anglia Railways	FM Rail	04/2004	Exported Hungary. (02/2013) Export Number 0450 006. Operated Floyd ZRt.
86218	-	E3175	Planet\nHarold Macmillan\nYear of Opera and\nMusical Theatre 1997\nNHS 50	1979–1993\n1993–1997\n1997–1998\n1998-	Anglia Railways	'one'	09/2004	Exported Hungary. (02/2011) Export Number 0450 004-1. Operated Floyd ZRt.
86219	-	E3196	Phoenix	1978–2002	InterCity	Virgin West Coast	05/1996	Scrapped at Immingham RFT (05/2002)
86220	-	E3156	Goliath\nThe Round Tabler	1979–1987\n1987–2002	Anglia Railways	Anglia Railways	05/2002	Scrapped at Immingham RFT (11/2003)
86221	-	E3132	Vesta\nBBC Look East	1979–1987\n1987–2003	Anglia Railways	Anglia Railways	05/2003	Scrapped at Immingham RFT (11/2003)
86222	86502	E3131	Fury\nLloyd's List\nLloyd's List 250th Anniversary\nClothes Show Live	1979–1987\n1987–1989\n1989–1994\n1994–2002	Virgin Red/Black	Virgin Cross-Country	10/2002	Scrapped at Immingham RFT (12/2003)
86223	-	E3158	Hector\nNorwich Union	1979–1987\n1987–2004	Anglia Railways	FM Rail	04/2004	Scrapped at EMR Kingsbury 04/2011
86224	-	E3134	Caledonian	1979–1988	InterCity	Virgin Cross-Country	07/2002	Scrapped at Rotherham (05/2006)
86225	-	E3164	Hardwicke	1980–2003	Virgin Red/Black	Virgin Cross-Country	07/2002	Scrapped at Rotherham (04/2006)
86226	-	E3162	Mail\nRoyal Mail Midlands\nCharles Rennie Mackintosh	1979–1984\n1984–1996\n1996–2002	Virgin Red/Black	Virgin Cross-Country	07/2002	Scrapped at EMR Kingsbury 04/2011
86227	-	E3117	Sir Henry Johnson\nGolden Jubilee	1981–2002\n2002–2004	Anglia Railways\n(with Union Flag)	'one'	10/2004	Scrapped at Rotherham (07/2005)
86228	-	E3167	Vulcan Heritage	1980-	InterCity	Virgin West Coast	10/2003	Exported Hungary. (07/2013) Export number: 0450 007. Operating Floyd ZRt.
86229	-	E3119	Sir John Betjeman\nLions Club International	1983–1998\n1998–2003	Virgin Red/Black	FM Rail	10/2003	Stored at Long Marston
86230	-	E3168	The Duke of Wellington	1981–1997	Anglia Railways	'one'	10/2004	Scrapped at EMR Kingsbury 05/2011
86231	-	E3126	Starlight Express	1984–2002	Virgin Red/Black	FM Rail	07/2002	Stored at Long Marston
86232	-	E3113	Harold Macmillan\nNorfolk and Norwich Festival\nNorfolk and Norwich Festival	1979–1990\n1990–1995\n2001–2005	Anglia Railways	'one'	07/2005	Exported Hungary. (04/2010) Export Number 0450 003-3. Operated Floyd ZRt.
86233	86506	E3172	Laurence Olivier\nAlstom Heritage	1980–2002\n2002–2003	BR Electric Blue	Swift Rail Ltd	11/2007	Exported Bulgaria. (11/2012) Bulmarket as a spares donor.
86234	-	E3155	J B Priestley OM\nSuffolk - Relax Refresh Return	1980–2002\n2002-	Anglia Railways	'one'	04/2005	Stored at Long Marston
86235	-	E3194	Novelty\nHarold Macmillan\nCrown Point	1979–1990\n1990–1992\n1992-	Anglia Railways	'one'	09/2005	Stored at Long Marston
86236	-	E3133	Josiah Wedgwood\nMaster Potter 1736-1795	1978–2002	Virgin Red/Black	Virgin Cross-Country	10/2002	Scrapped at Immingham RFT (12/2003)
86237	-	E3197	Sir Charles Hallé\nUniversity of East Anglia	1983–1993\n1993–2004	Anglia Railways	'one'	04/2004	Scrapped at Cardiff (10/2004)
86238	-	E3116	European Community	1986–2004	Anglia Railways	'one'	10/2004	Scrapped at Boreham, Essex (05/2005)
86239	86507	E3169	L. S. Lowry	1980–1996	Rail Express Systems	EWS	04/1996	Written-off in Stafford accident\nScrapped at Crewe Electric TMD (04/1997)
86240	-	E3127	Bishop Eric Treacy	1979–2002	Virgin Red/Black	Virgin Cross-Country	10/2002	Scrapped at Rotherham (04/2005)
86241	86508	E3121	Glenfiddich	1979–2003	Rail Express Systems	EWS	01/2000	Scrapped at Crewe Electric TMD (02/2003)
86242	-	E3138	James Kennedy GC\nColchester Castle	1981–2002\n2002–2004	Anglia Railways	'one'	10/2004	Exported Hungary. (07/2013) Export Number 0450 008-2. Operating Floyd ZRt.
86243	-	E3181	The Boys' Brigade	1983–1993	Rail Express Systems	EWS	11/2002	Scrapped at CF Booth, Rotherham (09/2004)
86244	-	E3178	The Royal British Legion	1981–2002	Virgin Red/Black	Virgin Cross-Country	10/2002	Scrapped at Immingham RFT (11/2003)
86245	-	E3182	Dudley Castle\nCaledonian	1984–1998\n1998–2003	Virgin Red/Black	Virgin West Coast	10/2003	Scrapped at EMR Kingsbury (06/2010)
86246	86505	E3149	Royal Anglian Regiment	1985-	Anglia Railways	'one'	12/2004	Stored at Long Marston
86247	-	E3192	Abraham Darby	1981–2003	Europhenix	Europhenix	10/2003	Stored at Crewe LNWR. Europhoenix demonstrator.
86248	-	E3107	County of Clwyd / Sir Clwyd	1981–2003	Virgin Red/Black	Virgin Cross-Country	10/2002	Exported Hungary. (2/2009) Export Number 0450 001-7. Operated Floyd ZRt.
86249	-	E3161	County of Merseyside	1981–2005	InterCity	Virgin Cross-Country	10/2003	Scrapped at MoD Caerwent (10/2005)
86250	-	E3189	The Glasgow Herald\nSheppard 100	1980–1998\n2003–2004	Anglia Railways	FM Rail	04/2004	Exported Hungary. (5/2009) Export Number 0450 002-5. Operated Floyd ZRt.
86251	-	E3183	The Birmingham Post	1984–2002	Virgin Red/Black	FM Rail	10/2002	Stored at Long Marston
86252	-	E3101	The Liverpool Daily Post\nSheppard 100	1980–2000\n2000–2002	Anglia Railways	Anglia Railways	05/2002	Scrapped at Immingham RFT (08/2002)
86253	86044	E3136	The Manchester Guardian	1980–2004	InterCity	Virgin Cross-Country	10/2002	Converted to 86901 (11/2004)
86254	86047	E3142	William Webb Ellis	1980–1996	Rail Express Systems	EWS	10/2002	Scrapped at CF Booth, Rotherham (08/2004)
86255	86042	E3154	Penrith Beacon	1981–1999	InterCity	Virgin Cross-Country	08/1998	Scrapped at Immingham RFT (09/2002)
86256	86040	E3135	Pebble Mill	1981–2003	Virgin Red/Black	Virgin Cross-Country	10/2002	Scrapped at Rotherham (03/2006)
86257	86043	E3139	Snowdon	1981–1999	Anglia Railways	Anglia Railways	11/2002	Scrapped at Immingham RFT (11/2003)
86258	86046	E3192	Talyllyn - The First\nPreserved Railway\nTalyllyn 50 Years of Railway\nPreservation 1951-2001	1984–2001\n2001-2002	Virgin Red/Black	Virgin Cross-Country	07/2002	Conversion to battery-electric locomotive cancelled. Scrapped at EMR Kingsbury (12/2009)
86259	86045	E3137	Peter Pan\nGreater Manchester\nThe Life & Soul Of Britain\nLes Ross	1979–1995\n1995-2002\n2002-2003	BR Electric Blue	Peter Pan Locomotive Ltd (Les Ross)	10/2003	Preserved operational at Willesden TMD
86260	86048	E3144	Driver Wallace Oakes GC	1981–2003	Anglia Railways	'one'	05/2004	Converted to 86702 (08/2009)
86261	86041	E3118	Driver John Axon GC\nThe Rail Charter Partnership	1981–1992\n1997–2004	EWS Red/Gold	EWS	11/2002	Scrapped at CF Booth, Rotherham (12/2004)
86401	86001	E3199	Northampton Town\nHertfordshire Rail Tours\nNorthampton Town	1989–1991\n1998–2002\n2005–present	Network SouthEast	AC Locomotive Group	12/2002	Stored at Willesden TMD.
86416	86316	E3109	Wigan Pier	1984–1992	Rail Express Systems	EWS	02/2002	Scrapped at CF Booth, Rotherham (07/2005)
86417	86317	E3146	The Kingsman	1985–1993	Rail Express Systems	EWS	09/2001	Scrapped at CF Booth, Rotherham (11/2004)
86419	86319	E3120	Post Haste 150 Years of\nthe Travelling Post Office	1990–1993	Rail Express Systems	EWS	03/1999	Scrapped at Crewe Electric TMD (03/2003)
86424	86324	E3111	-	-	NR Yellow	Network Rail	12/2002	Exported Hungary. (08/2013) Export Number 0450 009. Floyd ZRt as a spares donor.
86425	86325	E3186	Saint Mungo	1995–2003	Rail Express Systems	EWS	02/2002	Scrapped at CF Booth, Rotherham (01/2005)
86426	86326	E3195	Pride of the Nation	1998–2002	Freightliner Green	EWS	06/2004	Scrapped at CF Booth, Rotherham (11/2005)
86429	86329	E3200	The Times	1982–1986	InterCity	British Rail	11/1986	Written-off in Colwich accident\nScrapped at Crewe Works (11/1986)
86430	86030	E3105	Scottish National Orchestra\nSaint Edmund	1987–1991\n1996–2002	Freightliner Green	EWS	06/2004	Scrapped at CF Booth, Rotherham (12/2005)
86501	86608	E3180	Crewe Basford Hall	2000–2000	Freightliner Green	Freightliner	-	In service
86602	86402	E3170	-	-	Freightliner Green	Freightliner	03/2005	Scrapped at Sandbach Car & Commercial Dismantlers at Crewe LNWR (01/2010)
86603	86403	E3115	-	-	Revised Railfreight\nDistribution	Freightliner	09/1999	Scrapped at CF Booth, Rotherham (11/2005)
86604	86404	E3103	-	-	Freightliner Green	Freightliner	-	In service
86605	86405	E3185	Intercontainer	1992–1996	Freightliner Green	Freightliner	-	In service
86606	86406	E3112	-	-	Freightliner grey	Freightliner	11/2003	Scrapped at Ron Hull Jr, Rotherham (06/2007)
86607	86407	E3176	The Institution of\nElectrical Engineers	1987–2000	Freightliner Green	Freightliner	-	In service
86608	86408	E3180	St. John Ambulance	1987–1999	Freightliner Green	Freightliner	05/2000	Converted to 86501 (05/2000)
86609	86409	E3102	-	-	Freightliner Green	Freightliner	-	In service
86610	86410	E3104	-	-	Freightliner Green	Freightliner	-	In service
86611	86411	E3171	Airey Neave	1983–2003	Freightliner grey	Freightliner	11/2003	Written-off in Norton Bridge accident\nScrapped at Crewe Works by HNRC (02/2005)
86612	86412	E3122	Elizabeth Garrett Anderson	1983–2004	Freightliner Green	Freightliner	-	In service
86613	86413	E3128	County of Lancashire	1985–1999	Freightliner Green	Freightliner	-	In service
86614	86414	E3145	Frank Hornby	1986–2001	Freightliner Green	Freightliner	-	In service
86615	86415	E3123	Rotary International	1984–2005	Freightliner Green	Freightliner	04/2005	Scrapped at Ron Hull Jr, Rotherham (07/2007)
86618	86418	E3163	-	-	Freightliner grey	Freightliner	08/2001	Scrapped at CF Booth, Rotherham (03/2005)
86620	86420	E3114	Philip G Walton	1998-	Freightliner Green	Freightliner	09/2005	Scrapped at Ron Hull Jr, Rotherham (06/2007)
86621	86421	E3157	London School of Economics	1985–2004	Freightliner Green	Freightliner	04/2011	Scrapped at Crewe LNWR (03/2013)
86622	86422	E3174	-	-	Freightliner Powerhaul	Freightliner	-	In service
86623	86423	E3152	-	-	Freightliner grey	Freightliner	10/2003	Scrapped at Sandbach Car & Commercial Dismantlers at Crewe LNWR (01/2010)
86627	86427	E3110	The Industrial Society	1985–1999	Freightliner Green	Freightliner	-	In service
86628	86428	E3159	Aldaniti	1984–2004	Freightliner Green	Freightliner	-	In service
86631	86431	E3188	-	-	Freightliner Green	Freightliner	11/2003	Written-off in Norton Bridge accident\nScrapped at Crewe Works by HNRC (03/2005)
86632	86432	E3148	Brookside	1987–1999	Freightliner Green	Freightliner	-	In service
86633	86433	E3198	Wulfruna	1985–2004	Freightliner grey	Freightliner	02/2004	Scrapped at Crewe LNWR (03/2013)
86634	86434	E3187	University of London	1986–1999	Freightliner Green	Freightliner	05/2002	Scrapped at CF Booth, Rotherham (03/2005)
86635	86435	E3124	-	-	Freightliner Green	Freightliner	02/2004	Scrapped at Crewe LNWR (03/2013)
86636	86436	E3160	-	-	Freightliner Green	Freightliner	03/2000	Scrapped at CF Booth, Rotherham (01/2005)
86637	86437	E3130	-	-	Freightliner Powerhaul	Freightliner	-	In service
86638	86438	E3108	-	-	Freightliner Green	Freightliner	-	In service
86639	86439	E3153	-	-	Freightliner Green	Freightliner	-	In service
86701	86205	E3129	Orion	2009-	Colas Rail Yellow & Orange	Europhoenix	01/2013	Stored at Barrow Hill Engine Shed
86702	86260	E3144	Cassiopeia	2009-	Electric Traction Limited Red and Grey	Europhoenix	01/2013	Stored at Barrow Hill Engine Shed
86901	86253	E3136	Chief Engineer	2005-	NR Yellow	Network Rail	03/2011	Stored at Derby RTC
86902	86210	E3190	Rail Vehicle Engineering	2005-	NR Yellow	Network Rail	03/2011	Stored at Derby RTC
