| Region/Country                                                              | 1882– 1918 | 1919– 1948 | 1948– 1951 | 1952– 1960 | 1961– 1971 | 1972– 1979 | 1980– 1989 | 1990– 2001 | 2002– 2010 | 2011– 2013 | Total     |
| Cyprus                                                                      |            |            | 21         | 35         | 28         | 21         | 12         | 32         | 0          | 3          | 151       |
| Georgia                                                                     |            |            | 0          | 0          | 0          | 1,700      | 35,000     | 21,134     | 4,111      | 586        | 61,531    |
| India, Pakistan, Bangladesh, and Sri Lanka                                  |            | 250        | 2,176      | 5,380      | 13,110     | 3,497      | 1,539      | 2,055      | 961        | 68         | 29,036    |
| Iran                                                                        | 1,760      | 6,000      | 21,910     | 15,699     | 19,502     | 9,550      | 8,487      | 4,326      | 1,097      | 97         | 88,428    |
| Iraq                                                                        |            | 8,000      | 123,371    | 2,989      | 3,509      | 939        | 111        | 1,325      | 130        | 8          | 140,374   |
| Israel                                                                      |            |            | 411        | 868        | 1,021      | 507        | 288        | 1,148      | 1,448      | 201        | 5,892     |
| Japan                                                                       |            |            | 0          | 9          | 25         | 34         | 57         | 98         | 32         | 2          | 257       |
| Jordan                                                                      |            |            | 6          | 9          | 23         | 6          | 9          | 15         | 0          | 0          | 68        |
| Kazakhstan                                                                  |            |            | 0          | 0          | 0          | 0          | 0          | 17,764     | 2,498      | 298        | 20,558    |
| Kyrgyzstan                                                                  |            |            | 0          | 0          | 0          | 0          | 0          | 4,660      | 608        | 103        | 5,366     |
| Indonesia, Malaysia, and the Philippines                                    |            |            | 101        | 46         | 54         | 40         | 60         | 205        | 42         | 10         | 551       |
| Lebanon                                                                     |            |            | 235        | 846        | 2,208      | 564        | 179        | 96         | 34         | 5          | 4,167     |
| Mongolia, South Korea, and North Korea                                      |            |            | 0          | 0          | 4          | 5          | 10         | 100        | 36         |            | 155       |
| Saudi Arabia                                                                |            |            | 177        | 0          | 4          | 0          | 5          | 0          | 0          | 0          | 186       |
| Syria                                                                       |            | 10,292     | 2,678      | 1,870      | 2,138      | 842        | 995        | 1,664      | 23         | 0          | 20,502    |
| Tajikistan                                                                  |            |            |            | 0          | 0          | 0          | 0          | 10,427     | 141        | 19         | 10,577    |
| Turkey                                                                      |            | 13,000     | 34,547     | 6,871      | 14,073     | 3,118      | 2,088      | 1,311      | 817        | 244        | 75,346    |
| Turkmenistan                                                                |            |            | 0          | 0          | 0          | 0          | 0          | 2,268      | 708        | 48         | 3,007     |
| Uzbekistan                                                                  |            |            |            |            |            | 1,500      | 19,500     | 78,905     | 8,570      | 582        | 109,057   |
| Yemen                                                                       | 5,000      | 18,000     | 48,315     | 1,170      | 1,066      | 51         | 17         | 683        | 103        | 69         | 74,474    |
| Other (Asia)                                                                |            | 13,135     | 947        | 0          | 60         | 21         | 45         | 205        | 30         | 55         | 14,498    |
| Europe                                                                      |            | 471,477    | 330,282    | 99,564     | 168,488    | 190,336    | 75,852     | 958,834    | 119,628    | 32,412     | 2,446,873 |
| Albania                                                                     |            |            | 0          | 5          | 8          | 0          | 0          | 376        | 0          | 0          | 389       |
| Austria                                                                     |            | 18,400     | 2,632      | 610        | 1,021      | 595        | 356        | 368        | 150        | 37         | 24,137    |
| Belgium                                                                     |            | 521        | 291        | 394        | 1,112      | 847        | 788        | 1,053      | 873        | 517        | 6,396     |
| Bulgaria                                                                    |            | 10,000     | 37,260     | 1,680      | 794        | 118        | 180        | 3,999      | 341        | 62         | 54,434    |
| Czechoslovakia                                                              |            | 26,700     | 18,788     | 783        | 2,754      | 888        | 462        | 527        | 217        | 33         | 51,952    |
| France                                                                      |            | 1,637      | 3,378      | 2,286      | 20,162     | 12,148     | 12,827     | 16,882     | 21,351     | 7,041      | 98,121    |
| Germany                                                                     |            | 64,600     | 8,210      | 1,386      | 3,175      | 2,080      | 1,759      | 2,442      | 866        | 197        | 84,727    |
| Greece                                                                      |            | 17,000     | 2,131      | 676        | 514        | 326        | 147        | 127        | 48         | 18         | 20,985    |
| Hungary                                                                     |            | 25,300     | 14,324     | 9,819      | 2,601      | 1,100      | 1,005      | 2,444      | 730        | 398        | 57,721    |
| Ireland                                                                     |            |            | 14         | 46         | 145        | 157        | 233        | 136        | 54         | 5          | 790       |
| Italy                                                                       |            | 1,554      | 1,305      | 414        | 940        | 713        | 510        | 656        | 389        | 231        | 6,712     |
| Luxembourg                                                                  |            |            | 30         | 15         | 15         | 7          | 12         | 0          | 4          | 2          | 85        |
| Netherlands                                                                 |            | 1,208      | 1,077      | 646        | 1,470      | 1,170      | 1,239      | 997        | 365        | 76         | 8,248     |
| Nordic Countries                                                            |            |            | 85         | 131        | 886        | 903        | 1,178      | 1,145      | 297        | 126        | 4,731     |
| Thereof: Denmark                                                            |            |            | 27         | 46         | 298        | 292        | 411        | 389        | 85         | 17         | 1,565     |
| Thereof: Finland                                                            |            |            | 9          | 20         | 172        | 184        | 222        | 212        | 33         | 12         | 864       |
| Thereof: Norway                                                             |            |            | 17         | 14         | 46         | 55         | 126        | 120        | 19         | 5          | 402       |
| Thereof: Sweden                                                             |            |            | 32         | 51         | 378        | 372        | 419        | 424        | 160        | 37         | 1,873     |
| Poland                                                                      | 10,000     | 180,700    | 106,414    | 39,618     | 14,706     | 6,218      | 2,807      | 3,064      | 764        | 97         | 363,441   |
| Portugal                                                                    |            |            | 16         | 22         | 66         | 56         | 55         | 47         | 28         | 11         | 301       |
| Romania                                                                     | 1,000      | 49,800     | 117,950    | 32,462     | 86,184     | 18,418     | 14,607     | 6,254      | 711        | 149        | 327,835   |
| Soviet Union (Europe)                                                       | 70,000     | 52,300     | 4,916      | 6,096      | 22,699     | 135,909    | 28,763     | 908,205    | 86,154     | 21,709     | 1,336,801 |
| Thereof: Russia                                                             |            |            |            |            |            |            | 22,600     | 291,231    | 41,599     | 7,223      | 362,653   |
| Thereof: Belarus                                                            |            |            |            |            |            |            | 4,500      | 70,409     | 4,305      | 611        | 79,825    |
| Thereof: Baltic Countries                                                   |            |            |            |            |            |            | 37,300     | 21,174     | 1,018      |            | 59,492    |
| (1): Lithuania                                                              |            |            |            |            |            |            | 24,500     | 6,774      | N/A        | 40         | 31,314    |
| (2): Latvia                                                                 |            |            |            |            |            |            | 16,000     | 12,661     | N/A        | 124        | 28,785    |
| Thereof: Ukraine                                                            |            |            |            |            |            |            | 47,700     | 299,821    | 26,677     | 4,099      | 378,297   |
| Thereof: Moldova                                                            |            |            |            |            |            |            | 24,200     | 48,261     | 2,555      | 426        | 75,442    |
| Spain                                                                       |            |            | 80         | 169        | 406        | 327        | 321        | 269        | 178        | 151        | 1,916     |
| Switzerland                                                                 |            |            | 131        | 253        | 886        | 634        | 706        | 981        | 585        | 130        | 4,306     |
| United Kingdom                                                              |            | 1,574      | 2,306      | 1,730      | 7,444      | 6,844      | 7,754      | 6,634      | 5,265      | 1,561      | 41,115    |
| Yugoslavia                                                                  |            | 1,944      | 7,661      | 320        | 322        | 126        | 140        | 2,029      | 162        | 20         | 12,724    |
| Other (Europe)                                                              |            | 2,329      | 1,281      | 3          | 173        | 32         | 0          | 198        | 93         | 60         | 4,169     |
| Not known                                                                   |            | 52,982     | 20,014     | 3,307      | 2,265      | 392        | 469        | 422        | 0          | 0          | 79,851    |
| Total                                                                       | 72,260     | 572,556    | 674,089    | 288,973    | 443,560    | 283,607    | 239,757    | 1,242,941  | 222,552    | 52,883     | 4,020,918 |
