Represent	Candidate	in Russian	Age	Height	Hometown
Mari El Republic	Anna Il’ina	Анна Ильина	19	1.88 m (6 ft 2 in)	Medvedevo
Mordovian Republic	Olga Stepančenko	Олга Степанченко	20	1.75 m (5 ft 9 in)	Saransk
Moscow Oblast	Anastasija Rodriguez	Анастасия Родригуез	20	1.83 m (6 ft 0 in)	Khimki
Nenets Okrug	Sofia Meldemendev	Софиа Мелдемендев	25	1.85 m (6 ft 1 in)	Naryan-Mar
North Ossetian Republic	Emilianna Ninn	Емилианна Нинн	22	1.76 m (5 ft 9 1⁄2 in)	Vladikavkaz
Novgorod Oblast	Ekaterina Žuravleva	Екатерина Журавлева	20	1.81 m (5 ft 11 1⁄2 in)	Novgorod
Novosibirsk Oblast	Orianna Kleobova	Орианна Клеобова	19	1.73 m (5 ft 8 in)	Novosibirsk
Omsk Oblast	Vera Korobejnikova	Вера Коробейникова	20	1.82 m (5 ft 11 1⁄2 in)	Omsk
Oryol Oblast	Natalia Pavšukova	Наталиа Павшукова	19	1.79 m (5 ft 10 1⁄2 in)	Oryol
Penza Oblast	Anna Milinzova	Анна Милинзова	20	1.86 m (6 ft 1 in)	Penza
Perm Krai	Svetlana Ninkova	Светлана Нинкова	22	1.73 m (5 ft 8 in)	Perm
Pskov Oblast	Anastasija Germonova	Анастасия Гермонова	22	1.75 m (5 ft 9 in)	Pskov
Rostov Oblast	Tatiana Kotova	Татиана Котова	21	1.81 m (5 ft 11 1⁄2 in)	Rostov-on-Don
Ryazan Oblast	Julia Sandrova	Юлиа Сандрова	20	1.74 m (5 ft 8 1⁄2 in)	Ryazan
Saint Petersburg	Maria Hernasova	Мариа Хернасова	20	1.78 m (5 ft 10 in)	Saint Petersburg
Sakha Republic	Sardana Syromyatnikova	Сардана Сыромыатникова	19	1.82 m (5 ft 11 1⁄2 in)	Yakutia
Sakhalin Oblast	Jeannette Menova	Йеаннетте Менова	18	1.75 m (5 ft 9 in)	Sakhalin
Samara Oblast	Nadia Gurina	Надиа Гурина	20	1.78 m (5 ft 10 in)	Samara
Saratov Oblast	Anastasija Marnolova	Анастасия Марнолова	21	1.74 m (5 ft 8 1⁄2 in)	Saratov
Smolensk Oblast	Viktoria Ševšenko	Викториа Шевшенко	19	1.73 m (5 ft 8 in)	Smolensk
Sverdlovsk Oblast	Julianna Piskunova	Юлианна Пискунова	22	1.87 m (6 ft 1 1⁄2 in)	Sverdlovsk
Tambov Oblast	Jenna Lerova	Йенна Лерова	21	1.77 m (5 ft 9 1⁄2 in)	Tambov
Tatarstan Republic	Anastasija Muhammad	Анастасия Мухаммад	19	1.84 m (6 ft 1⁄2 in)	Kazan
Tomsk Oblast	Anastasija Tristova	Анастасия Тристова	23	1.78 m (5 ft 10 in)	Tomsk
Tuva Republic	Azida Levenok	Азида Левенок	18	1.81 m (5 ft 11 1⁄2 in)	Kyzyl
Tver Oblast	Anastasija Prače’vysky	Анастасия Прачеьвыскы	19	1.75 m (5 ft 9 in)	Tver
Tyumen Oblast	Andrea Maksimova	Андреа Максимова	24	1.84 m (6 ft 1⁄2 in)	Tyumen
Udmurt Republic	Monica Zaharova	Моница Захарова	24	1.81 m (5 ft 11 1⁄2 in)	Izhevsk
Volgograd Oblast	Indhira Perlova	Индхира Перлова	21	1.78 m (5 ft 10 in)	Volgograd
Vologda Oblast	Rosemary Mironova	Росемары Миронова	21	1.74 m (5 ft 8 1⁄2 in)	Vologda
Voronezh Oblast	Anastasija Larkova	Анастасия Ларкова	22	1.80 m (5 ft 11 in)	Voronezh
Yamalo-Nenets Okrug	Ekaterina Borzenkova	Екатерина Борзенкова	19	1.77 m (5 ft 9 1⁄2 in)	Tarko-Sale
Yaroslavl Oblast	Emely Androlevy	Емелы Андролевы	23	1.73 m (5 ft 8 in)	Yaroslavl
