| Eps # | Prod # | Title                           | Summary                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | Air Date   |
| 10    | 12     | Demon in the Deep               | The Fantastic Four beat the criminal forces working for Dr. Gamma, and blow up the island with its secret weapons. While escaping, Dr. Gamma is infected by the radiation levels in the seabed and morphs into some creature. Johnny is flustered with being moved around and quits from the Fantastic Four. In the town Johnny goes to, there have been sightings of the Gamma Ray. Johnny defeats the Gamma Ray by himself, but he comes back with the hideous giant sea monster Giganto. Johnny rejoins the Fantastic Four. Ben succeeds in eliminating the sea monster. The Gamma Ray is defeated but not finished.                                                                                                                                                    | 11/11/1967 |
| 11    | 11     | Danger In The Depths            | Johnny finds a mysterious lady named Lady Dorma and takes her back to the Headquarters. She claims to have come from a land beneath the sea called Pacifica, which is under siege by Attuma. They manage to slip past Attuma’s forces. Pacifica is losing hope and Attuma has shadowed the seabed. Triton can only fight man-to-man with Attuma while his men prepare traps to weaken Triton into a losing battle. The Fantastic 4 thwart every trap. Triton beats Attuma and the forces retreat. NOTE: Due to the rights to the Sub-Mariner being held by Grantray-Lawrence Animation, the adaptation of the first meeting between the FF and Namor was altered. Instead, Prince Triton, an original pastiche of Namor was reworked into the Namor role.                  | 11/18/1967 |
| 12    | 13     | Return Of the Mole Man          | The Mole Man is creating earthquakes and causing buildings to sink deep into the Earth. In addition, he and his Moloids kidnap Susan. The Mole Man as usual has been expecting the other three and sends them back to the surface to tell the Army not to get involved. They manage to halt them and seek an alternate entrance in the underworld. Johnny rescues Susan, then they penetrate the laboratory. They all return the buildings to the surface and escape the exploding caves.                                                                                                                                                                                                                                                                                  | 11/25/1967 |
| 13    | 19     | Rama-Tut                        | After coming back from vacation Reed tells Ben an interesting theory on attempting to restore him. They head to Dr. Doom’s deserted castle to use the time machine the doctor left behind. In 2000 B.C the four weaken during a fight and are taken by Pharaoh Rama-Tut, who is a lot more than he would seem at first sight. Susan is to be Rama-Tut’s queen while the other three are put to work with some mind control. Ben turns back to his former self. As he rescues Susan, he is once again the Thing. The four battle Rama-Tut to his sphinx. Finally, they destroy his sphinx and return to their own time.                                                                                                                                                     | 12/9/1967  |
| 14    | 15     | Galactus                        | The Watcher has made strange events in hope of preventing the Silver Surfer from coming but the plan fails and the Surfer summons Galactus. Susan assists the unconscious Surfer and he begins to think differently. The Watcher has a plan only Johnny can undergo. Reed and Ben sabotage Galactus' Earth draining machine and the Silver Surfer arrives to battle Galactus. This angers Galactus, but Johnny gets back with the weapon that makes Galactus see reason not to destroy the Earth. NOTE: In the episode "Galactus", Susan Richards (The Invisible Girl) has the role originated by Alicia Masters (explaining to the Silver Surfer about humanity).                                                                                                         | 12/16/1967 |
| 15    | 16     | The Micro World Of Dr. Doom     | The Fantastic Four have been shrunken to small size. Dr. Doom is after them and takes them to the Micro World. Dr. Doom briefs them on his micro genius experiments involving a king and a princess from the micro world. The four battle the giant guards but Dr. Doom catches them and imprisons them with the King and Princess. They all escape and enlarge themselves. Ben puts a stop to the Lizard Men, then the four return to their own world.                                                                                                                                                                                                                                                                                                                    | 12/30/1967 |
| 16    | 17     | Blastaar, The Living Bomb-Burst | On a remote planet, its inhabitants are fighting against Blastaar and are able to banish him. Reed and Johnny enter the dangerous space zone via dimensional transport. As they depart, Blastaar escapes and follows them. Blastaar is too powerful for the four to handle. They lure Blastaar into an evacuated atomic power plant, where they use some atomic matter to put him in a coma. They eject him through the dimensional transport back into the space zone.                                                                                                                                                                                                                                                                                                    | 1/6/1968   |
| 17    | 10     | The Mysterious Molecule Man     | The Fantastic Four study a radiated meteor. The Molecule Man appears and threatens the public. After the Fantastic Four tastes some of his power, he leaves to undergo his ruling the world. Reed has developed a weapon he thinks will defeat the Molecule Man. The weapon works, but the Molecule Man gets away. The Fantastic Four continue their pursuit. The plan to stop the Molecule Man is tricky. They manage to reverse the Molecule Man’s form with a fragment of the meteor.                                                                                                                                                                                                                                                                                   | 1/13/1968  |
| 18    | 18     | The Terrible Tribunal           | The Fantastic Four are taken to another planet where they are regarded as criminals against evil, charged by three old enemies. Reed is forced to recall his memories on Klaw, Molecule, Man and Blastaar’s defeat. Meanwhile the other three escape and they rescue Reed just as the verdict is given. At the surface, they have to battle the court judge before they are able to leave the planet for Earth.                                                                                                                                                                                                                                                                                                                                                            | 9/14/1968  |
| 19    | 20     | The Deadly Director             | The Imposter plans to lure the Fantastic Four into a trap by posing as a famous Hollywood director. The four are tempted to be in a movie and briefly retell their previous adventures to the director. The next day, the four fly to the director’s island and the director blows them out of the sky. The Fantastic Four are forced to go through the director’s deadly movie landscapes and make it to the boat on the other side of the island which the director detonates. The Imposter removes his disguise and the Fantastic Four surprise him. The real director prevents the Imposter from escaping upon forgetting that he had locked the director in the room that Imposter was escaping into. The Fantastic Four have no desire to be movie stars in the end. | 9/21/1968  |
