| Year | Species              | Height          | Location grown                                   | State          | Notes                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| 2004 | Red Spruce           | 65 feet (20 m)  | George Washington and Jefferson National Forests | Virginia       | The tree was lit by Dennis Hastert, assisted by seven-year-old Blayne Braden of Monterey, VA, at 5 pm on December 9 during a ceremony held on the West Front Lawn of the Capitol. Virginia Senators John Warner and George Allen both offered holiday greetings to the crowd, the United States Air Force Band, and the Mountain Mission School Concert Choir also performed during the ceremony. The tree was decorated with some 5,000 ornaments crafted and donated by the people of Virginia along with 10,000 lights.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| 2003 | Engelmann Spruce     | 70 feet (21 m)  | Boise National Forest                            | Idaho          | The tree was lit by Dennis Hastert on December 11 in a ceremony on the West Front Lawn including performances by the United States Army Band, the Snake River High School Chamber Choir from Blackfoot, Idaho, and the Congressional Chorus. Decorations for the tree included some 6,000 ornaments crafted and donated by the people of Idaho along with 10,000 lights. The tree remained lit from dusk to 11 pm each night through January 1, 2004.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| 2002 | Douglas Fir          | 70 feet (21 m)  | Umpqua National Forest                           | Oregon         | The tree was lit by Dennis Hastert on December 12 in a ceremony including performances by the United States Navy Band, the Umpqua Singers from Umpqua Community College, and the Congressional Chorus. Decorated with 6,000 ornaments crafted and donated by the people of Oregon, the three was lit with 10,000 lights. Delivery of the tree from Umpqua National Forest took 22 days, with the tree arriving at the Capitol on December 2. During the ceremony, Hastert was presented with a tree ornament, in the likeness of the Capitol Dome and made from marble from the original east front steps of the House wing, by Ronald A. Sarasin, president of the U.S. Capitol Historical Society.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| 2001 | White Spruce         | 72 feet (22 m)  | Ottawa National Forest                           | Michigan       | Known as "The Tree of Hope," the tree was lit by Dennis Hastert at 5 pm on December 11 in a ceremony on the West Front Lawn of the Capitol. The tree was hand picked by Architect of the Capitol landscape architect Matthew Evans on June 25 and was approximately 70 years old and weighted 4,000 pounds (1.8 t). Harvested in mid November, the tree arrived at the Capitol at 10 am on December 2 and was subsequently decorated with some 6,000 ornaments crafted and donated by the people of Michigan along with 10,000 blue, amber, and clear lights. The tree remained lit from dusk to midnight each night through January 2, 2002.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| 2000 | Colorado Blue Spruce | 65 feet (20 m)  | Pike National Forest                             | Colorado       | Selected by Architect of the Capitol landscape architect Matthew Evans in the summer of 2000, the tree was transported to the Capitol on a 64 foot flatbed truck driven by Colorado Senator Ben Nighthorse Campbell and decorated to look like a Conestoga wagon; the tree arrived at the Capitol around 10 am on December 4. The tree was lit by Dennis Hastert at 5:30 pm on December 12 in a ceremony including performances by the Summit Choral Society, a section of the United States Air Force Band, and the Congressional Chorus. Some 6,400 ornaments made by school children from all of Colorado's 64 districts adorned the tree along with 10,000 blue, white, and amber lights. The tree remained lit from 5 pm to midnight each night through January 2, 2001.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| 1999 | White Spruce         | 60 feet (18 m)  | Nicolet National Forest                          | Wisconsin      | After being selected during the summer of 1999 from twenty candidates by Architect of the Capitol landscape architect Matthew Evans, the tree was shipped by train to the Capitol and arrived on November 29. Decorated with some 4,000 ornaments crafted and donated by people from Wisconsin, and 10,000 blue, clear, and amber lights, the tree was lit by Dennis Hastert at 5 pm on December 9. The lighting ceremony included performances by the Congressional Chorus, the United States Army Band, and the Wisconsin Youth Leadership Academy YMCA Boy's Choir. First tree named "Holiday Tree" instead of "Christmas Tree"[citation needed]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| 1998 | Fraser Fir           | 50 feet (15 m)  | Pisgah National Forest                           | North Carolina | Lit by Newt Gingrich at 5:30 pm on December 8 in a ceremony including performances by the Congressional Chorus, and the New Day Singers from Asheville, North Carolina. The tree was decorated with some 4,000 ornaments made by North Carolina school children along with 10,000 blue, clear, and amber lights. The tree remained lit from 5 pm to midnight each night through January 2, 1999.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| 1997 | Black Hills Spruce   | 63 feet (19 m)  | Black Hills National Forest                      | South Dakota   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| 1996 | Engelmann Spruce     | 75 feet (23 m)  | Manti La Sal National Forest                     | Utah           |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| 1995 | Douglas Fir          | 60 feet (18 m)  | Plumas National Forest                           | California     |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| 1994 | Balsam Fir           | 58 feet (18 m)  | Green Mountain National Forest                   | Vermont        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| 1993 | White Fir            | 65 feet (20 m)  | San Bernardino National Forest                   | California     |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| 1992 | White Spruce         | 62 feet (19 m)  | Chippewa National Forest                         | Minnesota      |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| 1991 | Blue Spruce          | 60 feet (18 m)  | Carson National Forest                           | New Mexico     |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| 1990 | Engelmann Spruce     | 65 feet (20 m)  | Routt National Forest                            | Colorado       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| 1989 | Engelmann Spruce     | 89 feet (27 m)  | Kootenai National Forest                         | Montana        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| 1988 | Balsam Fir           | 50 feet (15 m)  | Manistee National Forest                         | Michigan       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| 1987 | Norway Spruce        | 60 feet (18 m)  | Wayne National Forest                            | Ohio           |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| 1986 | Shasta Red Fir       | 54 feet (16 m)  | Klamath National Forest                          | California     |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| 1985 | White Spruce         | 56 feet (17 m)  | Ottawa National Forest                           | Michigan       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| 1984 | White Spruce         | 58 feet (18 m)  | Superior National Forest                         | Minnesota      |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| 1983 | White Spruce         | 52 feet (16 m)  | Chequamegon National Forest                      | Wisconsin      |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| 1982 | Balsam Fir           | 50 feet (15 m)  | Riley Bostwich Wildlife Management Area          | Vermont        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| 1981 | White Spruce         | 50 feet (15 m)  | Hiawatha National Forest                         | Michigan       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| 1980 | White Spruce         | 48 feet (15 m)  | Green Mountain National Forest                   | Vermont        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| 1979 | White Spruce         | 52 feet (16 m)  | Nicolet National Forest                          | Wisconsin      |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| 1978 | Norway Spruce        | 60 feet (18 m)  | Savage River State Forest                        | Maryland       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| 1977 | White Spruce         | 52 feet (16 m)  | Nemadji State Forest                             | Minnesota      |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| 1976 | Red Spruce           | 41 feet (12 m)  | Monongahela National Forest                      | West Virginia  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| 1975 | Balsam Fir           | 41 feet (12 m)  | Ottawa National Forest                           | Michigan       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| 1974 | Fraser Fir           | 41 feet (12 m)  | Pisgah National Forest                           | North Carolina |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| 1973 | White Spruce         | 51 feet (16 m)  | Allegheny National Forest                        | Pennsylvania   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| 1972 | Balsam Fir           | 50 feet (15 m)  | Tennessee National Forest                        | Pennsylvania   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| 1971 | Black Spruce         | 45 feet (14 m)  | White Mountain National Forest                   | New Hampshire  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| 1970 | Norway Spruce        | 40 feet (12 m)  | Monongahela National Forest                      | West Virginia  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| 1969 | White Pine           | 40 feet (12 m)  | Westminster, Maryland                            | Maryland       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| 1968 | White Pine           | 30 feet (9.1 m) | Finksburg, Maryland                              | Maryland       | Made from two different trees                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| 1967 | Douglas Fir          | 24 feet (7.3 m) | Birdsboro, Pennsylvania                          | Pennsylvania   | In 1963, John W. McCormack suggested that a Christmas Tree should be placed on the grounds. A live tree was purchased for $700 from Buddies Nurseries and planted on the West Front Lawn of the Capitol. This tree was decorated each year through 1967 until it was damaged by a wind storm in the Spring of 1967.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| 1966 | Douglas Fir          | 24 feet (7.3 m) | Birdsboro, Pennsylvania                          | Pennsylvania   | In 1963, John W. McCormack suggested that a Christmas Tree should be placed on the grounds. A live tree was purchased for $700 from Buddies Nurseries and planted on the West Front Lawn of the Capitol. This tree was decorated each year through 1967 until it was damaged by a wind storm in the Spring of 1967.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| 1965 | Douglas Fir          | 24 feet (7.3 m) | Birdsboro, Pennsylvania                          | Pennsylvania   | In 1963, John W. McCormack suggested that a Christmas Tree should be placed on the grounds. A live tree was purchased for $700 from Buddies Nurseries and planted on the West Front Lawn of the Capitol. This tree was decorated each year through 1967 until it was damaged by a wind storm in the Spring of 1967.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| 1964 | Douglas Fir          | 24 feet (7.3 m) | Birdsboro, Pennsylvania                          | Pennsylvania   | In 1963, John W. McCormack suggested that a Christmas Tree should be placed on the grounds. A live tree was purchased for $700 from Buddies Nurseries and planted on the West Front Lawn of the Capitol. This tree was decorated each year through 1967 until it was damaged by a wind storm in the Spring of 1967.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| 1963 | Douglas Fir          | 24 feet (7.3 m) | Birdsboro, Pennsylvania                          | Pennsylvania   | In 1963, John W. McCormack suggested that a Christmas Tree should be placed on the grounds. A live tree was purchased for $700 from Buddies Nurseries and planted on the West Front Lawn of the Capitol. This tree was decorated each year through 1967 until it was damaged by a wind storm in the Spring of 1967.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
