"Genre","Date","Japanese title (Original title)","English title","Scoring","Notes"
"Chamber music","1960","ランドスケープ","Landscape","for 2 violins, viola and cello",""
"Chamber music","1961","リング","Ring","for flute, terz guitar and lute",""
"Chamber music","1961","不良少年","Bad Boy","for 3 guitars","arranged for 2 guitars by Norio Sato"
"Chamber music","1962","サクリファイス","Sacrifice","for alto flute, lute and vibraphone with antique cymbales",""
"Chamber music","1964","一柳慧のためのブルー・オーロラ","Blue Aurora for Toshi Ichiyanagi","","chance operation composition for Toshi Ichiyanagi"
"Chamber music","1965","ソナント","Sonant","for 2 flutes, violin, cello, guitar and 2 bandoneons","revised as Valeria in 1969"
"Chamber music","1965, 1969","ヴァレリア","Valeria","for violin, cello, guitar, electronic organ and 2 piccolos","revised version of Sonant (1965)"
"Chamber music","1966","悲歌","Hika (Elegy)","for violin and piano",""
"Chamber music","1966","エクリプス<蝕>","Eclipse","for biwa and shakuhachi",""
"Chamber music","1968","クロス・トーク","Cross Talk","for bandoneón and tape",""
"Chamber music","1969","スタンザ I","Stanza I","for guitar, harp, piano (also celesta), vibraphone and female voice (soprano)",""
"Chamber music","1970","四季","Seasons","for 4 percussion players, or 1 percussion player and tape","also version for traditional Japanese musical instruments"
"Chamber music","1967–1971","ムナーリ・バイ・ムナーリ","Munari by Munari","for percussion",""
"Chamber music","1971","声（ヴォイス）","Voice","for flute",""
"Chamber music","1971","ユーカリプスII","Eucalypts II","for flute, oboe and harp",""
"Chamber music","1971","スタンザII","Stanza II","for harp and tape",""
"Chamber music","1972","ディスタンス","Distance","for oboe and shō ad libitum",""
"Chamber music","1973","旅","Voyage","for 3 biwa",""
"Chamber music","1974","ガーデン・レイン","Garden Rain","for brass ensemble (horn, 4 trumpets, 4 trombones, tuba)",""
"Chamber music","1974","フォリオス","Folios


Folio I
Folio II
Folio III","for guitar",""
"Chamber music","1974–1977","ギターのための12のうた


ロンドンデリーの歌
オーバー・ザ・レインボー
サマータイム
早春賦
失われた恋
星の世界
シークレット・ラヴ
ヒア・ゼア・アンド・エヴリウェア
ミッシェル
ヘイ・ジュード
イエスタデイ
インターナショナル","12 Songs for Guitar


Londonderry Air
Over the Rainbow
Summertime
A Song of Early Spring
Amours Perdues
What a Friend
Secret Love
Here, There and Everywhere
Michelle
Hey Jude
Yesterday
The International","for guitar","transcriptions
1. Irish folk song
2. music by Harold Arlen
3. music by George Gershwin
4. music by Akira Nakada (中田章)
5. music by Joseph Kosma
6. music by Charles Crozat Converse
7. music by Sammy Fain
8.~11. music by The Beatles: Paul McCartney and John Lennon
12. music by Pierre De Geyter"
"Chamber music","1975","星たちの息子 – 第一幕への前奏曲『天職』 –","Le Fils des étoiles: Prélude du 1er acte \"La Vocation\"","for flute and harp","arrangement"
"Chamber music","1976","ブライス","Bryce","for flute, 2 harps and 2 percussion players",""
"Chamber music","1976","ウェイブス<波>","Waves","for clarinet solo, horn, 2 trombones and bass drum",""
"Chamber music","1977","カトレーンII","Quatrain II","for clarinet, violin, cello and piano",""
"Chamber music","1977–1978","ウォーターウェイズ","Waterways","for violin, cello, clarinet, piano, 2 harps and 2 vibraphones",""
"Chamber music","1980","ア・ウェイ・ア・ローン","A Way a Lone","for 2 violins, viola and cello",""
"Chamber music","1981","海へ


夜
白鯨
鱈岬","Toward the Sea


The Night
Moby Dick
Cape Cod","for alto flute and guitar (or harp)",""
"Chamber music","1981","雨の樹","Rain Tree","for 3 percussion players (or 3 keyboard players)","after Kenzaburō Ōe's 1982 serial novel Women Listening to the Rain Tree (「雨の木」を聴く女たち)"
"Chamber music","1981, 1989","海へ III


夜
白鯨
鱈岬","Toward the Sea III


The Night
Moby Dick
Cape Cod","for alto flute and harp",""
"Chamber music","1982","雨の呪文","Rain Spell","for flute (also alto flute), clarinet, harp, piano and vibraphone",""
"Chamber music","1982","クロス・ハッチ","Cross Hatch","for marimba and vibraphone (or 2 keyboard instruments)",""
"Chamber music","1983","ラスト・ワルツ","The Last Waltz","for guitar","arrangement"
"Chamber music","1983","十一月の霧と菊の彼方から","From Far beyond Chrysanthemums and November Fog","for violin and piano",""
"Chamber music","1983","揺れる鏡の夜明け


秋
過ぎてゆく鳥
影の中で
揺れる鏡","Rocking Mirror Daybreak


Autumn
Passing Bird
In the Shadows
Rocking Mirror","for 2 violins",""
"Chamber music","1984","オリオン","Orion","for cello and piano",""
"Chamber music","1986","アントゥル・タン","Entre-temps","for oboe, 2 violins, viola and cello",""
"Chamber music","1987","シグナルズ・フロム・ヘヴン – Two Antiphonal Fanfares –


デイ･シグナル
ナイト･シグナル","Signals from Heaven, Two Antiphonal Fanfares


Day Signal
Night Signal","for 2 horns, piccolo trumpet, 4 trumpets (also 2 cornets), 4 trombones and tuba",""
"Chamber music","1987","ヒロシマという名の少年","A Boy Named Hiroshima","for 2 guitars",""
"Chamber music","1987","オール・イン・トワイライト – ギターのための四つの小品 –","All in Twilight, 4 Pieces","for guitar","written for Julian Bream"
"Chamber music","1989","巡り – イサム・ノグチの追憶に –","Itinerant: In Memory of Isamu Noguchi","for flute","composed in memory of Japanese American artist Isamu Noguchi"
"Chamber music","1991","ギターのための小品 – シルヴァーノ・ブソッティの60歳の誕生日に –","A Piece for Guitar: For the 60th Birthday of Sylvano Bussotti","for guitar","Sylvano Bussotti"
"Chamber music","1992","そして、それが風であることを知った","And Then I Knew 'Twas Wind","for flute, viola and harp",""
"Chamber music","1993","ビトゥイーン・タイズ","Between Tides","for violin, cello and piano",""
"Chamber music","1993","エキノクス","Equinox","for guitar",""
"Chamber music","1993","秋のうた","Herbstlied (Autumn Song)","for clarinet, 2 violins, viola and cello","arrangement from The Seasons, Op. 37a, by Tchaikovsky"
"Chamber music","1993","枯葉","Les Feuilles mortes (Autumn Leaves)","for 2 violins, viola and cello","arrangement of the song by Joseph Kosma"
"Chamber music","1994","鳥が道に降りてきた","A Bird Came down the Walk","for viola and piano",""
"Chamber music","1994","径 – ヴィトルド・ルトスワフスキの追憶に –","Paths: In Memoriam of Witold Lutosławski","for trumpet","composed in memory of composer Witold Lutosławski"
"Chamber music","1995","エア","Air","for flute","last published work"
"Chamber music","1995","森の中で – ギターのための三つの小品 –


ウェインスコット・ポンド－コーネリア・フォスの絵画から－
ローズデール
ミュアー・ウッズ","In the Woods, 3 Pieces


Wainscot Pond – after a Painting by Cornelia Foss
Rosedale
Muir Woods","for guitar",""
"Keyboard","1948?","かけひ","Kakehi (Conduit)","for piano",""
"Keyboard","1948?","","Kotouta","for piano",""
"Keyboard","1948?","クラヴサンのために","For Harpsichord (Clavecin no tame ni)","for harpsichord",""
"Keyboard","1948","二つのメロディ","2 Melodies","for piano","incomplete"
"Keyboard","1949","二つの小品","2 Pieces","for piano",""
"Keyboard","1948–1949","ロマンス","Romance","for piano",""
"Keyboard","1950","二つのレント","Lento in due movimenti


Adagio
Lento misteriosamente","for piano","revised as Litany in 1989"
"Keyboard","1952","","At the Circus","for piano",""
"Keyboard","1952, 1959
1952
1959
1959","遮られない休息


ゆっくりと、悲しく語りかけるように
静かに残酷な響きで
愛の歌","Uninterrupted Rest (Pause ininterrompue)


Slowly, Sadly and As If to Converse With
Quietly and with a Cruel Reverberation
A Song of Love","for piano","after a poem by Shūzō Takiguchi (瀧口修造); also known as Uninterrupted Rest(s) and La Pause ininterrompue"
"Keyboard","1960","あわれみたまえ","Miserere","for piano","jazz composition"
"Keyboard","1960","愛して","Love Me","for piano","jazz composition"
"Keyboard","1961","ピアノ・ディスタンス","Piano Distance","for piano",""
"Keyboard","1962","ピアニストのためのコロナ","Corona for Pianist(s)


Study for Vibration
Study for Intonation
Study for Articulation
Study for Expression
Study for Conversation","for 1 or more pianos","uses graphic notation; written in collaboration with Kōhei Sugiura"
"Keyboard","1973","フォー・アウェイ","For Away","for piano",""
"Keyboard","1978","こどものためのピアノ小品


微風
雲","Piano Pieces for Children


Breeze
Clouds","for piano",""
"Keyboard","1979","閉じた眼 – 瀧口修造の追憶に –","Les Yeux clos: In Memory of Shuzo Takiguchi","for piano","composed in memory of Japanese poet Shūzō Takiguchi (瀧口修造)"
"Keyboard","1982","雨の樹素描","Rain Tree Sketch","for piano",""
"Keyboard","1986","夢見る雨","Rain Dreaming","for harpsichord",""
"Keyboard","1988","閉じた眼 II","Les Yeux clos II","for piano",""
"Keyboard","1989","リタニ – マイケル・ヴァイナーの追憶に –","Litany: In Memory of Michael Vyner


Adagio
Lento misterioso","for piano","composed in memory of Michael Vyner; revision of Lento in due movimenti (1950)"
"Keyboard","1992","雨の樹素描 II – オリヴィエ・メシアンの追憶に –","Rain Tree Sketch II: In Memory of Olivier Messiaen","for piano","composed in memory of composer Olivier Messiaen"
"Keyboard","1992","ゴールデン・スランバーズ","Golden Slumbers","for piano","arrangement from Abbey Road by The Beatles"
"Choral","1953","美幌町町歌","Bihoro Song","","City song for Bihoro, Hokkaidō; words by Kōichi Ōshita (大下孝一)"
"Choral","1961–1966","風の馬","Wind Horse


Vocalise I
Spell of Fingers
Vocalise II
Vocalise III
Legend of the Dining Table and Coda","for mixed chorus",""
"Choral","1963","三重県立四日市南高等学校校歌","Yokkaichi Minami High School Song, Yokkaichi, Mie","","School song; words by Shuntarō Tanikawa"
"Choral","1963","三重県伊賀市上野西小学校校歌","Kamino Nishi Elementary School Song, Iga, Mie","","School song; words by Keiji Hashimoto (橋本鶏二)"
"Choral","1969","クロッシング","Crossing


According to What","for 2 orchestras with soloists (guitar, harp, piano/celeste, vibraphone) and female chorus",""
"Choral","1982","芝生","Grass","for male chorus","words by Shuntarō Tanikawa; English words by W. S. Merwin; commissioned by the Harvard Glee Club"
"Choral","1983","東村山市久米川東小学校校歌","Kumegawahigashi Elementary School Song, Higashimurayama, Tokyo","","School song; words by Shuntarō Tanikawa"
"Choral","1987","手作り諺 – 四つのポップ・ソング –","Handmade Proverbs, 4 Pop Songs


Your Eyes
Three Bonzes
Cinderella's Misfortune
A Farewell Gift","for 6 male voices","words by Shūzō Takiguchi (瀧口修造)"
"Choral","1990","マイ・ウェイ・オブ・ライフ　-マイケル・ヴァイナーの追憶に","My Way of Life: In Memory of Michael Vyner","for baritone, mixed chorus and orchestra","composed in memory of Michael Vyner"
"Choral","1991","秋葉学園歌","Akiba Gakuen Song","","School song; words by Makoto Ooka"
"Vocal","1950s","MI・YO・TA","MI・YO・TA","for voice and piano","early melody for a film score that remained used; completed in 1996 after Takemitsu's death by Toshirō Mayuzumi; words by Shuntarō Tanikawa"
"Vocal","1954","さようなら","Sayōnara","for voice and piano","words by Kuniharu Akiyama (秋山邦晴)"
"Vocal","1955","小さな部屋で","In a Small Room (Chiisana heya de)","for voice and piano","words by Akira Kawaji (川路明)"
"Vocal","1958","うたうだけ","I Just Sing (Utau dake)","for voice and piano","words by Shuntarō Tanikawa"
"Vocal","1958","黒い絵画 レオノーレ・フィニによせて","Tableau Noir","for speaker and chamber orchestra","words by Kuniharu Akiyama (秋山邦晴); inspired by the art of Leonor Fini"
"Vocal","1961","恋のかくれんぼ","The Game of Love (Koi no kakurenbo)","for voice and piano","words by Shuntarō Tanikawa"
"Vocal","1961","○と△の歌","A Song of ○'s (Circles) and △'s (Triangles) (Maru to sankaku no uta)","for voice and piano","words by the composer"
"Vocal","1962","環礁","Coral Island","for soprano and orchestra","words by Makoto Ōoka"
"Vocal","1962","小さな空","Small Sky (Chiisana sora)","for voice and piano","words by the composer"
"Vocal","1963","雪","La Neige (Yuki)","for voice and piano","French words by Shin'ichi Segi (瀬木慎一); theme song from the 1963 film White and Black (白と黒)"
"Vocal","1963","見えないこども","Unseen Child (Mienai kodomo)","for voice and piano","words by Shuntarō Tanikawa"
"Vocal","1963","雲に向かって起つ","Take Off for the Clouds (Kumo ni mukatte tatsu)","","song for a television drama; words by Shuntarō Tanikawa"
"Vocal","1963","素晴らしい悪女","A Marvelous Kid (Subarashii akujo)","for voice and piano","Spanish words by Fumio Nagata (永田文夫); theme song from the 1978 film A Marvelous Kid"
"Vocal","1965","三月のうた","In the Month of March (Sangatsu no uta)","for voice and piano","words by Shuntarō Tanikawa"
"Vocal","1965","死んだ男の残したものは","All That the Man Left Behind When He Died (Shinda otoko no nokoshita mono wa)","for voice and piano","words by Shuntarō Tanikawa"
"Vocal","1966","ワルツ","Waltz","for voice and piano","German words by Tatsuji Iwabuchi (岩淵達治); from the 1966 film The Face of Another"
"Vocal","1968","めぐり逢い","The Encounter (Meguriai)","for voice and piano","words by Ichirō Araki (荒木一郎); theme song from the 1968 film Two Hearts in the Rain"
"Vocal","1978","燃える秋","Glowing Autumn (Moeru aki)","for voice and piano","words by Hiroyuki Itsuki (五木寛之); theme song from the 1978 film Glowing Autumn"
"Vocal","1978","翼","Wings (Tsubasa)","for voice and piano","words by the composer"
"Vocal","1979","さくら さくら","Sakura Sakura","for voice and piano","Japanese folk song"
"Vocal","1983","島へ","To the Island (Shima e)","for voice and piano","words by Mitsuru Izawa"
"Vocal","1985","明日ハ晴レカナ、曇リカナ","Will Tomorrow, I Wonder, Be Cloudy or Clear? (Ashita wa hare kana, kumori kana)","for voice and piano","words by the composer"
"Vocal","1985","ぽつねん","All Alone (Potsunen)","for voice and piano","words by Shuntarō Tanikawa"
"Vocal","1995","昨日のしみ","Yesterday's Spot (Kinō no shimi)","for voice and piano","words by Shuntarō Tanikawa"
"Jazz","1958","パナンペの思いがけない勝利の話－アイヌ民話よりの自由な脚色－","Panampe no omoigakenai shōri no hanashi, Based on the Ainu Folklore","for a chorus of five male singers and jazz band",""
"Jazz","1960","お休み！","Be Sleep Baby!","",""
"Jazz","1961","３たす３と３ひく３","3 tasu 3 to 3 hiku 3 (3 Plus 3 and 3 Minus 3)","",""
"Stage","1951","","Joie de vivre","","Ballet"
"Stage","1953","銀河鉄道の旅","Ginga tetsudo no tabi","","Fantastic Ballet"
"Stage","1954","","Romantic Suite: Nutcracker for Children","","Children's Ballet; collaboration with Jun Date after Tchaikovsky"
"Stage","1954","夏と煙","Summer and Smoke","","Incidental music for the play by Tennessee Williams"
"Stage","1955","未来のイヴ","Eve of the Future","for tape","Ballet; musical collaboration with composer Toshirō Mayuzumi"
"Stage","1955","野性の女","La Sauvage","","Incidental music for the play by Jean Anouilh"
"Stage","1955","アンフィトリオン38","Amphitryon 38","","Incidental music for the play by Jean Giraudoux"
"Stage","1956","愛の条件〈オルフェとユリディス〉","Ai no jōken (Orphée et Eurydice)","","Incidental music for a version of the play Eurydice by Jean Anouilh"
"Stage","1956","せむしの聖女","A Hunchbacked Sacred Woman","","Incidental music a reworking of the play Ardèle ou la Marguerite by Jean Anouilh"
"Stage","1956","Kの死","The Death of K (K no shi)","","Incidental music for the play by Shuntarō Tanikawa"
"Stage","1956","タンタロスの踊り","Tantalos no odori","","Incidental music for the play by Rinzō Shiina"
"Stage","1957","トロイ戦争は起こらないだろう","La guerre de Troie n'aura pas lieu","","Incidental music for the play The Trojan War Will Not Take Place by Jean Giraudoux"
"Stage","1957","守銭奴","L'Avare","","Incidental music for the play by Molière"
"Stage","1958","国性爺","Koxinga (Kokusen'ya)","","Incidental music for the puppet play The Battles of Coxinga by Chikamatsu Monzaemon"
"Stage","1959","海賊","Le Corsaire","","Incidental music for the play by Marcel Achard"
"Stage","1959","死せる女王","La Reine morte","","Incidental music for the play by Henry de Montherlant"
"Stage","1959","怒りを込めて振り返れ","Look Back in Anger","","Incidental music for the 1956 play by John Osborne"
"Stage","1960","狼生きろ豚は死ね","The Wolf Must Live, the Pig Must Die (Ookami ikiro buta wa shine)","","Incidental music for the 1963 play by Shintarō Ishihara"
"Stage","1960","お芝居はおしまい","The Play Is Finished (Oshibai wa oshimai)","","Incidental music for the play by Shuntarō Tanikawa"
"Stage","1961","おまえの敵はおまえだ","Omae no teki wa omae da","","Incidental music for the play by Jun Ishikawa"
"Stage","1961","地獄のオルフェ","Orpheus Descending","","Incidental music for the play by Tennessee Williams"
"Stage","1962","黒の悲劇","Black Tragedy (Kuro no higeki)","","Incidental music for the play by Seiichi Yashiro (矢代静一)"
"Stage","1962","白夜","White Night (Byakuya): An Intermezzo","","Incidental music for the play by Shūji Terayama"
"Stage","1964","一ノ谷物語 – 琴魂 –","Ichinotani monogatari: Kotodama","","Incidental music for the play by Shintarō Ishihara"
"Stage","1964","","Blue Aurora for Toshi Ichiyanagi","","Theatre Piece"
"Stage","1964","","Time Perspective for Jasper Johns","","Theatre Piece"
"Stage","1966","","Seven Hills Events for Ay-O","","Theatre Piece"
"Stage","1966","カラマーゾフの兄弟","The Brothers Karamazov","","Incidental music for the play by Fyodor Dostoyevsky"
"Stage","1972","マクベス","Macbeth","","Incidental music for the play by William Shakepeare"
"Stage","1973","愛の眼鏡は色ガラス","Love Wears Tinted Glasses (Ai no megane wa iro garasu)","","Incidental music for the 1973 play by Kōbō Abe"
"Stage","1974","祝典喜劇 ポセイドンの仮面際","Poseidon Mask Festival (Shukuten kigeki Poseidon kamensai)","","Incidental music for the 1973 play by Kunio Tsuji"
"Stage","1975","シラノ・ド・ベルジュラック","Cyrano de Bergerac","","Incidental music for the play by Edmond Rostand"
"Stage","1979","子午線の祀り","Festival of the Meridian (Shigosen no matsuri)","","Incidental music for the play by Junji Kinoshita"
"Stage","1982","ウィングズ – 翼 –","Wings","","Incidental music for the play by Arthur Kopit"
"Stage","1984","波長（ウェイブレングス）","Wavelength","for 2 percussion players, 2 dancers with video installation","Theatrical work; unfinished"
"Electronic music","1955","ルリエフ･スタティク","Static Relief","for tape",""
"Electronic music","1956","ヴォーカリズムA・I","Vocalism A・I","for tape","musique concrète"
"Electronic music","1956","木・空・鳥","Tree, Sky, Bird (ki・sora・tori)","for tape","musique concrète"
"Electronic music","1956","ユリディスの死","La Mort de Eurydice","for tape",""
"Electronic music","1958","空、馬、そして死","Sky, Horse and Death","for tape",""
"Electronic music","1956–1957","クラップ・ヴォーカリズム","Clap Vocalism","for tape",""
"Electronic music","1957","","Dialogue","for tape",""
"Electronic music","1960","クワイエト・デザイン","Quiet Design","for tape",""
"Electronic music","1960","水の曲","Water Music","for tape",""
"Electronic music","1964","怪談","Kwaidan","for tape",""
"Electronic music","1964","懐かしのサンフランシスコ","Natsukashino San Francisco [Longed-for San Francisco]","for tape",""
"Electronic music","1970","","Years of Ear – What Is Music? –","for tape",""
"Electronic music","1970","トゥワード","Toward","for tape",""
"Electronic music","1986","ミネアポリスの庭","A Minneapolis Garden","for tape",""
"Electronic music","1986","静寂の海","The Sea Is Still","for tape",""
"Commercial music","1954","森永チョコレート","Morinaga Chocolate","",""
"Commercial music","1982","サントリーリザーブ","Suntory Reserve","",""
"Film scores","1955","北斎","Hokusai","","not produced"
"Film scores","1955","銀輪","Ginrin","","also known as Bicycle in Dream"
"Film scores","1956","狂った果実","Crazed Fruit","","directed by Kō Nakahira; co-composed with Masaru Satō; also known as Juvenile Passions"
"Film scores","1956","朱と緑","Red and Green, aka Midnight Visitor","","directed by Noboru Nakamura"
"Film scores","1956","つゆのあとさき","The Rainy season","","directed by Noboru Nakamura"
"Film scores","1957","土砂降り","Cloudburst (Doshaburi)","","directed by Noboru Nakamura"
"Film scores","1958","噛みつかれた顔役","The Country Boss","","directed by Noboru Nakamura"
"Film scores","1959","ホゼー・トレス","José Torres","","directed by Hiroshi Teshigahara"
"Film scores","1959","春を待つ人々","Waiting for Spring","","directed by Noboru Nakamura"
"Film scores","1959","危険旅行","Dangerous trip, aka Vagabond Lovers","","directed by Noboru Nakamura"
"Film scores","1959","いたづら","Joking, aka Love Letters","","directed by Noboru Nakamura"
"Film scores","1959","明日への盛装","","","directed by Noboru Nakamura"
"Film scores","1960","乾いた湖","Dry Lake, aka Youth in Fury","","directed by Masahiro Shinoda"
"Film scores","1960","波の塔","","","directed by Noboru Nakamura"
"Film scores","1961","もず","The Shrikes","","directed by Minoru Shibuya"
"Film scores","1961","斑女","Hannyo, aka Woman of Tokyo","","directed by Noboru Nakamura"
"Film scores","1961","不良少年","Bad Boys","","directed by Susumu Hani"
"Film scores","1962","熱海ブルース","Atami Blues","","directed by Donald Richie"
"Film scores","1962","充たされた生活","Mitasareta seikatsu (A Full Life)","","directed by Susumu Hani"
"Film scores","1962","からみ合い","The Inheritance","","directed by Masaki Kobayashi"
"Film scores","1962","切腹","Harakiri","","directed by Masaki Kobayashi"
"Film scores","1962","おとし穴","Pitfall","","directed by Hiroshi Teshigahara"
"Film scores","1962","涙を、獅子のたてがみに","Tears in the Lion's Mane","","directed by Masahiro Shinoda"
"Film scores","1962","裸体","The Body","","directed by Masashige Narisawa (成澤昌茂)"
"Film scores","1963","イヴ・クライン モノクロームの画家","Yves Klein: Monochrome Artist","","directed by Shin'ichi Segi (瀬木慎一); documentary film about Yves Klein"
"Film scores","1963","古都","Twin Sisters in Kyoto","","directed by Noboru Nakamura"
"Film scores","1963","素晴らしい悪女","A Marvelous Kid, aka Wonderful Bad Woman","","directed by Hideo Onchi"
"Film scores","1963","太平洋ひとりぼっち","Alone on the Pacific","","directed by Kon Ichikawa"
"Film scores","1963","彼女と彼","Kanojo to kare (She and He)","","directed by Susumu Hani"
"Film scores","1963","白と黒","White and Black","","directed by Hiromichi Horikawa (堀川弘通)"
"Film scores","1964","砂の女","The Woman in the Dunes","","directed by Hiroshi Teshigahara"
"Film scores","1964","乾いた花","Pale Flower","","directed by Masahiro Shinoda"
