Station complex	Individual stations	Lines	Services	Notes
Seventh Avenue	cross-platform interchange on two levels	IND Queens Boulevard Line	E	The station became a transfer station when the Sixth Avenue Line opened in 1940.
59th Street – Columbus Circle	59th Street – Columbus Circle	IRT Broadway – Seventh Avenue Line	1 \n      2	The IRT Broadway – Seventh Avenue Line and IND Eighth Avenue Line stations at Columbus Circle, which lie above each other, are connected by a passageway that was placed inside fare control on July 1, 1948.
59th Street – Columbus Circle	59th Street – Columbus Circle	IND Eighth Avenue Line	A \n      B \n      C \n      D	The IRT Broadway – Seventh Avenue Line and IND Eighth Avenue Line stations at Columbus Circle, which lie above each other, are connected by a passageway that was placed inside fare control on July 1, 1948.
Lexington Avenue / 59th–63rd Streets	59th Street	IRT Lexington Avenue Line	4 \n      5 \n      6  <6>	The passageways between the Broadway Line and the upper-level local Lexington Avenue Line stations were placed inside fare control on July 1, 1948. When the lower-level express Lexington Avenue platforms opened in 1962 to relieve congestion at the Grand Central – 42nd Street transfer point, those platforms were connected to the local platforms and Broadway Line platforms above. A MetroCard transfer to the IND 63rd Street Line was added on December 16, 2001, when the Queens section of that line was completed. Since the F had moved to the new line, there was no longer a direct transfer to the Lexington Avenue Line, and so this transfer was added with an above-ground walk, free for MetroCard users within two hours of the original boarding.
Lexington Avenue / 59th–63rd Streets	Lexington Avenue / 59th Street	BMT Broadway Line	N \n      Q \n      R	The passageways between the Broadway Line and the upper-level local Lexington Avenue Line stations were placed inside fare control on July 1, 1948. When the lower-level express Lexington Avenue platforms opened in 1962 to relieve congestion at the Grand Central – 42nd Street transfer point, those platforms were connected to the local platforms and Broadway Line platforms above. A MetroCard transfer to the IND 63rd Street Line was added on December 16, 2001, when the Queens section of that line was completed. Since the F had moved to the new line, there was no longer a direct transfer to the Lexington Avenue Line, and so this transfer was added with an above-ground walk, free for MetroCard users within two hours of the original boarding.
Lexington Avenue / 59th–63rd Streets	Lexington Avenue – 63rd Street	IND 63rd Street Line	F	The passageways between the Broadway Line and the upper-level local Lexington Avenue Line stations were placed inside fare control on July 1, 1948. When the lower-level express Lexington Avenue platforms opened in 1962 to relieve congestion at the Grand Central – 42nd Street transfer point, those platforms were connected to the local platforms and Broadway Line platforms above. A MetroCard transfer to the IND 63rd Street Line was added on December 16, 2001, when the Queens section of that line was completed. Since the F had moved to the new line, there was no longer a direct transfer to the Lexington Avenue Line, and so this transfer was added with an above-ground walk, free for MetroCard users within two hours of the original boarding.
145th Street	upper level	IND Eighth Avenue Line	A \n      C	The station became a transfer station when the Concourse Line opened in 1933.
145th Street	lower level	IND Concourse Line	B \n      D	The station became a transfer station when the Concourse Line opened in 1933.
168th Street	168th Street	IRT Broadway – Seventh Avenue Line	1	At the crossing of the IRT Broadway – Seventh Avenue Line and IND Eighth Avenue Line in Washington Heights, a passageway connects the two stations. It was placed inside fare control on July 1, 1948.
168th Street	168th Street	IND Eighth Avenue Line	A \n      C	At the crossing of the IRT Broadway – Seventh Avenue Line and IND Eighth Avenue Line in Washington Heights, a passageway connects the two stations. It was placed inside fare control on July 1, 1948.
