| Position | Driver              | No.     | Car                                                | Entrant                                                        | Rd 1 | Rd 2 | Rd 3 | Rd 4 | Rd 5 | Rd 6 | Rd 7 | Rd 8 | Total |
| 24       | Kevin Miller        | 2       | Ferrari F430                                       | Property Solutions Group                                       | -    | -    | -    | -    | -    | -    | 63   | 36   | 99    |
| 25       | Shaun Juniper       | 30      | Porsche 996 GT3 Cup Car                            | Juniper Racing                                                 | -    | -    | -    | -    | 43   | 51   | -    | -    | 94    |
| 26       | Peter Hackett       | 5       | Lamborghini Diablo GTR                             | Team Lamborghini Australia                                     | -    | 91.5 | -    | -    | -    | -    | -    | -    | 91.5  |
| 27       | Marc Cini           | 9       | Porsche 996 GT3 Cup Car                            | Hallmarc                                                       | -    | 45   | -    | -    | -    | -    | -    | 42   | 87    |
| 28       | Graeme Cook         | 91      | Porsche 996 GT3 Cup Car                            | Container Solutions                                            | 27   | -    | -    | -    | 58   | -    | -    | -    | 85    |
| 29       | Ash Samadi          | 55      | Porsche 996 GT3 Cup Car                            | Rook                                                           | 54   | -    | -    | -    | -    | -    | -    | 25.5 | 79.5  |
| 30       | Greg Ward           | 14      | Porsche 996 GT3 Cup Car                            | Greg Ward                                                      | -    | -    | -    | 48   | -    | -    | -    | 30   | 78    |
| 31       | Peter Lucas         | 99      | Lotus Elise Motorsport 200                         | Urban Developments                                             | 10   | -    | -    | -    | 42   | -    | -    | 24   | 76    |
| 32       | Stuart Kostera      | 70      | Porsche 996 GT3 Cup Car                            | PHR Scuderia                                                   | -    | -    | -    | 73   | -    | -    | -    | -    | 73    |
| 33       | Paul Ryan           | 22      | Lotus Exige                                        | Steel Force Choice Petroleum                                   | -    | -    | -    | -    | -    | -    | 45   | 27   | 72    |
| 34       | Justin Levis        | 78      | Lotus Elise Motorsport 200 Porsche 996 GT3 Cup Car | CUE AutoHaus Hamilton                                          | -    | 24   | -    | -    | -    | 39   | -    | -    | 63    |
| 35       | Dean Lindstrom      | 7       | Dodge Viper GTS ACR                                | Dupont                                                         | -    | -    | -    | -    | -    | -    | -    | 60   | 60    |
| 36       | Maher Algadri       | 70      | Porsche 996 GT3 Cup Car                            | PHR Scuderia                                                   | -    | -    | 51   | -    | -    | -    | -    | -    | 51    |
| 37       | Andre Morriss       | 6       | Lotus Exige                                        | Witches Chase Cheese Co                                        | -    | -    | -    | -    | -    | -    | 42   | 9    | 51    |
| 38       | Paul Pizzati        | 45      | Porsche 996 GT3                                    | Bolin Racing                                                   | -    | -    | -    | -    | -    | -    | -    | 45   | 45    |
| 39       | Neil Bryson         | 25      | Ferrari 360 Challenge                              | Betterdeal.com.au                                              | -    | -    | -    | 18   | 25   | -    | -    | -    | 43    |
| 40       | Christian D'Agostin | 45      | Porsche 996 GT3                                    | Bolin Racing                                                   | -    | -    | -    | -    | -    | 42   | -    | -    | 42    |
| 41       | Dean Fiore          | 9       | Porsche 996 GT3 Cup Car                            | Hallmarc                                                       | -    | -    | -    | -    | -    | -    | -    | 42   | 42    |
| 42       | Blake Lynn          | 32      | Porsche 996 GT3                                    | Lynn Building Supplies                                         | -    | -    | -    | -    | -    | -    | -    | 36   | 36    |
| 43       | Malcolm Lynn        | 32      | Porsche 996 GT3                                    | Lynn Building Supplies                                         | -    | -    | -    | -    | -    | -    | -    | 36   | 36    |
| 44       | Claude Giorgi       | 29      | Porsche 996 GT3 Cup Car                            | Buildwise                                                      | -    | -    | -    | -    | 32   | -    | -    | -    | 32    |
| 45       | David Giugni        | 14      | Porsche 996 GT3 Cup Car                            | Ech Ridge Wines                                                | -    | -    | -    | -    | -    | -    | -    | 30   | 30    |
| 46       | Garth Rainsbury     | 66      | Ferrari 360 Challenge                              | Speed Energy Drink                                             | 24   | -    | -    | -    | -    | -    | -    | -    | 24    |
| 47       | Scott Bargwanna     | 99      | Lotus Elise Motorsport 200                         | Urban Developments                                             | -    | -    | -    | -    | -    | -    | -    | 24   | 24    |
| 48       | Tim Poulton         | 56      | Lotus Exige                                        | Urban Arrangement                                              | -    | -    | -    | -    | -    | -    | -    | 13.5 | 13.5  |
| 49       | Angela Coradine     | 86      | Lotus Elise                                        | Urban Arrangement                                              | -    | -    | -    | -    | -    | -    | -    | 12   | 12    |
| 50       | Glenn Townsend      | 86      | Lotus Elise                                        | Urban Arrangement                                              | -    | -    | -    | -    | -    | -    | -    | 12   | 12    |
| 51       | Andrew Fisher       | 6       | Lotus Exige                                        | Witches Chase Cheese Co                                        | -    | -    | -    | -    | -    | -    | -    | 9    | 9     |
| 52       | Geoff Munday        | 10      | Ford Mustang                                       | Jim Beam Racing                                                | 8    | -    | -    | -    | -    | -    | -    | -    | 8     |
