"Name","Founded","Defunct","Country","Publisher","Topics","External Link"
"Nintendo Magazine System (Australia)","1993","2000","Australia","Catalyst Publishing","Australian Nintendo related topics","N/A"
"Nintendo Power","1988","2012","United States","?","?","http://www.nintendopower.com"
"Official Dreamcast Magazine (UK)","1999","2001","United Kingdom","?","UK Dreamcast related topics","?"
"Official Dreamcast Magazine (US)","1999","2001","United States","?","US Dreamcast related topics","?"
"Official Nintendo Magazine","2006","","United Kingdom, Australia","Future Publishing","UK, Australia Nintendo related topics","http://www.officialnintendomagazine.co.uk/"
"Official PlayStation Magazine (Australia)","2007","","Australia","?","Australian PlayStation related topics","?"
"Official UK PlayStation Magazine","1995","2004","United Kingdom","?","UK PlayStation related topics","?"
"Official U.S. PlayStation Magazine","1997","2007","United States","?","US PlayStation related topics","?"
"Official Xbox Magazine","2001","","United States","?","Xbox related topics","http://oxmonline.com/"
"Oyungezer","2007","","Turkey","?","PC, PS3, XBOX360, Wii, PSP, Nintendo DS","http://oyungezer.com.tr/"
"Page 6","1982","1998","United Kingdom","?","The Atari 8-bit range and Atari ST","http://www.page6.org/"
"PC Gamer","1993","","United Kingdom
United States","Future Publishing","PC games","http://www.pcgamer.com"
"PC Games","1992","","Germany","?","PC games","http://www.pcgames.de/"
"PC Accelerator","","2000","United States","?","PC Games","N/A"
"PC Mania","1998","2009","Bulgaria","?","PC games","http://www.pcmania.bg/"
"Pelit","1992","","Finland","?","The oldest and most popular videogame magazine of Finland.","http://www.pelit.fi"
"Play","1994","2013","People's Republic of China","Science Popularization Publication","","http://www.playmediacompany.it/edicola/edicola-01.asp?Id=2482"
"PlayStation Magazine Ufficiale","2002","","Italy","?","Italian PlayStation related topics","http://www.joyplay.cn"
"PlayStation Official Magazine (UK)","2006","","United Kingdom","?","UK PlayStation related topics","?"
"PlayStation: The Official Magazine","1997","2012","United States","?","PlayStation related topics","http://playstationthemagazine.com/"
"Planet PC","1999","2001","United Kingdom","?","PC games","?"
"Popsoft","1995","","People's Republic of China","?","PC games and software","http://www.popsoft.com.cn/"
"Power Unlimited","1993","","The Netherlands","?","Dutch gaming magazine","http://www.pu.nl/"
"PSM3","2000","2012","United Kingdom","Future Publishing","Sony video game consoles and PlayStation games","?"
"PNM (Pure Nintendo)","2011","","United States","MagCloud/Pure Media LLC","All things Nintendo related","http://purenintendo.com/magazine"
"Retro","2013","","United States","GameGavel LLC","Retro and retro-inspired games and topics","http://readretro.com"
"Retro Gamer","2004","","United Kingdom","Imagine Publishing","Retro games from multiple platforms, often via an Emulator","http://www.retrogamer.net/"
"ST/Amiga Format","1988","1989","United Kingdom","Future Publishing","Amiga and Atari ST magazine with hardware focus. Split into ST Format and Amiga Format in 1989.","http://www.amigahistory.co.uk/aformat.html"
"ST Format","1989","1996","United Kingdom","Future Publishing","Atari ST magazine with hardware focus.","http://www.stformat.com/"
"Sega Force","1992","1993","United Kingdom","Europress Impact","Sega games magazine","?"
"Sega Power","1989","1997","United Kingdom","?","?","N/A"
"Sega Saturn Magazine","1994","1998","United Kingdom","?","?","?"
"Sinclair User","1982","1993","United Kingdom","?","Sinclair Spectrum","http://www.sincuser.f9.co.uk/"
"SKOAR!","2003","","India","Jasubhai Digital Media Pvt. Ltd.","An Indian game magazine","http://skoar.thinkdigit.com/"
"Thirteen1","2008","","United Kingdom","T1 Publishing Ltd","A free online-based game magazine","http://www.thirteen1.com/"
"Videogaming Illustrated","1982","1983","United States","Ion International, Inc.","Video games","N/A"
"Xbox Magazine Ufficiale","?","","Italy","?","Italian Xbox related topics","?"
"Xbox World","2003","2012","United Kingdom","Future Publishing","Xbox video game consoles and Xbox games","?"
"Your Sinclair","1986","1993","United Kingdom","Future Publishing","Sinclair Spectrum","http://www.ysrnry.co.uk/"
"Your Spectrum","1984","1985","United Kingdom","Sportscene Specialist Press","Sinclair Spectrum","http://www.users.globalnet.co.uk/~jg27paw4/"
"Zzap!64","1985","1992","United Kingdom","Future Publishing","Commodore 64 games; renamed Commodore Force in 1992","?"
