| Year | Designer(s)                                                                                                           | Brief description                                                                                                                                                                                                                                                                                       | Selected by:                                | Associated publication             |
| 1992 | Ralph Lauren                                                                                                          | Woman's black and white pinstripe trouser suit & shirt                                                                                                                                                                                                                                                  | Liz Smith                                   | The Times                          |
| 1993 | Donna Karan                                                                                                           | Purple wool & stretch velvet dress, hat & boots                                                                                                                                                                                                                                                         | Glenda Bailey                               | Marie Claire                       |
| 1994 | John Galliano                                                                                                         | Black silk strapless evening dress                                                                                                                                                                                                                                                                      | Meredith Etherington Smith                  | Harper's & Queen                   |
| 1995 | Female: Catherine Rayner Emma Hope (shoes) Male: Tom Gilbey                                                           | Female: Beaded ivory silk satin wedding dress Male: Ivory silk frock coat, cream wool trousers and embroidered waistcoat                                                                                                                                                                                | Sandra Boler                                | Brides                             |
| 1996 | Female: Alexander McQueen Male: Paul Smith                                                                            | Female: Floral brocade top with red 'bumster' trousers Male: Bright blue two-piece suit and shirt                                                                                                                                                                                                       | Tamsin Blanchard                            | The Independent                    |
| 1997 | Female: Hussein Chalayan Female: Julien MacDonald Female: Lainey Keogh Female: Deborah Milner Philip Treacy (bonnet)  | Female: Purple evening dress with sunburst bead embroidery (Chalayan) Female: 'Mermaid' evening dress, gold knitted rayon & horsehair (MacDonald) Female: Evening dress and coat, black knit with beading (Keogh) Female: Evening coat, purple velvet, with fur collar (Milner)
Sculptural black bonnet | Isabella Blow                               | The Sunday Times                   |
| 1998 | Female: Sonia Rykiel Male: Chris Bailey for Jigsaw Menswear                                                           | Female: Black knitted sweater & combat trousers, with pink marabou stole Male: Silver-grey suit, white T-shirt and ankle-length puffa jacket                                                                                                                                                            | Iain R. Webb                                | Elle                               |
| 1999 | Alexander McQueen                                                                                                     | Cream lace dress with brown leather collar and sandals                                                                                                                                                                                                                                                  | Susannah Frankel                            | The Independent                    |
| 2000 | Donatella Versace for Versace                                                                                         | Bamboo-print silk chiffon evening dress and jeweled mules                                                                                                                                                                                                                                               | Lisa Armstrong                              | The Times                          |
| 2001 | Tom Ford for Yves Saint Laurent Rive Gauche                                                                           | 'Peasant' ensemble of gauze top and velvet & satin skirt, with boots and velvet scarf                                                                                                                                                                                                                   | Alexandra Shulman                           | Vogue                              |
| 2002 | Junya Watanabe                                                                                                        | Dress, pieced together knit & jersey fabrics, with distressed cow-hide shoes                                                                                                                                                                                                                            | Hilary Alexander                            | The Daily Telegraph                |
| 2003 | Marni                                                                                                                 | Colorful printed dress                                                                                                                                                                                                                                                                                  | Lucinda Chambers                            | Vogue                              |
| 2004 | Tom Ford for Yves Saint Laurent Rive Gauche                                                                           | Evening dress in Chinese dragon print satin                                                                                                                                                                                                                                                             | Sarajane Hoare                              | Vanity Fair                        |
| 2005 | Alber Elbaz for Lanvin                                                                                                | Blue silk faille dress with full skirt                                                                                                                                                                                                                                                                  | Charlie Porter                              | GQ; The Guardian                   |
| 2006 | Prada                                                                                                                 | Woman's olive green coat with fur patch pockets                                                                                                                                                                                                                                                         | Sarah Mower                                 |                                    |
| 2007 | Giles Deacon at GILES                                                                                                 | Orange 'Troubadour' dress with accompanying orange scarf                                                                                                                                                                                                                                                | Hywel Davies                                |                                    |
| 2008 | Karl Lagerfeld for Chanel (trouser ensemble) Kate Moss for Topshop (dress)                                            | Gold star and navy blue trouser ensemble Long sleeved black dress with heart-print                                                                                                                                                                                                                      | Paula Reed                                  | Grazia                             |
| 2009 | Antonio Berardi                                                                                                       | White and black trompe l'oeil corset dress                                                                                                                                                                                                                                                              | Lucy Yeomans                                | Harper's Bazaar                    |
| 2010 | Vivienne Westwood                                                                                                     | Green ribbed shot-silk deconstructed dress                                                                                                                                                                                                                                                              | Stephen Jones                               |                                    |
| 2011 | Sarah Burton for Alexander McQueen                                                                                    | White embroidered ivory tulle and organza ballgown                                                                                                                                                                                                                                                      | Hamish Bowles                               | Vogue                              |
| 2012 | Raf Simons for Christian Dior                                                                                         | Embroidered and appliquéd silk cut-off ballgown and black cigarette pants                                                                                                                                                                                                                               | Vanessa Friedman                            | Financial Times                    |
