Year	Goalkeeper	Defenders	Midfielders	Forwards
1993	Tim Deck, Wisconsin	Shane Batelle, St. Louis University\nPedro Lopes, Rutgers\nJorge Salcedo, UCLA	Brian Kamler, Creighton\nJason Kreis, Duke\nClaudio Reyna, Virginia	Keith DeFini, Creighton\nJimmy Glenn, Clemson\nBrian McBride, St. Louis University\nStaale Soebye, San Francisco
1994	David Kramer, Fresno State	Brandon Pollard, Virginia\nEddie Pope, UNC	Jason Kreis, Duke\nBrian Maisonneuve, Indiana\nMatt McKeon, St. Louis University\nTodd Yeagley, Indiana	Brent Bennett, James Madison\nMac Cozier, Charlotte\nDarren Eales, Brown\nStaale Soebye, San Francisco
1995	Chris Snitko, UCLA	Scott Lamphear, Wisconsin\nIan McIntyre, Hartwick\nBrandon Pollard, Virginia	Ben Hickey, St. John's\nJesse Marsch, Princeton\nClint Mathis, South Carolina	Mike Fisher, Virginia\nMatt McKeon, St. Louis University\nToni Siikala, Campbell\nAndy Williams, Rhode Island
1996	Jon Busch, Charlotte	Tahj Jakins, UCLA\nPete Santora, Furman\nJohn Stratton, Air Force	Mike Fisher, Virginia\nSteve Klein, Bowling Green\nMike Mekelburg, USF	Tony Kuhn, Vanderbilt\nIgnace Moleka, FIU\nJohnny Torres, Creighton\nAndy Williams, Rhode Island
1997	Matt Jordan, Clemson	Leo Cullen, Maryland\nKevin Daly, St. John's\nPete Santora, Furman	Daniel Hernandez, SMU\nAlen Kozic, FIU\nBen Olsen, Virginia	Wade Barrett, William & Mary\nSigurdur Eyjolfsson, UNC-Goldsboro\nDema Kovalenko, Indiana\nJohnny Torres, Creighton
1998	Adin Brown, William & Mary	Matt Chulis, Virginia\nJamie Clark, Stanford\nKevin Kalish, Saint Louis	Lazo Alavanja, Indiana\nJay Heaps, Duke\nWojtek Krakowiak, Clemson\nMaurizio Rocha, UConn	Chris Albright, Virginia\nSeth George, UCLA\nDema Kovalenko, Indiana\nRichard Mulrooney, Creighton
1999	Adin Brown, William & Mary	Nick Garcia, Indiana\nEric Denton, Santa Clara\nDavid Wright, Creighton	Carl Bussey, SMU\nDaniel Alvarez, Furman\nJeff DiMaria, St. Louis University\nSasha Victorine, UCLA	John Barry Nusum, Furman\nMohammed Fahim, SMU\nRicardo Villar, Penn State\nAleksey Korol, Indiana
2000	Chris Hamblin, Boston College	Chris Gbandi, UConn\nCory Gibbs, Brown\nRyan Suarez, San Jose State	Carl Bussey, SMU\nMark Lisi, Clemson\nJorge Martínez, San Jose State\nRyan Nelsen, Stanford	Chris Carrieri, UNC\nAli Curtis, Duke\nJohn Barry Nusum, Furman
2001	Byron Foss, SMU	Chris Gbandi, UConn\nDanny Jackson, UNC\nLee Morrison, Stanford	Luchi Gonzalez, SMU\nKyle Martino, Virginia\nDiego Walsh, SMU	Nicholas McCreath, Rhode Island\nPat Noonan, Indiana\nJohn Barry Nusum, Furman\nDipsy Selolwane, St. Louis University
2002	Doug Warren, Clemson	Todd Dunivant, Stanford\nJohn Swann, Indiana\nChris Wingert, St. John's	Ricardo Clark, Furman\nSumed Ibrahim, Maryland\nAndres Murriagui, Loyola Marymount\nDiego Walsh, SMU	Alecko Eskandarian, Virginia\nPat Noonan, Indiana\nTim Pierce, UCLA\nMike Tranchilla, Creighton
2003	Will Hesmer, Wake Forest	Leonard Griffin, UCLA\nTrevor McEachron, Old Dominion\nChris Wingert, St. John's	Scott Buete, Maryland\nSumed Ibrahim, Maryland\nC.J. Klaas, Washington	Adom Crew, Brown\nNed Grabavoy, Indiana\nVedad Ibišević, St. Louis University\nJoseph Ngwenya, Coastal Carolina
2004	Christopher Sawyer, Notre Dame	Ugo Ihemelu, SMU\nDrew Moor, Indiana\nGonzalo Segares, VCU	Michael Enfield, UCLA\nC.J. Klaas, Washington\nSacha Kljestan, Seton Hall\nDanny O'Rourke, Indiana	Justin Moose, Wake Forest\nRandi Patterson, UNC-G'boro\nRyan Pore, Tulsa\nJeff Rowland, New Mexico
2005	Chris Dunsheath, Bradley	Greg Dalby, Notre Dame\nTyson Wahl, California\nMarvell Wynne, UCLA	Mehdi Ballouchy, Santa Clara\nScott Jones, UNC-G'boro\nYohann Mauger, Akron\nBrian Plotkin, Indiana	Jason Garey, Maryland\nRoss McKenzie, Akron\nJeff Rowland, New Mexico\nWillie Sims, Cal St-N'ridge
2006	Nick Noble, West Virginia	Andrew Boyens, New Mexico\nJulius James, UConn\nJay Needham, SMU\nJohn O'Reilly, Lehigh	Greg Dalby, Notre Dame\nMaurice Edu, Maryland\nRyan Maduro, Providence	Omar Cummings, Cincinnati\nCharlie Davies, Boston College\nEdson Elcock, Old Dominion\nJoseph Lapira, Notre Dame
2007	Stefan Frei, California	Eric Brunner, Ohio State\nJulius James, UConn\nPat Phelan, Wake Forest	Reuben Ayarna, Boston College\nAlejandro Bedoya, Boston College\nAndrew Jacobson, California\nPeter Lowry, Santa Clara	Xavier Balc, Ohio State\nJoseph Lapira, Notre Dame\nPatrick Nyarko, Virginia Tech\nO'Brian White, Connecticut
2008	Jovan Bubonja, UIC	Calum Angus, St. Louis University\nMatt Besler, Notre Dame\nOmar Gonzalez, Maryland\nTennant McVea, Loyola Maryland	Corben Bone, Wake Forest\nSam Cronin, Wake Forest\nAndrei Gotsmanov, Creighton\nBaggio Husidic, UIC	Andre Akpan, Harvard\nMike Grella, Duke\nMarcus Tracy, Wake Forest\nSteve Zakuani, Akron
2009	Jeff Attinella, South Florida	Bobby Warshaw, Stanford\nZach Loyd, North Carolina\nIke Opara, Wake Forest	Kyle Nakazawa, UCLA\nAnthony Ampaipitakwong, Akron\nCorben Bone, Wake Forest\nTony Tchani, Virginia	Teal Bunbury, Akron\nColin Rolfe, Louisville\nRyan Kinne, Monmouth\nAndre Akpan, Harvard
2010	Zac MacMath, Maryland	Kofi Sarkodie, Akron\nA.J. Soares, California\nAndrew Wenger, Duke	Michael Farfan, North Carolina\nMatt Kassel, Maryland\nRyan Kinne, Monmouth\nBen Sippola, Butler	Will Bruin, Indiana\nTony Cascio, Connecticut\nDarlington Nagbe, Akron\nColin Rolfe, Louisville
2011	Brian Holt, Creighton	Chris Estridge, Indiana\nMatt Hedges, North Carolina\nCharles Rodriguez, UNC Charlotte	Miguel Ibarra, UC Irvine\nEnzo Martinez, North Carolina\nLuis Silva, UCSB	Ashton Bennett, Coastal Carolina\nEthan Finlay, Creighton\nBilly Schuler, North Carolina\nAndrew Wenger, Duke
2012	Andre Blake, Connecticut	Chad Barson, Akron\nAndrew Farrell, Louisville\nAndrew Ribeiro, Creighton	Scott Caldwell, Akron\nJose Gomez, Creighton\nDillon Powers, Notre Dame	Ashton Bennett, Coastal Carolina\nRyan Finley, Notre Dame\nDaniel Haber, Cornell University\nPatrick Mullins, Maryland
2013	Andre Blake, Connecticut	Steve Birnbaum, California\nAJ Cochran, Wisconsin\nTaylor Peay, Washington	Laurie Bell, Milwaukee\nAodhan Quinn, Akron\nLeo Stolz, UCLA	Pete Caringi III, UMBC\nSagi Lev-Ari, Cal St-N'ridge\nPatrick Mullins, Maryland\nHarrison Shipp, Notre Dame
