| Season    | Winner                                       | Team                  | Position | Age |
| 1965–66   | Brit Selby                                   | Toronto Maple Leafs   | LW       | 20  |
| 1966–67   | Bobby Orr                                    | Boston Bruins         | D        | 18  |
| 1967–68   | Derek Sanderson                              | Boston Bruins         | C        | 21  |
| 1968–69   | Danny Grant                                  | Minnesota North Stars | RW       | 23  |
| 1969–70   | Tony Esposito                                | Chicago Black Hawks   | G        | 26  |
| 1970–71   | Gilbert Perreault                            | Buffalo Sabres        | C        | 19  |
| 1971–72   | Ken Dryden                                   | Montreal Canadiens    | G        | 24  |
| 1972–73   | Steve Vickers                                | New York Rangers      | LW       | 21  |
| 1973–74   | Denis Potvin                                 | New York Islanders    | D        | 19  |
| 1974–75   | Eric Vail                                    | Atlanta Flames        | LW       | 20  |
| 1975–76   | Bryan Trottier                               | New York Islanders    | C        | 19  |
| 1976–77   | Willi Plett                                  | Atlanta Flames        | RW       | 21  |
| 1977–78   | Mike Bossy                                   | New York Islanders    | RW       | 20  |
| 1978–79   | Bobby Smith                                  | Minnesota North Stars | C        | 20  |
| 1979–80   | Ray Bourque                                  | Boston Bruins         | D        | 19  |
| 1980–81   | Peter Stastny                                | Quebec Nordiques      | C        | 24  |
| 1981–82   | Dale Hawerchuk                               | Winnipeg Jets         | C        | 18  |
| 1982–83   | Steve Larmer                                 | Chicago Black Hawks   | RW       | 21  |
| 1983–84   | Tom Barrasso                                 | Buffalo Sabres        | G        | 18  |
| 1984–85   | Mario Lemieux                                | Pittsburgh Penguins   | C        | 19  |
| 1985–86   | Gary Suter                                   | Calgary Flames        | D        | 21  |
| 1986–87   | Luc Robitaille                               | Los Angeles Kings     | LW       | 20  |
| 1987–88   | Joe Nieuwendyk                               | Calgary Flames        | C        | 21  |
| 1988–89   | Brian Leetch                                 | New York Rangers      | D        | 20  |
| 1989–90   | Sergei Makarov                               | Calgary Flames        | RW       | 31  |
| 1990–91   | Ed Belfour                                   | Chicago Blackhawks    | G        | 25  |
| 1991–92   | Pavel Bure                                   | Vancouver Canucks     | RW       | 20  |
| 1992–93   | Teemu Selanne                                | Winnipeg Jets         | RW       | 22  |
| 1993–94   | Martin Brodeur                               | New Jersey Devils     | G        | 21  |
| 1994–95   | Peter Forsberg                               | Quebec Nordiques      | C        | 21  |
| 1995–96   | Daniel Alfredsson                            | Ottawa Senators       | RW       | 22  |
| 1996–97   | Bryan Berard                                 | New York Islanders    | D        | 19  |
| 1997–98   | Sergei Samsonov                              | Boston Bruins         | LW       | 19  |
| 1998–99   | Chris Drury                                  | Colorado Avalanche    | C        | 22  |
| 1999–2000 | Scott Gomez                                  | New Jersey Devils     | C        | 19  |
| 2000–01   | Evgeni Nabokov                               | San Jose Sharks       | G        | 25  |
| 2001–02   | Dany Heatley                                 | Atlanta Thrashers     | RW       | 20  |
| 2002–03   | Barret Jackman                               | St. Louis Blues       | D        | 21  |
| 2003–04   | Andrew Raycroft                              | Boston Bruins         | G        | 23  |
| 2004–05   | No winner because of the 2004–05 NHL lockout | -                     | -        | -   |
| 2005–06   | Alexander Ovechkin                           | Washington Capitals   | LW       | 20  |
| 2006–07   | Evgeni Malkin                                | Pittsburgh Penguins   | C        | 20  |
| 2007–08   | Patrick Kane                                 | Chicago Blackhawks    | RW       | 19  |
| 2008–09   | Steve Mason                                  | Columbus Blue Jackets | G        | 21  |
| 2009–10   | Tyler Myers                                  | Buffalo Sabres        | D        | 20  |
| 2010–11   | Jeff Skinner                                 | Carolina Hurricanes   | C        | 18  |
| 2011–12   | Gabriel Landeskog                            | Colorado Avalanche    | LW       | 19  |
| 2012–13   | Jonathan Huberdeau                           | Florida Panthers      | C        | 19  |
