"Rank","Bib","Athlete","Country","Time","Deficit","Note"
"75","79","Vera Viczián","Hungary","3:54.40","+50.51",""
"76","82","Rosana Kiroska","Macedonia","3:55.96","+52.07",""
"77","75","Kristine Liepiņa","Latvia","3:57.70","+53.81",""
"78","77","Ágnes Simon","Hungary","4:04.44","+1:00.55",""
"79","81","Natālija Kovaļova","Latvia","4:08.67","+1:04.78",""
"80","87","Ildikó Papp","Hungary","4:11.74","+1:07.85",""
"81","83","Viktória Zámbó","Hungary","4:21.85","+1:17.86",""
"82","73","Syuzanna Varosyan","Armenia","4:25.77","+1:21.88",""
"83","85","Ana Angelova","Macedonia","4:30.67","+1:26.78",""
"84","76","Valya Varosyan","Armenia","4:30.74","+1:26.85",""
"85","80","Zane Eglīte","Latvia","4:37.37","+1:33.48",""
"86","78","Olga Reshetkova","Kyrgyzstan","4:43.84","+1:39.95",""
"","61","Brooke Gosling","Canada","DNS","",""
