Launch Date	STS Number	Payload Name	Payload Classification	Experiment\nName	Payload Carrier Hardware
07/31/92	46	<acronym title="Consortium Complex Autonomous Payload">CONCAP\nIV-03</acronym>-II-01\nCONCAP-III-01\n<acronym title="Limited Duration Space Environment Candidate Materials Exposure"></acronym>	CAP	<acronym title="Limited Duration Space Environment Candidate Materials Exposure">LDCE</acronym>-01\nLDCE-02\nLDCE-03	Adapter Beam
09/12/92	47	GBA-4	GAS	G-102\nG-255\nG-300\nG-330\nG-482\nG-520\nG-521\nG-534\nG-613	Adapter Beam
11/12/93	51	LDCE-04\nLDCE-05	CAP	LDCE-04\nLDCE-05	Adapter Beam
10/22/92	52	<acronym title="Attitude Sensor Package">ASP</acronym>	HH	Attitude Sensor Package (ASP)	Adapter Beam
10/22/92	52	TPCE-01	CAP	TPCE-01	Adapter\nBeam
12/02/92	53	GCP	HH	Orbital Debris\nRadar Calibration Spheres\n(ODERACS-1)\nCryogenic\nHeat Pipe\nExperiment\n(CRYOHP)\nShuttle Glow\n(GLO-1)	Adapter Beam
01/13/93	54	<acronym title="Diffuse X-ray Spectrometer">DXS</acronym>	HH	Diffuse X-ray Spectrometer\n(DXS)	Adapter Beam
04/26/93	55	<acronym title="Reaction Kinetics in Glass Melts">RKGM</acronym>	CAP	RKGM	Adapter Beam
04/08/93	56	<acronym title="Solar Ultra-Violet Experiment">SUVE</acronym>	CAP	SUVE	Adapter Beam
06/21/93	57	<acronym title="Super Fluid Helium On Orbit Transfer">SHOOT</acronym>	HH	Super Fluid Helium\nOn Orbit Transfer (SHOOT)\nexperiment	Adapter Beam
06/21/93	57	GBA-5	GAS	CONCAP-IV-01\nG-022\nG-324\nG-399\nG-450\nG-452\nG-453\nG-454\nG-535\nG-601\nG-647	GBA
04/09/94	59	CONCAP IV-02\n<acronym title="Goddard ground support equipment"></acronym>	CAP	CONCAP IV-02	Adapter Beam
04/09/94	59	G-203\nG-300\nG-458	GAS	G-203\nG-300\nG-458	Adapter\nBeam
02/03/94	60	COB/GBA\nODERACS-1R\nBREMSAT	GAS Bridge Assembly-6 with\nHitchhiker Avionic	Capillary Pumped Loop (CAPL),\nNASA GSFC	GBA\nw/ HH Avionics
02/03/94	60	COB/GBA\n\nODERACS-1R\nBREMSAT	HH	Orbital Debris Radar Calibration\nSpheres (ODERACS-1R),\nUSAF	GBA\nw/ HH Avionics
02/03/\n94	6 0	COB/GBA\nODERACS-1R\nBREMSAT	CAP	BREMAN Satellite (BREMSAT),\nUniversity of\nBremen	GBA\nw/ HH Avionics
02/03/94	60	COB/GBA\nODERACS-1R\nBREMSAT	GAS	G-071\nG-514\nG-536\nG-557	GBA\nw/ HH Avionics
03/04/94	62	LDCE-06\nLDCE-07\nLDCE-08	CAP	LDCE-06\nLDCE-07\nLDCE-08	Adapter Beam
03/04/94	62	<acronym title="Office of Aeronautics and Space Technology">OAST</acronym>-2	CAP	Thermal Energy Storage\n(TES-1,\nTES-2)	HH Bridge
03/04/94	62	<acronym title="Office of Aeronautics and Space Technology">OAST</acronym>-2	HH	Cryogenic Two Phase (CRYOTP), NASA GSFC/USAF Phillips Lab\nEmulsion Chamber Technology (ECT), NASA MSFC\nExperimental Investigation of Spacecraft Glow (EISG), NASA JSC/NASA GSFC\nSolar Array Module Plasma Interaction Experiment\n(SAMPIE), NASA\nLeRC\nSpacecraft Kinetic Infrared Test\n(SKIRT), NASA\nJSC/ NASA GSFC	HH Bridge
02/03/95	63	CGP/<acronym title="orbital debris radar calibration sphere">ODERACS</acronym>-2	HH	Cryo System Experiment (CSE), Hughes\nShuttle Glow\n(GLO-2), U of AZ\nIMAX Cargo Bay Camera (ICBC)\nOrbital Debris\nRadar Calibration System-II\n(ODERACS-II),\nUSAF	HH Bridge
09/09/94	64	<acronym title="Robot Operated Materials Processing\nSystem">ROMPS</acronym>-1	HH	Robot Operated Materials Processing\nSystem (ROMPS)	Adapter Beam
09/09/94	64	GBA-7	GAS	G-178\nG-254\nG-325\nG-417\nG-453\nG-454\nG-456\nG-485\nG-506\nG-562	GBA
11/03/94	66	ESCAPE-2	CAP	ESCAPE-2	Adapter Beam
03/02/95	67	G-387\nG-388	GAS	G-387\nG-388	Adapter Beam
09/30/94	68	G-316\nG-503\nG-541	GAS	G-316\nG-503\nG-541	Adapter Beam
09/07/95	69	<acronym title="International EUV Hitchhiker">IEH-1</acronym>	HH	Ultraviolet Spectrograph\nTelescope for Astronomical\nResearch\n(UVSTAR), U of AZ/ESA\nShuttle Glow Experiment-3\n(GLO-3), U of AZ\nSolar Extreme Ultraviolet HH\n(SEH), USC	HH Bridge
09/07/95	69	IEH-1	HH-Jr.	Complex\nAutonomous\nPayload\n(CONCAP IV-03),\nU of AL	HH Bridge
09/07/95	69	<acronym title="Capillary Pumped Loop/Get Away Special Bridge Assembly">CAPL/GBA</acronym>	HH	Capillary Pumped Loop (CAPL-2), NASA/GSFC	GBA
09/07/95	69	CAPL/GBA	CAP	TES-2	GBA
09/07/95	69	CAPL/GBA	GAS	G-515\nG-645/SRE\nG-702/SRE\nG-726	GBA
01/11/96	72	SLA-01	HH	Shuttle Laser Altimeter-01 (SLA-01), NASA/GSFC	HH Bridge
01/11/96	72	SLA-01	CAP	TES-2	HH\nBridge
01/11/96	72	SLA-01	GAS	G-342\nG-459\nG-740	HH\nBridge
01/11/96	72	SLA-01	HH	Shuttle Laser Altimeter-01(SLA-01),\nNASA/GSFC	HH\nBridge
11/12/95	74	GPP	HH	Shuttle Glow Experiment (GLO-4)\nPhotogrammetric Appendage Structural Dynamics Experiment Payload (PASDE-01)	Adapter Beam
03/22/96	76	G-312	GAS	G-312	Adapter Beam
05/19/96	77	TEAMS	HH	Vented Tank Resupply Experiment (VTRE), NASA/LeRC\nGPS Attitude and Navigation Experiment (GANE), NASA/JSC\nLiquid Metal Thermal Experiment (LMTE), USAF Phillips Laboratory\nPassive Aerodynamically-Stabilized Magnetically-Damped Satellite (PAMS), NASA GSFC	HH Bridge
05/19/96	77	TPCE-RF	CAP	TPCE-RF	GBA
05/19/96	77	G-056\nG-063\nG-142\nG-144\nG-163\nG-200\nG-490\nG-564\nG-565\nG-703\nG-741	GAS	G-056\nG-063\nG-142\nG-144\nG-163\nG-200\nG-490\nG-564\nG-565\nG-703\nG-741	GBA
11/19/96	80	SEM-01	SEM	SEM-01	Adapter Beam
04/04/97	83	CRYOFD	HH	Cryogenic Flexible Diode (CRYOFD),\nNASA GSFC/USAF Phillips Lab	Adapter Beam
08/07/97	85	TAS-01	HH	Shuttle Laser Altimeter (SLA-02), NASA GSFC\nInfrared Spectral Imaging Radiometer (ISIR), NASA GSFC\nCritical Viscosity of Xenon (CVX-01), NASA LeRC\nSpace Experiment Module (SEM-02), NASA GSFC\nSolar Constant (SOLCON-1), Royal Meteorological Institute of Belgium\nTwo-Phase Flow (TPF), NASA GSFC\nCOOLLAR Flight Experiment (CFE), USAF Phillips Lab	HH Bridge
08/07/97	85	TAS-01	SEM	SEM-02	HH\nBridge
08/07/97	85	IEH-2	HH	Ultraviolet Spectrograph Telescope for Astronomical Research (UVSTAR), U of AZ/ESA\nShuttle Glow Experiment-5 & 6 (GLO-5 & 6), U of AZ\nSolar Extreme Ultraviolet Hitchhiker (SEH), USC\nDistribution and Automation Technology Advancement - Colorado Hitchhiker\nAnd Student Experiment of solar Radiation (DATA-CHASER), University\nof Colorado	HH\nBridge
08/07/97	85	G-572\nG-745	GAS	G-572\nG-745	Adapter Beam
19/25/97	86	SEEDSII	CAP	SEEDSII	Adapter Beam
11/19/97	87	LHP/NaSBE (LNBP)	HH	Loop Heat Pipe Experiment (LHP), Dynatherm\nSodium Surface Battery Experiment (NaSBE), NRL	Adapter Beam
11/19/97	87	SOLSE-01	HH-Jr	Shuttle Ozone Limb Sounding Experiment (SOLSE-01), NASA GSFC	Adapter\nBeam
11/19/97	87	TGDF	CAP	TGDF	Adapter\nBeam
11/19/97	87	G-036	GAS	G-036	Adapter\nBeam
12/04/98	88	MIGHTYSAT-1	HH	MightySat-1, USAF Phillips\nLab\nSatellite de Aplicaciones Cientifico-A (SAC-A), Argentinean National Commission of Space Activities	Adapter Beam
12/04/98	88	JSC APFR	HH	JSC APFR	Adapter\nBeam
12/04/98	88	G-093R	GAS	G-093R	Adapter\nBeam
12/04/98	88	SEM-07	SEM	SEM-07	Adapter\nBeam
01/22/98	89	G-093\nG-141\nG-145\nG-432	GAS	G-093\nG-141\nG-145\nG-432	Adapter Beam
04/17/98	90	SVF-01	CAP	Shuttle Vibration Forces (SVF),\nNASA JPL	Adapter Beam
04/17/98	90	G-197\nG-744\nG-772	GAS	G-197\nG-744\nG-772	Adapter\nBeam
06/02/98	91	G-090\nG-648\nG-743\nG-765	GAS	G-090\nG-648\nG-743\nG-765	Adapter Beam
06/02/98	91	SEM-03\nSEM-05	SEM	SEM-03\nSEM-05	Adapter\nBeam
07/01/97	94	CRYOFD	HH	Cryogenic Flexible Diode (CRYOFD)\nexperiment payload	Adapter Beam
10/29/98	95	CRYOTSU	HH	Cryogenic Thermal Storage Unit (CRYOTSU), NASA GSFC	Adapter Beam
10/29/98	95	IEH-3	HH	Ultraviolet\nSpectrograph Telescope for Astronomical Research (UVSTAR), U of\nAZ/ESA\nSolar Extreme Ultraviolet Hitchhiker (SEH), USC\nSTAR-LITE, U of AZ\nPetite Amateur Navy Satellite (PANSAT), USAF Space Test Program\nSolar Constant Experiment (SOLCON-02), Royal Meteorological Institute of Belgium	HH Bridge
10/29/98	95	IEH-3	GAS	G-238\nG-764	HH Bridge
10/29/98	95	SEM-04	SEM	SEM-04	SEM-attached\nto SPARTAN 201-05 Bridge
10/29/98	95	G-467\nG-779	GAS	G-467\nG-779	Adapter Beam
05/27/99	96	SVF-02	CAP	Shuttle Vibration Forces (SVF-02), NASA JPL	Adapter Beam
05/27/99	96	STARSHINE	HH	Student Tracked Atmospheric\nResearch Satellite for Heuristic International Networking Experiment (STARSHINE), Rocky Mountain NASA Space Grant Consortium/USU	Adapter\nBeam
05/19/00	101	MARS	CAP	MARS	Adapter Beam
05/19/00	101	SEM-06	SEM	SEM-06	Adapter\nBeam
03/08/01	102	WSVFM	CAP	Wide-band Shuttle Vibration\nForce Measurement(WSVFM) NASA JPL	Adapter Beam
03/08/01	102	G-783	GAS	G-783	Adapter\nBeam
03/08/01	102	SEM-09	SEM	SEM-09	Adapter\nBeam
03/08/01	102	Beam - Bay 4	Beam - Contingency I	Beam - Bay 4	Adapter\nBeam
08/10/01	105	HEAT	HH	Advance Carrier Equipment (ACE)\nSimpleSat, NASA/GSFC	Adapter Beam
08/10/01	105	HEAT	GAS	G-774	
08/10/01	105	HEAT	SEM	SEM-10	Adapter\nBeam
08/10/01	105	G-780	GAS	G-780	Adapter\nBeam
08/10/01	105	HEAT	Beam - Bay 4 Port	Beam for Contingency	Adapter\nBeam
09/08/00	106	G-782	GAS	G-782	Adapter Beam
09/08/00	106	SEM-08	SEM	SEM-08	Adapter\nBeam
11/29/02	107	FREESTAR	HH	Mediterranean Israeli Dust Experiment (MEIDEX), Israeli Space Agency\nSolar Constant Experiment (SOLCON-03), Royal Meteorological Institute of Belgium\nShuttle Ozone Limb Sounding Experiment (SOLSE-2), NASA GSFC\nCritical Viscosity of Xenon (CVX-2), NASA GRC\nLow Power Transceiver (LPT), NASA GSFC and ITT Industries	HH Bridge
11/29/02	107	FREESTAR	HH	SEM-14	HH Bridge
12/05/01	108	MACH-1	HH	CAPL-3, NASA GSFC and the Naval Research Laboratory\nSTARSHINE-2, Rocky Mountain NASA Space Grant Consortium / USU\nPrototype Synchrotron Radiation Detector (PSRD), NASA JSC	GBA with HH Avionics
12/05/01	108	MACH-1	CAP	Collisions Into Dust Experiment\n(COLLIDE-2), NASA GRC	GBA\nwith HH Avionics
12/05/01	108	MACH-1	GAS	G-761	GBA\nwith HH Avionics
12/05/01	108	MACH-\n1	SEM	SEM-11\nSEM-15	GBA\nwith HH Avionics
12/05/01	108	LMC	LMC Carrier	SEM-12	LMC Carrier
12/05/01	108	LMC	LMC Carrier	G-064\nG-730\nG-785	LMC\nCarrier
12/05/01	108	G-221\nG-775	GAS	G-221\nG-775	Adapter Beam</tbody>
