| Name of place                     | Number of counties | Principal county    | Lower zip code |
| Arlberg                           | 1                  | Stone County        |                |
| Armorel                           | 1                  | Mississippi County  | 72310          |
| Armstrong                         | 1                  | Sharp County        | 72482          |
| Armstrong Springs                 | 1                  | White County        | 72148          |
| Arnett                            | 1                  | Washington County   |                |
| Artesian                          | 1                  | Calhoun County      |                |
| Artex                             | 1                  | Miller County       |                |
| Arthur                            | 1                  | Conway County       | 72156          |
| Artist Point                      | 1                  | Crawford County     |                |
| Ashdown                           | 1                  | Little River County | 71822          |
| Asher                             | 1                  | Madison County      | 72727          |
| Asher                             | 1                  | Pulaski County      | 72204          |
| Ash Flat                          | 2                  | Sharp County        | 72513          |
| Ash Flat                          | 2                  | Fulton County       | 72513          |
| Ashton                            | 1                  | Chicot County       | 71653          |
| Athelstan                         | 1                  | Mississippi County  | 72370          |
| Athens                            | 1                  | Howard County       | 71971          |
| Atkins                            | 1                  | Pope County         | 72823          |
| Atlanta                           | 1                  | Columbia County     | 71740          |
| Attica                            | 1                  | Randolph County     | 72455          |
| Atwood                            | 1                  | Howard County       |                |
| Aubrey                            | 1                  | Lee County          | 72311          |
| Augsburg                          | 1                  | Pope County         | 72874          |
| Augusta                           | 1                  | Woodruff County     | 72006          |
| Aurelle                           | 1                  | Union County        | 71765          |
| Aurora                            | 1                  | Madison County      | 72740          |
| Austin                            | 1                  | Conway County       | 72027          |
| Austin                            | 1                  | Lonoke County       | 72007          |
| Austin Station                    | 1                  | Lonoke County       |                |
| Auvergne                          | 1                  | Jackson County      | 72112          |
| Avant                             | 1                  | Garland County      |                |
| Avery                             | 1                  | Lincoln County      | 71639          |
| Avilla                            | 1                  | Saline County       | 72002          |
| Avoca                             | 1                  | Benton County       | 72711          |
| Avon                              | 1                  | Sevier County       | 71832          |
| Azor                              | 1                  | Nevada County       | 71835          |
