| Date              | Constituency                | c/u  | Former Incumbent                  | Winner                       | Cause                                                                                               |
| 21 February 1795  | Saltash                     | u    | Viscount Garlies                  | William Stewart              | Resignation                                                                                         |
| 26 February 1795  | Tiverton                    | u*   | Sir John Duntze                   | Richard Ryder                | Death                                                                                               |
| 7 March 1795      | Wendover                    | u    | Lord Hugh Seymour                 | Lord Hugh Seymour            | Lord of the Admiralty                                                                               |
| 9 March 1795      | Dorset                      | u    | Viscount Parker                   | Thomas Fownes Luttrell       | Succeeded to a peerage                                                                              |
| 12 March 1795     | City of London              | c*   | John Sawbridge                    | William Lushington           | Death                                                                                               |
| 13 March 1795     | Bridport                    | c*   | James Watson                      | George Barclay               | Resignation (Puisne Justice in Bengal)                                                              |
| 23 March 1795     | Kirkcudbright Stewartry     | u*   | Alexander Stewart                 | Patrick Heron                | Death                                                                                               |
| 26 March 1795     | Preston                     | u*   | Sir Henry Hoghton                 | Sir Henry Philip Hoghton     | Death                                                                                               |
| 27 March 1795     | East Looe                   | u    | William Wellesley Pole            | Charles Arbuthnot            | Resignation                                                                                         |
| 4 April 1795      | Montgomeryshire             | u*   | William Mostyn Owen               | Francis Lloyd                | Death                                                                                               |
| 28 April 1795     | Bridgnorth                  | u*   | Thomas Whitmore                   | John Whitmore                | Death                                                                                               |
| 29 May 1795       | Great Yarmouth              | c*   | Henry Beaufoy                     | Stephens Howe                | Death                                                                                               |
| 30 May 1795       | New Shoreham                | u*   | John Clater Aldridge              | Charles William Wyndham      | Death                                                                                               |
| 4 June 1795       | Amersham                    | u*   | William Drake                     | Thomas Drake Tyrwhitt        | Death                                                                                               |
| 19 June 1795      | Helston                     | u*   | Sir Gilbert Elliott               | Charles Abbot                | Resignation (Viceroy of Corsica)                                                                    |
| 24 July 1795      | Banffshire                  | u    | Sir James Grant                   | David McDowall Grant         | Resignation (Cashier of Excise in Scotland)                                                         |
| 14 August 1795    | Northumberland              | u*   | Sir William Middleton             | Thomas Richard Beaumont      | Death                                                                                               |
| 21 September 1795 | Somerset                    | u*   | Henry Hippisley Coxe              | William Gore Langton         | Death                                                                                               |
| 26 September 1795 | Rutland                     | u    | John Heathcote                    | Lord Sherard                 | Death                                                                                               |
| 28 September 1795 | Berwick-upon-Tweed          | u*   | John Vaughan                      | John Callender               | Death                                                                                               |
| 21 October 1795   | New Woodstock               | u*   | Lord Henry John Spencer           | The Lord Lavington           | Death                                                                                               |
| 6 November 1795   | Eye                         | u    | Peter Bathurst                    | Viscount Brome               | Resignation                                                                                         |
| 10 November 1795  | St Mawes                    | u    | Thomas Calvert                    | William Drummond             | Resignation                                                                                         |
| 26 November 1795  | Haddingtonshire             | u*   | John Hamilton                     | Hew Hamilton Dalrymple       | Resignation (Receiver of Land Tax in Scotland)                                                      |
| 27 November 1795  | Westbury                    | u    | Samuel Estwick                    | Edward Wilbraham Bootle      | Death                                                                                               |
| 6 January 1796    | Beaumaris                   | u    | Sir Watkin Williams Wynn          | Sir Watkin Williams Wynn     | Steward of Bromfield and Yale                                                                       |
| 12 February 1796  | Hindon                      | u*   | Thomas Wildman                    | James Wildman                | Death                                                                                               |
| 19 March 1796     | Camelford                   | u    | James Macpherson                  | Lord William Bentinck        | Death                                                                                               |
| 4 April 1796      | Perth Burghs                | u*   | George Murray                     | David Scott                  | Resignation                                                                                         |
| 16 April 1796     | Bossiney                    | u    | Humphrey Minchin                  | Evelyn Pierrepont            | Death                                                                                               |
| 25 April 1796     | Forfarshire                 | u    | David Scott                       | William Maule                | Resignation to contest Perth Burghs                                                                 |
| 9 May 1796        | Northampton                 | u*   | Lord Compton                      | Spencer Perceval             | Succeeded to a peerage                                                                              |
| 14 May 1796       | Lincoln                     | u*   | John Fenton Cawthorne             | George Rawdon                | Expulsion                                                                                           |
