| No. | Constituency      | Winner Candidate                           | Party       | Votes  | Margin |
| 102 | Palitana          | Rathod Pravinbhai Jinabhai                 | INC         | 69396  | 14325  |
| 103 | Bhavnagar Rural   | Parshottam Solanki                         | BJP         | 83980  | 18554  |
| 104 | Bhavnagar East    | Vibhavari Dave                             | BJP         | 85375  | 39508  |
| 105 | Bhavnagar West    | Jitu Vaghani                               | BJP         | 92584  | 53893  |
| 106 | Gadhada           | Atmaram Makanbhai Parmar                   | BJP         | 66415  | 10342  |
| 107 | Botad             | Maniya Thakarshibhai Devjibhai             | BJP         | 86184  | 10005  |
| 108 | Khambhat          | Patel Sanjaykumar Ramanbhai                | BJP         | 74761  | 15386  |
| 109 | Borsad            | Parmar Rajendrasinh Dhirsinh               | INC         | 83621  | 21034  |
| 110 | Anklav            | Amit Chavda                                | INC         | 81575  | 30319  |
| 111 | Umreth            | Jayantbhai Ramanbhai Patel                 | NCP         | 67363  | 1394   |
| 112 | Anand             | Dilipbhai Manibhai Patel                   | BJP         | 82956  | 987    |
| 113 | Petlad            | Niranjan Patel                             | INC         | 77312  | 12192  |
| 114 | Sojitra           | Parmar Punambhai Madhabhai                 | INC         | 65210  | 162    |
| 115 | Matar             | Chauhan Devusinh Jesingbhai                | BJP         | 71021  | 6487   |
| 116 | Nadiad            | Desai Pankaj Vinubhai                      | BJP         | 75335  | 6587   |
| 117 | Mahemdabad        | Gautambhai Ravjibhai Chauhan               | INC         | 68767  | 4181   |
| 118 | Mahudha           | Thakor Natvarsinh Fulsinh                  | INC         | 58373  | 13230  |
| 119 | Thasra            | Parmar Ramsinh Prabhatsinh                 | INC         | 78226  | 5500   |
| 120 | Kapadvanj         | Shankersinh Vaghela                        | INC         | 88641  | 6597   |
| 121 | Balasinor         | Chauhan Mansinh Kohyabhai                  | INC         | 87088  | 17171  |
| 122 | Lunawada          | Malivad Kalubhai Hirabhai                  | BJP         | 72814  | 3701   |
| 123 | Santrampur        | Damor Gendalbhai Motibhai                  | INC         | 68026  | 25654  |
| 124 | Shehra            | Ahir Jethabhai Ghelabhai                   | BJP         | 76468  | 28725  |
| 125 | Morva Hadaf       | Khant Savitaben Vechatbhai                 | INC         | 56886  | 11289  |
| 126 | Godhra            | C. K. Raul                                 | INC         | 73367  | 2868   |
| 127 | Kalol             | RATHOD ARVINDSINH DAMSINH                  | BJP         | 69275  | 30056  |
| 128 | Halol             | Parmar Jaydrathsinh Chandrasinh            | BJP         | 93854  | 33206  |
| 129 | Fatepura          | Katara Rameshbhai Bhurabhai                | BJP         | 57828  | 6264   |
| 130 | Jhalod            | Garasiya Miteshbhai Kalabhai               | INC         | 78077  | 40073  |
| 131 | Limkheda          | Bhabhor Jashvantsinh Sumanbhai             | BJP         | 67219  | 15331  |
| 132 | Dahod             | Panada Vajesingbhai Parsingbhai            | INC         | 73956  | 39548  |
| 133 | Garbada           | Bariya Chandrikaben Chhaganbhai            | INC         | 69295  | 35774  |
| 134 | Devgadh Baria     | Bachu Khabad                               | BJP         | 113582 | 83753  |
| 135 | Savli             | Inamdar Ketanbhai Mahendrabhai             | Independent | 62849  | 20319  |
| 136 | Vaghodia          | Shrivastav Madhubhai Babubhai              | BJP         | 65851  | 5788   |
| 137 | Chhota Udaipur    | Rathwa Mohansinh Chhotubhai                | INC         | 65043  | 2305   |
| 138 | Jetpur            | Radadiya Jayeshbhai Vitthalbhai            | INC         | 61966  | 4273   |
| 139 | Sankheda          | Bhil Dhirubhai Chunilal                    | BJP         | 80579  | 1452   |
| 140 | Dabhoi            | Balkrishna Patel                           | BJP         | 70833  | 5122   |
| 141 | Vadodara City     | Vakil Manisha Rajivbhai                    | BJP         | 103700 | 51889  |
| 142 | Sayajigunj        | Sukhadiya Jitendra Ratilal                 | BJP         | 107358 | 58237  |
| 143 | Akota             | Saurabh Patel                              | BJP         | 95554  | 49867  |
| 144 | Raopura           | Rajendra Trivedi                           | BJP         | 99263  | 41535  |
| 145 | Manjalpur         | Yogesh Patel                               | BJP         | 92642  | 51785  |
| 146 | Padra             | Patel Dineshbhai Balubhai                  | BJP         | 75227  | 4308   |
| 147 | Karjan            | Satish Patel                               | BJP         | 68225  | 3489   |
| 148 | Nandod            | Tadvi Shabdasharan Bhailalbhai             | BJP         | 79580  | 15727  |
| 149 | Dediapada         | Motilal Vasava                             | BJP         | 56471  | 2555   |
| 150 | Jambusar          | Chhatrasinhji Pujabhai Mori                | BJP         | 74864  | 18730  |
| 151 | Vagra             | Arunsinh Ajitsinh Rana                     | BJP         | 68512  | 14318  |
| 152 | Zaghadia          | Vasava Chhotubhai Amarsinh                 | JD(U)       | 66622  | 13304  |
| 153 | Bharuch           | Dushyantbhai Rajnikant Patel               | BJP         | 92219  | 37190  |
| 154 | Ankleshwar        | Ishwarsinh Thakorbhai Patel                | BJP         | 82645  | 31443  |
| 155 | Olpad             | Patel Mukeshbhai Zinabhai                  | BJP         | 106805 | 37058  |
| 156 | Mangrol           | Ganpatsinh Vestabhai Vasava                | BJP         | 79255  | 31106  |
| 157 | Mandvi            | Vasava Parbhubhai Nagarbha                 | INC         | 83298  | 24394  |
| 158 | Kamrej            | Pansheriya Prafulbhai Chhaganbhai          | BJP         | 126032 | 61371  |
| 159 | Surat East        | Gilitwala Ranjitbhai Mangubhai             | BJP         | 72649  | 15789  |
| 160 | Surat North       | Choksi Ajaykumar Jashvantlal               | BJP         | 59690  | 22034  |
| 161 | Varachha Road     | Kanani Kishorbhai Shivabhai                | BJP         | 68529  | 20359  |
| 162 | Karanj            | Kachhadiya Janakbhai Manjibhai             | BJP         | 65696  | 49439  |
| 163 | Limbayat          | Patil Sangitaben Rajendrabhai              | BJP         | 79744  | 30321  |
| 164 | Udhna             | Narottambhai Patel                         | BJP         | 74946  | 32754  |
| 165 | Majura            | Sanghvi Harsh Rameshkumar                  | BJP         | 103577 | 71556  |
| 166 | Katargam          | Vanani Nanubhai Bhagavanbhai               | BJP         | 88604  | 43272  |
| 167 | Surat West        | Kishorbhai Ratilalvankawala                | BJP         | 99099  | 69731  |
| 168 | Choryasi          | Patel Rajendrabhai Parabhubhai             | BJP         | 119917 | 67638  |
| 169 | Bardoli           | Parmar Ishwarbhai Alias Anilbhai Ramanbhai | BJP         | 81049  | 22272  |
| 170 | Mahuva            | Dhodiya Mohanbhai Dhanjibhai               | BJP         | 74161  | 11687  |
| 171 | Vyara             | Punabhai Dhedabhai Gamit                   | INC         | 73138  | 13556  |
| 172 | Nizar             | Gamit Kantilalbhai Reshmabhai              | BJP         | 90191  | 9924   |
| 173 | Dang              | Gavit Mangalbhai Gangajibhai               | INC         | 45637  | 2422   |
| 174 | Jalalpore         | R C Patel                                  | BJP         | 76797  | 17867  |
| 175 | Navsari           | Desai Piyushbhai Dinkarbhai                | BJP         | 81601  | 15981  |
| 176 | Gandevi           | Mangubhai Chhaganbhai                      | BJP         | 104417 | 26177  |
| 177 | Vansda            | Chaudhari Chhanabhai Kolubhai              | INC         | 105829 | 25616  |
| 178 | Dharampur         | Patel Ishwarbhai Dhedabhai                 | INC         | 82319  | 15298  |
| 179 | Valsad            | Bharatbhai Kikubhai Patel                  | BJP         | 93658  | 35999  |
| 180 | Pardi             | Kanubhai Mohanlal Desai                    | BJP         | 84563  | 37311  |
| 181 | Kaprada           | Chaudhari Jitubhai Harajibhai              | INC         | 85780  | 18685  |
| 182 | Umbergaon         | Ramanlal Nanubhai Patkar                   | BJP         | 69450  | 28299  |
