Rank	Bib	Athlete	Country	Time	Deficit
	86	Federico Pablo Cichero	Argentina	LAP	
	88	Paul Kovacs	Australia	LAP	
	89	Mark van der Ploeg	Australia	LAP	
	90	César Baena	Venezuela	LAP	
	91	Viossi-Akpedje Madja	Togo	LAP	
	93	Boldyn Byambadorj	Mongolia	LAP	
	94	Dachhiri Sherpa	Nepal	LAP	
	35	Sergei Dolidovich	Belarus	DNF	
	72	Oleksii Krasovskyi	Ukraine	DNF	
	76	Roberts Slotiņš	Latvia	DNF	
	92	Bayaraagiin Gerelt-Od	Mongolia	DNF	
	25	Devon Kershaw	Canada	DNS	
	49	Erik Bjornsen	United States	DNS	
	87	Alexander Standen	Great Britain	DNS	
