"Year","Film","Role","Notes"
"2001","Jodi No.1","Veeru","IIFA Best Comedian Award
Nominated -Filmfare Award for Best Performance in a Comic Role"
"2001","Dil Ne Phir Yaad Kiya","Prem",""
"2001","Kyo Kii... Main Jhuth Nahin Bolta","Raj Malhotra","Nominated -Filmfare Award for Best Performance in a Comic Role"
"2002","Pyaar Diwana Hota Hai","Sunder",""
"2002","Waah! Tera Kya Kehna","Raj Oberoi/Banne Khan","Double Role"
"2002","Akhiyon Se Goli Maare","Raj Oberoi","Nominated -Filmfare Award for Best Performance in a Comic Role"
"2002","Chalo Ishq Ladaaye","Pappu",""
"2003","Ek Aur Ek Gyarah","Tara",""
"2003","Raja Bhaiya","Raja Bhaiya",""
"2003","Three Roses","Himself","Tamil Film - Guest appearance"
"2005","Ssukh","Chandraprakash Sharma",""
"2005","Khullam Khulla Pyaar Karen","Raja/Vicky",""
"2006","Sandwich","Shekhar/Vicky/Sher Singh","Double Role"
"2006","Bhagam Bhag","Babla","One of the biggest hit of the year"
"2007","Salaam-e-Ishq: A Tribute to Love","Raju",""
"2007","Partner","Bhaskar Diwakar Chowdahry","IIFA Best Comedian Award
Zee Cine Award for Best Actor in a Supporting Role – Male
Star Gold Excellent Comic Actor Award
MTV Lycra Style Most Stylish Comeback Award
NDTV Imagine Best Jodi of the Year with Salman Khan"
"2007","Jahan Jaaeyega Hamen Paaeyega","Karan/Bobby Singh/Sher Khan",""
"2007","Om Shanti Om","Himself","Special appearance"
"2008","Money Hai Toh Honey Hai","Bobby Arora",""
"2008","Humsey Hai Jahaan","","Special appearance"
"2009","Chal Chala Chal","Deepak",""
"2009","Life Partner","Jeet Oberoi",""
"2009","Do Knot Disturb","Raj",""
"2009","Wanted","Himself","Special appearance"
"2010","Raavan","Vijay Kumar",""
"2011","Naughty @ 40","Sanjeev Srivastav",""
"2011","Loot","Pandit",""
"2011","Delhi Safari","Bajrangi (voice)","3D Animation film"
"2013","Deewana Main Deewana","Basant","Released after Ten years"
"2013","Samadhi","Deputy Inspector General of Police","Bengali Debut"
"2014","Holiday: A Soldier Is Never Off Duty","Senior of Captain Virat","Post-production (Releasing on 6 June 2014)"
"2014","Kill Dil","Negative Role","Filming (Releasing on 5 September 2014)"
"2014","Happy Ending","","Filming (Releasing in 2014)"
"2014","Avatar","Football Coach","Post-production, (Releasing in 2014)"
"2014","Afra Tafri","","Post-production, (Releasing in 2014)"
"2014","Abhinay Chakra","Cop","Post-production, Also producer, (Releasing in 2014)"
"2014","Hero","","Filming, (Releasing on 12th December 2014)"
"2014","Banda Yeh Bindaas Hai","Pappu","Delayed"
"2014","Run Bhola Run","","Delayed"
"2015","Jagga Jasoos","Jagga's Step-Father","Filming (Releasing on 29 May 2015)"
"2015","The Bengali Detective","Detective","Directed By Mira Nair, (Filming starts from October 2014)"
