City	County	Population (2011)	Population (2002)	Altitude (m)	Year status\ngranted* or\nfirst attested†
Sânnicolau Mare	Timiș	12,312	13,007		1942*
Vălenii de Munte	Prahova	12,257	13,898		
Dărmănești	Bacău	12,247	14,232		1989*
Dăbuleni	Dolj	12,182	13,888		2004*
Comarnic	Prahova	11,970	13,532		1968*
Negrești-Oaș	Satu Mare	11,867	16,356		1965*
Rovinari	Gorj	11,816	12,603		1981*
Scornicești	Olt	11,766	13,751		1989*
Târgu Lăpuș	Maramureș	11,744	14,139		1968*
Săcueni	Bihor	11,526	11,665		2004*
Videle	Teleorman	11,508	12,498		
Sântana	Arad	11,428	12,936		2003*
Oravița	Caraș-Severin	11,382	15,222		
Târgu Ocna	Bacău	11,300	14,184		1774*
Călan	Hunedoara	11,279	14,714		1961*
Boldești-Scăeni	Prahova	11,137	11,505		
Măgurele	Ilfov	11,041	9,200		2005*
Hârlău	Iași	10,905	12,260		1968*
Drăgănești-Olt	Olt	10,894	13,181		
Jimbolia	Timiș	10,808	10,497		1950*
Mărășești	Vrancea	10,671	13,070		
Beiuș	Bihor	10,667	12,089		1451*
Beclean	Bistrița-Năsăud	10,628	12,033		1968*
Urlați	Prahova	10,541	11,858		
Oțelu Roșu	Caraș-Severin	10,510	13,128		1960*
Strehaia	Mehedinți	10,506	12,564		1921*
Târgu Frumos	Iași	10,475	13,763		
Orșova	Mehedinți	10,441	15,379		
Sinaia	Prahova	10,410	14,636		1880*
Jibou	Sălaj	10,407	12,283		1968*
Sovata	Mureș	10,385	12,219		1952*
Costești	Argeș	10,375	12,091		1968*
Ianca	Brăila	10,343	12,886		1989*
Lipova	Arad	10,313	11,491		1440*
Dolhasca	Suceava	10,298	11,009		2004*
Topoloveni	Argeș	10,219	10,329		1968*
Murfatlar	Constanța	10,216	10,857		1989*
Nehoiu	Buzău	10,211	12,650		1989*
Flămânzi	Botoșani	10,136	11,799		2004*
Covasna	Covasna	10,114	12,306		1952*
Aleșd	Bihor	10,066	10,852		1968*
Valea lui Mihai	Bihor	9,902	10,665		1844*/1930*/1989*
Darabani	Botoșani	9,893	12,002		1926*/1968*
Hațeg	Hunedoara	9,685	12,507		
Sângeorz-Băi	Bistrița-Năsăud	9,679	10,702		
Titu	Dâmbovița	9,658	10,711		1968*
Cristuru Secuiesc	Harghita	9,650	11,291		1956*
Hârșova	Constanța	9,642	11,198		
Liteni	Suceava	9,596	9,851		2004*
Năsăud	Bistrița-Năsăud	9,587	11,365		
Podu Iloaiei	Iași	9,573	9,739		2005*
Eforie	Constanța	9,473	9,294		
Odobești	Vrancea	9,364	8,000		
Huedin	Cluj	9,346	9,955		1961*
Ineu	Arad	9,260	10,416		1967*
Salcea	Suceava	9,015	8,719		2004*
Seini	Maramureș	8,987	9,439		1989*
Uricani	Hunedoara	8,972	12,177		1965*
Babadag	Tulcea	8,940	10,878		
Bumbești-Jiu	Gorj	8,932	11,882		1989*
Bușteni	Prahova	8,894	11,787		1946*
Agnita	Sibiu	8,732	12,115		1950*
Iernut	Mureș	8,705	9,833		1989*
Baraolt	Covasna	8,672	10,464		
Tășnad	Satu Mare	8,631	10,188		1968*
Roznov	Neamț	8,593	9,171		2003*
Băbeni	Vâlcea	8,451	9,475		2002*
Negrești	Vaslui	8,380	10,481		1968*
Recaș	Timiș	8,336	8,560		2004*
Măcin	Tulcea	8,245	11,803		
Târgu Cărbunești	Gorj	8,034	9,338		1968*
Chișineu-Criș	Arad	7,987	8,724		1968*
Siret	Suceava	7,976	10,003		
Mihăilești	Giurgiu	7,923	7,161		
Budești	Călărași	7,725	9,596		1989*
Plopeni	Prahova	7,718	10,083		1968*
Panciu	Vrancea	7,664	9,834		1956*
Călimănești	Vâlcea	7,622	8,923		1927*
Fieni	Dâmbovița	7,587	8,092		1968*
Șomcuta Mare	Maramureș	7,565	7,708		2004*
Întorsura Buzăului	Covasna	7,528	9,081		1968*
Zlatna	Alba	7,490	9,254		
Anina	Caraș-Severin	7,485	10,594		1952*
Curtici	Arad	7,453	9,762		1968*
Nădlac	Arad	7,398	8,422		1968*
Dumbrăveni	Sibiu	7,388	8,812		
Victoria	Brașov	7,386	9,059		1954*
Amara	Ialomița	7,345	7,627		2004*
Pătârlagele	Buzău	7,304	8,290		2004*
Techirghiol	Constanța	7,292	7,388		
Pogoanele	Buzău	7,275	7,614		1989*
Ulmeni	Maramureș	7,270	7,153		2004*
Câmpeni	Alba	7,221	8,587		1961*
Cehu Silvaniei	Sălaj	7,214	8,468		1968*
Tăuții-Măgherăuș	Maramureș	7,136	6,713		2004*
Murgeni	Vaslui	7,119	7,674		2003*
Tismana	Gorj	7,035	7,894		2004*
Buziaș	Timiș	7,023	8,128		1956*
Segarcea	Dolj	7,019	8,704		1968*
Săveni	Botoșani	6,999	8,685		1920*/1968*
Pâncota	Arad	6,946	7,418		1968*
Ungheni	Mureș	6,945	6,554		2004*
Sărmașu	Mureș	6,942	7,493		2003*
Răcari	Dâmbovița	6,930	6,892		2004*
Tălmaciu	Sibiu	6,905	9,147		1989*
Cajvana	Suceava	6,901	7,263		2004*
Vlăhița	Harghita	6,898	7,392		
Fundulea	Călărași	6,851	6,217		1989*
Livada	Satu Mare	6,773	7,004		2006*
Făget	Timiș	6,761	7,519		1994*
Teiuș	Alba	6,695	7,338		1994*
Bicaz	Neamț	6,543	8,911		1960*
Ștei	Bihor	6,529	9,466		1956*
Însurăței	Brăila	6,528	7,501		1989*
Lehliu Gară	Călărași	6,502	6,667		1989*
Târgu Bujor	Galați	6,299	8,044		1968*
Piatra-Olt	Olt	6,299	6,583		1989*
Horezu	Vâlcea	6,263	7,446		1968*
Deta	Timiș	6,260	6,423		1810*/1968*
Ardud	Satu Mare	6,231	6,486		2004*
Bălan	Harghita	6,115	9,295		1968*
Slănic	Prahova	6,034	7,249		1892*
Brezoi	Vâlcea	6,022	7,589		1968*
Sebiș	Arad	5,979	6,829		
Frasin	Suceava	5,876	6,532		2004*
Gătaia	Timiș	5,861	8,103		2004*
Potcoava	Olt	5,743	6,111		2004*
Miercurea Nirajului	Mureș	5,554	5,824		2003*
Broșteni	Suceava	5,506	6,603		2004*
Novaci	Gorj	5,431	6,151		1968*
Săliște	Sibiu	5,421	6,092		2003*
Copșa Mică	Sibiu	5,404	5,157		1961*
Băneasa	Constanța	5,384	5,538		2004*
Baia de Aramă	Mehedinți	5,349	5,724		1968*
Ciacova	Timiș	5,348	7,285		2004*
Ștefănești	Botoșani	5,314	5,628		2004*
Vânju Mare	Mehedinți	5,311	7,074		1968*
Geoagiu	Hunedoara	5,294	6,290		2000*
Rupea	Brașov	5,269	6,246		1951*
Sângeorgiu de Pădure	Mureș	5,166	5,492		2003*
Negru Vodă	Constanța	5,088	5,529		
Abrud	Alba	5,072	6,803		
Isaccea	Tulcea	5,026	5,374		
Băile Herculane	Caraș-Severin	5,008	6,051		
Milișăuți	Suceava	5,005	8,433		2004*
Cavnic	Maramureș	4,976	5,494		1968*
Fierbinți-Târg	Ialomița	4,969	5,253		2004*
Săliștea de Sus	Maramureș	4,893	5,196		1365†/2004*
Bălcești	Vâlcea	4,864	5,780		2002*
Berbești	Vâlcea	4,836	5,704		2003*
Predeal	Brașov	4,755	5,615	1030	1935*
Ghimbav	Brașov	4,698	5,112		2002*
Azuga	Prahova	4,440	6,119		1948*
Țicleni	Gorj	4,414	5,205		1968*
Aninoasa	Hunedoara	4,360	6,108		1989*
Bucecea	Botoșani	4,274	5,128		2004*
Slănic Moldova	Bacău	4,198	5,375		
Băile Olănești	Vâlcea	4,186	4,814		
Miercurea Sibiului	Sibiu	3,910	4,063		2004*
Sulina	Tulcea	3,663	5,140		
Bechet	Dolj	3,657	3,864		2004*
Făurei	Brăila	3,592	4,626		1968*
Ocna Sibiului	Sibiu	3,562	4,184		
Baia de Arieș	Alba	3,461	4,877		1998*
Ocnele Mari	Vâlcea	3,309	3,591		1960*
Căzănești	Ialomița	3,271	3,641		2004*
Dragomirești	Maramureș	3,213	3,132		2004*
Berești	Galați	2,916	3,926		1968*
Borsec	Harghita	2,585	3,109		1956*
Băile Govora	Vâlcea	2,449	3,147		1927*
Vașcău	Bihor	2,315	3,032		1956*
Solca	Suceava	2,188	4,687		1926*
Nucet	Bihor	2,165	2,851		1956*
Băile Tușnad	Harghita	1,641	1,802		1968*
