"Title","Artist","Year","Location/GPS Coordinates","Material","Dimensions","Owner"
"Pension Building Frieze","Caspar Buberl","1883","National Building Museum
38°53′52″N 77°1′03″W﻿ / ﻿38.89778°N 77.01750°W","Terra cotta","approx. H. 3 ft. D. 4 in. L. 1,200 ft.","National Building Museum"
"The Torch of Freedom","Felix de Weldon","1976","Constitution Ave. & 2nd St. at Maryland Ave., N.E. 38°53′32.95″N 77°0′59.16″W﻿ / ﻿38.8924861°N 77.0164333°W","Bronze, Granite & Marble","Sculpture: approx. H. 35 ft. W. 7 ft.; Base: approx. H. 1 in. W. 9 ft.",""
"The Evolution of Justice Doors","John James Donnelly","1935","United States Supreme Court Building","Bronze","Overall: approx. H. 17 ft. W. 9½ ft. (3,000 lbs.).","Architect of the Capitol"
"The Old Brick Capitol Plaque","","1950","United States Supreme Court Building","","","Architect of the Capitol"
"Justice, the Guardian of Liberty","Hermon Atkins MacNeil","1935","United States Supreme Court Building","Marble","approx. H. 18 ft. W. 60 ft.","Architect of the Capitol"
"Figure of Puck over Fountain and Pool","Brenda Putnam","1932","Folger Shakespeare Library","Marble","Sculpture: approx. H. 46 in. × W. 35 in.","Folger Shakespeare Library"
"Tragedy and Comedy","Paul Philippe Cret","1932","Folger Shakespeare Library","Marble","2 reliefs. Each: approx. H. 2 ft. W. 2 ft.","Folger Shakespeare Library"
"Scenes from Shakespeare","John Gregory","1932","Folger Shakespeare Library
38°53′21.7″N 77°0′11.42″W﻿ / ﻿38.889361°N 77.0031722°W","Marble","9 reliefs. Each: W. 72 in. × H. 62 in.","Folger Shakespeare Library"
"The Lone Sailor","Stanley Bleifeld","1986","United States Navy Memorial
38°53′39″N 77°1′23″W﻿ / ﻿38.89417°N 77.02306°W","Bronze & Granite","2 parts. Figure: approx. 7 ft. 1 in. × 32 in. × 27 in.; Base: approx. H. 2 in. W. 32 in.; Duffel bag: approx. 46 × 24 × 43 in.; Base: approx. 3 × 21 × 30 in.","United States Department of the Interior"
"United States Navy Memorial","","1987","United States Navy Memorial
38°53′39″N 77°1′23″W﻿ / ﻿38.89417°N 77.02306°W","Bronze & Granite","","United States Department of the Interior"
"Emancipation Memorial","Thomas Ball","1875","Lincoln Park
38°53′23″N 76°59′20″W﻿ / ﻿38.88972°N 76.98889°W","Bronze & Granite","Sculpture: approx. 9 × 6 × 4 ft.; Base: approx. 9 × 12 × 10 ft.","United States Department of the Interior"
"General Winfield Scott Hancock","Henry Jackson Ellicott","1896","7th St & Pennsylvania Ave.
38°53′37.46″N 77°1′20.12″W﻿ / ﻿38.8937389°N 77.0222556°W","Bronze & Granite","Sculpture: approx. H. 9 ft. W. 7 ft.; Upper base: approx. 4 ft.x 19 ft. 4 in. × 3 ft. 8 in. Diam . 25 ft.; Lower base: approx. W. 10 ft. L. 17 ft. D. 1 ft. 5 in.","United States Department of the Interior"
"Columbus Door","Randolph Rogers","1860","United States Capitol","Bronze","16 ft. 8 in. × 9 ft. 9 in.","United States Capitol"
"War and Peace","E. Luigi Persico, Paul Manship","1835, Replacement: 1960","United States Capitol","Marble","Sculptures: approx. H. 10 ft.; Base: approx. H. 4 ft. Diam. 45 in.","United States Capitol"
"James A. Garfield Monument","John Quincy Adams Ward","1887","United States Capitol
38°53′19″N 77°0′46″W﻿ / ﻿38.88861°N 77.01278°W","Bronze","Overall: approx. H. 25 ft.; Garfield: approx. H. 9 ft.; Seated figures on base: approx. H. 5 ft.","Architect of the Capitol"
"Eagles","Frederick Roth","1934","Interstate Commerce Commission","Limestone","","General Services Administration"
"Intercommunication Between Continents of America and Asia","Sidney Waugh","","Interstate Commerce Commission","Limestone","10 ft. × 45 ft.","General Services Administration"
"Security of the Mails","Joseph E. Renier","1934","Interstate Commerce Commission","Limestone","3½ ft.","General Services Administration"
"Spirit of Progress and Civilization Pediment","Adolph Weinman","1934","Interstate Commerce Commission, 13th St. Facade","Limestone","12 ft. × 67 ft.","General Services Administration"
"The Recorder of the Archives","James Earle Fraser","1935","National Archives and Records Administration, 7th & Pennsylvania Ave.","Limestone","H. 8 ft.","National Archives and Records Administration"
"Medallions on National Archives","James Earle Fraser, Robert Ingersoll Aitken & Ulysses Ricci","1934","National Archives and Records Administration, 7th & Pennsylvania Ave. 38°53′33.64″N 77°1′23.15″W﻿ / ﻿38.8926778°N 77.0230972°W","Indiana Limestone","13 medallions. Each medallion: Diam. 8 ft.","National Archives and Records Administration"
"Acroterion Eagles","James Earle Fraser, Robert Ingersoll Aitken & Ulysses Ricci","","National Archives and Records Administration","Limestone","","National Archives and Records Administration"
"John Philip Sousa Monument","Unknown","ca. 1933","Congressional Cemetery","","","Association for the Preservation of Historic Congressional Cemetery"
"Walter Jones Memorial","Unknown","","Congressional Cemetery","Marble","","Association for the Preservation of Historic Congressional Cemetery"
"General Alexander Macomb Monument","Unknown","1941","Congressional Cemetery – NE Section, Range 55, Site 147","Marble & Granite","Obelisk: approx. H. 78 in.; Shaft: approx. 22 × 40 × 40 in.; Base: approx. 14 × 42 × 42 in.","Association for the Preservation of Historic Congressional Cemetery"
"Taza (Burial Marker)","Doug Hyde","1971","Congressional Cemetery","Stone & Granite","Sculpture: approx. 1 ft. 6 in. × 1 ft. 6 in. × 8 in.; Base: approx. 4 in. × 2 ft. × 10 in.","Association for the Preservation of Historic Congressional Cemetery"
"Latrobe Cenotaphs","Benjamin Henry Latrobe","1816–1877","Congressional Cemetery","Sandstone","Over 100. Each: H. 4½ ft.","Association for the Preservation of Historic Congressional Cemetery"
"Lieutenant John T. McLaughlin Monument","Struthers & Company","1847","Congressional Cemetery – SE Section, Range 50, Site 253","Marble","","Association for the Preservation of Historic Congressional Cemetery"
"Arsenal Monument","Lot Flannery","1865","Congressional Cemetery – NW Section, Range 97, Section 142
38°52′53″N 76°58′50″W﻿ / ﻿38.88139°N 76.98056°W","Marble, Granite","Sculpture: 25 ft. × 5 ft. 6 in. × 5 ft. 6 in. Base: 1 ft. 1 in. × 6 ft. × 6 ft.","National Cemetery Administration"
"The Progress of Civilization","Thomas Crawford","1859","United States Capitol, Senate Wing","Marble","Pediment: L. 80 ft. × H. 12 ft.","Architect of the Capitol"
"General Casimir Pulaski","Kazimierz Chodziński","1910","Pennsylvania Ave & 13th St., N.W. 38°53′45.41″N 77°1′48.1″W﻿ / ﻿38.8959472°N 77.030028°W","Bronze","Sculpture: approx. H. 15 ft. W. 12 ft.; Base: approx. H. 12 ft. W. 15 ft.","United States Department of the Interior"
"Water","C. Paul Jennewein","1933","United States Department of Justice, 10th St. & Constitution Ave., N.W.","Marble","","Department of Justice"
"Fire","C. Paul Jennewein","1933","United States Department of Justice, 10th St. & Constitution Ave., N.W.","","","Department of Justice"
"Viking Ships Relief","C. Paul Jennewein","1932–1934","United States Department of Justice, 10th St. & Constitution Ave., N.W.","Limestone","","Department of Justice"
"Four Winds Reliefs","C. Paul Jennewein","1932–1934","United States Department of Justice, 10th St. & Constitution Ave., N.W.","Limestone","","Department of Justice"
"Law and Order Relief","C. Paul Jennewein","1935","United States Department of Justice, 10th St. & Constitution Ave., N.W.
38°53′45″N 77°1′48″W﻿ / ﻿38.89583°N 77.03000°W","Limestone","Relief: approx. H. 6 ft. W. 10 ft.","General Services Administration"
"Brigadier General Albert Pike","Gaetano Trentanove","Cast 1899","3rd & D St., N.W.","Bronze & Granite","Sculpture: approx. H. 11 ft.; Base: approx. W. 17 ft. 1 in. D. 17 ft. 2 in.","United States Department of the Interior"
"Captain Nathan Hale","Bela Lyon Pratt","Cast 1930","United States Department of Justice","Bronze & Granite","Sculpture: approx. 76 × 26 × 23 in.; Base: approx. 49¼ × 27 × 26½ in.","General Services Administration"
"Supreme Court Flagpole Bases","John Donnelly","1935","United States Capitol","Bronze & Marble","2 flagpole bases. Each flagpole base: approx. H. 9 ft. W. 6 ft.","Architect of the Capitol"
"Genius of America","Bruno Mankowski","1828","United States Capitol","Marble","Pediment: approx. W. 81 ft. 6 in.; Figures: approx. H. 9 ft.","Architect of the Capitol"
"Columbia Pediment","Edgar Walter","1935","United State Customs Building, 14th & Constitution, N.W. 38°53′32.18″N 77°1′55.21″W﻿ / ﻿38.8922722°N 77.0320028°W","Limestone","18 ft. 9 in. × 86 ft. 6 in.","General Services Administration"
"Commodore John Paul Jones","Charles Henry Niehaus","1912","West Potomac Park
38°53′18″N 77°2′22″W﻿ / ﻿38.88833°N 77.03944°W","Bronze","Sculpture: bronze; Base: granite or Vermont marble; Pylon: marble. Fountains: marble.","United States Department of the Interior"
"Drafting the Declaration of Independence","Adolph Weinman","1943","East Potomac Park 38°52′53.17″N 77°2′11.81″W﻿ / ﻿38.8814361°N 77.0366139°W","Marble","Pediment: approx. H. 10 ft. W. 65 ft.","National Park Service"
"Jefferson Memorial: Thomas Jefferson","Rudulph Evans","1943","East Potomac Park
38°52′53″N 77°2′12″W﻿ / ﻿38.88139°N 77.03667°W","Bronze","Sculpture: H. 19 ft.; Base: H. 6 ft.","National Park Service"
"The Progress of Railroading","Louis St. Gaudens","1908","Union Station","Granite","6 figures. Each figure: H. 18 ft.",""
"Columbus Statue","Lorado Taft","1912","Union Station","Marble","45 × 66 × 44 ft.; Shaft: H. 40 ft.; Basin: D. 64 ft.","United States Department of the Interior"
"Vaquero","Luis Jiménez","1990","Smithsonian American Art Museum","Acrylic urethane, fiberglass & steel armature","H. 16½ ft.","Smithsonian American Art Museum"
"Abundance and Industry","Sherry Edmundson Fry","1936","United States Customs Building","Limestone","11 ft. 3 in. × 26½ ft.","General Services Administration"
"Albert Gallatin","James Earle Fraser","1941","United States Treasury Department Office of the Curator, 15th St & Pennsylvania Ave, N.W.
38°53′54″N 77°2′04″W﻿ / ﻿38.89833°N 77.03444°W","Bronze","Sculpture: approx. H. 8 ft.; Base: approx. H. 4 ft.","United States Treasury Department"
"Trylon of Freedom","C. Paul Jennewein","1954","Federal District Court","Granite","H. 24 ft.","Federal District Court"
"Abraham Lincoln","Lot Flannery","1868","Supreme Court of the District of Columbia","Marble","Sculpture: approx. 7 ft. 3 in. × 2 ft. 9 in. × 2 ft. 5 in.; Base: approx. 6 ft. 4 in. × 7 ft. × 7 ft.","District of Columbia, Department of Administrative Services"
"Oscar Straus Memorial","Adolph Alexander Weinman","1947","Interior courtyard of Federal Triangle at 14th & Constitution Ave, N.W.
38°53′38″N 77°1′54″W﻿ / ﻿38.89389°N 77.03167°W","Bronze","5 ft. × 5 ft. 6 in. × 11 ft. 6 in.","General Services Administration"
"Sir William Blackstone","Paul Wayland Bartlett","ca. 1920","Constitution Ave. & 3rd St. N.W.
38°53′33″N 77°0′57″W﻿ / ﻿38.89250°N 77.01583°W","Gilded Bronze","Sculpture: approx. H. 9 ft.","United States Department of the Interior"
"Darlington Memorial Fountain: Nymph and Fawn","C. Paul Jennewein","1922","Judiciary Park at 5th & D St.
38°53′43″N 77°1′07″W﻿ / ﻿38.89528°N 77.01861°W","Gilded Bronze","Figure: approx. H. 5 × 3 × 3 ft.; Base: approx. H. 4 ft. × 3 ft. 6 in. × 3 ft.; Basin: approx. H. 1⅓ ft. × Diam. 18 ft.","District of Columbia"
"Benjamin Franklin","Jacques Jouvenal","1889","Old Post Office Pavilion
38°53′41″N 77°1′40″W﻿ / ﻿38.89472°N 77.02778°W","Carrara Marble","Sculpture: approx. H. 8 ft.; Base: approx. W. 5½ ft. × D. 5½ ft.","United States Department of the Interior"
"Mary McLeod Bethune Memorial","Robert Berks","1973","Lincoln Park
38°53′23″N 76°59′20″W﻿ / ﻿38.88972°N 76.98889°W","Bronze","Sculpture: approx. 10 × 15.5 × 9 ft.; Base: approx. 5 ft. 5 in. × 25 ft. × 20 ft.","United States Department of the Interior"
"Temperance Fountain","Henry D. Cogswell","1880","Pennsylvania Ave & 7th St, N.W.
38°52′37.7″N 77°1′18.1″W﻿ / ﻿38.877139°N 77.021694°W","Bronze or Zinc","Overall: approx. H. 14 ft.; Fish sculpture: approx. H. 4 ft. 8 in.; Figure base: approx. H. 3 ft. 7 in. Diam. 2 ft. 3 in.","United States Department of the Interior"
"Major General Nathanael Greene","Henry Kirke Brown","1877","Stanton Park
38°52′37″N 76°59′59″W﻿ / ﻿38.87694°N 76.99972°W","Bronze","Sculpture: approx. H. 11 ft. W. 15 ft.; Base: approx. 14 × 17 × 8 ft.","United States Department of the Interior"
"Elbridge Gerry Monument","John Frazee","1823","Congressional Cemetery, NE Section, Range 29, site 9–10
38°52′57″N 76°58′41″W﻿ / ﻿38.88250°N 76.97806°W","Marble","Sculpture: approx. 11 ft. × 4 ft. 10 in. × 4 ft. 10 in.; Base: approx. 10 in. × 6 ft. × 6 ft.","Association for the Preservation of Historic Congressional Cemetery"
"Department of Justice Pediment: Ars Boni and Ars Aequi","C. Paul Jennewein","1934","Robert F. Kennedy Department of Justice Building","Limestone","2 pediments. Each: L. 50 ft.","United States Department of Justice"
"Bureaus of the Department of Commerce","James Earle Fraser","1931","United States Department of Commerce 38°53′39.48″N 77°1′58.08″W﻿ / ﻿38.8943000°N 77.0328000°W","Limestone","8 reliefs. Each relief: approx. H. 5 ft. W. 3 ft.","General Services Administration"
"Alexander Robey Shepherd","Ulric Stonewall Jackson Dunbar","1905","John A. Wilson Building 38°53′43.36″N 77°1′53.74″W﻿ / ﻿38.8953778°N 77.0315944°W","Bronze","Sculpture: approx. H. 8 ft.; Base: approx. H. 7 ft. 6 in. W. 9 ft. 3 in.","District of Columbia"
"Apotheosis of Democracy","Paul Wayland Bartlett","1916","United States Capitol","Marble","Pediment: approx. L. 60 ft.","United States Capitol"
"Bartholdi Fountain","Frédéric Auguste Bartholdi","ca. 1876","United States Capitol","Cast iron","Fountain: approx. H. 30 ft.; Basin: approx. Diam. 35 ft. (15,000 lbs.).","United States Capitol"
"Revolutionary War Door","Thomas Crawford William Henry Reinhart","1904","United States Capitol","Bronze","H. 14 ft. 5 in.","United States Capitol"
"George Washington and the Revolutionary War Door","Thomas Crawford","1864–1868","United States Capitol","Bronze","H. 14 ft. 5 in.","United States Capitol"
"Statue of Freedom","Thomas Crawford","1860","United States Capitol dome
38°53′24″N 77°0′32.4″W﻿ / ﻿38.89000°N 77.009000°W","Bronze","H. 19 ft. 6 in. (14,985 lbs.).","United States Capitol"
"Greek Vases","W.H. Livingston, Sr.","1964","Rayburn House Office Building","Marble","8 vessels. Each: approx. 9 × 3½ × 9 ft.","Architect of the Capitol"
"Spirit of Justice","C. Paul Jennewein","1961","Rayburn House Office Building
38°53′14″N 77°0′39″W﻿ / ﻿38.88722°N 77.01083°W","Marble","Sculpture: approx. 8 × 4½ × 5½ ft.; Base: approx. 6 in. × 4½ ft. × 5½ ft.","United States Capitol"
"The Majesty of Law","C. Paul Jennewein","1961","Rayburn House Office Building
38°53′14″N 77°0′39″W﻿ / ﻿38.88722°N 77.01083°W","Marble","Sculpture: approx. 8 × 4½ × 5½ ft.; Base: approx. 6 in. × 4½ ft. × 5½ ft.","United States Capitol"
"The Authority of Law","James Earle Fraser","1935","United States Supreme Court
38°53′27″N 77°0′20″W﻿ / ﻿38.89083°N 77.00556°W","Marble","Sculpture: approx. 6 × 6 × 8 ft.; Base: approx. 15 × 10 × 12 ft. (45 tons).","United States Capitol"
"The Contemplation of Justice","James Earle Fraser","1935","United States Supreme Court
38°53′26″N 77°0′16″W﻿ / ﻿38.89056°N 77.00444°W","Marble","Sculpture: approx. 6 × 6 × 8 ft.; Base: approx. 15 × 10 × 12 ft. (45 tons).","United States Capitol"
"United States Supreme Court Justice Bust Collection","Various Artists","1844–Present","United States Supreme Court","Marble","H. 27 in.","United States Supreme Court"
"American Professional Workers and American Laborers","Joseph Kiselewski","1951","Government Accountability Office","","Each panel: 10 ft. 1 × 16 ft. × 2 ft. 1/2 in.","General Services Administration"
"Figure","Jacques Lipchitz","1930","Smithsonian Institution 38°53′20.74″N 77°1′22.84″W﻿ / ﻿38.8890944°N 77.0230111°W","Bronze","87½ × 38½ × 28½ in.","Library of Congress"
"Eminent Men of Letters","Frederick Ruckstull & Herbert Adams","1894–1895","Library of Congress","Granite","H. 3 ft.","Library of Congress"
"America Fostering the Arts and Industries and Atlantes","William Boyd","1897","Library of Congress","Granite","Male columns: H. 6 ft.","Library of Congress"
"Progress of Maritime Trade Facilities","William McVey","1937","Apex Building","Aluminum","4 sets of doors. Each: 12½ × 3¾ ft.","General Services Administration"
"American Eagle","Sidney Waugh","1938","Federal Trade Commission Building 38°53′34.24″N 77°1′17.98″W﻿ / ﻿38.8928444°N 77.0216611°W","Limestone","D. 5½ ft.","General Services Administration"
"Foreign and Domestic Commerce Pediment","Ulysses Ricci","1934","Herbert C. Hoover Building 38°53′39.48″N 77°1′58.08″W﻿ / ﻿38.8943000°N 77.0328000°W","Limestone","11 × 45 ft.","General Services Administration"
"Mining Pediment","Frederick Roth","1934","Herbert C. Hoover Building 38°53′39.48″N 77°1′58.08″W﻿ / ﻿38.8943000°N 77.0328000°W","Limestone","11 × 45 ft.","General Services Administration"
"Aeronautics Pediment","Haig Patigian","1934","Herbert C. Hoover Building 38°53′39.48″N 77°1′58.08″W﻿ / ﻿38.8943000°N 77.0328000°W","Limestone","11 × 45 ft.","General Services Administration"
"Fisheries Pediment","Joseph Kiselewski","1934","Herbert C. Hoover Building 38°53′39.48″N 77°1′58.08″W﻿ / ﻿38.8943000°N 77.0328000°W","Limestone","11 × 45 ft.","General Services Administration"
"Heritage","James Earle Fraser","1935","National Archives and Records Administration
38°53′32″N 77°1′24″W﻿ / ﻿38.89222°N 77.02333°W","Indiana Limestone","H. 8 ft.","National Archives and Records Administration"
"Guardianship","James Earle Fraser","1935","National Archives and Records Administration
38°53′34″N 77°1′23″W﻿ / ﻿38.89278°N 77.02306°W","Indiana Limestone","H. 8 ft.","National Archives and Records Administration"
"The Guardians of the Portal","Robert Ingersoll Aitken","1935","National Archives and Records Administration","Indiana Limestone","Two reliefs. Each relief: approx. H. 8 ft. × W. 5 ft.","National Archives and Records Administration"
"Destiny Pediment","Adolph Alexander Weinman","1935","National Archives and Records Administration 38°53′35.53″N 77°1′22.59″W﻿ / ﻿38.8932028°N 77.0229417°W","Indiana Limestone, Granite","L. 100 ft.","National Archives and Records Administration"
"Man Controlling Trade","Michael Lantz","1942","Federal Trade Commission Building 38°53′33.49″N 77°1′14.17″W﻿ / ﻿38.8926361°N 77.0206028°W","Limestone","2 pieces, each: 15 × 17 × 7 ft.","General Services Administration"
"Americans at Work, Past and Present","Various Artists","1938","Federal Trade Commission Building 38°53′32.67″N 77°1′14.94″W﻿ / ﻿38.8924083°N 77.0208167°W","Limestone","6¾ × 12½ ft.","General Services Administration"
"Primitive Means of the Transmission of Communication","Joseph E. Renier","1934","Interstate Commerce Commission","Limestone","H. 3½ ft.","General Services Administration"
"The Transmission of the Mail by Day and by Night","Adolph Weinman","1934","Interstate Commerce Commission","Limestone","H. 7 ft.","General Services Administration"
"Interstate Commerce Commission Pediments","Joseph Renier, Adolph Weinman, John Donnelly & George Snowden","1934","Interstate Commerce Commission","Limestone","3½ ft.","General Services Administration"
"Commerce and Communications","Wheeler Williams","1935","Interstate Commerce Commission","Indiana limestone","11 ft. 3in. × 39 ft. 9 in.","General Services Administration"
"Interstate Transportation","Edward McCartan","1935","Interstate Commerce Commission 38°53′37.24″N 77°1′42.5″W﻿ / ﻿38.8936778°N 77.028472°W","Indiana limestone","11 ft. 3 in. × 39 ft. 9 in.","General Services Administration"
"Eagle","Michael Lantz","1959","National Guard Association of the United States","Bronze","","National Guard Association of the United States"
"Acacia Griffins","Edmond Romulus Amateis","ca. 1936","Acacia Life Insurance Company
38°53′48″N 77°0′33″W﻿ / ﻿38.89667°N 77.00917°W","Limestone","2 griffins. Each griffin: approx. 5½ × 4½ × 9 ft.; Each base: approx. 58 × 61½ × 118 in.","Acacia Life Insurance Company"
