"Location","Region","Coordinates
(links to map & photo sources)","Population","Elevation"
"Bellavista","San Martín","7°03′22″S 76°35′28″W﻿ / ﻿7.05614°S 76.5911°W","15231","298"
"Bellavista","Cajamarca","5°39′51″S 78°40′38″W﻿ / ﻿5.66417°S 78.67722°W","6320","511"
"Bernal","Piura","5°27′S 80°45′W﻿ / ﻿5.45°S 80.75°W","5916","4"
"Buenos Aires","Piura","5°15′39″S 79°57′51″W﻿ / ﻿5.26083°S 79.96417°W","7932","146"
"Cahuanuyo","Cusco","14°20′28″S 71°28′10″W﻿ / ﻿14.34111°S 71.46944°W","3935","3982"
"Cajabamba","Cajamarca","7°37′00″S 78°03′00″W﻿ / ﻿7.61667°S 78.05°W","13486","3078"
"Cajamarca","Cajamarca","7°09′50″S 78°30′01″W﻿ / ﻿7.16378°S 78.50027°W","135000","2609"
"Cajaruro","Amazonas","5°44′11″S 78°25′32″W﻿ / ﻿5.73639°S 78.42556°W","7281","893"
"Calca","Cusco","13°20′00″S 71°57′00″W﻿ / ﻿13.33333°S 71.95°W","9179","3181"
"Caleta de Carquín","Lima","11°05′33″S 77°37′36″W﻿ / ﻿11.0925°S 77.62667°W","5514","16"
"Callanca","Cusco","14°10′46″S 71°08′25″W﻿ / ﻿14.17944°S 71.14028°W","4046","4281"
"Callao","Callao","12°04′00″S 77°09′00″W﻿ / ﻿12.06667°S 77.15°W","813264","1"
"Camaná","Arequipa","16°37′22″S 72°42′40″W﻿ / ﻿16.62278°S 72.71111°W","16434","52"
"Campoverde","Ucayali","8°28′31″S 74°48′21″W﻿ / ﻿8.47528°S 74.80583°W","8945","173"
"Candarave","Tacna","17°16′04″S 70°14′58″W﻿ / ﻿17.26778°S 70.24944°W","3415","3077"
"Carás","Ancash","9°02′48″S 77°48′41″W﻿ / ﻿9.04667°S 77.81139°W","10926","2441"
"Carhuamayo","Junín","10°55′00″S 76°02′00″W﻿ / ﻿10.91667°S 76.03333°W","9122","4000"
"Carhuaz","Ancash","9°16′55″S 77°38′41″W﻿ / ﻿9.28194°S 77.64472°W","5044","2864"
"Cascas","Cajamarca","7°29′00″S 78°49′00″W﻿ / ﻿7.48333°S 78.81667°W","4299","1562"
"Catacaos","Piura","5°16′00″S 80°41′00″W﻿ / ﻿5.26667°S 80.68333°W","57304","11"
"Ccaquiracunca","Cusco","14°16′43″S 71°26′58″W﻿ / ﻿14.27861°S 71.44944°W","4098","4233"
"Ccolo","Arequipa","15°30′21″S 71°29′30″W﻿ / ﻿15.50583°S 71.49167°W","3857","3803"
"Ccuntuma","Cusco","14°07′34″S 71°24′40″W﻿ / ﻿14.12611°S 71.41111°W","3511","3676"
"Celendín","Cajamarca","6°52′13″S 78°09′06″W﻿ / ﻿6.87028°S 78.15167°W","14660","2953"
"Cerro de Pasco","Pasco","10°41′00″S 76°16′00″W﻿ / ﻿10.68333°S 76.26667°W","78910","4363"
"Chachapoyas","Amazonas","6°13′54″S 77°52′09″W﻿ / ﻿6.23169°S 77.86903°W","20279","1851"
"Chancay","Lima","11°34′17″S 77°16′02″W﻿ / ﻿11.57139°S 77.26722°W","26958","77"
"Chaupimarca","Pasco","10°26′00″S 76°32′00″W﻿ / ﻿10.43333°S 76.53333°W","28666","3456"
"Chazuta","San Martín","6°34′27″S 76°08′12″W﻿ / ﻿6.57417°S 76.13667°W","8029","246"
"Checacupe","Cusco","14°01′37″S 71°27′10″W﻿ / ﻿14.02694°S 71.45278°W","3440","3716"
"Checca","Cusco","14°28′22″S 71°23′38″W﻿ / ﻿14.47278°S 71.39389°W","3810","3991"
"Chepén","La Libertad","7°13′00″S 79°27′00″W﻿ / ﻿7.21667°S 79.45°W","41992","77"
"Chicama","La Libertad","7°50′41″S 79°08′49″W﻿ / ﻿7.84472°S 79.14694°W","14915","160"
"Chiclayo","Lambayeque","6°46′25″S 79°50′30″W﻿ / ﻿6.77361°S 79.84167°W","577375","1"
"Chignayhua","Cusco","14°14′35″S 71°26′31″W﻿ / ﻿14.24306°S 71.44194°W","3912","3971"
"Chilca","Lima","12°31′16″S 76°44′14″W﻿ / ﻿12.52111°S 76.73722°W","12884","78"
"Chimbote","Ancash","9°05′07″S 78°34′42″W﻿ / ﻿9.08528°S 78.57833°W","316966","1"
"Chincha Alta","Ica","13°24′35″S 76°07′56″W﻿ / ﻿13.40985°S 76.13235°W","153076","98"
"Chipispaya","Tacna","17°29′50″S 70°12′58″W﻿ / ﻿17.49722°S 70.21611°W","1932","2066"
"Chivay","Arequipa","15°38′18″S 71°36′04″W﻿ / ﻿15.63833°S 71.60111°W","4543","3842"
"Chocope","La Libertad","7°47′29″S 79°13′18″W﻿ / ﻿7.79139°S 79.22167°W","32370","119"
"Chongoyape","Lambayeque","6°38′26″S 79°23′21″W﻿ / ﻿6.64056°S 79.38917°W","16061","53"
"Chosica","Lima","11°56′35″S 76°42′34″W﻿ / ﻿11.94306°S 76.70944°W","88606","923"
"Chota","Cajamarca","6°33′S 78°39′W﻿ / ﻿6.55°S 78.65°W","14240","2552"
"Chulucanas","Piura","5°05′33″S 80°09′45″W﻿ / ﻿5.0925°S 80.1625°W","68835","120"
"Chupaca","Junín","12°04′00″S 75°17′00″W﻿ / ﻿12.06667°S 75.28333°W","9877","3352"
"Chuquitira","Tacna","17°17′16″S 70°02′42″W﻿ / ﻿17.28778°S 70.045°W","4220","4514"
"Cocachacra","Arequipa","17°05′18″S 71°45′27″W﻿ / ﻿17.08833°S 71.7575°W","8799","119"
"Coishco","Ancash","9°01′23″S 78°36′56″W﻿ / ﻿9.02306°S 78.61556°W","15083","157"
"Combapata","Cusco","14°06′04″S 71°25′46″W﻿ / ﻿14.10111°S 71.42944°W","3472","3689"
"Concepción","Junín","11°55′05″S 75°18′42″W﻿ / ﻿11.91811°S 75.31173°W","11330","3965"
"Conchopata","Cusco","14°28′16″S 71°11′53″W﻿ / ﻿14.47111°S 71.19806°W","3977","3891"
"Contamana","Loreto","7°20′00″S 75°01′00″W﻿ / ﻿7.33333°S 75.01667°W","13885","157"
"Coracora","Ayacucho","15°02′00″S 73°47′00″W﻿ / ﻿15.03333°S 73.78333°W","7420","3359"
"Cullcuyre","Cusco","14°05′36″S 71°19′57″W﻿ / ﻿14.09333°S 71.3325°W","3593","3859"
"Cusco","Cusco","13°31′06″S 71°58′41″W﻿ / ﻿13.51833°S 71.97806°W","312140","3360"
"Desaguadero","Puno","16°33′56″S 69°02′30″W﻿ / ﻿16.56556°S 69.04167°W","5329","3674"
"El Alto","Piura","4°16′17″S 81°12′53″W﻿ / ﻿4.27139°S 81.21472°W","9303","209"
"Eten","Lambayeque","6°54′29″S 79°51′51″W﻿ / ﻿6.90806°S 79.86417°W","13693","9"
"Ferreñafe","Lambayeque","6°38′20″S 79°47′20″W﻿ / ﻿6.63889°S 79.78889°W","34357","127"
"Guadalupe","La Libertad","7°15′00″S 79°29′00″W﻿ / ﻿7.25°S 79.48333°W","25376","83"
"Hacienda Huancane","Puno","15°49′20″S 70°53′08″W﻿ / ﻿15.82222°S 70.88556°W","7831","4524"
"Huacho","Lima","11°06′24″S 77°36′18″W﻿ / ﻿11.10667°S 77.605°W","54545","61"
"Hualmay","Lima","11°05′47″S 77°36′50″W﻿ / ﻿11.09639°S 77.61389°W","26658","40"
"Huamachuco","La Libertad","7°48′00″S 78°04′00″W﻿ / ﻿7.8°S 78.06667°W","21768","3072"
"Huancabamba","Piura","5°14′19″S 79°27′02″W﻿ / ﻿5.23861°S 79.45056°W","8553","2112"
"Huancavelica","Huancavelica","12°46′00″S 74°59′00″W﻿ / ﻿12.76667°S 74.98333°W","41576","3981"
"Huancayo","Junín","12°04′00″S 75°14′00″W﻿ / ﻿12.06667°S 75.23333°W","376657","3496"
"Huanta","Ayacucho","12°56′00″S 74°15′00″W﻿ / ﻿12.93333°S 74.25°W","18627","2943"
"Huánuco","Huanuco","9°55′58″S 76°14′30″W﻿ / ﻿9.9329°S 76.24153°W","147959","1795"
"Huaral","Lima","11°29′42″S 77°12′28″W﻿ / ﻿11.495°S 77.20778°W","62174","221"
"Huarancante","Arequipa","15°46′05″S 71°27′35″W﻿ / ﻿15.76806°S 71.45972°W","4638","4571"
"Huaraz","Ancash","9°32′00″S 77°32′00″W﻿ / ﻿9.53333°S 77.53333°W","86934","2829"
"Huarichancara","Arequipa","15°38′23″S 71°03′40″W﻿ / ﻿15.63972°S 71.06111°W","4445","4264"
"Huarmey","Ancash","10°04′05″S 78°09′08″W﻿ / ﻿10.06806°S 78.15222°W","16172","105"
"Huasahuasi","Junín","11°19′00″S 75°37′00″W﻿ / ﻿11.31667°S 75.61667°W","5146","2447"
"Huaura","Lima","11°04′12″S 77°35′58″W﻿ / ﻿11.07°S 77.59944°W","20723","42"
"Huayna Alcalde","Cusco","14°15′55″S 71°04′54″W﻿ / ﻿14.26528°S 71.08167°W","4298","4267"
"Huayucachi","Junín","12°08′00″S 75°14′00″W﻿ / ﻿12.13333°S 75.23333°W","5827","3121"
"Huicungo","San Martín","7°17′00″S 76°48′00″W﻿ / ﻿7.28333°S 76.8°W","6757","345"
"Iberia","Madre de Dios","11°21′00″S 69°35′00″W﻿ / ﻿11.35°S 69.58333°W","4386","236"
"Ica","Ica","14°03′55″S 75°43′51″W﻿ / ﻿14.06528°S 75.73083°W","246844","423"
"Ilabaya","Tacna","17°25′15″S 70°30′48″W﻿ / ﻿17.42083°S 70.51333°W","9492","1482"
"Ilave","Puno","16°05′00″S 69°40′00″W﻿ / ﻿16.08333°S 69.66667°W","16033","3844"
"Ilo","Moquegua","17°38′22″S 71°20′15″W﻿ / ﻿17.63944°S 71.3375°W","53476","117"
"Imperial","Lima","13°03′33″S 76°21′10″W﻿ / ﻿13.05927°S 76.35269°W","32344","100"
"Independencia","Lima","11°59′24″S 77°02′45″W﻿ / ﻿11.99°S 77.04583°W","3987","390"
"Iquitos","Loreto","3°44′53″S 73°14′50″W﻿ / ﻿3.74806°S 73.24722°W","437620","107"
"Jaén","Cajamarca","5°42′29″S 78°48′17″W﻿ / ﻿5.70806°S 78.80472°W","52493","840"
"Jatun Orcochiri","Arequipa","15°45′00″S 71°20′48″W﻿ / ﻿15.75°S 71.34667°W","4358","4258"
"Jauja","Junín","11°46′33″S 75°29′48″W﻿ / ﻿11.77584°S 75.49656°W","21057","3769"
"Jayanca","Lambayeque","6°23′27″S 79°49′19″W﻿ / ﻿6.39083°S 79.82194°W","6126","116"
"Jayobamba","Cusco","14°05′39″S 71°20′19″W﻿ / ﻿14.09417°S 71.33861°W","3593","3687"
"Jayune","Arequipa","15°33′48″S 71°18′11″W﻿ / ﻿15.56333°S 71.30306°W","4256","4459"
"Jepelacio","San Martín","6°07′00″S 76°57′00″W﻿ / ﻿6.11667°S 76.95°W","7150","852"
"Juanjuí","San Martín","7°10′40″S 76°43′53″W﻿ / ﻿7.17785°S 76.73135°W","37715","303"
"Juli","Puno","16°13′00″S 69°27′00″W﻿ / ﻿16.21667°S 69.45°W","7309","4102"
"Juliaca","Puno","15°30′00″S 70°08′00″W﻿ / ﻿15.5°S 70.13333°W","245675","3894"
"Junín","Junín","11°09′32″S 75°59′35″W﻿ / ﻿11.15889°S 75.99306°W","15320","3999"
"La Breita","Piura","4°15′39″S 80°53′15″W﻿ / ﻿4.26083°S 80.8875°W","17693","291"
"La Huaca","Piura","4°54′42″S 80°57′36″W﻿ / ﻿4.91167°S 80.96°W","8468","24"
"La Oroya","Junín","11°31′08″S 75°53′58″W﻿ / ﻿11.51893°S 75.89935°W","33345","4000"
"La Peca","Amazonas","5°36′40″S 78°26′06″W﻿ / ﻿5.61111°S 78.435°W","27045","1143"
"La Rinconada","Puno","14°37′53″S 69°26′47″W﻿ / ﻿14.63126°S 69.44638°W","29678","5050"
"La Unión","Huanuco","9°49′45″S 76°48′06″W﻿ / ﻿9.82907°S 76.8018°W","4788","4007"
"La Unión","Piura","5°24′S 80°45′W﻿ / ﻿5.4°S 80.75°W","34834","6"
"Lagunas","Loreto","5°13′37″S 75°40′31″W﻿ / ﻿5.22694°S 75.67528°W","9197","149"
"Lamas","San Martín","6°25′00″S 76°32′00″W﻿ / ﻿6.41667°S 76.53333°W","13693","764"
"Lambayeque","Lambayeque","6°42′04″S 79°54′22″W﻿ / ﻿6.70111°S 79.90611°W","43710","2"
"Lampa","Puno","15°21′00″S 70°22′00″W﻿ / ﻿15.35°S 70.36667°W","4780","3927"
"Langui","Cusco","14°25′55″S 71°16′23″W﻿ / ﻿14.43194°S 71.27306°W","3969","3908"
"Laredo","La Libertad","8°05′23″S 78°57′37″W﻿ / ﻿8.08965°S 78.9602°W","24691","74"
"Las Lomas","Piura","4°39′12″S 80°14′48″W﻿ / ﻿4.65333°S 80.24667°W","9450","250"
"Layo","Cusco","14°29′37″S 71°09′18″W﻿ / ﻿14.49361°S 71.155°W","3978","3939"
"Lima","N/A (Lima Province)","12°02′35″S 77°01′42″W﻿ / ﻿12.04318°S 77.02824°W","7737002","181"
"Lima Pampa","Cusco","14°05′19″S 71°20′14″W﻿ / ﻿14.08861°S 71.33722°W","3569","3812"
"Llata","Huanuco","9°25′00″S 76°47′00″W﻿ / ﻿9.41667°S 76.78333°W","4585","2999"
"Llongasora","Arequipa","15°38′21″S 71°17′59″W﻿ / ﻿15.63917°S 71.29972°W","4753","4568"
"Lluta","Arequipa","16°00′53″S 72°00′51″W﻿ / ﻿16.01472°S 72.01417°W","5998","2990"
"Los Aquijes","Ica","14°05′48″S 75°41′27″W﻿ / ﻿14.09667°S 75.69083°W","7848","457"
"Macusani","Puno","14°05′00″S 70°26′00″W﻿ / ﻿14.08333°S 70.43333°W","6044","4058"
"Mala","Lima","12°39′29″S 76°37′51″W﻿ / ﻿12.65806°S 76.63083°W","17260","130"
"Máncora","Piura","4°06′28″S 81°02′51″W﻿ / ﻿4.10778°S 81.0475°W","9101","26"
"Maranganí","Cusco","14°21′28″S 71°10′07″W﻿ / ﻿14.35778°S 71.16861°W","3709","3965"
"Marcavelica","Piura","4°52′40″S 80°42′19″W﻿ / ﻿4.87778°S 80.70528°W","25645","65"
"Matucana","Lima","11°51′S 76°24′W﻿ / ﻿11.85°S 76.4°W","4517","2801"
"Mazamari","Junín","11°19′33″S 74°31′51″W﻿ / ﻿11.32583°S 74.53083°W","6826","805"
"Minas de Marcona","Ica","15°12′43″S 75°06′37″W﻿ / ﻿15.21194°S 75.11028°W","15478","789"
"Moche","La Libertad","8°10′16″S 79°00′33″W﻿ / ﻿8.17111°S 79.00917°W","22581","109"
"Mochumí","Lambayeque","6°32′49″S 79°51′47″W﻿ / ﻿6.54694°S 79.86306°W","7460","151"
"Mollendo","Arequipa","17°01′23″S 72°00′53″W﻿ / ﻿17.02306°S 72.01472°W","28953","1"
"Monsefú","Lambayeque","6°52′41″S 79°52′20″W﻿ / ﻿6.87806°S 79.87222°W","25707","1"
"Moquegua","Moquegua","17°11′44″S 70°56′07″W﻿ / ﻿17.19556°S 70.93528°W","54517","1481"
"Morococha","Junín","11°35′59″S 76°08′28″W﻿ / ﻿11.59972°S 76.14111°W","7890","4123"
"Mórrope","Lambayeque","6°32′30″S 80°00′40″W﻿ / ﻿6.54167°S 80.01111°W","6662","116"
"Morropón","Piura","5°10′56″S 79°58′08″W﻿ / ﻿5.18222°S 79.96889°W","12307","161"
"Mosoc Cancha","Cusco","14°17′04″S 71°04′21″W﻿ / ﻿14.28444°S 71.0725°W","4450","4465"
"Mosoc Llacta","Cusco","14°07′12″S 71°28′22″W﻿ / ﻿14.12°S 71.47278°W","3802","3802"
"Motupe","Lambayeque","6°09′07″S 79°42′51″W﻿ / ﻿6.15194°S 79.71417°W","13681","168"
"Moyobamba","San Martín","6°03′00″S 76°58′00″W﻿ / ﻿6.05°S 76.96667°W","44276","760"
"Nazca","Ica","14°50′00″S 74°57′00″W﻿ / ﻿14.83333°S 74.95°W","23556","595"
"Nicolas de Pierola","Lima","11°57′S 76°42′W﻿ / ﻿11.95°S 76.7°W","5800","1324"
"Nuevo Imperial","Lima","13°04′31″S 76°19′02″W﻿ / ﻿13.07541°S 76.31719°W","32344","160"
"Ñuñoa","Puno","14°28′48″S 70°38′28″W﻿ / ﻿14.48°S 70.64111°W","4271","4181"
"Ollantaytambo","Cusco","13°15′26″S 72°15′47″W﻿ / ﻿13.25722°S 72.26306°W","2000","3065"
"Olmos","Lambayeque","5°59′05″S 79°44′43″W﻿ / ﻿5.98472°S 79.74528°W","9800","230"
"Orcopampa","Arequipa","15°15′58″S 72°20′30″W﻿ / ﻿15.26611°S 72.34167°W","5643","3898"
"Orcotuna","Junín","11°58′00″S 75°20′00″W﻿ / ﻿11.96667°S 75.33333°W","4199","4022"
"Oropesa","Cusco","13°35′34″S 71°46′19″W﻿ / ﻿13.59278°S 71.77194°W","4022","3277"
"Otuzco","La Libertad","7°54′00″S 78°35′00″W﻿ / ﻿7.9°S 78.58333°W","10134","2692"
"Oxapampa","Pasco","10°34′39″S 75°24′06″W﻿ / ﻿10.5775°S 75.40167°W","7743","3058"
"Oyón","Lima","10°40′05″S 76°46′23″W﻿ / ﻿10.66806°S 76.77306°W","6276","3553"
"Oyotún","Lambayeque","6°51′07″S 79°18′13″W﻿ / ﻿6.85194°S 79.30361°W","6330","300"
"Pacanga","La Libertad","7°10′00″S 79°30′00″W﻿ / ﻿7.16667°S 79.5°W","8750","48"
"Pacasmayo","La Libertad","7°24′02″S 79°34′17″W﻿ / ﻿7.40056°S 79.57139°W","29165","3"
"Pacocha","Moquegua","17°35′00″S 71°20′00″W﻿ / ﻿17.58333°S 71.33333°W","7588","230"
"Paiján","La Libertad","7°44′00″S 79°18′08″W﻿ / ﻿7.73333°S 79.30222°W","21128","117"
"Paita","Piura","5°05′21″S 81°06′52″W﻿ / ﻿5.08917°S 81.11444°W","56151","1"
"Palpa","Ica","14°32′01″S 75°11′08″W﻿ / ﻿14.53361°S 75.18556°W","5883","404"
"Pampamarca","Cusco","14°08′47″S 71°27′34″W﻿ / ﻿14.14639°S 71.45944°W","3811","3959"
"Pampas","Huancavelica","12°24′S 74°54′W﻿ / ﻿12.4°S 74.9°W","5521","3967"
"Pangoa","Cusco","12°07′00″S 73°00′00″W﻿ / ﻿12.11667°S 73°W","6638","901"
"Papayal","Tumbes","4°04′34″S 80°44′10″W﻿ / ﻿4.07611°S 80.73611°W","5484","296"
"Paracas","Ica","13°52′00″S 76°16′00″W﻿ / ﻿13.86667°S 76.26667°W","1196","3"
"Paramonga","Lima","10°40′00″S 77°50′00″W﻿ / ﻿10.66667°S 77.83333°W","27631","41"
"Pativilca","Lima","10°42′00″S 77°47′00″W﻿ / ﻿10.7°S 77.78333°W","13583","106"
"Perené","Junín","10°56′57″S 75°13′34″W﻿ / ﻿10.94917°S 75.22611°W","6844","665"
"Picota","San Martín","6°55′11″S 76°19′49″W﻿ / ﻿6.91969°S 76.33037°W","6697","273"
"Picsi","Lambayeque","6°43′04″S 79°46′11″W﻿ / ﻿6.71778°S 79.76972°W","4966","60"
"Pilcomay","Junín","12°03′00″S 75°16′00″W﻿ / ﻿12.05°S 75.26667°W","8169","3450"
"Pimentel","Lambayeque","6°50′12″S 79°56′03″W﻿ / ﻿6.83667°S 79.93417°W","15552","1"
"Pisac","Cusco","13°25′21″S 71°50′48″W﻿ / ﻿13.4225°S 71.84667°W","2000","3216"
"Pisco","Ica","13°42′00″S 76°13′00″W﻿ / ﻿13.7°S 76.21667°W","61869","3"
"Piura","Piura","5°12′00″S 80°38′00″W﻿ / ﻿5.2°S 80.63333°W","325466","25"
"Pomabamba","Ancash","8°50′00″S 77°28′00″W﻿ / ﻿8.83333°S 77.46667°W","4453","3352"
"Pucallpa","Ucayali","8°22′45″S 74°33′14″W﻿ / ﻿8.37915°S 74.55387°W","310750","158"
"Pucara","Arequipa","15°58′49″S 71°27′38″W﻿ / ﻿15.98028°S 71.46056°W","4335","4473"
"Pueblo Nuevo","La Libertad","7°11′17″S 79°30′55″W﻿ / ﻿7.18806°S 79.51528°W","5766","1"
"Pueblo Nuevo","Lambayeque","5°43′00″S 79°53′00″W﻿ / ﻿5.71667°S 79.88333°W","12471","168"
"Puerto Maldonado","Madre de Dios","12°36′00″S 69°11′00″W﻿ / ﻿12.6°S 69.18333°W","37543","193"
"Puerto Santa","Ancash","8°59′26″S 78°38′44″W﻿ / ﻿8.99056°S 78.64556°W","14066","2"
"Puerto Supe","Lima","10°49′00″S 77°45′00″W﻿ / ﻿10.81667°S 77.75°W","11450","63"
"Pujocucho","Tacna","17°09′28″S 70°21′08″W﻿ / ﻿17.15778°S 70.35222°W","4120","3955"
"Puno","Puno","15°50′00″S 70°02′00″W﻿ / ﻿15.83333°S 70.03333°W","116552","3792"
"Punta de Bombón","Arequipa","17°10′18″S 71°47′35″W﻿ / ﻿17.17167°S 71.79306°W","6336","25"
"Puquio","Ayacucho","14°42′00″S 74°08′00″W﻿ / ﻿14.7°S 74.13333°W","10491","3107"
"Putina","Puno","15°28′00″S 69°26′00″W﻿ / ﻿15.46667°S 69.43333°W","8118","3926"
"Qquea","Cusco","14°03′15″S 71°23′09″W﻿ / ﻿14.05417°S 71.38583°W","3482","4209"
"Querecotillo","Piura","4°50′16″S 80°38′44″W﻿ / ﻿4.83778°S 80.64556°W","25396","76"
"Queromarca","Cusco","14°10′57″S 71°23′04″W﻿ / ﻿14.1825°S 71.38444°W","3496","3557"
"Quilahuani","Tacna","17°19′04″S 70°15′29″W﻿ / ﻿17.31778°S 70.25806°W","3176","2820"
"Quilmaná","Lima","12°57′00″S 76°23′00″W﻿ / ﻿12.95°S 76.38333°W","6442","210"
"Quiruvilca","La Libertad","7°58′00″S 78°12′00″W﻿ / ﻿7.96667°S 78.2°W","9226","3940"
"Ramón Castilla","Loreto","4°15′25″S 69°57′34″W﻿ / ﻿4.25694°S 69.95944°W","5495","84"
"Reque","Lambayeque","6°51′56″S 79°49′04″W﻿ / ﻿6.86556°S 79.81778°W","9808","28"
"Ricardo Palma","Lima","11°55′05″S 76°39′59″W﻿ / ﻿11.91806°S 76.66639°W","4842","1248"
"Río Grande","Ica","14°31′11″S 75°12′05″W﻿ / ﻿14.51972°S 75.20139°W","4689","368"
"Rioja","San Martín","6°03′31″S 77°09′54″W﻿ / ﻿6.05861°S 77.165°W","25057","789"
"Salaverry","La Libertad","8°14′00″S 78°58′00″W﻿ / ﻿8.23333°S 78.96667°W","10066","70"
"Salinera Colán","Piura","5°02′00″S 81°04′00″W﻿ / ﻿5.03333°S 81.06667°W","14210","1"
"Salitral","Piura","4°51′26″S 80°40′52″W﻿ / ﻿4.85722°S 80.68111°W","5385","71"
"San Agustin","Junín","11°59′32″S 75°14′43″W﻿ / ﻿11.99219°S 75.24528°W","5998","3964"
"San Bartolo","Lima","12°23′00″S 76°47′00″W﻿ / ﻿12.38333°S 76.78333°W","5733","72"
"San Clemente","Ica","13°40′00″S 76°09′00″W﻿ / ﻿13.66667°S 76.15°W","15815","72"
"San Ignacio","Cajamarca","5°08′45″S 79°00′05″W﻿ / ﻿5.14583°S 79.00139°W","7912","1258"
"San Isidro","Lima","12°07′00″S 77°03′00″W﻿ / ﻿12.11667°S 77.05°W","68309","32"
"San Jerónimo","Apurímac","13°39′01″S 73°21′54″W﻿ / ﻿13.65028°S 73.365°W","5609","3017"
"San Jerónimo","Junín","11°56′50″S 75°16′59″W﻿ / ﻿11.94717°S 75.28293°W","8772","4005"
"San José","Lambayeque","6°44′33″S 79°49′45″W﻿ / ﻿6.7425°S 79.82917°W","7434","1"
"San José de Sisa","San Martín","6°37′00″S 76°41′29″W﻿ / ﻿6.61674°S 76.69146°W","9477","536"
"San Juan Bautista","Ica","14°00′39″S 75°44′09″W﻿ / ﻿14.01083°S 75.73583°W","6871","420"
"San Luis","Lima","12°04′00″S 77°00′00″W﻿ / ﻿12.06667°S 77°W","8862","220"
"San Miguel","Ayacucho","13°00′45″S 73°58′51″W﻿ / ﻿13.0125°S 73.98083°W","6303","2717"
"San Miguel de Cauri","Huanuco","10°06′00″S 76°35′00″W﻿ / ﻿10.1°S 76.58333°W","5326","4064"
"San Pablo","Cusco","14°12′10″S 71°18′56″W﻿ / ﻿14.20278°S 71.31556°W","3486","3618"
"San Pedro De Cachora","Apurímac","13°38′00″S 72°53′00″W﻿ / ﻿13.63333°S 72.88333°W","","2772"
"San Pedro de Cajas","Junín","11°15′04″S 75°51′42″W﻿ / ﻿11.25111°S 75.86167°W","5758","3995"
"San Pedro de Lloc","La Libertad","7°25′58″S 79°30′21″W﻿ / ﻿7.43278°S 79.50583°W","16250","1"
"San Ramón","Junín","11°07′17″S 75°21′11″W﻿ / ﻿11.12139°S 75.35306°W","14708","776"
"San Vicente de Cañete","Lima","13°04′30″S 76°23′01″W﻿ / ﻿13.07512°S 76.38352°W","25517","51"
"Santa Ana","Cusco","12°52′00″S 72°43′00″W﻿ / ﻿12.86667°S 72.71667°W","25145","857"
"Santa Eulalia","Lima","11°51′00″S 76°41′00″W﻿ / ﻿11.85°S 76.68333°W","6406","1990"
"Santa Lucía","Puno","15°42′00″S 70°36′19″W﻿ / ﻿15.7°S 70.60528°W","4320","4113"
"Santa Maria","Lima","12°00′S 76°54′W﻿ / ﻿12°S 76.9°W","14853","552"
"Santa Rosa","Lambayeque","6°46′00″S 79°50′00″W﻿ / ﻿6.76667°S 79.83333°W","10625","1"
"Santiago","Ica","14°11′19″S 75°42′51″W﻿ / ﻿14.18861°S 75.71417°W","10449","429"
"Santiago de Cao","La Libertad","7°57′32″S 79°14′21″W﻿ / ﻿7.95889°S 79.23917°W","21982","1"
