Outcome	No.	Date	Tournament	Surface	Partner	Opponents in the final	Score in the final
Winner	17.	25 October 1981	Brighton	Carpet	Barbara Potter	Mima Jaušovec\n Pam Shriver	6–7, 6–3, 6–4
Runner-up	18.	1 November 1981	Filderstadt	Hard (i)	Barbara Potter	Mima Jaušovec\n Martina Navratilova	4–6, 1–6
Runner-up	19.	29 November 1981	Sydney	Grass	Kathy Jordan	Martina Navratilova\n Pam Shriver	7–6, 2–6, 4–6
Winner	18.	5 December 1981	Australian Open	Grass	Kathy Jordan	Martina Navratilova\n Pam Shriver	6–2, 7–5
Winner	19.	10 January 1982	Washington, D.C.	Carpet	Kathy Jordan	Martina Navratilova\n Pam Shriver	6–2, 3–6, 6–1
Runner-up	20.	17 January 1982	Cincinnati	Carpet	Pam Shriver	Sue Barker\n Ann Kiyomura	2–6, 6–7
Runner-up	21.	24 January 1982	Seattle	Carpet	Kathy Jordan	Rosemary Casals\n Wendy Turnbull	5–7, 4–6
Runner-up	22.	14 February 1982	Kansas City	Carpet	Mary Lou Piatek	Barbara Potter\n Sharon Walsh	6–4, 2–6, 2–6
Winner	20.	7 March 1982	Los Angeles	Carpet	Kathy Jordan	Barbara Potter\n Sharon Walsh	6–3, 7–5
Winner	21.	20 March 1982	Boston	Carpet	Kathy Jordan	Rosemary Casals\n Wendy Turnbull	7–6, 2–6, 6–4
Runner-up	23.	28 March 1982	New York City	Carpet	Kathy Jordan	Martina Navratilova\n Pam Shriver	4–6, 3–6
Runner-up	24.	18 April 1982	Fort Worth	Clay	Kathy Jordan	Martina Navratilova\n Pam Shriver	5–7, 3–6
Runner-up	25.	2 May 1982	Orlando	Clay	Kathy Jordan	Rosemary Casals\n Wendy Turnbull	3–6, 3–6
Winner	22.	5 June 1982	French Open	Clay	Martina Navratilova	Rosemary Casals\n Wendy Turnbull	6–3, 6–4
Runner-up	26.	20 June 1982	Eastbourne	Grass	Kathy Jordan	Martina Navratilova\n Pam Shriver	3–6, 4–6
Runner-up	27.	3 July 1982	Wimbledon	Grass	Kathy Jordan	Martina Navratilova\n Pam Shriver	4–6, 1–6
Runner-up	28.	24 October 1982	Filderstadt	Hard (i)	Candy Reynolds	Martina Navratilova\n Pam Shriver	2–6, 3–6
Winner	23.	21 November 1982	Brisbane	Grass	Billie Jean King	Claudia Kohde-Kilsch\n Eva Pfaff	6–3, 6–4
Runner-up	29.	10 January 1983	Washington, D.C.	Carpet	Kathy Jordan	Martina Navratilova\n Pam Shriver	6–4, 5–7, 3–6
Runner-up	30.	20 February 1983	Chicago	Carpet	Kathy Jordan	Martina Navratilova\n Pam Shriver	1–6, 2–6
Runner-up	31.	20 March 1983	Boston	Carpet	Kathy Jordan	Jo Durie\n Ann Kiyomura	3–6, 1–6
Runner-up	32.	3 April 1983	Tokyo	Carpet	Kathy Jordan	Billie Jean King\n Sharon Walsh	1–6, 1–6
Winner	24.	24 April 1983	Orlando	Clay	Billie Jean King	Martina Navratilova\n Pam Shriver	6–3, 1–6, 7–6
Runner-up	33.	4 June 1983	French Open	Clay	Kathy Jordan	Rosalyn Fairbank\n Candy Reynolds	7–5, 5–7, 2–6
Winner	25.	22 April 1984	Amelia Island	Clay	Kathy Jordan	Anne Hobbs\n Mima Jaušovec	6–4, 3–6, 6–4
Runner-up	34.	7 July 1984	Wimbledon	Grass	Kathy Jordan	Martina Navratilova\n Pam Shriver	3–6, 4–6
Winner	26.	31 March 1985	Palm Beach Gardens	Clay	Joanne Russell	Laura Arraya\n Gabriela Sabatini	1–6, 6–1, 7–6(4)
Runner-up	35.	26 January 1986	Wichita	Carpet	Joanne Russell	Kathy Jordan\n Candy Reynolds	3–6, 7–6(5), 3–6
Winner	27.	9 March 1986	Hershey	Carpet	Candy Reynolds	Sandy Collins\n Kim Sands	7–6(8), 6–1
Winner	28.	5 October 1986	New Orleans	Carpet	Candy Reynolds	Svetlana Parkhomenko\n Larisa Savchenko	6–3, 3–6, 6–3
Runner-up	36.	2 November 1986	Indianapolis	Hard (i)	Candy Reynolds	Zina Garrison\n Lori McNeil	5–4 ret.
Winner	29.	18 February 1990	Chicago	Carpet	Martina Navratilova	Arantxa Sánchez Vicario\n Nathalie Tauziat	6–7(9), 6–4, 6–3
Runner-up	37.	22 July 1990	Newport	Grass	Patty Fendick	Lise Gregory\n Gretchen Magers	6–7(7), 1–6
Winner	30.	12 August 1990	Albuquerque	Hard	Meredith McGrath	Mareen Louie-Harper\n Wendy White	7–6(2), 6–4
Winner	31.	4 November 1990	Oakland	Carpet	Meredith McGrath	Rosalyn Fairbank\n Robin White	2–6, 6–0, 6–4
Winner	32.	24 February 1991	Oklahoma City	Hard (i)	Meredith McGrath	Katrina Adams\n Jill Hetherington	6–2, 6–4
