"Event","Record","Athlete","Date","Meet","Place"
"Decathlon","10.2 (+0.1 m/s) (100 m), 7.72 m (+1.3 m/s) (long jump), 12.55 m (shot put), 1.74 m (high jump), 46.33 (400 m) /
15.73 (0.0 m/s) (110 m hurdles), 38.32 m (discus), 4.40 m (pole vault), 57.28 m (javelin), 4:52.35 (1500 m)","10.2 (+0.1 m/s) (100 m), 7.72 m (+1.3 m/s) (long jump), 12.55 m (shot put), 1.74 m (high jump), 46.33 (400 m) /
15.73 (0.0 m/s) (110 m hurdles), 38.32 m (discus), 4.40 m (pole vault), 57.28 m (javelin), 4:52.35 (1500 m)","10.2 (+0.1 m/s) (100 m), 7.72 m (+1.3 m/s) (long jump), 12.55 m (shot put), 1.74 m (high jump), 46.33 (400 m) /
15.73 (0.0 m/s) (110 m hurdles), 38.32 m (discus), 4.40 m (pole vault), 57.28 m (javelin), 4:52.35 (1500 m)","10.2 (+0.1 m/s) (100 m), 7.72 m (+1.3 m/s) (long jump), 12.55 m (shot put), 1.74 m (high jump), 46.33 (400 m) /
15.73 (0.0 m/s) (110 m hurdles), 38.32 m (discus), 4.40 m (pole vault), 57.28 m (javelin), 4:52.35 (1500 m)","10.2 (+0.1 m/s) (100 m), 7.72 m (+1.3 m/s) (long jump), 12.55 m (shot put), 1.74 m (high jump), 46.33 (400 m) /
15.73 (0.0 m/s) (110 m hurdles), 38.32 m (discus), 4.40 m (pole vault), 57.28 m (javelin), 4:52.35 (1500 m)"
"5000 m walk (track)","18:40.11","Eder Sánchez","28 February 2009","Sydney Track Classic","Sydney, Australia"
"5 km walk (road)","19:17","Eder Sánchez","8 December 2006","Gran Premio Internacional","Granada, Spain"
"10000 m walk (track)","38:24.0","Bernardo Segura Rivera","7 May 1994","","Fana, Norway"
"10000 m walk (track)","38:26.4","Daniel García","17 May 1997","","Sønder-Omme, Denmark"
"10 km walk (road)","38:31","Eder Sánchez","19 September 2009","IAAF World Race Walking Challenge","Saransk, Russia"
"20000 m walk (track)","1:17:25.6","Bernardo Segura","7 May 1994","","Bergen, Norway"
"20 km walk (road)","1:17:26","Bernardo Segura","7 May 1994","","Fana, Norway"
"50000 m walk (track)","3:41:38.4","Raúl González","25 May 1979","","Bergen, Norway"
"50 km walk (road)","3:41:20","Raúl González","11 June 1978","","Podebrady, Czech Republic"
"4x100 m relay","39.32","Mexico
Genaro Rojas
Eduardo Nava
Herman Adam
Alejandro Cárdenas","21 June 1992","","Mexico City, Mexico"
"4x400 m relay","3:03.19","Mexico
Alejandro Cárdenas
Oscar Juanz
Roberto Carvajal
Juan Pedro Toledo","11 August 2001","World Championships","Edmonton, Canada"
