Record	Athlete	Nation	Venue	Date	#
4.60 m (15 ft 1 in)	Emma George	Australia	Sydney, Australia	20 February 1999	11
4.60 m (15 ft 1 in)	Stacy Dragila	United States	Sevilla, Spain	21 August 1999	1
i 4.60 m (15 ft 1 in)	Stacy Dragila	United States	Pocatello, U.S.	19 Feb 2000	2
i 4.62 m (15 ft 13⁄4 in)	Stacy Dragila	United States	Atlanta, U.S.	3 Mar 2000	3
4.63 m (15 ft 21⁄4 in)	Stacy Dragila	United States	Sacramento, U.S.	23 July 2000	4
i 4.63 m (15 ft 21⁄4 in)	Stacy Dragila	United States	New York City, U.S.	2 Feb 2001	5
i 4.64 m (15 ft 21⁄2 in)	Svetlana Feofanova	Russia	Dortmund, Germany	11 February 2001	1
i 4.66 m (15 ft 31⁄4 in)	Stacy Dragila	United States	Pocatello, U.S.	17 Feb 2001	6
i 4.70 m (15 ft 5 in)	Stacy Dragila	United States	Pocatello, U.S.	17 Feb 2001	7
4.70 m (15 ft 5 in)	Stacy Dragila	United States	Pocatello, U.S.	27 April 2001	8
4.71 m (15 ft 51⁄4 in)	Stacy Dragila	United States	Palo Alto, U.S.	9 June 2001	9
4.81 m (15 ft 91⁄4 in)	Stacy Dragila	United States	Palo Alto, U.S.	9 June 2001	10
4.82 m (15 ft 93⁄4 in)	Yelena Isinbayeva	Russia	Gateshead, England	13 July 2003	1
i 4.83 m (15 ft 10 in)	Yelena Isinbayeva	Russia	Donets'k, Ukraine	15 February 2004	2
i 4.85 m (15 ft 103⁄4 in)	Svetlana Feofanova	Russia	Athens, Greece	22 February 2004	2
i 4.86 m (15 ft 111⁄4 in)	Yelena Isinbayeva	Russia	Budapest, Hungary	6 March 2004	3
4.87 m (15 ft 111⁄2 in)	Yelena Isinbayeva	Russia	Gateshead, England	27 June 2004	4
4.88 m (16 ft 0 in)	Svetlana Feofanova	Russia	Heraklion, Greece	4 July 2004	3
4.89 m (16 ft 01⁄2 in)	Yelena Isinbayeva	Russia	Birmingham, England	25 July 2004	5
4.90 m (16 ft 03⁄4 in)	Yelena Isinbayeva	Russia	London, England	30 July 2004	6
4.91 m (16 ft 11⁄4 in)	Yelena Isinbayeva	Russia	Athens, Greece	24 August 2004	7
4.92 m (16 ft 11⁄2 in)	Yelena Isinbayeva	Russia	Brussels, Belgium	3 September 2004	8
4.93 m (16 ft 2 in)	Yelena Isinbayeva	Russia	Lausanne, Switzerland	5 July 2005	9
4.95 m (16 ft 23⁄4 in)	Yelena Isinbayeva	Russia	Madrid, Spain	16 July 2005	10
4.96 m (16 ft 31⁄4 in)	Yelena Isinbayeva	Russia	London, England	22 July 2005	11
5.00 m (16 ft 43⁄4 in)	Yelena Isinbayeva	Russia	London, England	22 July 2005	12
5.01 m (16 ft 5 in)	Yelena Isinbayeva	Russia	Helsinki, Finland	9 August 2005	13
5.03 m (16 ft 6 in)	Yelena Isinbayeva	Russia	Rome, Italy	11 July 2008	14
5.04 m (16 ft 61⁄4 in)	Yelena Isinbayeva	Russia	Fontvieille, Monaco	29 July 2008	15
5.05 m (16 ft 63⁄4 in)	Yelena Isinbayeva	Russia	Beijing, China	18 August 2008	16
5.06 m (16 ft 7 in)	Yelena Isinbayeva	Russia	Zürich, Switzerland	28 August 2009	17
