"#","Wrestlers","Reign","Date","Days held","Location","Event","Notes"
"25","The Dudley Boyz
(Buh Buh Ray Dudley and D-Von Dudley)","1","March 15, 1997","29","Philadelphia, PA","Hostile City Showdown","Aired 3/20/97 on Hardcore TV"
"26","The Eliminators","3","April 13, 1997","68","Philadelphia, PA","Barely Legal",""
"27","The Dudley Boyz","2","June 20, 1997","29","Waltham, MA","Hardcore TV #218","The Dudley Boyz defeated Kronus in a handicap match as a result of a sidelining injury sustained by Saturn. Aired 6-26-97 on TV"
"28","The Gangstas","2","July 19, 1997","29","Philadelphia, PA","Heat Wave 1997/Hardcore TV #222","Aired 7-24-97 on TV"
"29","The Dudley Boyz","3","August 17, 1997","95","Fort Lauderdale, FL","Hardcore Heaven (1997)","The Dudley Boyz won the championship via forfeit as a result of Mustapha Saed leaving the promotion before Hardcore Heaven took place."
"30","The Gangstanators
(Kronus (4) and New Jack (3))","1","September 20, 1997","28","Philadelphia, PA","As Good as it Gets","Aired 9-27-97 on TV"
"31","Full Blooded Italians
(Little Guido and Tracy Smothers)","1","October 18, 1997","48","Philadelphia, PA","Hardcore TV #236","Aired 11-1-97 on TV"
"32","Doug Furnas and Phil LaFon","1","December 5, 1997","1","Waltham, MA","Live event",""
"33","Chris Candido (3) and Lance Storm","1","December 6, 1997","203","Philadelphia, PA","Better than Ever",""
"34","Sabu (2) and Rob Van Dam","1","June 27, 1998","119","Philadelphia, PA","Hardcore TV #271","Aired 7-1-98 on TV"
"35","The Dudley Boyz","4","October 24, 1998","8","Cleveland, OH","Hardcore TV #288","Aired 10-28-98 on TV"
"36","Balls Mahoney and Masato Tanaka","1","November 1, 1998","5","New Orleans, LA","November to Remember (1998)",""
"37","The Dudley Boyz","5","November 6, 1998","37","New York, NY","Hardcore TV #290","Aired 11-11-98 on TV"
"38","Sabu (3) and Rob Van Dam","2","December 13, 1998","125","Tokyo, Japan","ECW/FMW Supershow II","Aired 12-16-98 on TV"
"39","The Dudley Boyz","6","April 17, 1999","92","Buffalo, NY","Hardcore TV #313","D-Von Dudley defeated Van Dam in a singles match to win the championship for his team. Aired 4-23-99 on TV"
"40","Spike Dudley and Balls Mahoney (2)","1","July 18, 1999","26","Dayton, OH","Heat Wave (1999)",""
"41","The Dudley Boyz","7","August 13, 1999","1","Cleveland, OH","Hardcore TV #330","Aired 8-20-99 on TV"
"42","Spike Dudley and Balls Mahoney (3)","2","August 14, 1999","12","Toledo, OH","Hardcore TV #331","Aired 8-27-99 on TV"
"43","The Dudley Boyz","8","August 26, 1999","0","New York, NY","ECW on TNN#2","Aired 9-3-99 on TV"
"44","Tommy Dreamer (2) and Raven (3)","1","August 26, 1999","136","New York, NY","ECW on TNN#2","Aired 9-3-99 on TV"
"45","Impact Players
(Justin Credible and Lance Storm (2))","1","January 9, 2000","48","Birmingham, AL","Guilty as Charged (2000)",""
"46","Tommy Dreamer (3) and Masato Tanaka (2)","1","February 26, 2000","7","Cincinnati, OH","Hardcore TV #358","Aired 3-7-00 on TV"
"47","Mike Awesome and Raven (4)","1","March 4, 2000","8","Philadelphia, PA","ECW on TNN#29","Aired 3-10-00 on TV"
"48","Impact Players
(Justin Credible and Lance Storm (3))","2","March 12, 2000","31","Danbury, CT","Living Dangerously",""
"—","Vacated","3","April 22, 2000","125","Philadelphia, PA","Live event","At CyberSlam, Justin Credible threw down the titles to become eligible for the ECW World Heavyweight Championship. Storm later left for World Championship Wrestling. As a result of the circumstances, Credible vacated the championship."
"49","Yoshihiro Tajiri and Mikey Whipwreck (3)","1","August 25, 2000","1","New York, NY","ECW on TNN#55","Aired 9-1-00 on TV"
"50","Full Blooded Italians
(Little Guido (2) and Tony Mamaluke)","1","August 26, 2000","99","New York, NY","ECW on TNN#56","Aired 9-8-00 on TV"
"51","Danny Doring and Roadkill","1","December 3, 2000","122","New York, NY","Massacre on 34th Street","Doring and Roadkill's reign was the final one in the title's history."
