Name	Built	Listed	Location	County	Type
Fairground Street Bridge	1895	1988-11-16	Vicksburg\n32°20′16″N 90°53′25″W﻿ / ﻿32.33778°N 90.89028°W	Warren	Pratt through truss
Gatesville Bridge	1908	1988-11-16	Gatesville, Pearl\n31°59′46″N 90°13′26″W﻿ / ﻿31.99611°N 90.22389°W	Copiah, Simpson	Pennsylvania through truss
R.H. Henry Bridge	1929	2005-06-08	Edwards\n32°20′51″N 90°41′49″W﻿ / ﻿32.34750°N 90.69694°W	Hinds	
Highway 11 Bridge over Chunky River	1926	1988-11-16	Enterprise\n32°11′32″N 88°49′30″W﻿ / ﻿32.19222°N 88.82500°W	Clarke	Parker through truss
Homochitto River Bridge	1909	1988-11-16	Hazelhurst\n31°42′48″N 90°40′1″W﻿ / ﻿31.71333°N 90.66694°W	Copiah	Pratt through truss
Keesler Bridge	1925	1988-11-16	Greenwood\n33°31′18″N 90°11′3″W﻿ / ﻿33.52167°N 90.18417°W	Leflore	Swing through truss
Lamb-Fish Bridge	1905	1982-05-17	Charleston\n34°1′20″N 90°11′32″W﻿ / ﻿34.02222°N 90.19222°W	Tallahatchie	Vertical Lift Span
Leaf River Bridge	1907	1988-11-16	McClain\n31°7′39″N 88°49′1″W﻿ / ﻿31.12750°N 88.81694°W	Greene	Pennsylvania through truss
Lucien Bridge	1938	2005-06-16	McCall Creek\n31°30′40″N 90°39′59″W﻿ / ﻿31.51111°N 90.66639°W	Franklin	
Mahned Bridge	1903	1997-11-24	New Augusta\n31°13′28″N 89°5′6″W﻿ / ﻿31.22444°N 89.08500°W	Perry	Pratt Through Truss
Mississippi River Bridge	1928–1930	1989-02-14	Vicksburg\n32°18′54″N 90°54′20″W﻿ / ﻿32.31500°N 90.90556°W	Warren	Cantilevered truss span
Motley Slough Bridge	1920	1988-11-16	Columbus\n33°26′21″N 88°31′8″W﻿ / ﻿33.43917°N 88.51889°W	Lowndes	Pratt pony truss
Old Hill Place Bridge	ca. 1920	1979-05-23	Fayette\n31°40′9″N 91°10′52″W﻿ / ﻿31.66917°N 91.18111°W	Jefferson	Twin-tower swng. susp. brdg.
Owens Creek Bridge	1917	1988-11-16	Utica\n32°5′29″N 90°43′45″W﻿ / ﻿32.09139°N 90.72917°W	Claiborne	Warren pony truss
Pearl River Bridge on Mississippi Highway 28	1940	2005-06-10	Georgetown\n31°52′31″N 90°8′17″W﻿ / ﻿31.87528°N 90.13806°W	Copiah	
Running Water Creek Bridge	1928	1988-11-16	Shuqualak\n33°1′5″N 88°36′50″W﻿ / ﻿33.01806°N 88.61389°W	Noxubee	Pratt half-hip pony truss
Shubuta Bridge	1919	1988-11-16	Shubuta\n31°51′25″N 88°41′12″W﻿ / ﻿31.85694°N 88.68667°W	Clarke	Camelback through truss
Stuckey's Bridge	1901	1988-11-16	Meridian\n32°15′20″N 88°51′19″W﻿ / ﻿32.25556°N 88.85528°W	Lauderdale	Stearns through truss
Tibbee Bridge	1896	1988-11-16	West Point\n33°32′17″N 88°38′0″W﻿ / ﻿33.53806°N 88.63333°W	Clay	Pratt through truss
Valley of the Moon Bridge	ca. 1925, ca. 1930	2005-06-08	Port Gibson\n32°1′3″N 90°52′37″W﻿ / ﻿32.01750°N 90.87694°W	Claiborne	
Waverly Bridge	1914	1989-03-20	Columbus, Waverly\n33°33′54″N 88°29′48″W﻿ / ﻿33.56500°N 88.49667°W	Clay, Lowndes	Swinging through truss
Widow's Creek Bridge	1917	1988-11-16	Port Gibson\n31°56′30″N 91°3′3″W﻿ / ﻿31.94167°N 91.05083°W	Claiborne	Pratt half-hip pony truss
Woodrow Wilson Bridge	1925	1988-11-16	Jackson\n32°17′22″N 90°10′44″W﻿ / ﻿32.28944°N 90.17889°W	Hinds, Rankin	Open-spandrel concrete arch
Woodburn Bridge	ca. 1916	1988-11-16	Indianola\n33°23′15″N 90°42′21″W﻿ / ﻿33.38750°N 90.70583°W	Sunflower	Pratt truss;Swing truss
Yellow Creek Bridge	1910	1988-11-16	Waynesboro\n31°41′49″N 88°40′13″W﻿ / ﻿31.69694°N 88.67028°W	Wayne	Pratt pony truss
Youngblood Bridge	1900, 1915	1979-05-23	Union Church\n31°38′0″N 90°48′51″W﻿ / ﻿31.63333°N 90.81417°W	Jefferson	Twin-tower swng. susp. brdg.
Confederate Avenue Steel Arch Bridge	1903	removed 2002-12-16	Vicksburg	Warren	Steel deck arch
Hickahala Creek Bridge	1926	removed 1996-03-15	Senatobia	Tate	Warren pony truss
Rockport Bridge	1910	removed 1999-12-15	Georgetown, Pinola	Copiah, Simpson	Pennsylvania through truss
Waynesboro Bridge	1910	removed 2004-04-07	Waynesboro	Wayne	Pratt through truss
