| Site                                                    | Date(s)                                                                                                                  | Designated | Location                                                                | Description                                                                                                                                                                                                                                                                                                                                                                    |
| Grey Nuns' Hospital                                     | 1765 (completed)                                                                                                         | 1973       | Montreal 45°30′1.31″N 73°33′17.2″W﻿ / ﻿45.5003639°N 73.554778°W         | A three-and-a-half building that is an example of early French Canadian architecture and is the one surviving building of the Grey Nuns' Hospital complex; the Sisters of Charity, founded by Marie-Marguerite d'Youville, tended the sick and dispossessed here until 1871, and it is from this building that they extended their ministry across Canada                      |
| H. Vincent Meredith Residence                           | 1897 (completed)                                                                                                         | 1990       | Montreal 45°30′15.11″N 73°34′54.7″W﻿ / ﻿45.5041972°N 73.581861°W        | Representative of the mansions built by Montreal’s elite in the late 19th century in the Golden Square Mile and a noted example of a house in the Queen Anne Revival-style; built for businessman and philanthropist Vincent Meredith and his wife, Lady Meredith, now serving as the McGill Centre for Medicine, Ethics and Law.                                              |
| Hersey Pavilion                                         | 1905 (completed)                                                                                                         | 1997       | Montreal 45°30′30.94″N 73°34′50.01″W﻿ / ﻿45.5085944°N 73.5805583°W      | One of the first purpose-built nurses' residences in Canada, located on the Royal Victoria Hospital campus; symbolic of the history of training and the professionalism of nurses in Canada                                                                                                                                                                                    |
| Hochelaga                                               | 1300s (ca.) (first construction of fortified villages in area, as later witnessed by Cartier), 1535 (arrival of Cartier) | 1920       | Montreal 45°30′12.83″N 73°34′30.58″W﻿ / ﻿45.5035639°N 73.5751611°W      | A grass-covered area about 79 square metres (850 sq ft) in area with a stone marker, located to the left of the main entrance of McGill University; representative of the Iroquois village of Hochelaga that was visited by Jacques Cartier, the first European to reach the future site of Montreal, in 1535                                                                  |
| Lachine Canal                                           | 1825 (completed)                                                                                                         | 1929       | Montreal 45°27′30″N 73°36′42″W﻿ / ﻿45.45833°N 73.61167°W                | An early 19th-century canal, 14 kilometres (8.7 mi) in length, built to circumvent white water on the St. Lawrence River; the head of a canal network linking the Great Lakes and the interior of the continent to the Atlantic Ocean                                                                                                                                          |
| Lachine Canal Manufacturing Complex                     | 1825 (completed)                                                                                                         | 1996       | Montreal 45°27′30″N 73°36′42″W﻿ / ﻿45.45833°N 73.61167°W                | An important manufacturing and industrial complex, with the number of firms and diversity of its output at its zenith (1880 to 1940) unparalleled elsewhere in Canada; at one time, over 20% of the workforce of the Island of Montreal was employed in the area                                                                                                               |
| Last Post Fund National Field of Honour                 | 1930 (established)                                                                                                       | 2007       | Pointe-Claire 45°26′38.80″N 73°50′15.58″W﻿ / ﻿45.4441111°N 73.8376611°W | A military cemetery for veterans who died in a hospital or a public establishment after their military service; symbolic of principles such as the equality of soldiers in death and perpetual remembrance                                                                                                                                                                     |
| LeBer-LeMoyne House                                     | 1671 (completed)                                                                                                         | 2002       | Montreal 45°25′48″N 73°39′59″W﻿ / ﻿45.43000°N 73.66639°W                | A 17th-century fieldstone former fur trading post; the oldest known extant buildings associated with Charles LeMoyne and the fur trade during the French Regime                                                                                                                                                                                                                |
| Louis-Joseph Papineau                                   | 1785 (completed)                                                                                                         | 1968       | Montreal 45°30′35.77″N 73°33′7.88″W﻿ / ﻿45.5099361°N 73.5521889°W       | A two-and-a-half storey stone house that was the Papineau family home in Montreal; associated with the most important period in Papineau's life when he was the leader of the Parti canadien and one of the leading figures in the Lower Canada Rebellion                                                                                                                      |
| Maison Cartier                                          | 1813 (completed)                                                                                                         | 1982       | Montreal 45°30′28.56″N 73°33′9.18″W﻿ / ﻿45.5079333°N 73.5525500°W       | Two two-and-a-half storey stone attached houses that are typical of pre-industrial construction in Canada; originally constructed for Louis Parthenais and Augustin Perrault                                                                                                                                                                                                   |
| Maison Saint-Gabriel                                    | 1668 (completed)                                                                                                         | 2007       | Montreal 45°28′33.37″N 73°33′21.58″W﻿ / ﻿45.4759361°N 73.5559944°W      | A fieldstone house that was home to the sisters of the Congregation of Notre Dame, who operated a farm for more than 300 years, making it one of the oldest surviving farm properties in Canada; an exceptional example of rural architecture of the French Regime                                                                                                             |
| Marie-Reine-du-Monde Cathedral                          | 1894 (consecrated)                                                                                                       | 1999       | Montreal 45°29′57.86″N 73°34′7.36″W﻿ / ﻿45.4994056°N 73.5687111°W       | A Baroque Revival cathedral that, when built, represented a break from the dominance of the Gothis Revival style in church architecture in Montreal; inspired by St. Peter's Basilica in Rome, it is the most significant symbol of ultramontanism in Canada                                                                                                                   |
| Marlborough Apartments                                  | 1900 (completed)                                                                                                         | 1990       | Montreal 45°30′25.07″N 73°34′32.6″W﻿ / ﻿45.5069639°N 73.575722°W        | A four-storey, red brick apartment building that is an excellent example of the start of the 20th century apartment design in Canada; Queen Anne design was a popular style for luxury domestic architecture across Canada in this period, and this is one of the few Queen Anne apartment buildings that has survived in the country                                          |
| Masonic Memorial Temple                                 | 1930 (completed)                                                                                                         | 2001       | Montreal 45°29′40.92″N 73°34′58.85″W﻿ / ﻿45.4947000°N 73.5830139°W      | A monumental masonic temple resembling a Greek temple, built to honour the Freemasons who served in the First World War; an exceptional example of late Beaux-Arts architecture in Canada                                                                                                                                                                                      |
| Merchants Textile Mill                                  | 1882 (established)                                                                                                       | 1989       | Montreal 45°28′32″N 73°34′48″W﻿ / ﻿45.47556°N 73.58000°W                | The second largest textile mill in Canada for the first four decades of the 20th century                                                                                                                                                                                                                                                                                       |
| Model City of Mount Royal                               | 1914 (district plan)                                                                                                     | 2008       | Mount Royal 45°30′58″N 73°38′35″W﻿ / ﻿45.51611°N 73.64306°W             | A historic residential suburb developed in accordance with a 1914 district plan by Frederick Todd; a noted synthesis of the City Beautiful, Garden City and Garden Suburb movements, and remarkably homogeneous despite being constructed over the course of six decades                                                                                                       |
| Monklands / Villa Maria Convent                         | 1804 (completed)                                                                                                         | 1951       | Montreal 45°28′54.53″N 73°37′1.6″W﻿ / ﻿45.4818139°N 73.617111°W         | A two-storey stone Neo-Palladian mansion that served as the official residence of Governors General of Canada from 1844 to 1849                                                                                                                                                                                                                                                |
| Montreal Botanical Garden                               | 1931 (established)                                                                                                       | 2008       | Montreal 45°33′26.00″N 73°33′24.50″W﻿ / ﻿45.5572222°N 73.5568056°W      | A 75-hectare (190-acre) botanical garden; its collections and facilities rank it as one of the most important botanical gardens in the world                                                                                                                                                                                                                                   |
| Montreal City Hall                                      | 1878 (completed), 1922 (rebuilt)                                                                                         | 1984       | Montreal 45°30′31.84″N 73°33′14.45″W﻿ / ﻿45.5088444°N 73.5540139°W      | A five-storey stone building and one of the best examples of the Second Empire style in the country; the first city hall to have been constructed in Canada solely for municipal administration, representing the growing importance of urban areas and municipal services in the late 19th century                                                                            |
| Montreal Forum                                          | 1924 (completed)                                                                                                         | 1997       | Montreal 45°29′25″N 73°35′5″W﻿ / ﻿45.49028°N 73.58472°W                 | One of Canada's most famous sporting venues; an icon of Canadian culture due to its association with one of the most successful sporting franchises in North America, the Montreal Canadiens                                                                                                                                                                                   |
| Montreal's Birthplace                                   | 1642 (event)                                                                                                             | 1924       | Montreal 45°30′12.27″N 73°33′14.31″W﻿ / ﻿45.5034083°N 73.5539750°W      | The location where Paul Chomedey de Maisonneuve laid the foundation of Montreal, as Fort Ville-Marie, on May 18, 1642                                                                                                                                                                                                                                                          |
| Monument National                                       | 1893 (completed)                                                                                                         | 1985       | Montreal 45°30′32.76″N 73°33′45″W﻿ / ﻿45.5091000°N 73.56250°W           | A four-storey theatre and cultural centre constructed by the Saint-Jean-Baptiste Society and then known as the “Heart of French America”; now occupied by the National Theatre School of Canada                                                                                                                                                                                |
| Mother House of the Grey Nuns of Montreal               | 1871 (completed)                                                                                                         | 2011       | Montreal 45°29′37″N 73°34′36″W﻿ / ﻿45.49361°N 73.57667°W                | The former motherhouse of the Grey Nuns, now part of Concordia University; notable due to the manner in which the site incorporates the architectural trends of its time, and for the social relevance of the work performed by the religious order                                                                                                                            |
| Mount Royal Cemetery                                    | 1852 (established)                                                                                                       | 1999       | Montreal 45°30′32.76″N 73°33′45″W﻿ / ﻿45.5091000°N 73.56250°W           | A 67-hectare (170-acre) cemetery located on the northern slope of Mount Royal and designed in accordance with the Picturesque principles of the early 19th-century rural cemetery movement; many of the funerary monuments are of exceptional historical, architectural or artistic value, and are reflective of the history of Montreal, Quebec and Canada                    |
| Notre-Dame Roman Catholic Church / Basilica             | 1829 (completed)                                                                                                         | 1989       | Montreal 45°30′16.15″N 73°33′22.55″W﻿ / ﻿45.5044861°N 73.5562639°W      | An immense stone church built in the Romantic Gothic Revival style, it was upon completion the largest church in either Canada or the U.S. for half a century; the first significant example of the Gothic Revival style in Canada, with many of Quebec’s most celebrated architects and artisans helping complete the decoration of the church in the 19th and 20th centuries |
| Notre-Dame-des-Neiges Cemetery                          | 1854 (established)                                                                                                       | 1999       | Montreal 45°30′6.55″N 73°36′23.48″W﻿ / ﻿45.5018194°N 73.6065222°W       | The largest cemetery in Canada and an outstanding cultural landscape; the historical significance of many of the persons buried in the cemetery commemorates many aspects of the history of Montreal, Quebec and Canada                                                                                                                                                        |
| Outremont Theatre                                       | 1929 (completed)                                                                                                         | 1993       | Montreal 45°30′6.55″N 73°36′23.48″W﻿ / ﻿45.5018194°N 73.6065222°W       | An cinema with an Art Deco exterior and a combined Art Deco and atmospheric interior; a noted example of the type of deluxe cinemas erected in new suburban neighbourhoods across Canada during the 1920s                                                                                                                                                                      |
| Pavillon Mailloux                                       | 1931 (completed)                                                                                                         | 1997       | Montreal 45°31′31.54″N 73°33′51.26″W﻿ / ﻿45.5254278°N 73.5642389°W      | A five-storey brick nurses’ residence on the campus of Montreal’s Notre-Dame Hospital; construction of this purpose-built residence in 1931 symbolized the growing professionalism of nursing and the expanding role of women in health care                                                                                                                                   |
| Rialto Theatre                                          | 1924 (completed)                                                                                                         | 1993       | Montreal 45°31′24.91″N 73°36′17.14″W﻿ / ﻿45.5235861°N 73.6047611°W      | A movie palace and an exceptional example of Beaux-Arts architecture in Canada                                                                                                                                                                                                                                                                                                 |
| Sainte-Anne-de-Bellevue Canal                           | 1843 (completed)                                                                                                         | 1929       | Sainte-Anne-de-Bellevue 45°24′13″N 73°57′16″W﻿ / ﻿45.40361°N 73.95444°W | A canal constructed by the Board of Works of the Province of Canada to by-pass the Ste. Anne’s Rapids in the east channel of the Ottawa River; commemorates the important role played by such waterways during the 19th and 20th centuries                                                                                                                                     |
| Saint Joseph's Oratory of Mount Royal                   | 1904 (established), 1967 (basilica completed)                                                                            | 2003       | Montreal 45°29′30″N 73°37′0″W﻿ / ﻿45.49167°N 73.61667°W                 | A large Roman Catholic pilgrimage site located on the north slope of Mount Royal, dominated by a landmark domed basilica; conceived by André Bessette, it has developed into a national and international religious and tourist destination                                                                                                                                    |
| Saint-Sulpice Seminary and its Gardens                  | 1687 (completed)                                                                                                         | 1980       | Montreal 45°30′14″N 73°33′25″W﻿ / ﻿45.50389°N 73.55694°W                | A religious seminary with garden; a rare and remarkable example of French Regime classicism known also for the historical integrity of its convent garden                                                                                                                                                                                                                      |
| Senneville Historic District                            | 1860 (established)                                                                                                       | 2002       | Senneville 45°25′50.1″N 73°57′8.2″W﻿ / ﻿45.430583°N 73.952278°W         | A 565-hectare (1,400-acre) historic district that evolved from a late-19th-century resort village which comprised the country estates of wealthy Montrealers; representative of the development of Picturesque landscape design and Arts and Crafts architecture from 1865 to 1930                                                                                             |
| Sir George-Étienne Cartier                              | 1838 (completed)                                                                                                         | 1964       | Montreal 45°30′40.12″N 73°33′5.84″W﻿ / ﻿45.5111444°N 73.5516222°W       | Two houses that together served as the residence of Sir George-Étienne Cartier, a Father of Confederation; representative of an upper-middle class Montreal home of the mid 19th century                                                                                                                                                                                       |
| St. George Antiochian Orthodox Church                   | 1940 (completed)                                                                                                         | 1999       | Montreal 45°32′23.5″N 73°36′51.07″W﻿ / ﻿45.539861°N 73.6141861°W        | A predominantly Byzantine-style church, it is the earliest-known, purpose-built church of the Syrian Orthodox community in Canada that continues to fulfil its original role; an important symbol of the history and traditions of this community in Canada                                                                                                                    |
| St. George's Anglican Church                            | 1870 (completed)                                                                                                         | 1990       | Montreal 45°32′23.5″N 73°36′51.07″W﻿ / ﻿45.539861°N 73.6141861°W        | An Anglican church in downtown Montreal that is an excellent example of the High Victorian phase of the Gothic Revival style                                                                                                                                                                                                                                                   |
| St. James United Church                                 | 1888 (completed)                                                                                                         | 1996       | Montreal 45°30′18.97″N 73°34′6.56″W﻿ / ﻿45.5052694°N 73.5684889°W       | A large stone church in the High Victorian Gothic Revival style, closely associated with the late phase of Methodism in Canada; best known example in the country of an amphitheatre plan for the nave and transept and a Sunday school influenced by the Akron plan in the chancel                                                                                            |
| St. Patrick's Basilica                                  | 1847 (completed)                                                                                                         | 1990       | Montreal 45°30′12.82″N 73°33′53.31″W﻿ / ﻿45.5035611°N 73.5648083°W      | A noted example of French Gothic Revival architecture in the country; built to serve one of the largest early influxes of Irish immigrants to what is now Canada, the heart of the Irish population of Montreal, and the location of the funeral of Thomas D’Arcy McGee in 1868                                                                                                |
| Sulpician Towers / Fort de la Montagne                  | 1694 (completed)                                                                                                         | 1970       | Montreal 45°29′37.68″N 73°35′4.56″W﻿ / ﻿45.4938000°N 73.5846000°W       | Two 13-metre (43 ft) towers that were once bastions of a fort built by François Vachon de Belmont for the Sulpicians of a nearby mission; once housed the school and nuns of Marguerite Bourgeoys                                                                                                                                                                              |
| The Fur Trade at Lachine                                | 1803 (completed)                                                                                                         | 1970       | Montreal 45°25′53.04″N 73°40′32.16″W﻿ / ﻿45.4314000°N 73.6756000°W      | A single-storey stone warehouse located in an attractive park-like setting on the banks of the Lachine Canal; originally built by the North West Company, the warehouse symbolizes the history of the fur trade in Montreal                                                                                                                                                    |
| The Main                                                |                                                                                                                          | 1996       | Montreal 45°30′36.58″N 73°33′51.93″W﻿ / ﻿45.5101611°N 73.5644250°W      | A 6-kilometre (3.7 mi) long stretch of Saint Laurent Boulevard where consecutive waves of immigrants settled; the merging and mixing of cultures created a character that inspired novelists, poets, singers, and film-makers                                                                                                                                                  |
| Trafalgar Lodge                                         | 1848 (completed)                                                                                                         | 1990       | Westmount 45°29′42.36″N 73°35′53.39″W﻿ / ﻿45.4951000°N 73.5981639°W     | An asymmetrical one-and-a-half storey brick villa; a rare example of a Gothic Revival villa in Quebec                                                                                                                                                                                                                                                                          |
| Van Horne / Shaughnessy House                           | 1848 (completed)                                                                                                         | 1973       | Montreal 45°29′42.36″N 73°35′53.39″W﻿ / ﻿45.4951000°N 73.5981639°W      | The Second Empire-style mansion of Thomas Shaughnessy, 1st Baron Shaughnessy, now forming part of the Canadian Centre for Architecture                                                                                                                                                                                                                                         |
| Westmount District                                      | 1874 (city incorporated)                                                                                                 | 2012       | Westmount                                                               | The historic district of Westmount which epitomizes the architectural styles and trends in landscape architecture of 1890 to 1930; reflects the efforts of local citizens who, from the early 20th century onwards, sought to protect the diversity and historic integrity of the district's built environment                                                                 |
| Wilson Chambers                                         | 1868 (completed)                                                                                                         | 1990       | Montreal 45°30′3.25″N 73°33′35.06″W﻿ / ﻿45.5009028°N 73.5597389°W       | A four-and-a-half-storey stone Gothic Revival style commercial building with Italianate and Second Empire influences; while many churches and institutional buildings were erected in this style in the 19th century, Gothic Revival commercial buildings were rare and this is one of the few remaining examples in Canada                                                    |
| Windsor Station (Canadian Pacific)                      | 1889 (completed)                                                                                                         | 1975       | Montreal 45°29′50.86″N 73°34′7.18″W﻿ / ﻿45.4974611°N 73.5686611°W       | A railway terminal and Canadian Pacific Railway head office originally designed by Bruce Price; one of the earliest major buildings in Canada to use the Richardsonian Romanesque Revival style                                                                                                                                                                                |
