Country	2014	2013	2012	2010	2009	2008	2007	2006	2005	2004	2003	2002
Malta	(051)\n23.84	(045)\n23.30	(058)\n19.50	(014)\n4.00	(011)\n2.50	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Burkina Faso	(052)\n24.45	(046)\n23.70	(068)\n23.33	(049)\n15.00	(057)\n15.00	(063)\n13.00	(068)\n21.50	(070)\n16.00	(078)\n19.00	(064)\n16.25	(076)\n18.00	(085)\n27.75
Comoros	(053)\n24.52	(051)\n24.52	(045)\n13.00	(070)\n19.00	(082)\n19.00	(089)\n20.00	(096)\n28.00	(093)\n22.50	(088)\n22.00	(091)\n26.50	(079)\n18.50	(058)\n20.50
Serbia	(054)\n25.05	(063)\n26.59	(080)\n29.00	(085)\n23.00	(062)\n15.50	(064)\n13.50	(067)\n21.00	(045)\n11.50	(065)\n14.83	(077)\n20.13	(085)\n21.33	(060)\n20.75
Argentina	(055)\n25.27	(054)\n25.67	(047)\n14.00	(055)\n16.35	(047)\n11.33	(068)\n14.08	(082)\n24.83	(076)\n17.30	(059)\n13.67	(079)\n21.33	(067)\n15.17	(042)\n12.00
Moldova	(056)\n25.35	(055)\n26.01	(053)\n16.00	(075)\n19.13	(114)\n33.75	(098)\n21.38	(081)\n24.75	(085)\n19.17	(074)\n17.50	(078)\n20.50	(094)\n27.00	N/A
South Korea	(057)\n25.66	(050)\n24.48	(044)\n12.67	(042)\n13.33	(069)\n15.67	(047)\n9.00	(039)\n12.13	(031)\n7.75	(034)\n7.50	(048)\n11.13	(049)\n9.17	(039)\n10.50
Chile	(058)\n25.80	(060)\n26.24	(080)\n29.00	(033)\n10.50	(039)\n10.50	(056)\n11.50	(039)\n12.13	(049)\n11.63	(050)\n11.75	(042)\n10.00	(037)\n6.83	(024)\n6.50
Japan	(059)\n26.02	(053)\n25.17	(022)\n-1.00	(011)\n2.50	(017)\n3.25	(029)\n6.50	(037)\n11.75	(051)\n12.50	(037)\n8.00	(042)\n10.00	(044)\n8.00	(026)\n7.50
Mauritania	(060)\n26.53	(067)\n26.76	(067)\n22.20	(095)\n25.38	(100)\n28.50	(105)\n23.88	(050)\n15.50	(077)\n17.50	(127)\n40.00	(138)\n51.00	(121)\n36.67	(115)\n41.33
Hong Kong	(061)\n26.55	(058)\n26.16	(054)\n17.00	(034)\n10.75	(048)\n11.75	(051)\n9.75	(061)\n20.00	(058)\n14.00	(039)\n8.25	(034)\n7.50	(056)\n11.00	(018)\n4.83
Senegal	(062)\n26.68	(059)\n26.19	(075)\n26.00	(093)\n25.00	(089)\n22.00	(086)\n19.00	(083)\n25.00	(077)\n17.50	(078)\n19.00	(080)\n21.50	(066)\n14.50	(047)\n14.00
Tonga	(063)\n26.70	(066)\n26.70	(063)\n21.00	(087)\n23.75	N/A	(082)\n18.00	(119)\n38.25	(053)\n13.00	(063)\n14.50	(119)\n38.17	N/A	N/A
Hungary	(064)\n26.73	(056)\n26.09	(040)\n10.00	(023)\n7.50	(025)\n5.50	(023)\n5.50	(017)\n4.50	(010)\n3.00	(012)\n2.00	(028)\n6.00	(021)\n3.33	(024)\n6.50
Croatia	(065)\n26.82	(064)\n26.61	(068)\n23.33	(062)\n17.50	(078)\n17.17	(045)\n8.50	(041)\n12.50	(053)\n13.00	(056)\n12.83	(054)\n11.83	(069)\n16.50	(033)\n8.75
Bosnia and Herzegovina	(066)\n26.86	(068)\n26.86	(058)\n19.50	(047)\n13.50	(039)\n10.50	(036)\n8.00	(034)\n11.17	(019)\n5.00	(033)\n7.00	(021)\n3.67	(037)\n6.83	(043)\n12.50
Guyana	(067)\n27.08	(069)\n27.08	(058)\n19.50	(059)\n16.63	(039)\n10.50	(088)\n19.75	N/A	N/A	N/A	N/A	N/A	N/A
Dominican Republic	(068)\n27.17	(080)\n28.34	(095)\n33.25	(097)\n26.13	(098)\n26.83	(082)\n18.00	(072)\n22.75	(052)\n12.75	(051)\n12.25	(031)\n6.75	(072)\n17.00	N/A
Tanzania	(069)\n27.30	(070)\n27.34	(034)\n6.00	(041)\n13.00	(062)\n15.50	(070)\n15.00	(055)\n18.00	(088)\n19.82	(074)\n17.50	(061)\n14.50	(069)\n16.50	(062)\n21.25
Mauritius	(070)\n27.69	(062)\n26.47	(054)\n17.00	(065)\n18.00	(051)\n14.00	(047)\n9.00	(025)\n8.50	(032)\n8.00	(034)\n7.50	(046)\n10.50	(041)\n7.25	(036)\n9.50
Nicaragua	(071)\n27.70	(078)\n28.31	(072)\n24.33	(083)\n22.33	(076)\n16.75	(059)\n12.50	(047)\n14.25	(069)\n15.50	(068)\n15.25	(052)\n11.67	(034)\n6.50	N/A
Sierra Leone	(072)\n28.23	(061)\n26.35	(063)\n21.00	(091)\n24.25	(115)\n34.00	(114)\n27.75	(121)\n39.50	(103)\n26.00	(126)\n39.50	(088)\n24.50	(087)\n23.50	(072)\n24.50
Malawi	(073)\n28.29	(075)\n28.18	(146)\n68.00	(079)\n21.00	(062)\n15.50	(070)\n15.00	(092)\n26.75	(101)\n25.50	(089)\n22.75	(101)\n31.00	(084)\n21.00	(084)\n27.67
Lesotho	(074)\n28.36	(081)\n28.36	(063)\n21.00	(090)\n24.00	(099)\n27.50	(116)\n29.50	(099)\n29.50	(070)\n16.00	(081)\n19.50	(098)\n29.50	(075)\n17.75	N/A
Benin	(075)\n28.83	(079)\n28.33	(091)\n31.00	(070)\n19.00	(072)\n16.00	(070)\n15.00	(053)\n17.00	(023)\n5.50	(025)\n5.50	(027)\n5.50	(029)\n5.25	(021)\n6.00
Togo	(076)\n29.00	(083)\n28.45	(079)\n28.50	(060)\n17.00	(062)\n15.50	(053)\n10.00	(049)\n15.17	(066)\n15.00	(095)\n23.75	(075)\n19.50	(095)\n27.50	(097)\n31.50
Timor-Leste	(077)\n29.04	(090)\n28.72	(086)\n30.00	(093)\n25.00	(072)\n16.00	(065)\n13.75	(094)\n27.00	(083)\n18.50	(058)\n13.50	(057)\n13.50	(030)\n5.50	N/A
Armenia	(078)\n29.07	(074)\n28.04	(077)\n27.00	(101)\n27.50	(111)\n31.13	(102)\n22.75	(077)\n23.63	(101)\n25.50	(102)\n26.00	(083)\n23.50	(090)\n25.17	N/A
Mozambique	(079)\n29.26	(073)\n28.01	(066)\n21.50	(098)\n26.50	(082)\n19.00	(090)\n20.50	(073)\n23.00	(045)\n11.50	(049)\n10.50	(064)\n16.25	(063)\n14.00	(070)\n23.50
Kosovo	(080)\n29.29	(085)\n28.47	(086)\n30.00	(092)\n24.83	(075)\n16.58	(058)\n12.00	(060)\n19.75	(070)\n16.00	(100)\n25.75	(077)\n20.13	(085)\n21.33	(060)\n20.75
Madagascar	(081)\n29.38	(088)\n28.62	(084)\n29.50	(116)\n34.88	(134)\n45.83	(094)\n21.00	(061)\n20.00	(066)\n15.00	(097)\n24.50	(072)\n18.50	(046)\n8.17	(065)\n22.75
Republic of the Congo	(082)\n29.44	(076)\n28.20	(090)\n30.38	(114)\n33.60	(116)\n34.75	(092)\n20.75	(080)\n24.50	(073)\n17.00	(071)\n17.00	(069)\n17.50	(063)\n14.00	(069)\n23.17
Northern Cyprus	(083)\n29.54	(094)\n29.34	(102)\n37.00	(061)\n17.25	(051)\n14.00	(053)\n10.00	(058)\n19.00	(062)\n14.50	(053)\n12.50	(081)\n22.00	(083)\n20.83	N/A
Georgia	(084)\n29.78	(100)\n30.09	(104)\n38.00	(099)\n27.00	(081)\n18.83	(120)\n31.25	(066)\n20.83	(089)\n21.00	(099)\n25.17	(094)\n27.50	(073)\n17.33	N/A
Albania	(085)\n29.92	(102)\n30.88	(096)\n34.44	(080)\n21.50	(088)\n21.75	(079)\n16.00	(087)\n25.50	(080)\n18.00	(062)\n14.17	(050)\n11.50	(034)\n6.50	N/A
Guinea-Bissau	(086)\n30.05	(092)\n28.94	(075)\n26.00	(067)\n18.25	(092)\n23.50	(081)\n16.33	(107)\n33.50	(062)\n14.50	(071)\n17.00	(083)\n23.50	(118)\n35.25	(094)\n30.25
Panama	(087)\n30.20	(111)\n32.95	(113)\n45.67	(081)\n21.83	(055)\n14.50	(057)\n11.83	(054)\n17.88	(039)\n9.50	(066)\n15.00	(061)\n14.50	(053)\n9.75	(049)\n15.50
Mongolia	(088)\n30.30	(098)\n29.93	(100)\n35.75	(076)\n19.42	(091)\n23.33	(093)\n20.83	(074)\n23.40	(086)\n19.25	(053)\n12.50	(073)\n19.00	(077)\n18.25	(072)\n24.50
Liberia	(089)\n30.65	(097)\n29.89	(110)\n40.50	(084)\n22.50	(062)\n15.50	(051)\n9.75	(085)\n25.33	(084)\n19.00	(083)\n20.50	(123)\n40.00	(132)\n40.00	(109)\n37.75
Kenya	(090)\n30.70	(071)\n27.80	(084)\n29.50	(070)\n19.00	(096)\n25.00	(097)\n21.25	(078)\n23.75	(118)\n30.25	(109)\n30.00	(082)\n22.25	(079)\n18.50	(075)\n24.75
Kuwait	(091)\n30.71	(077)\n28.28	(078)\n28.00	(087)\n23.75	(060)\n15.25	(061)\n12.63	(063)\n20.17	(073)\n17.00	(085)\n21.25	(103)\n31.67	(102)\n31.33	(078)\n25.50
Bhutan	(092)\n30.73	(082)\n28.42	(070)\n24.00	(064)\n17.75	(070)\n15.75	(074)\n15.50	(116)\n37.17	(098)\n25.00	(142)\n51.50	(146)\n55.83	(157)\n77.33	(135)\n90.75
Zambia	(093)\n30.89	(072)\n27.93	(086)\n30.00	(082)\n22.00	(097)\n26.75	(074)\n15.50	(068)\n21.50	(093)\n22.50	(090)\n23.00	(100)\n29.75	(086)\n23.25	(081)\n26.75
Bolivia	(094)\n31.04	(109)\n32.80	(108)\n40.00	(103)\n28.13	(095)\n24.17	(115)\n28.20	(068)\n21.50	(016)\n4.50	(045)\n9.67	(076)\n20.00	(051)\n9.67	(048)\n14.50
Ecuador	(095)\n31.16	(119)\n34.69	(104)\n38.00	(101)\n27.50	(084)\n20.00	(074)\n15.50	(056)\n18.50	(068)\n15.25	(087)\n21.75	(066)\n16.50	(042)\n7.67	(020)\n5.50
Israel	(096)\n31.19	(112)\n32.97	(092)\n31.25	(086)\n23.25	(093)\n23.75	(046)\n8.83	(044)\n13.25	(050)\n12.00	(047)\n10.00	(036)\n8.00	(044)\n8.00	(092)\n30.00
Kyrgyzstan	(097)\n31.24	(106)\n32.20	(108)\n40.00	(159)\n63.00	(125)\n40.00	(111)\n27.00	(110)\n33.60	(123)\n34.00	(111)\n32.00	(107)\n35.25	(104)\n32.00	(098)\n31.75
Gabon	(098)\n31.32	(089)\n28.69	(101)\n36.50	(107)\n28.75	(129)\n43.50	(110)\n26.75	(102)\n31.50	(114)\n28.50	(102)\n26.00	(115)\n37.50	(101)\n31.25	(058)\n20.50
Greece	(099)\n31.33	(084)\n28.46	(070)\n24.00	(070)\n19.00	(035)\n9.00	(031)\n7.50	(030)\n9.25	(032)\n8.00	(018)\n4.00	(033)\n7.00	(031)\n6.00	(019)\n5.00
Bulgaria	(100)\n31.42	(087)\n28.58	(080)\n29.00	(070)\n19.00	(068)\n15.61	(059)\n12.50	(051)\n16.25	(035)\n9.00	(048)\n10.25	(036)\n8.00	(034)\n6.50	(038)\n9.75
Ivory Coast	(101)\n31.63	(096)\n29.77	(159)\n83.50	(118)\n36.00	(103)\n29.00	(109)\n26.50	(094)\n27.00	(098)\n25.00	(144)\n52.25	(149)\n60.38	(137)\n42.17	(055)\n19.00
Guinea	(102)\n31.67	(086)\n28.49	(086)\n30.00	(113)\n33.50	(100)\n28.50	(099)\n21.50	(107)\n33.50	(109)\n27.50	(102)\n26.00	(088)\n24.50	(109)\n33.17	(079)\n26.00
Seychelles	(103)\n31.68	(093)\n29.19	(073)\n25.00	(065)\n18.00	(072)\n16.00	(074)\n15.50	(104)\n33.00	(095)\n24.50	(071)\n17.00	(083)\n23.50	(093)\n26.75	(060)\n20.75
Peru	(104)\n31.70	(105)\n31.87	(115)\n51.25	(109)\n30.00	(085)\n20.88	(108)\n26.25	(117)\n37.38	(112)\n28.25	(116)\n33.33	(123)\n40.00	(055)\n10.25	(036)\n9.50
Paraguay	(105)\n31.81	(091)\n28.78	(080)\n29.00	(054)\n16.25	(054)\n14.33	(090)\n20.50	(090)\n26.10	(082)\n18.25	(069)\n15.50	(046)\n10.50	(040)\n7.17	(032)\n8.50
Lebanon	(106)\n31.89	(101)\n30.15	(093)\n31.50	(078)\n20.50	(061)\n15.42	(066)\n14.00	(098)\n28.75	(107)\n27.00	(108)\n28.25	(087)\n24.38	(106)\n32.50	(056)\n19.67
Fiji	(107)\n32.57	(107)\n32.69	(117)\n55.00	(149)\n52.75	(152)\n60.00	(079)\n16.00	(107)\n33.50	(058)\n14.00	(060)\n14.00	(063)\n16.00	(059)\n11.50	N/A
Maldives	(108)\n33.11	(103)\n31.10	(073)\n25.00	(052)\n16.00	(051)\n14.00	(104)\n23.25	(129)\n45.17	(144)\n51.25	(148)\n58.50	(157)\n69.17	(145)\n47.50	N/A
Central African Republic	(109)\n33.13	(065)\n26.61	(062)\n20.00	(069)\n18.50	(080)\n17.75	(085)\n18.50	(071)\n22.50	(062)\n14.50	(082)\n19.75	(104)\n32.50	(107)\n32.75	(063)\n21.50
Uganda	(110)\n33.29	(104)\n31.69	(139)\n64.00	(096)\n25.50	(086)\n21.50	(107)\n26.00	(096)\n28.00	(116)\n29.83	(080)\n19.25	(086)\n24.00	(091)\n25.75	(052)\n17.00
Brazil	(111)\n34.03	(108)\n32.75	(099)\n35.33	(058)\n16.60	(071)\n15.88	(082)\n18.00	(084)\n25.25	(075)\n17.17	(063)\n14.50	(066)\n16.50	(071)\n16.75	(054)\n18.75
Nigeria	(112)\n34.24	(115)\n34.11	(126)\n56.40	(145)\n51.50	(135)\n46.00	(131)\n37.75	(131)\n49.83	(120)\n32.23	(123)\n38.75	(117)\n37.75	(103)\n31.50	(049)\n15.50
Qatar	(113)\n34.32	(110)\n32.86	(114)\n46.00	(121)\n38.00	(094)\n24.00	(074)\n15.50	(079)\n24.00	(080)\n18.00	(090)\n23.00	(104)\n32.50	(115)\n35.00	N/A
Montenegro	(114)\n34.78	(113)\n32.97	(107)\n39.00	(104)\n28.50	(077)\n17.00	(053)\n10.00	(058)\n19.00	(045)\n11.50	(065)\n14.83	(077)\n20.13	(085)\n21.33	(060)\n20.75
Tajikistan	(115)\n34.86	(123)\n35.71	(122)\n56.00	(115)\n34.50	(113)\n32.00	(106)\n25.50	(115)\n37.00	(117)\n30.00	(113)\n33.00	(095)\n27.75	(113)\n34.50	(086)\n28.25
Venezuela	(116)\n35.37	(117)\n34.44	(117)\n55.00	(133)\n47.33	(124)\n39.50	(113)\n27.33	(114)\n36.88	(115)\n29.00	(090)\n23.00	(090)\n24.63	(096)\n27.83	(077)\n25.00
Brunei	(117)\n35.45	(122)\n35.45	(125)\n56.20	(142)\n51.00	(155)\n63.50	N/A	N/A	N/A	N/A	N/A	N/A	(111)\n38.00
United Arab Emirates	(118)\n36.03	(114)\n33.49	(112)\n45.00	(087)\n23.75	(086)\n21.50	(069)\n14.50	(065)\n20.25	(077)\n17.50	(100)\n25.75	(137)\n50.25	(122)\n37.00	N/A
South Sudan	(119)\n36.05	(124)\n36.20	(111)\n41.25	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Nepal	(120)\n36.16	(118)\n34.61	(106)\n38.75	(119)\n36.38	(118)\n35.63	(138)\n43.25	(137)\n53.75	(159)\n73.50	(160)\n86.75	(160)\n84.00	(150)\n51.50	(127)\n63.00
Algeria	(121)\n36.26	(125)\n36.54	(122)\n56.00	(133)\n47.33	(141)\n49.56	(121)\n31.33	(123)\n40.50	(126)\n40.00	(129)\n40.33	(128)\n43.50	(108)\n33.00	(095)\n31.00
Mali	(122)\n36.29	(099)\n30.03	(025)\n0.00	(026)\n8.00	(030)\n8.00	(031)\n7.50	(052)\n16.50	(035)\n9.00	(037)\n8.00	(056)\n12.83	(056)\n11.00	(043)\n12.50
Macedonia	(123)\n36.43	(116)\n34.27	(094)\n31.67	(068)\n18.40	(034)\n8.75	(042)\n8.25	(036)\n11.50	(045)\n11.50	(043)\n8.75	(049)\n11.25	(051)\n9.67	N/A
Angola	(124)\n36.50	(130)\n37.80	(132)\n58.43	(104)\n28.50	(119)\n36.50	(116)\n29.50	(091)\n26.50	(091)\n21.50	(076)\n18.00	(091)\n26.50	(097)\n28.00	(093)\n30.17
Guatemala	(125)\n36.61	(095)\n29.39	(097)\n35.00	(077)\n20.25	(106)\n29.50	(101)\n22.64	(104)\n33.00	(090)\n21.25	(086)\n21.50	(066)\n16.50	(099)\n30.83	(083)\n27.25
Colombia	(126)\n36.68	(129)\n37.48	(143)\n66.50	(145)\n51.50	(126)\n40.13	(126)\n35.50	(126)\n42.33	(131)\n44.75	(128)\n40.17	(134)\n47.38	(147)\n49.17	(114)\n40.83
Ukraine	(127)\n36.93	(126)\n36.79	(116)\n54.00	(131)\n46.83	(089)\n22.00	(087)\n19.25	(092)\n26.75	(105)\n26.50	(112)\n32.50	(138)\n51.00	(132)\n40.00	(112)\n40.00
