| State (linked to summaries below) | Incumbent Senator  | Incumbent Party | Incumbent Electoral history                                                                                  | Most recent election results       | 2018 intent                           | Candidates                            |
| New Mexico                        | Martin Heinrich    | Democratic      | Martin Heinrich (D) 51.0% Heather Wilson (R) 45.3% Jon Barrie (IAP) 3.6%                                     | 2012                               | [Data unknown/missing. You can help!] | [Data unknown/missing. You can help!] |
| New York                          | Kirsten Gillibrand | Democratic      | Kirsten Gillibrand (D) 71.6% Wendy E. Long (R) 26.0%                                                         | 2010 (special) 2012                | [Data unknown/missing. You can help!] | [Data unknown/missing. You can help!] |
| North Dakota                      | Heidi Heitkamp     | Democratic      | Heidi Heitkamp (D) 50.2% Rick Berg (R) 49.3%                                                                 | 2012                               | [Data unknown/missing. You can help!] | [Data unknown/missing. You can help!] |
| Ohio                              | Sherrod Brown      | Democratic      | Sherrod Brown (D) 50.7% Josh Mandel (R) 44.7% Scott A. Rupert (I) 4.6%                                       | 2006 2012                          | [Data unknown/missing. You can help!] | [Data unknown/missing. You can help!] |
| Pennsylvania                      | Bob Casey, Jr.     | Democratic      | Bob Casey, Jr. (D) 53.7% Tom Smith (R) 44.6% Rayburn Douglas Smith (L) 1.7%                                  | 2006 2012                          | [Data unknown/missing. You can help!] | [Data unknown/missing. You can help!] |
| Rhode Island                      | Sheldon Whitehouse | Democratic      | Sheldon Whitehouse (D) 64.8% Barry Hinckley (R) 35.0%                                                        | 2006 2012                          | [Data unknown/missing. You can help!] | [Data unknown/missing. You can help!] |
| Tennessee                         | Bob Corker         | Republican      | Bob Corker (R) 64.9% Mark E. Clayton (D) 30.4% Martin Pleasant (G) 1.7%                                      | 2006 2012                          | [Data unknown/missing. You can help!] | [Data unknown/missing. You can help!] |
| Texas                             | Ted Cruz           | Republican      | Ted Cruz (R) 56.5% Paul Sadler (D) 40.7% John Jay Myers (L) 2.1%                                             | 2012                               | [Data unknown/missing. You can help!] | [Data unknown/missing. You can help!] |
| Utah                              | Orrin Hatch        | Republican      | Orrin Hatch (R) 65.3% Scott Howell (D) 30.0% Shaun McCausland (C) 3.2%                                       | 1976 1982 1988 1994 2000 2006 2012 | Retiring                              | [Data unknown/missing. You can help!] |
| Vermont                           | Bernie Sanders     | Independent     | Bernie Sanders (I) 71% John MacGovern (R) 24.9% Cris Ericson (Marijuana Party) 2%                            | 2006 2012                          | [Data unknown/missing. You can help!] | [Data unknown/missing. You can help!] |
| Virginia                          | Tim Kaine          | Democratic      | Tim Kaine (D) 52.9% George Allen (R) 47%                                                                     | 2012                               | [Data unknown/missing. You can help!] | [Data unknown/missing. You can help!] |
| Washington                        | Maria Cantwell     | Democratic      | Maria Cantwell (D) 60.5% Michael Baumgartner (R) 39.5%                                                       | 2000 2006 2012                     | [Data unknown/missing. You can help!] | [Data unknown/missing. You can help!] |
| West Virginia                     | Joe Manchin        | Democratic      | Joe Manchin (D) 60.6% John Raese (R) 36.5% Bob Henry Baber (G) 3.0%                                          | 2010 2012                          | [Data unknown/missing. You can help!] | [Data unknown/missing. You can help!] |
| Wisconsin                         | Tammy Baldwin      | Democratic      | Tammy Baldwin (D) 51.4% Tommy Thompson (R) 45.5% Joseph Kexel (L) 2.1%                                       | 2012                               | [Data unknown/missing. You can help!] | [Data unknown/missing. You can help!] |
| Wyoming                           | John Barrasso      | Republican      | John Barrasso (R) 75.7% Tim Chestnut (D) 21.7% Joel Otto (Wyoming Country) 2.6%                              | 2008 (special) 2012                | [Data unknown/missing. You can help!] | [Data unknown/missing. You can help!] |
| State (linked to summaries below) | Incumbent          | Incumbent       | Incumbent                                                                                                    | Most recent election results       | 2018 intent                           | Candidates                            |
| State (linked to summaries below) | Senator            | Party           | Electoral history                                                                                            | Most recent election results       | 2018 intent                           | Candidates                            |
