Region	Country	Location	Size (m)	Payload (metric tonnes)	Degrees of Freedom	X Horiz Disp (mm)	Y Horiz Disp (mm)	Z Vert Disp (mm)	X Horiz Vel (mm/s)	Y Horiz vel (mm/s)	Z Vert vel (mm/s)	X Horiz accel (m/s2)	Y Horiz accel (m/s2)	Z Vert accel (m/s2)	Max Freq (Hz)	Details checked
Asia	Japan	Nishimatsu Construction Corp	5.5 x 5.5	65	6	±500	?	?	±1500	?	?	±20	?	?	50	?
Asia	Japan	Nuclear Power Engineering Corporation	15 x 15	908	2	±200	n/a	±100	±750	n/a	±375	±18	n/a	±9	30	?
Asia	Japan	NYK Corporation	2.6 x 2.6	20	6	±200	?	?	±600	?	?	±20	?	?	80	?
Asia	Japan	Obayashi-Gumi Corporation	5 x 5	46	3	±600	?	?	±2000	?	?	±30	?	?	50	?
Asia	Japan	Okumura Corp.	?	60	6	±125	?	?	±1000	?	?	±30	?	?	70	?
Asia	Japan	Penta-Ocean Construction Co. Ltd. (1 of 2)	?	60	6	±300	?	?	±1000	?	?	±5	?	?	70	?
Asia	Japan	Penta-Ocean Construction Co. Ltd. (2 of 2)	?	60	6	±200	?	?	±750	?	?	±10	?	?	70	?
Asia	Japan	Port and Airport Research Institute	3.4 x 3.4	55	2	±200	n/a	±100	±750	±500	n/a	±8	±15	n/a	50	?
Asia	Japan	Public Works Research Institute (PWRI)	8 x 8	300	6	±600	±600	±300	±2000	±2000	±1000	±20	±20	±10	50	10/5/2008
Asia	Japan	Sanryo Heavy Industries Corporation	6 x 6	90.7	3	?	?	?	?	?	?	?	?	?	?	?
Asia	Japan	Shimizu Corporation	4 x 4	20	3	±200	?	?	±1000	?	?	±10	?	?	50	?
Asia	Japan	Taisei Corp Ltd	4 x 4	20	2	±200	?	?	±450	?	?	±10	?	?	50	?
Asia	Japan	Tobishima Corp Ltd	4 x 4	20	2	±75	?	?	?	?	?	±15	?	?	30	?
Asia	Japan	Tobishima Corp Ltd	?	20	6	±200	?	?	±800	?	?	±10	?	?	30	?
Asia	Japan	Tokyu Const. Corp.	4 x 4	30	6	±500	±200	±100	±1500	±1000	?	±10	?	?	30	?
Asia	Japan	Toshiba Electric Co.	5 x 5	20	2	±750	n/a	±380	±400	n/a	±250	±10	n/a	±7	30	?
Asia	Korea	Hyundai Institute of Construction Technology Development (1 of 2)	2 x 2	5	2	±75	±75	n/a	±500	±500	n/a	±10	±10	n/a	?	5/2/2009
Asia	Korea	Hyundai Institute of Construction Technology Development (2 of 2)	5 x 3	30	1	±100	n/a	n/a	±500	n/a	n/a	±10	n/a	n/a	?	5/2/2009
Asia	Korea	Korea Institute of Machinery and Metals	4 x 4	30	6	±200	±200	±134	±750	±750	±500	±15	±15	±10	50	?
Asia	Korea	Pusan National University (1 of 3)	5 x 5	300	2	±300	±200	n/a	±1000	±1000	n/a	±20	±20	n/a	60	24/7/2008
Asia	Korea	Pusan National University (2 of 3)	5 x 5	600	2	±300	±200	n/a	±1000	±1000	n/a	±30	±30	n/a	60	24/7/2008
Asia	Korea	Pusan National University (3 of 3)	4 x 4	300	6	±300	±200	±150	±1500	±1500	±1000	±20	±20	±40	60	24/7/2008
Asia	Malaysia	Sabah University	1.5 x 1.5	?	?	?	?	?	?	?	?	?	?	?	?	?
Asia	Taiwan	National Center for Research in Earthquake Engineering	5 x 5	50	6	±250	±100	±100	±1000	±600	±500	±10	±30	±10	50	12/3/2008
Australia	Australia	University of Melbourne	2 x 2	3	?	?	?	?	?	?	?	?	?	?	?	?
Australia	Australia	University of Technology, Sydney	3 x 3	10	1	?	?	?	?	?	?	?	?	?	50	15/12/2009
Canada	Canada	Royal Military College	2.7 x 2.7	5	1	?	?	?	?	?	?	?	?	?	?	?
Canada	Canada	University of British Columbia (EERF Lab)	4 x 4	30	6	?	?	?	?	?	?	?	?	?	?	?
Canada	Canada	University of Sherbrooke	? x ?	?	?	?	?	?	?	?	?	?	?	?	?	?
Europe	France	Commissariat à l'Energie Atomique et aux Energies Alternatives (CEA), AZALEE (1 of 3)	6 x 6	100	6	±125	±125	±100	±700	±700	±700	±10	±10	±25	50	27/01/2011
Europe	France	Commissariat à l'Energie Atomique et aux Energies Alternatives (CEA), VESUVE (2 of 3)	4 x 3	20	1	±125	n/a	n/a	±1000	n/a	n/a	±10	n/a	n/a	50	27/01/2011
Europe	France	Commissariat à l'Energie Atomique et aux Energies Alternatives (CEA), TOURNESOL (3 of 3)	2 x 2	10	3	±125	n/a	±100	±2000	n/a	±1300	±10	n/a	10	50	27/01/2011
Europe	France	FCBA Institut technologique	6 x 6	10	1	±125	n/a	n/a	±800	n/a	n/a	±20	n/a	n/a	50	02/2011
Europe	Greece	Aristotle University of Thessaloniki	1.2 x 1.2	15	2	±50	n/a	±50	?	n/a	?	?	n/a	?	30	?
Europe	Greece	National Technical University of Athens	4 x 4	10	6	±100	±100	±100	±1000	±1000	±1000	±20	±20	±40	100	12/3/2008
Europe	Italy	Ansaldo Meccanica Nucleare	3.5 x 3.5	6	3	±70	?	?	±860	?	?	?	?	?	60	?
Europe	Italy	Department of Structures for Engineering and Architecture, University of Naples - Shake Table	4 x 4	20	2	±250	±250	n/a	±1000	±1000	n/a	10	10	n/a	50	-
Europe	Italy	ENEA	4 x 4	10	6	±125	±125	±125	±500	±500	±500	±30	±30	±30	50	?
Europe	Italy	Enel. Hydro S.p.A.; business unit ISMES (1 of 3)	4 x 4	60	6	±100	±100	±100	±550	±550	±440	±30	±30	±20	120	?
Europe	Italy	European Centre for Training & Research in Earthquake Engineering (EUCENTRE) - Shake Table	5.6 x 7	140	1	±500	-	-	±2200	-	-	59	-	-	50	-
Europe	Italy	European Centre for Training & Research in Earthquake Engineering (EUCENTRE) - Bearing Testing System	1.6 x 4.4	5000 (vertical load)	5	±500	±265	140	±2200	±600	±250	18	-	-	20	-
Europe	Italy	European Centre for Training & Research in Earthquake Engineering (EUCENTRE) - Damper Testing System	1.5 x 2	50	1	±250	-	-	±1180	-	-	10	-	-	20	-
Europe	Macedonia	Institute of Earthquake Engineering and Engineering Seismology (IZIIS), University of SS. Cyril and Methodius in Skopje (1 of 2)	5 x 5	40	5	n/a	±125	±60	n/a	±1000	±500	n/a	±30	±15	80	20/9/2011
Europe	Macedonia	Institute of Earthquake Engineering and Engineering Seismology (IZIIS), University of SS. Cyril and Methodius in Skopje (2 of 2)	1.4 x 2.5	8	1	±100	n/a	n/a	?	n/a	n/a	±20	n/a	n/a	80	7/7/2008
Europe	The Netherlands	European Space Agency (ESA) ESTEC Test Centre	5.5 x 5.5	22.5	6	±70	±70	±70	±800	±800	±800	±50	±50	±50	2-100	23/7/2008
Europe	Portugal	Laboratorio Nacional de Engenharia Civil (LNEC)	5.6 x 5.6	40	3	±175	±175	±175	±200	±200	±200	±18	±11	±6	20	?
Europe	Russia	Hydroproject Research Institute	5 x 5	50	3	±70	±70	±40	±600	?	?	±20	±20	?	40	?
Europe	Spain	CEDEX	?	?	?	?	?	?	?	?	?	?	?	?	?	?
Europe	Turkey	Bogazici University (1 of 2)	3 x 3	10	1	±120	n/a	n/a	±650	n/a	n/a	±20	n/a	n/a	50	3/3/2008
Europe	Turkey	Bogazici University (2 of 2)	0.7 x 0.7	0.1	3	±120	±120	±120	±1200	±1200	±1200	±100	±100	±100	40	3/3/2008
Europe	Turkey	Middle East Technical University	2 x 1	?	?	?	?	?	?	?	?	?	?	?	?	?
Europe	UK	University of Bristol (EERC)	3 x 3	17	6	±150	±150	±150	±1100	±1100	±1100	±60	±60	±60	100	29/2/2008
Asia	Pakistan	Earthquake Engineering Center, University of Engineering & Technology Peshawar	6.0 x 6.0	60	6	±300	±300	±300	±1100	±1100	±1100	±14.7	±14.7	±14.7	50	
North America	Mexico	Universidad Nacional Autónoma de México (UNAM)	4 x 4	20	5	±150	±150	±75	±1100	±1100	±450	±10	±10	±10	60	10/9/2008
USA	Colorado	ANCO Engineers, Inc Boulder, Colorado	3 x 3	10	3	±200	±200	±200	±2000	±2000	±2000	±30	±30	±30	40	16/10/2012
USA	Alabama	NASA	3 x 4.5	1	6	±2440	?	?	±100	?	?	?	?	?	?	?
USA	Alabama	Wyle Laboratories (1 of 3)	6.1 x 5.5	27	2	±152	?	?	±890	?	?	±60	?	?	100	16/10/2012
USA	Alabama	Wyle Laboratories (2 of 3)	2.7 x 2.7	4.5	3	±250	±250	±250	±1120	±1120	±1120	±45	±45	±45	100	16/10/2012
USA	Alabama	Wyle Laboratories (3 of 3)	2.4 x 2.4	4.5	2	±305	n/a	±228	±1168	n/a	±838	±70	n/a	±80	70	16/10/2012
USA	North Carolina	Duke University	1.2 x 1.2	5	1	±75	n/a	n/a	±500	n/a	n/a	±50	n/a	n/a	60	15/4/2008
USA	California	University of California at Berkeley	6.1 x 6.1	45	6	±127	±127	±51	±762	±762	±254	±15	±15	±20	20	30/4/2008
USA	California	California State University, Fresno	2.4 x 2.0	?	1	±125	n/a	n/a	?	n/a	n/a	?	n/a	n/a	?	19/11/2009
USA	California	University of California at San Diego	12.2 x 7.6	2000	1	±750	n/a	n/a	±1800	n/a	n/a	±10	n/a	n/a	20	7/7/2008
USA	Connecticut	University of Connecticut	1.5 x 1.5	1	1	±150	n/a	n/a	?	n/a	n/a	±20	n/a	n/a	50	8/5/2008
USA	Illinois	University of Illinois at Urbana / Champaign	3.7 x 3.7	5	1	±50	?	?	±381	?	?	±30	?	?	50	?
USA	New York	University at Buffalo (State University of New York) (2 identical tables of 3)	3.6 x 3.6	50	6	±150	±150	±75	±1250	±1250	±500	±12	±12	±12	100	12/3/2008
USA	New York	University at Buffalo (State University of New York) (3 of 3)	3.7 x 3.7	50	5	±150	n/a	±75	±762	n/a	±500	±12	n/a	±23	50	12/3/2008
USA	New York	Rensselaer Polytechnic Institute	1.7 x 2.6	5	1	±130	n/a	n/a	±270	n/a	n/a	±20	n/a	n/a	50	8/5/2008
USA	Nevada	University of Nevada at Reno (3 identical biaxial tables)	4.3 x 4.5	45	2	±300	±300	n/a	±1270	±1270	n/a	±20	±20	n/a	50	8/2/2010
USA	Nevada	University of Nevada at Reno (6 axis table)	2.75 x 2.75	50	6	±75	±300	±100	?	?	?	±20	±40	±10	50	13/3/2008
USA	Nevada	Dynamic Certification Laboratories	2.0 diameter	4.5	6	±140	±120	±150	±1000	±1000	±1200	±98	±98	±108	100	17/7/2012
USA	Texas	Rice University	0.465m²	7	1	±75	n/a	n/a	±1400	n/a	n/a	±20	n/a	n/a	50	8/5/2008
USA	USA	Civil Engineering Research Lab U.S. Army	3.6 x 3.6	45	3	±300	?	?	±1300	?	?	?	?	?	250	?
USA	Virginia	The George Washington University - Virginia Campus	3 x 3	?	6	?	?	?	?	?	?	?	?	?	?	?
